listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://ianscott.com/property/102-old-brompton-road-south-kensington-london-sw7-3rd/,"102 OLD BROMPTON ROAD, SOUTH KENSINGTON LONDON SW7 3RD",,"Investment, Offices, Retail & Leisure",['https://ianscott.com/wp-content/uploads/2023/01/102-Old-Brompton-Road-Clareville-Grove-scaled.jpg'],"Location: Situated in the Royal Borough of Kensington and Chelsea within the vibrant South Kensington district, the building occupies a very prominent corner position, at the junction with Clareville Grove and Onslow Gardens. Nearby occupiers include H.R Owen Ferrari , The Royal British Society of Sculptors , Little Waitrose , Shell , Joe & The Juice , Chucs Café , Wright Brothers and Strutt & Parker . Besides it’s vicinity to the World renowned residential catchment of Chelsea, the area is adorned with boutique hotels, such as the likes of Blakes , The Kensington , Curio Collection by Hilton , Number 16 and The Bentley. Accommodation: The property consists of E class accommodation (historically occupied by a gastro pub), over ground, basement and first floor levels. The upper levels at 2 nd and 3 rd floors are one-bedroom apartments, presently accessed via an internal staircase accessed from the first floor and an external staircase from Clareville Grove. The building has been partly stripped back to shell in preparation for our clients’ extensive plans. Existing approximate floor areas & dimensions are as follows: Basement 91.04 Sq m 980 Sq ft Ground Floor 205.04 Sq m 2,207 Sq ft 1 st Floor 142.98 Sq m 1,539 Sq ft 2 nd Floor 75.99 Sq m 818 Sq ft 3 rd Floor 67.94 Sq m 731 Sq ft Total Area 582.99 Sq m 6,275 Sq ft Architects have drawn up plans which show a new internal staircase and self-contained entrance to the flats, can easily be created from Clareville Grove (plans available upon request). This offers a good opportunity to consider upgrading/ extending the residential offering in the building or to seek change of use to the likes of hotel accommodation (subject to planning). There is also great potential to extend/ amalgamate the existing first and second floor terrace areas and this could significantly benefit the likes of a restaurant or other commercial uses.",6275.0,,SW7 3RD,['https://ianscott.com/wp-content/uploads/2023/01/102-Old-Brompton-Road-brochure-layout-v6.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/2-tufnell-park-road-london-n7-0pg/,"2 TUFNELL PARK ROAD, LONDON, N7 0PG",,Offices,['https://ianscott.com/wp-content/uploads/2024/11/TPR-pic-1-scaled.jpg'],"LOCATION Tufnell Park Road, situated in North London, providing easy access to a wide range of amenities and public transport links. The property is situated just a short walk from Tufnell Park Underground Station. Additionally, there are several bus routes that run nearby. The unit is also conveniently located near a variety of shops, restaurants, and cafes, providing plenty of options for dining and shopping. DESCRIPTION This self-contained space is arranged over ground & lower ground. The space is a predominantly open plan with natural light via large windows on three sides, providing a welcoming and productive environment. There are two partitioned meeting rooms/private offices. The whole demise benefits from high ceilings.",,,N7 0PG,['https://ianscott.com/wp-content/uploads/2024/11/Tufnell-Park-N7.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/20-22-high-street-reigate-surrey-rh2-9aj/,"20 -22 HIGH STREET, REIGATE, SURREY, RH2 9AJ",,Investment,['https://ianscott.com/wp-content/uploads/2024/10/Reigate-20-22-High-Street-pic-2024-scaled.jpg'],"Location: Reigate is an affluent ‘stockbroker‘ town situated 30 miles south of central London with both regular train services to London Victoria; close proximity to the M25 motorway (Junction 8) and Gatwick Airport located 6 miles to the south. Trading as Fat Face and situated in a prominent position in the heart of the town centre on the north side of the High Street with nearby occupiers including Phase Eight, Boots, Pizza Express, W H Smith & Gails Bakery. Description: The property comprises a double fronted retail ground and first floor shop with the benefit of an accessible rear garden. We are advised by the Local Planning Authority that it is not Listed but is in a Conservation Area. It has the following approx. dimensions & floor areas: Internal Width (front) narrowing (rear) 29’ 8’’ to 16’ 2’’ 9m to 4.92m Shop Depth 68’ 6’’ 20.87m Ground Floor Trading Area 1,354 sq ft 125.8 sq m First Floor Ancillary Area 789 sq ft 73.3 sq m Total 2,143 sq ft 199 sq m",2143.0,,RH2 9AJ,[],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/luton-bedfordshire/,"LUTON, BEDFORDSHIRE",,"Investment, Retail & Leisure",['https://ianscott.com/wp-content/uploads/2024/09/Luton-1-870x420.jpg'],"Location Trading as Tesco Express and forming part of a local shopping parade on the outskirts of Luton town centre in the Limbury Mead densely populated residential suburb and a short distance from Leagrave Station (Thameslink).Nearby occupiers include the Post Office, local pharmacy & various independent traders. Description Forming part of a mainly retail / restaurant parade with flats above on 2 upper floors, the demise comprises a large ground floor only Tesco convenience store with the benefit of rear servicing and a large customer car park at the front (approx. 80 vehicles). The following approximate areas are: Ground Floor Trading Area 2,652 sq ft 246 sq m Ground Floor Ancillary Area 3,644 sq ft 338 sq m WC’s / Staffroom 318 sq ft 30 sq m Total 6,614 sq ft 614 sq m",2652.0,,,['https://ianscott.com/wp-content/uploads/2024/09/58-60-Calverton-Road-Limbury-Mead-Luton-LU3-13-08-2024.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/2-6-tenter-ground-london-e1-7nh/,"2-6 Tenter Ground, London, E1 7NH",,Offices,['https://ianscott.com/wp-content/uploads/2024/05/2-6-Tender-Ground-E1-pic-870x420.jpg'],"LOCATION The property is located on the corner of Tenter Ground & Brune Street in the heart of Spitalfields, just moments away from the restaurants, cafés & shopping of Spitalfields market and a short walk to the Truman Brewery complex, where you will find a multitude of bars and retail outlets. Liverpool Street, Aldgate East & Shoreditch High Street station, along with numerous bus routes, are close by. DESCRIPTION Situated within a mixed used building, the space over ground & lower ground floors has been fully refurbished and is mainly open plan with a small exec office on ground floor and a board room on lower ground. Benefitting from good natural light, high ceilings, air-con & security shutters. The space would suit a variety of occupiers. Ground – 1,010 sq ft (93.83 Sq M) Lower Ground – 1,549 sq ft (143.90 Sq M) TOTAL – 2,559 SQ FT (237.73 Sq M)",1010.0,,E1 7NH,['https://ianscott.com/wp-content/uploads/2024/05/2-6-Tenter-Ground-E1.pdf.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/84d-lillie-road-london-sw6/,"84D LILLIE ROAD, LONDON SW6",,Investment,['https://ianscott.com/wp-content/uploads/2023/05/84-Lillie-Rd-3-scaled-1-870x420.jpeg'],"Located in a prominent position to the North side of Lillie Road, close to the junction with North End Road, forming part of the Earls Court regeneration area with Earls Court Exhibition Centre to the West. The building benefits from strong transport links, being close to West Brampton Station and Fulham Broadway Station. A substantial recently refurbished mixed-use building with a consented development opportunity at the rear. The property is arranged over five levels, with the upper floors comprising two 1 bed flats, one 2 bed flat and one 3 bed flat. The ground floor and basement provide a retail unit (1,352 sq ft) at the front and a consented c3 unit (792 sq ft) at the rear. The consented c3 unit is currently in shell and core condition in preparation for works. The developer is prepared to take on the development management to deliver the rear unit to the same specification as the upper parts.",1352.0,,,['https://ianscott.com/wp-content/uploads/2023/05/84D-Lillie-Road-08.23.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/12-grenville-street-london-wc1n-1lz/,"12 GRENVILLE STREET, LONDON WC1N 1LZ",,"Investment, Retail & Leisure",[],"Location: This period building occupies a prominent Bloomsbury location midway between the junctions of Bernard Street & Guildford Street. Major local landmarks include the Brunswick Shopping Centre, Brunswick Square Gardens, Great Ormond Street Hospital, Charles Dickens Museum, The Postal Museum, Corams Field and Queen Square Gardens. Russell Square Underground Station ( Piccadilly line ) is within a few minutes walking distance, as well as Kings Cross, St Pancras & Euston mainline stations all close by. Accommodation: The available left hand facing commercial space over ground floor & basement forms part of a 6 storey mixed commercial / residential refurbishment of 2 Georgian period townhouses and rear mews.",,,WC1N 1LZ,['https://ianscott.com/wp-content/uploads/2022/10/12-Grenville-Street-WC1-12-10-2022-1.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/1/,"96 DAWES ROAD, LONDON, SW6 7EJ",,Retail & Leisure,['https://ianscott.com/wp-content/uploads/2021/09/96-Dawes-Rd-pic-scaled.jpg'],Favourable Lease at only £100 pax or Alternatively New Sub Lease Available. The property comprises a ground floor lock up shop with a single WC and a sealed off basement (excluded from demise). The property is held on a 25 year effective full repairing &amp insuring lease inside the Landlord &amp,,,SW6 7EJ,[],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/48b-church-street-enfield-en2-6az/,"48b CHURCH STREET, ENFIELD EN2 6AZ",,"Investment, Retail & Leisure",['https://ianscott.com/wp-content/uploads/2021/11/Shake-Harlem-Enfield-scaled.jpg'],"The premises occupy a prominent position towards the western end of Church Street close to the entrance to Palace Gardens S.C. Nearby occupiers include Nationwide Building Society , Post Office , Linens Direct , Toni & Guy as well as to the rear Waitrose supermarket and a customer car park. The shop and upper parts benefit from the following approximate dimensions and floor areas: Gross frontage 18 ft 3 ins 5.57 m Net Frontage 16 ft 11 ins 5.17 m Internal Width 14 ft 5 ins 4.4 m Shop Depth 44 ft 13.4 m Ground Floor 614 sq ft 57 sq m Upper floors comprise an un-modernized self-contained 3 bedroom maisonette flat on 1 st and 2 nd floors (approx. 458 sq ft) with own private entrance at the rear.",614.0,,EN2 6AZ,['https://ianscott.com/wp-content/uploads/2021/11/Enfield_48b_Church_St_EN2_6AZ_fh_-_11-2020_1.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/25-abbeville-road-london-sw4-9la/,"25 ABBEVILLE ROAD, LONDON, SW4 9LA",,Retail & Leisure,['https://ianscott.com/wp-content/uploads/2024/06/25-Abbeville-Rd-Clapham-Pic-scaled.jpg'],"Location: Abbeville Road is in the heart of the affluent ‘ Abbeville Village ‘ and is located close to Clapham Common as well as within easy walking distance of both Clapham South & Clapham Common Underground Stations ( Northern Line ). There are a variety of shops, boutiques, restaurants, cafes & bars nearby including Treohans , Osteria Toscana , Ginger Pig butcher, Bottle Apostle, Gails bakery as well as Sainsbury’s and Co op food stores. The shop with a forecourt is situated at the southern end of a retail parade close to the junction with Shandon Road. Description: The ground floor & part first floor shop with a forecourt has the following approximate dimensions & areas: Gross Frontage 14’ 0” 4.26m Net Frontage 13’ 0” 3.96m Internal Width 12’ 6” 3.81m Shop Depth 34’ 0’’ 10.36m Ground Floor Area 400 sq ft 37.16 sq m First Floor Area 107 sq ft 9.94 sq m",400.0,,SW4 9LA,['https://ianscott.com/wp-content/uploads/2024/06/25-Abbeville-Road-SW4-03-2024.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/49-old-compton-street-soho-london-w1d-6hl/,"49 OLD COMPTON STREET, SOHO, LONDON, W1D 6HL",,Retail & Leisure,['https://ianscott.com/wp-content/uploads/2024/01/49-Old-Compton-St-870x420.jpg'],"Location: The World-famous Old Compton Street benefits from some of the best levels of footfall in the heart of Soho, running from Charing Cross Road to the east, to Wardour Street in the west. The location is moments away from the Gielgud, Sondheim & Prince Edward Theatres, as well as being close to China Town and hundreds of London’s finest bars, restaurants and boutiques. This building occupies a fantastic position at the south-western end of the street, close to Balans , Poppies , Amorino , Comptons , Algerian Coffee Stores, The Groucho Club , The French House , Maoz , Oree Boulangerie , Berenjak and Ronnie Scotts Club . Accommodation: The property has been well fitted and is in excellent condition, arranged over ground floor and basement. The current configuration provides 32 covers at ground floor and 4 covers externally, with a fitted show kitchen (benefitting from a RECO system) and WC. The basement consists of booth style seating offering 30 covers, with back of house consisting of walk-in fridges, staff wc and office area. Approximate floor areas are as follows: Ground Floor 701 sq ft 65.1 sq m Basement 697 sq ft 64.8 sq m",701.0,,W1D 6HL,['https://ianscott.com/wp-content/uploads/2024/01/49-Old-Compton-Street-Soho-W1.pdf'],Ian Scott International,,,,,,,,For Sale,2026-02-19,New
https://ianscott.com/property/36-37-great-russell-street-london-wc1b/,"36 & 37 GREAT RUSSELL STREET, LONDON WC1B",,Retail & Leisure,['https://ianscott.com/wp-content/uploads/2022/09/36-Gt-Russell-Street-WC1-pic-870x420.jpg'],"Location: The building occupies a prominent Bloomsbury location close to the junction of Bloomsbury Street whilst only 100m from The British Museum (one of the UK’s most popular tourist attractions) and a 5 minute walk from Tottenham Court Road Underground Station. The immediate locality is a mix of independent shops & restaurants who all benefit from the significant footfall generated by the Museum. Other nearby occupiers include Munchkins, Square Bubbles, TAS Restaurant, British Museum Gift Shop & Starbucks. Accommodation: The available commercial space forms part of an attractive stucco fronted five storey period building with the accommodation comprising ground floor, basement & small vault. It benefits from good natural light, generous floor to ceiling height (3m), potential pavement seating and a rear lightwell suitable for installing extract, a/c, etc. New shop front proposed. Approx floor areas & dimensions are: 36 Gt Russell St 37 Gt Russell St Combined 36 & 37 Int. Width 11’9’’ ( 3.58m) 11’9’’(3.58m) 23’ 6’’(7.16m) Shop Depth 31’10’’ ( 9.72m) 31’10’’(9.72m) 31’10’’( 9.72m ) Ground Floor 349 sq ft(32 sqm) 349 sq ft(32 sqm) 750 sq ft(69.7sqm) Basement + Vault 397 sq ft(36.9 sqm) 400 sq ft(37 sqm) 850 sq ft(79 sqm) Total Area 746 sq ft( 69.3 sqm) 749 sq ft(69.3 sqm) 1,600 sqft(149 sqm)",349.0,,,['https://ianscott.com/wp-content/uploads/2022/09/36_and_37_Great_Russell_Street_WC1_Version_2_details_06-09-2022.pdf'],Ian Scott International,,,,,,,,To Let,2026-02-19,New
