listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.glinsmanweller.co.uk/property/10-pentonville-road-angel-n1/,"10 Pentonville Road, Angel N1",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10-Pentonville-Road-reception.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10-Pentonville-Road.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10PR-3rd-floor-1.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10PR-5th-floor-1.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10PR-3rd-floor-3.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10PR-3rd-floor-2-2.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10PR-5th-floor-2.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/b32b89_fe32baaff1e440fca977002777c9cfe4mv2.jpg']","The property is located on the north side of Pentonville Road close to the junction with Islington High Street with Angel underground station (Northern line) close by. This attractive building was stripped back to the frame and comprehensively refurbished with a striking Danish brick façade by Derwent London in 2012 to provide high quality offices throughout. Whilst a single tenant currently occupies the entire development, the entire building has been designed to split vertically if required and provides the following floor areas: Amenities include air conditioning, two passenger lifts, raised floor, suspended ceilings, terrace and a manned reception.​ The building is held on a total of 14 separate full repairing and insuring leases each for a term to expire on 1 January 2025 at the following rents subject to review as at 2 January 2023: All leases are contracted out of Sections 24-28 of the Landlord & Tenant Act 1954 Part II (as amended). Rates are approximately £21.30 per sq ft and service charge approximately £14.50 per sq ft for the current year.",2868,,N1,https://www.glinsmanweller.co.uk/wp-content/uploads/2022/08/10-Pentonville-Road-2.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/1-curtain-place-shoreditch-ec2/,"1 Curtain Place, Shoreditch EC2",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/1-Curtain-Place-4.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/1-Curtain-Place-3.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/1-Curtain-Place-2.jpg']","The property is located in a private gated courtyard off Curtain Road in the heart of this exciting and dynamic area. The Lower Ground to Second floors will be refurbished to provide a blend of Cat A and Cat A+ space each offering from 4,145 sq ft up to 14,050 sq ft. New leases are available on a full repairing and insuring basis for a term by arrangement. Rent, Rates and service charge on application.",4145,,EC2,https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/1-Curtain-Place-1.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/orion-house-5-upper-st-martins-lane-wc2/,"Orion House, 5 Upper St Martin’s Lane, WC2",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2024/03/Orion-House-external-1.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/03/Orion-House-external-2.jpg']","The property is located at the junction with West Street in the heart of this exciting and vibrant area. Leicester Square, Covent Garden and Tottenham Court Road underground stations (Piccadilly, Northern, Central and Elizabeth lines) are close by, whilst the area is served by a range of shops, restaurants, bars and hotels. This landmark tower building provides high quality offices approached via a spacious, manned reception area. The available space comprises the entire Sixth floor providing a total area of 5,833 sq ft which can be divided to provide suites of approximately 2,100 sq ft and 3,500 sq ft respectively. The floor is currently fully fitted whilst the building provides VAV air conditioning, metal tiled suspended ceilings, raised floor, 4 passenger lifts and fire lift, bicycle parking, male and female WC’s, 24 hour access and security and showers.",5833,,WC2,https://www.glinsmanweller.co.uk/wp-content/uploads/2024/03/Orion-House-6th-floor-1.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/243-245-kennington-lane-london-se1/,"243-245 Kennington Lane, London SE11",,,"['https://www.glinsmanweller.co.uk/current-disposals/', 'https://www.glinsmanweller.co.uk/case-studies/', 'https://www.glinsmanweller.co.uk', 'https://www.glinsmanweller.co.uk/who-we-are/', 'https://www.glinsmanweller.co.uk/contact/', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/09/Brochure-Internal-3-scaled.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/09/243-245-Kennington-Lane-Brochure.pdf', 'tel:+442074952728', 'tel:+447966145256', 'mailto:richard@glinsmanweller.co.uk', 'https://www.linkedin.com/in/richard-weller-7357b929/', 'https://www.glinsmanweller.co.uk/privacy-policy/', 'https://creativewiredesign.co.uk']","243 – 245 Kennington Lane forms part of a beautiful terrace of Georgian buildings setback from the road and provides a rare opportunity to occupy a self contained building, sympathetically refurbished to the highest of standards providing the perfect blend of traditional and contemporary office accommodation. – Sympathetically refurbished to a high standard – Beautiful period features – Grade II Listed – Comfort cooling throughout – Cabling – Large kitchen and breakout space – Shower – Outside space – Parking by arrangement Freehold available – offers in excess of £3 million. Consideration will also be given to granting a new lease – further details upon application.",3608,,SE11,https://www.glinsmanweller.co.uk/wp-content/uploads/2024/09/243-245-Kennington-Lane-Brochure.pdf,Glinsman Weller,,,,,,,Freehold,For Sale
https://www.glinsmanweller.co.uk/property/plympton-stables-marylebone-nw8/,"Plympton Stables, Marylebone NW8",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/plymptonstables.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/Unit-2-fitout1.png', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/Unit-2-fitout5.png', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/Unit-2-fitout8.png', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/Unit-2-fitout6.png']","Originally constructed as a stable in the 1820s and latterly used as a cutlery factory the building has been re-imagined for the 21st century and to provide stylish, self-contained office suites finished to the highest standard. In the heart of eclectic Marylebone – near the underground stream of the Tybourne river, be part of the next chapter of this historic place. ​ All units are self-contained with private toilets and kitchenettes, air cooling and excellent connectivity whilst benefiting from access to shower facilities and secure bicycle parking and a tranquil private courtyard. Follwing recent lettings, only Unit 1 remains available providing 1,797 / 2,497 sq ft with its own front door and direct access to the courtyard. The unit has been fully fitted and furnished to the highest standard and is available for immediate occupation. A new lease is available for a term by arrangement at a rent based on £52.50 per sq ft. Rates payable for the current year are estimated to be approximately £12.90 per sq ft and service charge is approximately £4.75 per sq ft.",1797,,NW8,https://www.glinsmanweller.co.uk/wp-content/uploads/2022/01/Plympton-Stables-Brochure-March2023.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/17-hill-street-mayfair-w1/,"17 Hill Street, Mayfair W1",,,['https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/17HS3rdfitted2.jpg'],"This Grade I listed building is located just off Berkeley Square in the heart of Mayfair. Only one floor is currently available: Third floor: 2,071 sq ft – Fitted and ready for immediate occupation ​A new lease is available for a term by arrangement subject to five yearly upwards only rent reviews at rent based on £79.50 per sq ft. Rates for the current year are approximately £32.00 per sq ft and service charge is approximately £14.50 per sq ft.",2071,,W1,https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/b32b89_696245e5d02b4f22aebce6ee9b6416ff.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/14-old-bond-street-mayfair-w1/,"14 Old Bond Street, Mayfair W1",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2021/11/b32b89_4ca76f69ba7d45efbfe916b304611101mv2.png', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/04/3rd-floor-1.png', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/04/3rdfloor-3.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2024/04/3rd-floor-2.png']","The property is located on the east side of Old Bond Street close to Piccadilly and both Green Park and Piccadilly Circus Underground stations (Piccadilly, Jubilee and Bakerloo lines) in the heart of this vibrant and prestigious location. The available floor provides high quality, flexible offices with skylights that have been fitted out by the current occupier to provide a 10 person boardroom, 4 person meeting room, lounge area, a private office, kitchen, breakout area, reception desk and 12 desks in open plan altogether totaling 1,910 sq ft (177.44 sq m). Amenities include Air conditioning, Raised floor, Passenger lift, Suspended lighting, Private toilets, Communal shower, Double glazing and Excellent natural light A new lease is available for a term by arrangement incorporating five yearly upward only rent reviews and excluded from Sections 24-28 of the Landlord & Tenant Act 1954 Part II (as amended) at an initial rent of £170,945 per annum exclusive (£89.50 per sq ft). Rates are approximately 38.90 per sq ft, service charge £13.60 per sq ft and insurance £2.40 per sq ft.",1910,,W1,https://www.glinsmanweller.co.uk/wp-content/uploads/2024/04/14-Old-Bond-Street-Third-floor-1.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/city-of-london-ec2/,"64 London Wall, EC2",,,"['https://www.glinsmanweller.co.uk/current-disposals/', 'https://www.glinsmanweller.co.uk/case-studies/', 'https://www.glinsmanweller.co.uk', 'https://www.glinsmanweller.co.uk/who-we-are/', 'https://www.glinsmanweller.co.uk/contact/', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2025/01/DSCF8295-2.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2025/01/64-London-Wall-2.pdf', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2025/01/64-London-Wall-Fourth-floor-plan-1.pdf', 'tel:+442074952728', 'tel:+447966145256', 'mailto:richard@glinsmanweller.co.uk', 'https://www.linkedin.com/in/richard-weller-7357b929/', 'https://www.glinsmanweller.co.uk/privacy-policy/', 'https://creativewiredesign.co.uk']",Only one newly redecorated and carpeted floor available providing flexible and efficient office space.,1076,,EC2,https://www.glinsmanweller.co.uk/wp-content/uploads/2025/01/64-London-Wall-2.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/65-london-wall-ec2/,"65 London Wall, EC2",,,"['https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-3.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-2.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-7.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-7-1.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-8.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-4.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-5.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/Fitted-1.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF8136.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF5996-2.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF5876.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF6097-HDR.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF6103-HDR.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF6205.jpg', 'https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/DSCF6207.jpg']","65 London Wall is a handsome and imposing period style property, featuring a range of quality refurbished suites suitable for either office or medical use.  The suites are approached via a spacious entrance hall leading to a beautiful, original feature staircase and two passenger lifts.  Internally, all floors offer excellent floor to ceiling heights and benefit from an abundance of natural light. New leases are available on a full repairing and insuring basis for a term by arrangement at a rents based on £46.50 – £51.50 per sq ft for CAT A suites and £56.50 per sq ft for CAT A + furnished suites Rates are assessed at between £12.45 – £17.36 per sq ft and service charge £12.61 per sq ft Website Link: https://65londonwall.com/",1090,,EC2,https://www.glinsmanweller.co.uk/wp-content/uploads/2022/03/65-London-Wall-Brochure-6.pdf,Glinsman Weller,,,,,,,,
https://www.glinsmanweller.co.uk/property/10-blandford-street-marylebone-w1-2/,"10 Blandford Street, Marylebone W1",,,['https://www.glinsmanweller.co.uk/wp-content/uploads/2023/02/10-Blandford-reception.png'],"The property is located on the north side of Blandford Street close to the junction with Marylebone High Street in the heart of this exciting and vibrant area. Baker Street and Bond Street underground stations (Jubilee, Bakerloo, Metropolitan, Circle, Central and Elizabeth lines) are both close by, whilst the area is served by a range of shops, restaurants, bars and hotels. This striking and attractive building has been carefully nurtured by leading developer Dorrington with the aim of creating a boutique office building to provide office space which is tasteful, smart and truly distinctive to meet the requirements of the most exacting of occupiers. The available suite comprises the Second floor: 985 sq ft (91.50 sq m) which provides “Plug and Play” accommodation with direct lift access from reception to the floor and has been fitted out to provide three private offices, meeting room, two open plan desks, reception/waiting area and kitchenette with sink and drainer, dishwasher and microwave. 1) An assignment of existing lease for a term expiring 30th January 2027 on a full repairing and insuring basis excluded from Sections 24-28 of the Landlord & Tenant Act 1954 Part II (as amended) at a reversionary passing rent of £90,000 per annum exclusive (£91.37 per sq ft). Premium offers invited. 2) The landlord is willing to offer a new lease for a term by arrangement outside the ‘Act or would offer the space on an inclusive managed basis potentially with other space in the building. Rates are approx £30,250 (£30.71 per sq ft) and service charge £25,671 per annum (£26.06 per sq ft). Further details upon application.",985,,W1,https://www.glinsmanweller.co.uk/wp-content/uploads/2023/02/10-Blandford-Street-2nd.pdf,Glinsman Weller,,,,,,,,
