listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.ftlinden.com/properties/56-st-stephen-street/,56 St Stephen Street,,Retail,"['https://www.ftlinden.com/wp-content/uploads/2026/01/IMG_2728-300x225.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2026/01/IMG_2730-300x225.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2026/01/IMG_2734-300x225.jpeg']","FOR SALE PRIME EDINBURGH RETAIL UNIT OFFERS OVER £250,000 56 ST STEPHEN STREET, EDINBURGH, EH3 5AL Attractive Class 1A retail unit in bustling Stockbridge Rarely available and highly sought after location Ideal opportunity for private investor or owner occupier Net Internal Area 45.71 sqm (492 sqft) Offers Over £250,000 LOCATION Edinburgh, a UNESCO world heritage city, and Scotland’s capital city is located approximately 400 miles north of London and 45 miles east of Glasgow. It is a key political, legal and judicial centre and is the second largest financial centre in the UK. The city has a population of approximately 525,000 and a regional catchment of around 1.6 million people. Edinburgh has a diverse economy with more FTSE 100 companies located there than any other city in the UK, outside of London. The property is located within the highly desirable Stockbridge area of Edinburgh, renowned for its independent retailers, artisan cafes, creative occupiers and numerous bars and restaurants. Situated in the heart of Stockbridge, St Stephen Street is a short walk from Edinburgh city centre and Raeburn Place. There is a vibrant mix of residential and commercial occupiers, making it one of the most sought-after parades in the city. Nearby occupiers include Starbucks, The Bailie, Purslane and Cullertons. DESCRIPTION The subjects comprise a Class 1A retail unit arranged over the upper ground floor of a traditional four storey and basement mid terraced tenement. The property benefits from a prominent display frontage and is currently fitted out as a beauty salon. The property is arranged to provide treatment rooms, staff kitchen and WC. Heating is by electric panel radiators. ACCOMMODATION The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and we estimate the Net Internal Area to be as follows: Upper Ground Floor: 45.71 SQ M (492 SQFT) TENURE The property is held on a heritable title (Scottish equivalent of English freehold). EPC Can be provided to interested parties. VAT TO BE INSERTED ANTI-MONEY LAUNDERING To comply with the current anti-money laundering regulations, the agents acting on both sides of any qualifying transaction are required to undertake appropriate due diligence in advance of the transaction, including identifying and verifying all relevant parties and establishing the source(s) and legitimacy of funding. Both parties will be required to disclose all relevant information prior to the conclusion of missives to enable the agents to meet their respective obligations under the Regulations. PROPOSAL We are seeking offers over £250,000 (Two Hundred and Fifty Thousand Pounds) for the benefit of our client’s heritable interest. VIEWING Viewings strictly by appointment with the sole selling agent. John Morton 0131 226 6287 John.morton@ftlinden.com Angus Thomson 0131 226 6287 Angus.thomson@ftlinden.com",492.0,,EH3 5AL,['https://www.ftlinden.com/wp-content/uploads/2026/01/FH1005-56-ST-STEPHEN-STREET-DES021.pdf'],FT Linden,,,,,,,Freehold,For Sale,2026-02-27,New
https://www.ftlinden.com/properties/58-north-castle-street/,58 North Castle Street,,Office,"['https://www.ftlinden.com/wp-content/uploads/2025/10/IMG_2127-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/IMG_2125-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/IMG_2124-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/IMG_2134-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/IMG_2472-768x1024.jpeg']","Location Edinburgh, a UNESCO world heritage city, and Scotland’s capital city is located approximately 400 miles north of London and 45 miles east of Glasgow. It is a key political, legal and judicial centre and is the second largest financial centre in the UK. The city has a population of approximately 525,000 and a regional catchment of around 1.6 million people. Edinburgh has a diverse economy with more FTSE 100 companies located there than any other city in the UK, outside of London. Edinburgh has a booming tourist industry and has one of the fastest growing airports in the UK. It is Scotland’s largest with over 200 direct routes including North America, Canada, Middle East, China and throughout Europe. More specifically, the property is located on the western side of North Castle Street, in the heart of Edinburgh’s Golden Rectangle. There are an excellent range of nearby occupiers including numerous bars, restaurants and retail. The property is served by excellent public transport options with bus links to all parts of the city in close proximity. Waverley Station and the tram link are also within a short walk. Description 58 North Castle Street comprises a Grade A listed townhouse office arranged over basement, ground and first floor. The property, which retains many original features and is in very good condition benefits from: Category 5 data cabling LED lighting Gas central heating Male / female WCs Tea prep areas Dedicated meeting rooms Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6th Edition) and we estimate the Net Internal Area to be as follows: 147.7 SQ M (1,590 SQ FT) Lease Terms The property is available on full repairing and insuring terms for a minimum of 5 years. Rent Available on Request Rateable Value The rateable value for the subjects is £20,600 per annum, although any ingoing occupier will be entitled to appeal this figure. EPC Can be provided to interested parties. Legal Costs Each party shall be responsible for their own reasonable incurred costs; however, the ingoing party shall be responsible for any registration dues, stamp duty land tax and any other expenses. VAT All prices are quoted exclusive of VAT. General amenities CAT5 Cabling Gas Central Heating Shower WC Facilities",1590.0,,,['https://www.ftlinden.com/wp-content/uploads/2025/10/58-North-Castle-Street.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/6a-randolph-crescent/,6a Randolph Crescent,,Office,"['https://www.ftlinden.com/wp-content/uploads/2025/10/Randolph6-01-1024x683.jpg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/Randolph6-10-1024x683.jpg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/Shower-room-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/PLAN-1024x470.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/10/Randolph6-09-1024x683.jpg']","Location 6 Randolph Crescent is located in the heart of the West End, just off Queensferry Road, within Edinburgh’s historic New Town. The city centre and numerous transport links, to include key bus stops and the ‘West End’ tram halt, are c.6 minutes walk. Haymarket and Waverley train stations are approximately 13 and 20 minutes walk respectively from the property. Description 6A Randolph Crescent comprises the lower ground floor of a mid-terraced, self- contained, Grade A-listed. Accessed via a generous entrance courtyard. At present there is a bar area in one of the rooms which can be removed or left for the benefit of an in going occupier. There is a large kitchen, excellent WC provision and a separate shower. Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extends to approximately: Lower Ground floor; 114.17 SQ M (1,229 SQ FT) Lease Terms Available on flexible terms. Rent Available on request. Rateable Value The subjects currently are split with 2 Rateable Values for different parts of the LG Floor, being as follows: 6A/1: £3,800 6A/2: £7,100 As such an in going occupier may be eligible (subject to status), to benefit from up to 100% Small Business Rates Relief. Legal Costs Each party shall be responsible for their own reasonable incurred costs. VAT All prices premiums etc are quoted exclusive of VAT. General amenities CAT5 Cabling Gas Central Heating LED Lighting Self contained Kitchen Shower WC Facilities",1229.0,,,['https://www.ftlinden.com/wp-content/uploads/2025/10/6a-Randolph-Crescent-DES01.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/8-coates-crescent/,8 Coates Crescent,,Office,"['https://www.ftlinden.com/wp-content/uploads/2025/07/57DA1526-CA13-4210-96BC-A62AD6854587_1_105_c.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/07/PHOTO-2025-06-25-10-35-47-1024x768.jpg', 'https://www.ftlinden.com/wp-content/uploads/2025/07/7402D574-8B76-4F66-AA20-9DB4D1FF0D09_1_105_c.jpeg']","Location Coates Crescent is within a 3 minute walk of Charlotte Square and is in the heart of Edinburgh’s West End. It is also enviably located for access to public transport with the nearest tram directly in front of the property providing regular services to Edinburgh Airport. There are also regular bus services within the immediate vicinity providing access to all parts of the city. Haymarket railway station is a short distance away, linking Edinburgh with local and national rail services. The West End also offers a wide range of shops, bars, boutiques, cafes and restaurants. Description The subjects comprise of 1 large open plan room on the second floor, decorated to a high standard. The space is available furnished or unfurnished on very flexible terms at a ‘all inclusive rental’. This would include: electricity, heating, wifi, cleaning etc. (it will not include rates/water rates). The office also benefits from: Gas fired heating Good natural daylight LED light fittings Kitchen and WC facilities WiFi EPC rating: TBC Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extends to approximately: 54.76 SQ M 590 SQ FT Lease Terms Our clients are seeking to let the space on a flexible licence agreement on an internal repairing basis. Rent The space will be available on an ‘all inclusive rent’. This is available on request. Rateable Value The rateable value for this room is £8,900. As such, subject to status, an occupier would be eligible for 100% Small Business Rates Relief. Legal Costs Each party shall be responsible for their own reasonable incurred costs; however the ingoing party shall be responsible for any registration dues, LBTT and any other expenses. VAT All prices premiums etc are quoted exclusive of VAT. Entry Entry with vacant possession can be given on conclusion of legal formalities. Viewing & Further Information By contacting the sole agents:",590.0,,,['https://www.ftlinden.com/wp-content/uploads/2025/07/8-COATES-CRESCENT-DES02.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/1a-belford-road/,1a Belford Road,,Office,"['https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5965-1-scaled.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5990-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5976-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5968-768x1024.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5979-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2025/02/IMG_5987-1024x768.jpeg']","Location The office at 1A Belford Road is accessed from Belford Road in Edinburgh’s WestEnd. The property is a short walk from Melville Street and Charlotte Square. It is 10 minutes walk from Haymarket railway station and there are many amenities such as restaurants, bars and coffee shops and a gym +pool in very close proximity. Description 1A Belford Road is a self-contained open plan office recently refurbished to a good condition. The specification of this includes: • EPC Rating: E • Cat 5 Cabling • Burglar and Fire Alarms • Door Entry System • Male and Female WC’s • Shower facility • Large kitchen area The subjects are accessed by way of an external stair on Belford Road. It is comprised of two open plan suites which can be let separately or as a whole. Lease Terms Our clients are seeking to let this property in whole or in part on full repair and insuring terms. Rent Available on request. Rateable Value We have been advised by the Local Assessors that the subjects have a current rateable value of: £28,300. As such an ingoing occupier will have an annual rates bill in the region of £14,100 per annum. Legal Costs Each party shall be responsible for their own reasonable incurred costs; however, the ingoing party shall be responsible for any registration dues, land and building transaction tax and any other expenses. VAT All prices premiums etc are quoted exclusive of VAT. Entry Entry with vacant possession can be given immediately on conclusion of legal formalities.",,,,['https://www.ftlinden.com/wp-content/uploads/2025/02/1a-Belford-Road.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/28-stafford-street-2nd-floor/,"28 Stafford Street, 2nd Floor",,Office,"['https://www.ftlinden.com/wp-content/uploads/2024/09/2nd-floor-plan.png', 'https://www.ftlinden.com/wp-content/uploads/2024/09/Room-S2-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2024/09/Room-S1-1024x768.jpeg', 'https://www.ftlinden.com/wp-content/uploads/2024/09/Room-S3-1024x768.jpeg']","LOCATION 28 Stafford Street is located in the West End, just off Melville Street, in the heart of Edinburgh’s traditional commercial business district. The property has excellent access to local amenities and transport links around the City. Haymarket Railway Station is within a short walking distance from the property and there are a large number of bus routes and a Tram Halt departing from the nearby Shandwick Place. DESCRIPTION A bright west facing room on the 2 nd floor of 28 Stafford Street, a mid-terraced Georgian townhouse. The property, which is in very good condition, benefiting from Category 5 data cabling, LED lighting, gas central heating, male/female WCs, Shower facilities and a tea prep area. Parking can also be made available under separate negotiation. ACCOMMODATION The property has been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extends to a net internal area of 51 sq m (548 sq ft). RATEABLE VALUE The subjects have a rateable values of: 2F1: £1,700 2F2: £5,300 As such an ingoing occupier may be eligible for 100% small Business rates relief. Otherwise, the annual rates payable will be in the region of; £3,500per annum. LEASE TERMS The property is available on a licence to occupy. RENTAL Available on request. EPC TBC VAT All prices, rents and outgoings are quoted exclusive of VAT, stamp duty land tax and registration dues General amenities CAT5 Cabling Gas Central Heating Internet LED Lighting Parking WC Facilities",548.0,,,['https://www.ftlinden.com/wp-content/uploads/2024/09/2nd-floor-28-Stafford-Street-DES02-1.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/6736/,Dundee One,,Office,"['http://www.ftlinden.com/wp-content/uploads/2024/03/IMG_19002-1024x768.jpg', 'http://www.ftlinden.com/wp-content/uploads/2024/03/Side-Dundee-One-from-the-Tay-bridge-1024x683.jpg', 'http://www.ftlinden.com/wp-content/uploads/2024/03/Dundee-One-Outside-high-res-1024x1024.jpg', 'http://www.ftlinden.com/wp-content/uploads/2024/03/Dundee-One-Outside-1.jpg', 'http://www.ftlinden.com/wp-content/uploads/2024/03/IMG_18991-1024x768.jpg']","Grade A Office building Prime waterfront location BREEAM energy rating of Excellent Fully DDA Compliant Parking, cycle store and showers available Existing fit out can be made available Location Dundee is Scotland’s fourth largest city with a resident population of around 150,000 people and 500,000 people within the primary catchment area. The city is located on the north bank of the River Tay, approximately 60 miles north of Edinburgh, 65 miles south of Aberdeen, and 80 miles east of Glasgow. Dundee is strategically located with 90% of Scotland’s population within a 60 minute drive time. The city is served by excellent road, rail and air links. With Two universities and the world class Ninewells teaching hospital and two Welcome Research Centres, coupled with a very strong bio-medical and digital arts sector, Dundee is at the forefront of creative industries, research and development. The property is located on Dundee’s hugely successful waterfront and at the heart of the city. The £1 billion transformation has included major projects including the V&A, a new railway station and new hotels. Description The subjects comprise the second-floor southeast suite of Dundee One with commanding views over the city, River Tay and the V&A. The building benefits from the following specification: High quality manned reception desk 2x 12-person passenger lifts Fully DDA Compliant High quality separate male and female toilets and a unisex shower on each floor Raised floors and suspended ceilings LED Lighting CAT5 cabling One car space available Cycle storage Heating and comfort cooling EPC: C Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extends to approximately 2,637 sqft (245 sqm) Lease Terms Our clients are seeking to let this on a minimum 5 year lease. Rent Available on Request Service Charge The property is professionally managed and a service charge will be attributable. More information is available on request. Rateable Value We have been advised by the Local Assessors that the subjects have a current rateable value of £30,400 Legal Costs Each party shall be responsible for their own incurred costs; however, the ingoing party shall be responsible for any registration dues, Land and Buildings Transaction Tax and any other expenses. VAT All prices are quoted exclusive of VAT. Entry Entry with vacant possession can be given immediately on conclusion of legal formalities. General amenities CAT5 Cabling LED Lighting Lift Parking Self contained Kitchen",2637.0,,,['http://www.ftlinden.com/wp-content/uploads/2024/03/Dundee-One-.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/20-harvest-road/,20 Harvest Road,,Office,"['http://www.ftlinden.com/wp-content/uploads/2023/11/Car-Parking.pdf', 'http://www.ftlinden.com/wp-content/uploads/2023/11/1241-GF-AREAS.pdf', 'http://www.ftlinden.com/wp-content/uploads/2023/11/PHOTO-2023-11-28-14-36-09-1.jpg']","Location Harvest Road sits just off the Edinburgh Interchange which links the M8 and M9 motorways with the A8000/A90 providing excellent access to Scotland’s motorway network. Edinburgh City Centre is 8 miles, Edinburgh International Airport 3 miles, Glasgow 35 miles, Stirling 25 miles and Livingston is 7 miles. Description The subjects comprise of ground floor cellular office (which could easily be converted to provide open plan space), within a modern two storey office pavilion. The offices benefit from: Cat 5 cabling Gas fired heating Intruder alarm Good natural daylight Kitchen and WC facilities, Excellent car parking provision Ability for very prominent signage Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extends to approximately: Ground Floor: 326 SQ M 3,511 SQ FT Lease Terms Our clients are seeking to let this property on a full repairing lease for a term to be agreed. Rent Available on request. Rateable Value We have been advised by the Local Assessors that the subjects have a current rateable value of: Ground Floor: £28,700. As such an ingoing occupier would have a rates bill in the region of £14,292.60 per annum. Legal Costs Each party shall be responsible for their own reasonable incurred costs; however the ingoing party shall be responsible for any registration dues, land and buildings transaction tax and any other expenses. VAT All prices premiums etc are quoted exclusive of VAT. Entry Entry with vacant possession can be given immediately on conclusion of legal formalities. General amenities Parking",3511.0,,M8,['http://www.ftlinden.com/wp-content/uploads/2023/11/20-Harvest-Road-DES04.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/the-stack/,The Stack,,Office,"['http://www.ftlinden.com/wp-content/uploads/2023/07/Screenshot-2023-07-13-at-11.28.43-1024x491.png', 'http://www.ftlinden.com/wp-content/uploads/2023/07/2576B955-E42B-4EE8-B57B-B4D51B7556C3_1_105_c.jpeg', 'http://www.ftlinden.com/wp-content/uploads/2023/07/551853B2-BDC7-4185-A91F-C3AC2E37A01F_1_105_c.jpeg', 'http://www.ftlinden.com/wp-content/uploads/2023/07/Screenshot-2023-07-13-at-11.29.12-1024x268.png', 'http://www.ftlinden.com/wp-content/uploads/2023/07/54D7DEAB-95F8-4FD7-BBEA-18CF12F58A14_1_105_c.jpeg']","Location Papermill Wynd runs parallel with McDonald Road, being accessed from Leith Walk, the main arterial route serving the east side of the city centre, approximately half a mile north of Edinburgh city centre. McDonald Road has witnessed development over recent years with a number of new offices and residential accommodation being built in the vicinity. The subjects are a few minutes walk from Leith Walk and Bonnington Road, which has 12 bus routes running past on a regular basis, along with a new tram halt on Leith Walk. Waverley rail station and St Andrews bus station are 15 minutes walk from the subjects and there are a large number of brs/restaurants, fitness and retail facilities in the immediate vicinity. Description The Stack is a four story converted mill building with offices on ground and first floor and there are 24 high-quality residential units on upper floors. The ground floor office suites are owner occupied. The available accommodation is located on the first floor which provides a self-contained open plan office with 3 meeting rooms, benefiting from specification, including the following; A dedicated entrance. Suspended ceiling, incorporating LED light panels. Electric heating Raised access floor DDA complaint Existing fit out with cat 5e cabling Dedicated male and female WC’s Shower facilities 2 clear parking spaces, plus a further 4/5 blocked spaces External bike storage EPC Rating: D Accommodation Accommodation has been measured in accordance with the RICS code of measuring practice (6 th Edition) and provide a net internal area of approximately: 3,964 sq ft (368.2 Sq M) Lease Terms The property is available on a Full Repairing and Insuring Lease for a term to be agreed. Rent Available on request. Rateable Value The current rate of value for the accommodation is £36,600. Which based on the reach poundage for 2022/2023 equates to £18,226 pa. Legal Costs Each party shall be responsible for their own reasonable incurred costs. VAT All prices premiums etc are quoted exclusive of VAT. General amenities CAT5 Cabling Internet LED Lighting Lift Parking Self contained Kitchen WC Facilities",3964.0,,,['http://www.ftlinden.com/wp-content/uploads/2023/07/The-Stack.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
https://www.ftlinden.com/properties/bearford-house-2/,Bearford House,,Office,"['http://www.ftlinden.com/wp-content/uploads/2023/06/Screenshot-2023-06-01-at-13.28.10-1-1024x681.png', 'http://www.ftlinden.com/wp-content/uploads/2023/06/Screenshot-2023-06-01-at-13.28.20.png', 'http://www.ftlinden.com/wp-content/uploads/2023/06/Bearford-House-low-density-space-plan.pdf', 'http://www.ftlinden.com/wp-content/uploads/2023/06/Screenshot-2023-06-01-at-13.28.56-1024x851.png', 'http://www.ftlinden.com/wp-content/uploads/2023/06/Bearford-House-High-Density-space-plan.pdf']","Location The subjects are located on Hanover Street between George and Princes Street. Within a 10 minute walk of the subjects are: Edinburgh Train Station, Princes Street Tram Halt and the Edinburgh Bus station, not to mention numerous bus stops serving Edinburgh’s excellent bus network. The subjects are also ideally situated with all the benefits of a city centre location such as; hotels, bars, restaurants, gyms, parks etc. Description The subjects comprise of first floor open plan office accessed from a shared stairway with a door entry system. The offices benefit from: Fast internet speed Gas heating Air conditioning Good natural daylight and LG7 and LED lighting Kitchen and WC facilities Shower facilities EPC: E+ Common parts undergoing extensive refurbishment Accommodation The subjects have been measured in accordance with the RICS Code of Measuring Practice (6 th Edition) and extend to approximately: First Floor: 123 SQ M 1,324 SQ FT Lease Terms Available on a new Full Repairing and Insuring Lease. Rent On request. Rateable Value We have been advised by the Local Assessors that the subjects have a current rateable value of: £26,600. This provides an annual rates bill in the region of £13,246. Legal Costs Each party shall be responsible for their own reasonable incurred costs; however the ingoing party shall be responsible for any registration dues, stamp duty land tax and any other expenses. VAT The property is not VAT elected as such VAT will not be chargeable on the rent. Entry Entry with vacant possession can be given on conclusion of legal formalities. General amenities Gas Central Heating Internet LED Lighting Lift Self contained Kitchen WC Facilities",1324.0,,LG7,['http://www.ftlinden.com/wp-content/uploads/2023/06/Bearford-House-1st-floor.pdf'],FT Linden,,,,,,,,To Let,2026-02-27,New
