listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.dalkinandco.com/shops/clack.pdf,"Alloa, Clackmannan Rd",,,[],Alloa Clackmannan Rd,,,,['https://www.dalkinandco.com/shops/clack.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/betting.pdf,"3 x Betting Shps Portfolio, Arbroath, Forfar, Glasgow",,,[],"3 x Betting Shps Portfolio Arbroath, Forfar, Glasgow",,,,['https://www.dalkinandco.com/shops/betting.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/bellshill.pdf,"Bellshill, Old Edinburgh Rd",,,[],Bellshill Old Edinburgh Rd LET,,,,['https://www.dalkinandco.com/shops/bellshill.pdf'],Dalkin and Co,,,,,,,,To Let,2026-02-24,New
https://www.dalkinandco.com/shop.html,"Blantyre, Glasgow Rd/Forrest St",,,[],Blantyre Glasgow Rd/Forrest St POSSIBLE DRIVE THRU OPPORTUNITY – DETAILS ON REQUEST,,,,[],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/carbeth1.pdf,"Carbeth, Glamping Opportunity",,,[],Carbeth Glamping Opportunity,,,,['https://www.dalkinandco.com/shops/carbeth1.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/cowdenbeath.pdf,"Cowdenbeath, 407 High St",,,[],Cowdenbeath 407 High St,,,,['https://www.dalkinandco.com/shops/cowdenbeath.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/elderslie.pdf,"Elderslie, 238 Main Rd",,,[],Elderslie 238 Main Rd LET,,,,['https://www.dalkinandco.com/shops/elderslie.pdf'],Dalkin and Co,,,,,,,,To Let,2026-02-24,New
https://www.dalkinandco.com/shops/firsst.pdf,"Falkirk, Firs St",,,[],Falkirk Firs St,,,,['https://www.dalkinandco.com/shops/firsst.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/aitkenhead.pdf,Glasgow,,,[],Glasgow 400 Aikenhead Rd,,,,['https://www.dalkinandco.com/shops/aitkenhead.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/bath.pdf,Glasgow,,,[],Glasgow 13 Bath St,,,,['https://www.dalkinandco.com/shops/bath.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/59bath.pdf,Glasgow,,,[],"Glasgow Connect building, 59 Bath St",,,,['https://www.dalkinandco.com/shops/59bath.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/159bath.pdf,Glasgow,,,[],Glasgow 159 Bath St,,,,['https://www.dalkinandco.com/shops/159bath.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
https://www.dalkinandco.com/shops/burnfield.pdf,"Glasgow, Burnfield Rd, Giffnock",,,[],"Glasgow Burnfield Rd, Giffnock",,,,['https://www.dalkinandco.com/shops/burnfield.pdf'],Dalkin and Co,,,,,,,,,2026-02-24,New
