listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://exigenproperty.co.uk/property/10-wentworth-street-london-e1-7tf/,"10 Wentworth Street, London, E1 7TF",,,"['https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture5-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture1-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture2-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture3-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture4-1.jpg']","The premises comprises a ground floor and basement retail unit. The property frontage comprises aluminium framed glass windows and a glass door with signage above. Internally the ground floor is an open shop floor, and the basement is separated into storage and WC facilities. The property is located on Wentworth Street, East London. Wentworth Street is a busy commercial road, adjoining the busy Commercial Street. The street is home to Petticoat Lane Market. The property is in walking distance from Aldgate East, Aldgate and Liverpool Street Stations. Additionally, several bus routes serve the local area.",404.0,,E1 7TF,['https://exigenproperty.co.uk/wp-content/uploads/2026/01/10-Wentworth-Street-Brochure.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/546-barking-road-london-e13-9ju/,E13 9JU,3000000,,"['https://exigenproperty.co.uk/wp-content/uploads/2026/01/floorplan.png', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture3.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture4.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture5.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2026/01/Picture6.jpg']","The property is situated on a busy junction at the intersection of the A112 and the A124, sitting on a prominent corner fronting onto both Barking Road and Prince Regent Lane. The property is in walking distance of Plaistow and Canning Town underground station. The property is also served by several bus routes. The current accommodation comprises a four-storey mixed use block with a basement. The Ground floor and basement is currently occupied by Done Brothers as a Betfred. The first, second and third floor comprise eight fully let, well fitted flats. ■ A prime East London mixed-use investment. ■ Offers in the region of £3,000,000 ■ Ground floor and basement is currently tenanted by a Betfred. ■ Eight tenanted flats situated on the upper levels. All flats are in good condition and benefit from a modern fit out. ■ Annual income circa £235,000. ■ The ground floor commercial unit is Use Class Sui Generis. ■ The property is a former public house with attractive Victorian construction across the ground, first and second floors. ■ The roof is currently utilised as an income generating telephone mast installation. ■ VAT is currently charged on the commercial unit and the telephone mast.",,,E13 9JU,['https://exigenproperty.co.uk/wp-content/uploads/2026/01/546-Barking-Road-Sale-Particulars-2026.pdf'],Exigen Property,,,,,,,,For Sale,2026-02-26,New
https://exigenproperty.co.uk/property/260-langham-road-tottenham-n15-3np/,"Langham Road, London N15 3NP, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture4-2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture1-2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture2-2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture5-2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture3-3.jpg']","The ground floor benefits from a large aluminium framed glass frontage, full length security shuttering, a shop canopy and shop signage. It is separated into a main shop floor with WC facilities and a smaller space with a kitchenette to the rear of the premises. The first floor is split into two office rooms, a storage room, a kitchenette and WC facilities. The property is located on Langham Road, within the ‘Turnpike Lane Triangle’ site, earmarked for comprehensive redevelopment creating a mix of commercial and residential uses. The property has excellent transport links, located opposite Turnpike Lane station and in close proximity to Wood Green station. It also benefits from multiple bus routes.",1110.0,,N15 3NP,['https://exigenproperty.co.uk/wp-content/uploads/2025/11/260-Langham-Road-Brochure.pdf'],Exigen Property,,,,,,,,,2026-02-26,New
https://exigenproperty.co.uk/property/26-28-brick-lane-london-e1-6pu/,"Brick Lane, London E1 6PU, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture5-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture1-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture2-1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture3-2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture4-1.jpg']","The property frontage comprises two glass double door and large aluminum framed windows with signage above. It also benefits from internal security shutters. Internally the property is an undivided open shop floor with a WC in the center. The rear of the property is an open space with storage and a second WC. The premises are located along Brick Lane, a close distance from Aldgate East Underground Station. Brick Lane is a busy throughfare lined with commercial and residential properties. Brick Lane is a popular attraction due to its trendiness and diverse mix of commercial uses. The surrounding area is served by several bus routes.",1582.0,,E1 6PU,['https://exigenproperty.co.uk/wp-content/uploads/2025/11/26-28-Brick-Lane-Brochure-1.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/23-25-brick-lane-london-e1-6pu/,"Brick Lane, London E1 6PU, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture3.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture4.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/11/Picture5.jpg']","Internally the property is fit out as a police station as per its previous use. It is separated into several rooms including meeting rooms, toilet facilities and a kitchenette. The premises are located along Brick Lane, a close distance from Aldgate East Underground Station. Brick Lane is a busy throughfare lined with commercial and residential properties. Brick Lane is a popular attraction due to its trendiness and diverse mix of commercial uses. The surrounding area is served by several bus routes.",1455.0,,E1 6PU,['https://exigenproperty.co.uk/wp-content/uploads/2025/11/23-25-Brick-Lane-Brochure-1.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/15-chandler-street-london-e1w-2ql/,"Chandler Street, London E1W 2QL, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture8.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture1.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture2.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture3.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture4.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture5.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture6.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/10/Picture7.jpg']","The premises are located on the corner of Chandler Street and Meeting House Alley, a close distance from Wapping Overground station. Wapping is pleasant residential area with plenty of green space and local amenities. The property also benefits from two bus routes. We understand that the property has Class E consent. Prospective tenants should make their own enquiries with the local planning authority.",4871.0,,E1W 2QL,['https://exigenproperty.co.uk/wp-content/uploads/2025/10/15-Chandler-Street-Brochure-1.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/unit-3-stroudley-walk-bow-london-e3/,"Stroudley Walk, London E3 3EW, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-7.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-5.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-4.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-3.png']","– A brand-new development in an opportunistic area. – Located in close proximity to Bow Road, Bow Church and Bromley-by-Bow stations. – The property has Use Class E consent. – Property to be let in shell condition. – Completion set for November 2025. The properties are situated within the new development on Stroudley Walk, just off Bromley High Street and the A11. They benefit from excellent transport links being located in close proximity to Bow Church, Bromley By-Bow and Devons Road stations. Several bus routes run along the A11. Stroudley Walk is situated alongside Fairlie Court, a well-used established parade with good footfall.",667.0,,E3 3EW,['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Stroudley-Walk-Particulars-2025-2.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/unit-2-stroudley-walk-bow-london-e3/,"Stroudley Walk, London E3 3EW, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-3.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-5.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-4.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-7.png']","– A brand-new development in an opportunistic area. – Located in close proximity to Bow Road, Bow Church and Bromley-by-Bow stations. – The property has Use Class E consent. – Property to be let in shell condition. – Completion set for November 2025. The properties are situated within the new development on Stroudley Walk, just off Bromley High Street and the A11. They benefit from excellent transport links being located in close proximity to Bow Church, Bromley By-Bow and Devons Road stations. Several bus routes run along the A11. Stroudley Walk is situated alongside Fairlie Court, a well-used established parade with good footfall.",1020.0,,E3 3EW,['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Stroudley-Walk-Particulars-2025-1.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/unit-1-stroudley-walk-bow-london-e3/,"Stroudley Walk, London E3 3EW, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-7.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-5.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-4.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/07/Capture-3.png']","– A brand-new development in an opportunistic area. – Located in close proximity to Bow Road, Bow Church and Bromley-by-Bow stations. – The property has Use Class E consent. – Property to be let in shell condition. – Completion set for November 2025. The properties are situated within the new development on Stroudley Walk, just off Bromley High Street and the A11. They benefit from excellent transport links being located in close proximity to Bow Church, Bromley By-Bow and Devons Road stations. Several bus routes run along the A11. Stroudley Walk is situated alongside Fairlie Court, a well-used established parade with good footfall.",1584.0,,E3 3EW,['https://exigenproperty.co.uk/wp-content/uploads/2025/07/Stroudley-Walk-Particulars-2025.pdf'],Exigen Property,,,,,,,,To Let,2026-02-26,New
https://exigenproperty.co.uk/property/class-e-units-to-let-brayford-square/,"Brayford Square, London E1 0SG, UK",,,"['https://exigenproperty.co.uk/wp-content/uploads/2025/06/Capture-2-2.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Unit-2-1-re-size.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Unit-2-4.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Unit-3a-5.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Unit-3a-1-scaled.jpg', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Capture-3.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Capture-2-1.png', 'https://exigenproperty.co.uk/wp-content/uploads/2025/06/Capture-4.png']","Four ground floor lock up retail units that vary in size. All units benefit from full length security shutters across the shop frontage. The properties are separated into a main sales floor, with toilets and storage towards the rear of the properties. Units 3a and 3b are in a good and usable condition. Units 2 and 4 require refurbishment. The properties are situated in the Brayford Square shopping precinct. The surrounding area is a retail area with similar units. The properties benefit from excellent road, bus, and overground train links. The properties are within walking distance of multiple local bus stops and Shadwell DLR station. They are surrounded by residential blocks. We understand that the units have Class E consent. Prospective tenants should make their own enquiries with the local planning authority.",,,E1 0SG,['https://exigenproperty.co.uk/wp-content/uploads/2025/06/Brayford-Square-Brochure-2025-1.pdf'],Exigen Property,,,,,,,,,2026-02-26,New
