listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.daboraconway.com/property-details/29983508/greater-london/-/london,,550000,Terraced House,"['https://www.daboraconway.com/resize/29983508/0/850.pagespeed.ce.VLfNszkgUu.jpg', 'https://www.daboraconway.com/resize/29983508/1/850.pagespeed.ce.Nscxq5sz3o.jpg', 'https://www.daboraconway.com/resize/29983508/2/850.pagespeed.ce.kOdbPSAtWI.jpg', 'https://www.daboraconway.com/resize/29983508/3/850.pagespeed.ce.t24LZ1_TA3.jpg', 'https://www.daboraconway.com/resize/29983508/4/850.pagespeed.ce.GA4znF8M_m.jpg', 'https://www.daboraconway.com/resize/29983508/5/850.pagespeed.ce.ZkySlVk39y.jpg', 'https://www.daboraconway.com/resize/29983508/6/850.pagespeed.ce.MzkruoPbU8.jpg', 'https://www.daboraconway.com/resize/29983508/7/850.pagespeed.ce.Zgy3jnnSdP.jpg', 'https://www.daboraconway.com/resize/29983508/8/850.pagespeed.ce.ij93VS6Ur4.jpg', 'https://www.daboraconway.com/resize/29983508/9/850.pagespeed.ce.77gNL2Pi3l.jpg', 'https://www.daboraconway.com/resize/29983508/10/850.pagespeed.ce.fRz1orJrik.jpg', 'https://www.daboraconway.com/resize/29983508/11/850.pagespeed.ce.jI7A0H6V5O.jpg', 'https://www.daboraconway.com/resize/29983508/12/850.pagespeed.ce.ubn5k7VGR9.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","This two bedroom Victorian terraced house is located close to Wanstead Flats and benefits from having a through lounge, extended kitchen, gas central heating and large first floor bathroom. Forest Gate Elizabeth Line Station is under a mile from the property and is offered CHAIN FREE VICTORIAN TERRACED HOUSE - CHAIN FREE TWO BEDROOM THROUGH LOUNGE EXTENDED KITCHEN GAS CENTRAL HEATING LARGE FIRST FLOOR BATHROOM COUNCIL TAX - D ENERGY PERFORMANCE RATING - D",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29963748/greater-london/chingford/kings-head-hill,,95000,Retirement Property,"['https://www.daboraconway.com/resize/29963748/0/850.pagespeed.ce.Bui8oHU4Lv.jpg', 'https://www.daboraconway.com/resize/29963748/1/850.pagespeed.ce.maSdGlhpPP.jpg', 'https://www.daboraconway.com/resize/29963748/2/850.pagespeed.ce.F3gp1aXMuN.jpg', 'https://www.daboraconway.com/resize/29963748/3/850.pagespeed.ce.65ERdZ60QY.jpg', 'https://www.daboraconway.com/resize/29963748/4/850.pagespeed.ce.ycnJj5amJ3.jpg', 'https://www.daboraconway.com/resize/29963748/5/850.pagespeed.ce.jD6O0vpvl-.jpg', 'https://www.daboraconway.com/resize/29963748/6/850.pagespeed.ce.ySljPWzLuN.jpg', 'https://www.daboraconway.com/resize/29963748/7/850.pagespeed.ce.yTkiNfB6Dw.jpg', 'https://www.daboraconway.com/resize/29963748/8/850.pagespeed.ce.z0TAGjZ6YB.jpg', 'https://www.daboraconway.com/resize/29963748/9/850.pagespeed.ce.NG7HFJ28Oi.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","One bedroom RETIREMENT APARTMENT offering independent living for the over 60`s. The property is situated on the raised ground floor of this popular development and benefits from a bright living room leading to the fitted kitchen, one double bedroom with fitted wardrobe and a modern shower room. There is direct access from the living room to the well maintained communal gardens and has a small private patio area. Homebush House is situated on Kings Head Hill close to local shops, Epping Forest and amenities with a bus stop outside the development which also benefits from lift access, on-site House Manager, communal lounge, communal parking and laundry room. DIRECT ACCESS TO COMMUNAL GARDENS OVER 60’s LIVING ONE BEDROOM MODERN NEUTRAL DÉCOR RAISED GROUND FLOOR COMMUNAL PARKING COUNCIL TAX BAND B ENERGY PRFORMANCE RATING C",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29919277/greater-london/leyton/lea-bridge-road-1,,350000,Ground Floor Flat,"['https://www.daboraconway.com/resize/29919277/0/850.pagespeed.ce.AE7CON9PSp.jpg', 'https://www.daboraconway.com/resize/29919277/1/850.pagespeed.ce.jrS3p-qUYK.jpg', 'https://www.daboraconway.com/resize/29919277/2/850.pagespeed.ce.0PhVG42xmf.jpg', 'https://www.daboraconway.com/resize/29919277/3/850.pagespeed.ce.zzyeqtpSys.jpg', 'https://www.daboraconway.com/resize/29919277/4/850.pagespeed.ce.lke4Fe85lD.jpg', 'https://www.daboraconway.com/resize/29919277/5/850.pagespeed.ce.qW9e27Eg02.jpg', 'https://www.daboraconway.com/resize/29919277/6/850.pagespeed.ce.vKhJReRjMV.jpg', 'https://www.daboraconway.com/resize/29919277/7/850.pagespeed.ce.eqAMPqat-g.jpg', 'https://www.daboraconway.com/resize/29919277/8/850.pagespeed.ce.DRW4aDGwAI.jpg', 'https://www.daboraconway.com/resize/29919277/9/850.pagespeed.ce.fpmS0RA8KD.jpg', 'https://www.daboraconway.com/resize/29919277/10/850.pagespeed.ce._83KXjqymo.jpg', 'https://www.daboraconway.com/resize/29919277/11/850.pagespeed.ce.DDPzotRD85.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","This two bedroom ground floor period property benefits from having it's own entrance and private rear garden. Lea Bridge Greater Anglia station is located 0.2 mile from the property. There is a reception, separate kitchen, family bathroom, two bedrooms. Benefits include double glazing throughout and gas central heating. The property is being offered CHAIN FREE. 999 years from 25th December 1950 (924 year lease). The service charge is nil. The ground rent is £15 per annum. Energy Performance Rating - C Council Tax Band - B",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29727709/greater-london/leyton/morieux-road,,350000,Flat,"['https://www.daboraconway.com/resize/29727709/0/850.pagespeed.ce.pFqTVCawJs.jpg', 'https://www.daboraconway.com/resize/29727709/1/850.pagespeed.ce.13FHbvtCux.jpg', 'https://www.daboraconway.com/resize/29727709/2/850.pagespeed.ce.oFKZhmELnE.jpg', 'https://www.daboraconway.com/resize/29727709/3/850.pagespeed.ce.6qhy042oFi.jpg', 'https://www.daboraconway.com/resize/29727709/4/850.pagespeed.ce.6e7qxU_3QQ.jpg', 'https://www.daboraconway.com/resize/29727709/5/850.pagespeed.ce.lWc-T_6b35.jpg', 'https://www.daboraconway.com/resize/29727709/6/850.pagespeed.ce.Q0Sk8Glh1F.jpg', 'https://www.daboraconway.com/resize/29727709/7/850.pagespeed.ce.Y7DdP9DoGd.jpg', 'https://www.daboraconway.com/resize/29727709/8/850.pagespeed.ce.tvYhLzAiQP.jpg', 'https://www.daboraconway.com/resize/29727709/9/850.pagespeed.ce.psKHdSR78E.jpg', 'https://www.daboraconway.com/resize/29727709/10/850.pagespeed.ce.oywPnkSwFM.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","Spacious two bedroom first floor Warner flat situated within a popular residential area close to the many amenities of Lea Bridge Road. Lea Bridge Greater Anglia station is located 0.4 mile from the property. The property features a large living room, separate fitted kitchen, one double bedroom, one good size single bedroom, modern fitted bathroom, private front entrance and direct access to own garden area. Other benefits include double glazing and gas central heating. The property is being offered CHAIN FREE. 125 years from 24 June 1984 (84 year lease). The service charge is nil. The ground rent is £25. Energy Performance Rating - C Council Tax Band - B",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29498473/greater-london/enfield/lee-view,,525000,End of Terrace House,"['https://www.daboraconway.com/resize/29498473/0/850.pagespeed.ce.YxplFFjBm8.jpg', 'https://www.daboraconway.com/resize/29498473/1/850.pagespeed.ce.I8XJHJd3BU.jpg', 'https://www.daboraconway.com/resize/29498473/2/850.pagespeed.ce.eNi9BxDr18.jpg', 'https://www.daboraconway.com/resize/29498473/3/850.pagespeed.ce.dw7gV9VYtx.jpg', 'https://www.daboraconway.com/resize/29498473/4/850.pagespeed.ce.Xhuro8UXBH.jpg', 'https://www.daboraconway.com/resize/29498473/5/850.pagespeed.ce.4FrkkiLEwW.jpg', 'https://www.daboraconway.com/resize/29498473/6/850.pagespeed.ce.TUlKJnsX20.jpg', 'https://www.daboraconway.com/resize/29498473/7/850.pagespeed.ce.Y6GljV9yU9.jpg', 'https://www.daboraconway.com/resize/29498473/8/850.pagespeed.ce.baai5awqkv.jpg', 'https://www.daboraconway.com/resize/29498473/9/850.pagespeed.ce.wWhHEeltXr.jpg', 'https://www.daboraconway.com/resize/29498473/10/850.pagespeed.ce.OpjyMEjc6t.jpg', 'https://www.daboraconway.com/resize/29498473/11/850.pagespeed.ce.oSaXSVhaTZ.jpg', 'https://www.daboraconway.com/resize/29498473/12/850.pagespeed.ce.5bbijM1OnB.jpg', 'https://www.daboraconway.com/resize/29498473/13/850.pagespeed.ce.6oho33BBFU.jpg', 'https://www.daboraconway.com/resize/29498473/14/850.pagespeed.ce.bgfdBWSIH-.jpg', 'https://www.daboraconway.com/resize/29498473/15/850.pagespeed.ce.uV9o28lN-I.jpg', 'https://www.daboraconway.com/resize/29498473/16/850.pagespeed.ce.cXfvKGCjfC.jpg', 'https://www.daboraconway.com/resize/29498473/17/850.pagespeed.ce.ptnbHqyKOs.jpg', 'https://www.daboraconway.com/resize/29498473/18/850.pagespeed.ce.EtoPv_W2aS.jpg', 'https://www.daboraconway.com/resize/29498473/19/850.pagespeed.ce._Z0S8LDVqQ.jpg', 'https://www.daboraconway.com/resize/29498473/20/850.pagespeed.ce.pjKO1jj7RJ.jpg', 'https://www.daboraconway.com/resize/29498473/21/850.pagespeed.ce.YeYjxHj8lv.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","This three bedroom, end of terrace, family home with detached garage, overlooking green, is located within 0.2 miles from Gordon Hill Great Northern Rail station, providing city access. Also offering convenient access to the A10, M25 and A406. On the ground floor is the living room, kitchen and WC. The first floor has three bedrooms, with both double rooms having built in wardrobes and the family bathroom. Additional benefits of this property are the private garden patio, to the side are three external storage spaces and detached garage (off-street parking). There is also the potential for a loft conversion SPP. The property is being offered chain free. Energy Performance Rating - D Council Tax Band - D",107.639,,A10,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29450960/greater-london/leyton/st-heliers-road,,330000,Flat,"['https://www.daboraconway.com/resize/29450960/0/850.pagespeed.ce.WVTc9hOqzD.jpg', 'https://www.daboraconway.com/resize/29450960/1/850.pagespeed.ce.arjv9v4Dws.jpg', 'https://www.daboraconway.com/resize/29450960/2/850.pagespeed.ce.fbsjdnrrTo.jpg', 'https://www.daboraconway.com/resize/29450960/3/850.pagespeed.ce.VqmHxt0pvM.jpg', 'https://www.daboraconway.com/resize/29450960/4/850.pagespeed.ce.3M6AcIC5gG.jpg', 'https://www.daboraconway.com/resize/29450960/5/850.pagespeed.ce.rVQ3VG1epJ.jpg', 'https://www.daboraconway.com/resize/29450960/6/850.pagespeed.ce.ax1W3UnS9L.jpg', 'https://www.daboraconway.com/resize/29450960/7/850.pagespeed.ce.7-w_xt175m.jpg', 'https://www.daboraconway.com/resize/29450960/8/850.pagespeed.ce.knQmE3XtvV.jpg', 'https://www.daboraconway.com/resize/29450960/9/850.pagespeed.ce.ahcp2rqlJL.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","Split level, two bedroom flat located on the first and second floor, within a mile of Walthamstow Central Station, easily accessible via frequent bus routes. On the first floor is the separate kitchen, family bathroom, living room and a bedroom. With the other bedroom on the second floor and loft storage. The property benefits from gas central heating and is double-glazed throughout. 999 years on the lease from 1st January 1982. There is no service charge nor ground rent. The property comes with a share of freehold and is offered chain free. Energy Performance Rating - D Council Tax Band - B",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,Freehold,For Sale,2026-02-24,New
https://www.daboraconway.com/property-details/29984555/greater-london/-/valley-court-cavendish-avenue,,1650,Flat,"['https://www.daboraconway.com/resize/29984555/0/850.pagespeed.ce.LEmoF-_s7l.jpg', 'https://www.daboraconway.com/resize/29984555/1/850.pagespeed.ce.Rpo69JrPQm.jpg', 'https://www.daboraconway.com/resize/29984555/2/850.pagespeed.ce.pOzO3wUmnP.jpg', 'https://www.daboraconway.com/resize/29984555/3/850.pagespeed.ce.y5YorgzBsk.jpg', 'https://www.daboraconway.com/resize/29984555/4/850.pagespeed.ce.asneWTYW3j.jpg', 'https://www.daboraconway.com/resize/29984555/5/850.pagespeed.ce.I8rPZrND5R.jpg', 'https://www.daboraconway.com/resize/29984555/6/850.pagespeed.ce.OuZ6ZTTpWI.jpg', 'https://www.daboraconway.com/resize/29984555/7/850.pagespeed.ce.k7m0mKmRvR.jpg', 'https://www.daboraconway.com/resize/29984555/8/850.pagespeed.ce.3V9lu-HtWw.jpg', 'https://www.daboraconway.com/resize/29984555/9/850.pagespeed.ce.joS9C7_GNa.jpg', 'https://www.daboraconway.com/resize/29984555/10/850.pagespeed.ce.wZ1mAbz_7c.jpg', 'https://www.daboraconway.com/resize/29984555/11/850.pagespeed.ce.W_9_apewQ0.jpg', 'https://www.daboraconway.com/resize/29984555/12/850.pagespeed.ce.7nu3F72xpy.jpg', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","This two bedroom ground floor purpose built flat is situated in a popular residential area within walking distance of Woodford Central Line station. The property features two good size bedrooms, living room, separate modern fitted kitchen, bathroom, double glazing, gas central heating and residents off street parking. The GROUND FLOOR FLAT Available now. Unfurnished. ENERGY PERFORMANCE RATING - C COUNCIL TAX BAND - C",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,To Let,2026-02-24,New
https://www.daboraconway.com/property-details/29905925/greater-london/clapton/riverside-close,,1900,Flat,"['https://www.daboraconway.com/resize/29905925/0/850.pagespeed.ce.Pk2IID4MG2.jpg', 'https://www.daboraconway.com/resize/29905925/1/850.pagespeed.ce.vGHhF5KbtR.jpg', 'https://www.daboraconway.com/resize/29905925/2/850.pagespeed.ce.EpiyxSjpdi.jpg', 'https://www.daboraconway.com/resize/29905925/3/850', 'https://www.daboraconway.com/resize/29905925/4/850', 'https://www.daboraconway.com/resize/29905925/5/850', 'https://www.daboraconway.com/resize/29905925/6/850', 'https://www.daboraconway.com/resize/29905925/7/850', 'https://www.daboraconway.com/resize/29905925/8/850', 'https://www.daboraconway.com/resize/29905925/9/850', 'https://www.daboraconway.com/resize/29905925/10/850', 'https://www.daboraconway.com/resize/29905925/11/850', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","Newly decorated and carpeted throughout is this purpose-built two bedroom flat located along the River Lea. Situated under half a mile from Clapton Weaver Line station (London Overground) and a mile from Lea Bridge Greater Anglia station. The accommodation offers an open-plan living space with a fitted kitchen, a bathroom with a shower over the bath, storage cupboard within the hallway, double bedroom and single bedroom both with a built-in wardrobes. The property further benefits from access to the communal gardens and an allocated parking space. Available Now. Unfurnished. Energy Performance Rating - B Council Tax Band - C",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,To Let,2026-02-24,New
https://www.daboraconway.com/property-details/29838159/greater-london/barking/sutton-road,,1700,Terraced House,"['https://www.daboraconway.com/resize/29838159/0/850', 'https://www.daboraconway.com/resize/29838159/1/850', 'https://www.daboraconway.com/resize/29838159/2/850', 'https://www.daboraconway.com/resize/29838159/3/850', 'https://www.daboraconway.com/resize/29838159/4/850', 'https://www.daboraconway.com/resize/29838159/5/850', 'https://www.daboraconway.com/resize/29838159/6/850', 'https://www.daboraconway.com/resize/29838159/7/850', 'https://www.daboraconway.com/resize/29838159/8/850', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","DABORACONWAY are delighted to offer this newly refurbished mid terraced family home located close to Barking and Upney Stations. The property boasts a spacious reception room, modern kitchen with access to the rear garden, ground floor shower room, two double bedrooms and a first floor WC. Additional features include double glazing, gas central heating and a brick built outbuilding to the rear of the garden. The house has been recently refurbished benefitting from a Newly fitted shower room, new flooring and redecoration throughout. Available now. Unfurnished. Energy Performance Rating - D Council Tax Band - C",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,To Let,2026-02-24,New
https://www.daboraconway.com/property-details/29760745/greater-london/stratford/flint-close,,2100,Apartment,"['https://www.daboraconway.com/resize/29760745/0/850.pagespeed.ce.lBuHjxRGQJ.jpg', 'https://www.daboraconway.com/resize/29760745/1/850.pagespeed.ce.u244vwZq0R.jpg', 'https://www.daboraconway.com/resize/29760745/2/850.pagespeed.ce.XxBYz-sayR.jpg', 'https://www.daboraconway.com/resize/29760745/3/850.pagespeed.ce.-SIIHuHiYH.jpg', 'https://www.daboraconway.com/resize/29760745/4/850', 'https://www.daboraconway.com/resize/29760745/5/850', 'https://www.daboraconway.com/resize/29760745/6/850', 'https://www.daboraconway.com/resize/29760745/7/850', 'https://www.daboraconway.com/resize/29760745/8/850', 'https://www.daboraconway.com/resize/29760745/9/850', 'https://www.daboraconway.com/resize/29760745/10/850', 'https://www.daboraconway.com/resize/29760745/11/850', 'https://www.daboraconway.com/resize/29760745/12/850', 'https://www.daboraconway.com/resize/29760745/13/850', 'https://www.daboraconway.com/resize/29760745/14/850', 'https://www.daboraconway.com/resize/29760745/15/850', 'https://www.daboraconway.com/images/prev-icon-white.svg', 'https://www.daboraconway.com/images/next-icon-white.svg']","Two bedroom, two bathroom, high-specification and modern, ground floor apartment located under half a mile from Maryland Elizabeth Line station and also under a mile away from the heart of Stratford. Master bedroom with en-suite shower and built-in wardrobe, second bedroom with built-in wardrobe, modern fitted kitchen leading into the living room with patio terrace, also accessible from both bedrooms. The property also benefits from two secure allocated parking spaces, phone entry, concierge service and an on-site gym within the gated development. Available Now. Unfurnished. Energy Performance Rating - C Council Tax Band - C",,,,['https://www.daboraconway.com/xml/cache/modules/cmp/certificate.pdf?v=3404423808'],Dabora Conway,,,,020 8989 1234,,,,To Let,2026-02-24,New
