listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.ridleythaw.co.uk/properties/queens-court-manchester/,"Queens Court, Queen Street, Manchester, M2 5HX",,Office,[],"Rare Freehold Office Opportunity in Manchester City Centre ideal for Investors and Owner-Occupiers Recently refurbished and excellently positioned building benefitting from the successful redevelopment of Lincoln Square into a vibrant public open space with new Grade A offices at 125 Deansgate, The Lincoln and St. Michael’s Manchester has established itself as the economic and cultural capital of the north Good quality office accommodation across Ground to 4th floor with 6 demised car parking spaces Total floor area of 11,948 sq ft NIA Let to Manchester Credit Union Limited across the ground & 1st floor and Sellick Partnership Group Limited across the 2nd, 3rd and 4th. Manchester Credit Union are in occupation until 15/06/2028. Sellick Partnership Group are in occupation until 05/12/2025. Total topped up rental income of £228,575 per annum (c. £20.18 psf) Freehold In accordance with Anti-Money Laundering Regulations, two forms of identification and confirmation of the source of funding will be required from the successful purchaser.",11948.0,,M2 5HX,['https://www.ridleythaw.co.uk/wp-content/uploads/2022/08/Queens-Court-Brochure-Sept-25.pdf'],Ridley Thaw,,,,0161 669 4000,,,Freehold,To Let,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/priestley-point-worsley/,"Priestley Point, Wardley Industrial Estate, Manchester",,Office,[],"The Estate consists of 8 high quality industrial units, constructed in 2020. The units are of a high quality specification which includes the following features: • Steel Portal Frame • Electric Roller Shutters • Ground Floor and First Floor Offices • 3 Phase Electricity The 8 units are of identical accommodation, including ground and first floor ancillary space, featuring a kitchen and breakout space, as well as disabled spec W/C. Unit 4 comprises 1,907 sq.ft with the following layout: Warehouse 1,323 sq.ft Office (Ground) 292 sq.ft Office (First) 292 sq.ft TOTAL 1,907 sq.ft",1907.0,,,['https://www.ridleythaw.co.uk/wp-content/uploads/2023/01/Unit-2-PP-Brochure.pdf'],Ridley Thaw,,,,,,,,,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/3b-south-park-way-wakefield/,"3B South Park Way, Wakefield 41 Business Park, Wakefield",,Office,[],"A substantial redevelopment opportunity comprising approximately 1 acre (0.4 hectares). The office building currently on the site is situated in a predominantly industrial area and therefore holds potential for a wide variety of opportunities and/or development of the wider site, subject to consents. The site is located within the established Wakefield 41 Business Park which benefits from easy access to Junction 41 of the M1 motorway. The property is approximately 1.5 miles to the north of Wakefield City Centre and 10 miles south of Leeds.",,1.0,,['https://www.ridleythaw.co.uk/wp-content/uploads/2025/06/Brochure.pdf'],Ridley Thaw,,,,0161 669 4000,,,,For Sale,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/stocks-industrial-estate-eccles/,"Stocks Industrial Estate, Legh Street, Eccles, M30 0UT",,Industrial,[],"Stocks Industrial Estate consists of a series of adjoining buildings of varying periods of constriction The buildings comprise a mixture of traditional brick built industrial units, and more latterly constructed steel portal frame units with blockwork infills and profile metal cladding thereto. Stocks Industrial Estate is located on Spencer Street, just off Liverpool Road in Eccles. Eccles is approximately 5 miles West of Manchester City Centre and benefits from easy access to the M 60 and M 62 motorway networks Eccles also benefits from close proximity to Trafford Park, Manchester’s primary industrial, storage and distribution district. Unit 4 – 7,457 sq.ft",4.0,,M30 0UT,['https://www.ridleythaw.co.uk/wp-content/uploads/2022/09/Brochure-Unit-3-Stocks-Industrial-Estate-3.pdf'],Ridley Thaw,,,,0161 669 4000,,,,,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/22-sunderland-street-macclesfield/,"22 Sunderland Street, Macclesfield, SK11 6UH",,Office,[],"Location The subject property is prominently located on Sunderland Street, within Macclesfield town centre. The property is located on the western side of Sunderland Street, a short walk from the railway station and bus station. Description The subject property is Grade II listed and comprises a 2-storey detached property of brick construction beneath a pitched slate roof. Tenancy The property is currently held on 2 leases. The ground floor is let to private individuals who run a long-established snooker club on a 3-year lease expiring on 31st January 2027. The current rent is £15,500 per annum. The offices on the first floor are let to Imperium Law Solicitors Limited who currently hold the property on a continuation tenancy. The current rent is £10,000 per annum. Both leases can be brought to an end on 6 months’ notice. Offers in the region of £750,000.",,,SK11 6UH,['https://www.ridleythaw.co.uk/wp-content/uploads/2025/04/Wesley-Chapel-Brochure.pdf'],Ridley Thaw,,,,0161 669 4000,,,,For Sale,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/49-king-street-manchester/,"49 King Street, Manchester, M2 7AY",,Office,[],"The property was constructed in the 1920s and was extensively refurbished approximately 5 years ago providing modern contemporary design, passenger lift, crafted sash windows and a striking ornate tiled entrance. This property offers a selection of well presented boutique offices across 5 floors. The subject property is located in a thriving area of Manchester City Centre. The property is situated on the thriving retail hub of King Street, approximately 400 meters from the Metrolink stops and within a short walking distance to Piccadilly, Victoria and Deansgate mainline train stations. 1st Floor 840 sq.ft 3rd Floor 689 sq.ft 6th Floor 379 sq.ft",840.0,,M2 7AY,['https://www.ridleythaw.co.uk/wp-content/uploads/2022/09/49-King-Street-1.pdf'],Ridley Thaw,,,,0161 669 4000,,,,,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/bateman-court-derby/,"Bateman Court, Bateman Street, Derby, DE23 8JQ",,Office,[],"The property is arranged on ground and first floor to provide an office building with 30 car spaces on a site area of 0.20 hectares (0.5acres). All accommodation is refurbished to include new suspended ceilings with Category I Lighting and male and female WCs. Derby, with a population of some 233,000, is an important commercial and industrial centre located some 8 mile from Junctions 24 & 25 of the M1 motorway and 11 miles north west of Nottingham East Midlands Airport. The property is situated in a predominantly commercial location on a corner site at the junction with Bateman Street and London Road/ Osborne Street about half a mile south east of Derby City Centre. Suite B 1,537 sq.ft Suite G 2,917 sq.ft",1537.0,0.5,DE23 8JQ,['https://www.ridleythaw.co.uk/wp-content/uploads/2024/11/Bateman-Court-Brochure-2025.pdf'],Ridley Thaw,,,,0161 669 4000,,,,,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/cooper-house-trafford-park/,"Cooper House, Third Avenue, Trafford Park, M17 1JE",,Office,[],"Cooper House is a mixed use scheme comprising of retail accommodation to the ground floor and office accommodation to the upper floors. The available accommodation comprises 2nd floor office space above the retail parade on Third Avenue. The suites benefit from Male and Female toilets and a small kitchen area. The offices have recently been refurbished to a good specification complete with new carpets throughout. In addition, Cooper House benefits from a private car park for exclusive use by the tenants. Cooper House is located at the heart of Trafford Park on Third Avenue, The Village, just off Ashburton Road East. The property is 4 miles from Manchester City Centre, and 3 miles from the M60, which provides access to the North West and national Motorway networks. 380 Ground Floor (Retail) 633 sq.ft",633.0,,M17 1JE,['https://www.ridleythaw.co.uk/wp-content/uploads/2024/11/380-Cooper-House-Brochure-2025.pdf'],Ridley Thaw,,,,0161 669 4000,,,,To Let,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/discovery-house-stockport/,"Discovery House, Discovery Park, Stockport, SK4 5BH",,,[],"The property comprises a 3 storey building with hybrid space accommodation. There is an 8 person passenger lift, providing access to all floors of the premises. The property benefits from a 24 hour security guard and CCTV, and generous parking facilities at the rear of the building. A fantastic refurbishment has been carried out to the ground floor suite available. Discovery House occupies a prominent position at the entrance to Discovery Park, which in turn fronts Crossley Road, close to the A6 Wellington Road North. The property is located within 2 miles of Junction 1 of the M60 Orbital Motorway and approximately 7 miles from Manchester Airport. Part First Floor 350 sq.ft",350.0,,SK4 5BH,['https://www.ridleythaw.co.uk/wp-content/uploads/2024/09/DH-Brochure-2025-Smaller-Suites-1.pdf'],Ridley Thaw,,,,0161 669 4000,,,,,2026-02-21,Old
https://www.ridleythaw.co.uk/properties/tellers-place-manchester/,"Teller's Place, 31 South King Street, Manchester, M2 6AZ",,Office,[],"The property was constructed in the 1920s and was remodelled and extensively refurbished in 2022 to create a best-in-class workspace with a modern contemporary design, passenger lift, crafted sash windows and a striking ornate tiled entrance. This property offers a selection of well-presented boutique offices The subject property is located in a thriving area of Manchester City Centre . The property is situated on the thriving retail hub with South King Street to the front and King Street to the rear. Approximately 400 meters from the Metrolink stops and within a short walking distance to Piccadilly, Victoria and Deansgate mainline train stations. 2nd Floor 1,128 sq.ft",1128.0,,M2 6AZ,['https://www.ridleythaw.co.uk/wp-content/uploads/2023/10/Tellers-Place-2.pdf'],Ridley Thaw,,,,0161 669 4000,,,,,2026-02-21,Old
