listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
http://www.davisonblackett.com/EZVpplEFVAqCgHWMPf.html,"Sunderland, The Bridges Shopping Centre",,Retail,['http://www.davisonblackett.com/cms/STB.jpg'],Great new store for Tesco's Express format at the entrance to The Bridges Shopping Centre,,,,['http://www.davisonblackett.com/cms/express.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EZVppyFkkZsPMKTmRw.html,"Sheffield , Savile Street Sheffield",,Development Land,['http://www.davisonblackett.com/cms/Sheffield SAvile Street 1.jpg'],"The land is located on the edge of Sheffield City Centre adjacent to the Tesco Extra supermarket. It is close to several hotels and within walking distance of the Kelham Island residential quarter, which has several restaurants, bars, pubs and cafes. The site is considered suitable for a range of uses subject to securing planning permission and securing a new access from the main road.",,1.18,,['http://www.davisonblackett.com/cms/Savile Street.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EZuAZEAEZFcVQDITGO.html,Ashington,,Retail,['http://www.davisonblackett.com/cms/website-pic-test.jpg'],Acquisition of a leasehold store developed by Derwent Manor Ventures constructed by Brims.,3805.0,,,['http://www.davisonblackett.com/cms/Ashington PDF-test2.pdf'],Davison Blackett,,,,,,,Leasehold,,2026-02-25,New
http://www.davisonblackett.com/EZuEZpyEpEQvuaWijH.html,"Middlesbrough, Springvale Terrace, Whinney Banks, TS5 4LU",,Development Land,['http://www.davisonblackett.com/cms/Whinney Fields.jpg'],"The site is flat, slightly elevated with the surface a mix of grass and hardstanding. It lies adjacent to the Acklam Gardens Estate which Gleeson Homes recently completed.",,1.02,TS5 4LU,['http://www.davisonblackett.com/cms/Whinney Banks Details.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EZkVlylVZZfgtDurcS.html,"Sunderland, Station Road Fulwell",,Retail,['http://www.davisonblackett.com/cms/fulwell1.jpg'],,4596.0,,,['http://www.davisonblackett.com/cms/express.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EZkkFkZupkPPqkOPXI.html,"Hartlepool, Belle View Way TS25 1UP",,Development Land,['http://www.davisonblackett.com/cms/Picture1a.png'],,,1.48,TS25 1UP,['http://www.davisonblackett.com/cms/Belle View Way Particulars a.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EZpZFAFVlVMkbtpDbZ.html,"Sheffield, Kangeroo Works",,Express Format Retail Premises,['http://www.davisonblackett.com/cms/kangeroo pic 1.jpg'],,,,,['http://www.davisonblackett.com/cms/Tesco Express NE Requirements Flyer.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyluZypuluqAzsoQHh.html,"Sheffield, Fargate",,Express Format Retail Premises,['http://www.davisonblackett.com/cms/2023-06-27_140306.jpg'],New high street retail premises acquired on behalf of Tesco and a great addition to this prime retail location.,,,,['http://www.davisonblackett.com/cms/tesco requirement.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyluukFVlAVFJDaDid.html,"Cramlington , NE23 8BZ",,Development Land,['http://www.davisonblackett.com/cms/os3.jpg'],"Local Centre Development Land Suitable for a wide range of retail, licensed and community uses",,1.189,NE23 8BZ,['http://www.davisonblackett.com/cms/Arcot Marketing Details.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EyyuVFZpEuUZPxfVnl.html,"York, Gillygate",,Express format Retail,['http://www.davisonblackett.com/cms/Gillypic.jpg'],Another great acquisition for our clients Tesco for an Express format convenience store,,,,['http://www.davisonblackett.com/cms/Flyer.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyVkAulyFAGbHQMdBm.html,"Morpeth, A196",,Development Land,['http://www.davisonblackett.com/cms/morpeth pic.jpg'],Development land 'The Hepscott Junction Site',,12.4,,['http://www.davisonblackett.com/cms/Final Details.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EyVkkluVAkmnEqOZeX.html,Ashington,,Development Land,['http://www.davisonblackett.com/cms/Site Plan.jpg'],Local Centre Development Land,,1.0,,['http://www.davisonblackett.com/cms/Ashington Particulars.pdf'],Davison Blackett,,,,,,,,For Sale,2026-02-25,New
http://www.davisonblackett.com/EyFZpZuVZpnPKEcSph.html,"Durham, Claypath",,Express Format Retail,['http://www.davisonblackett.com/cms/claypathamended .jpg'],New convenience store in the ground floor of a new purpose built student accommodation block in this popular student area. Acquired on behalf Tesco Stores Ltd,,,,['http://www.davisonblackett.com/cms/Contact sheet1711.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyFZpZpVykqBaWfxZS.html,"Newcastle upon Tyne, Great Park",,Development Site,['http://www.davisonblackett.com/cms/Morrisons GNP.jpg'],Represented Morrisons in the conditional purchase of a new site for a supermarket to anchor the town centre on Newcastle Great Park,,3.0,,['http://www.davisonblackett.com/cms/Contact sheet1711.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyFVAFyVypkUMkvpHM.html,"Leeds, Portland Crescent",,Express format Retail,['http://www.davisonblackett.com/cms/portland2.jpg'],New Premises for Tesco Express in a busy student area.,,,,['http://www.davisonblackett.com/cms/Contact sheet1711.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EyFVlVFFAFdgJFZXHz.html,"Ashington, Ashwood Business Park",,Site For PFS and Drive thru,['http://www.davisonblackett.com/cms/ashwood plan.jpg'],Substantial PFS and coffee drive thru site acquired for our clients EG Group.,,1.0,,['http://www.davisonblackett.com/cms/Contact sheet1711.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVAyuyllkpqsDxdEik.html,Newcastle upon Tyne,,(0.28 ha) Development Site,['http://www.davisonblackett.com/cms/EG Crofters Lodge_003.jpg'],Site for a new roadside services acquired on behalf of EG Group (Eurogarages). Picture is a CGI image of the development proposed and planning permission has been secured.,,0.7,,['http://www.davisonblackett.com/cms/Contact sheet1711.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVAyuyZVVVQgkQKPbo.html,Newcastle upon Tyne,,Development Land,['http://www.davisonblackett.com/cms/bellwayhq1.jpg'],Site acquired on behalf of Bellway for their new headquarters. Construction nearing completion July 2020 .,,2.0,,['http://www.davisonblackett.com/cms/Contact PDF.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVZEyVVupymplbmeBq.html,"Newcastle upon Tyne, NE13 6BE",,. Office or Alternative Uses,['http://www.davisonblackett.com/cms/Bellway Old HQ.jpg'],A substantial Georgian Headquarters Office building with additional buildings set in 30 acres of well maintained grounds with excellent parking.,15984.0,30.0,NE13 6BE,['http://www.davisonblackett.com/cms/Details Link Page.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVZpuVuVZuAcXHrOUH.html,"Newcastle upon Tyne, Stamforham Road",,Development Land,['http://www.davisonblackett.com/cms/callerton2.jpg'],"Development site with potential for neighbourhood retail, leisure or roadside use",,0.7,,['http://www.davisonblackett.com/cms/Middle Callerton Particulars.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVpApEVpFyNeuTLruU.html,"Edenthorpe, DN3 2JE",,(0.708ha) Development Land,['http://www.davisonblackett.com/cms/newspic edenthorpe1.jpg'],This site has temporarily been withdrawn from the market. Land adjoining Tesco Superstore,,1.75,DN3 2JE,['http://www.davisonblackett.com/cms/Edenthorpe.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EVplZZFZEZlWwddfww.html,"Houghton Le Spring, Chilton Moor",,Development Land,['http://www.davisonblackett.com/cms/newspic.jpg'],,,2.69,,['http://www.davisonblackett.com/cms/Chilton Particularsv1.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulyZkZpFAXGxAzzNg.html,"Stanley Co Durham , DH9 0XG",,up to Retail Warehouse,['http://www.davisonblackett.com/cms/Clifford Road Retail Park Visual.png'],"Two refurbished retail warehouse units to let one of 12,000sq.ft. and the other 33,000sq.ft.",33000.0,,DH9 0XG,['http://www.davisonblackett.com/cms/Clifford Road Retail Park Stanley.pdf'],Davison Blackett,,,,,,,,To Let,2026-02-25,New
http://www.davisonblackett.com/EulVkVAuVZmGYphILL.html,"Newcastle upon Tyne, Skinnerburn Road",,(6.07 hectares) Development Land,['http://www.davisonblackett.com/cms/caldersaerial1.jpg'],Bellway Homes are inviting developers and occupiers to be part of an exciting new riverfront development opportunity in Newcastle upon Tyne. The 15 acre site has tremendous potential to accommodate large space users who value easy access to the City Centre and excellent local and national transport links. For further details please get in touch.,,15.0,,['http://www.davisonblackett.com/cms/location image 002.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulElupZEVBWFpaoiY.html,"Amble, Northumberland",,Development Land,['http://www.davisonblackett.com/cms/main-amble.jpg'],The land is held under title number ND 144611. There is a a contractual right to construct a road linking the site to the A1058 over land to the North. The site has an existing outline planning consent for a 21000 sq ft food retail supermarket (A1) with associated car parking (204 spaces) plus service yards and 46 residential units (C3) The land lies in close proximity to the town centre and as such should be suitable for a wide range of uses.,21000.0,5.76,,['http://www.davisonblackett.com/cms/Amble-Particulars.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulEluppZVAgwwWlHP.html,"Harrogate, HG1 2BX",,(3.15 hectares) Development Opportunity,['http://www.davisonblackett.com/cms/main-harrogate.jpg'],The subject site is located 2km north of Harrogate Town Centre where the A59 and A61 meet. The site has dual road access both onto the A61 (Ripon Road) and A59 (Skipton Road) and comprised part of a former gas works. The subject site is 3.15 hectares (7.80 acres) and is generally laid down to hardstanding and has a number of trees surrounding and on the site.,,7.8,HG1 2BX,['http://www.davisonblackett.com/cms/Harrogate-Brochure.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulElFAklyxinmjTsF.html,Market Rasen,,(0.08 hectares) Land,['http://www.davisonblackett.com/cms/main-marketRasen.jpg'],"This site has temporarily been withdrawn from the market. The northern site has an area of 0.08 hectares (0.20 acres) or thereabouts and the rear (outlined in yellow below) is 0.429 hectares (1.06 acres) or thereabouts. The land outlined in blue is to be transferred to a third party and access to the yellow land will be by way of a 3m access strip, the location of which is yet to be determined. The sites fall within part of the Council�s �Mixed Use� allocation MR(M)5 under policy STRAT14. This identifies the following uses as being appropriate on the wider site: A1 (retail), A3 (caf�/restaurant), C1 (hotel), C3, D1 (non-residential...",,0.2,,['http://www.davisonblackett.com/cms/Particulars-Market-Rasen.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulElFAEAuLyvAsJnt.html,Peterlee,,(2.59 hectares) Land,['http://www.davisonblackett.com/cms/main-peterlee.jpg'],"The site lies in Peterlee Town Centre and as such may be suitable for a number of uses. The site has previously had consent for a 10,246 sq. ft. gross retail store and replacement library with associated car parking, access, landscaping and servicing. The site is situated approximately 0.40 km (0.25 miles) to the east of the A19 trunk road, at the southern end of Essington Way adjacent to Peterlee town centre. Essington Way forms the main route north from the town centre. The site is immediately adjacent to Essington Way Retail Park which has Poundstretcher and Lidl as its tenants.",10246.0,6.4,,['http://www.davisonblackett.com/cms/Peterlee-particulars-February-16th-2016.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
http://www.davisonblackett.com/EulElFApZyThWTjmQS.html,"Selby, YO8 4SB",,(2.433 hectares) Land,['http://www.davisonblackett.com/cms/main-selby.jpg'],"Selby is located in the county of North Yorkshire. Nearby towns include Goole (13 miles), York (16 miles) and Castleford (17 miles). Road communications are good with the A1041, A1 and A18 providing access to the A1 (M), M1, M62 and M18. Rail services to London Kings Cross are available in approximately 2 hours 3 minutes and Leeds is circa 20 minutes. Selby Railway Station is only a 3 minute walk from the site.",,6.01,YO8 4SB,['http://www.davisonblackett.com/cms/Particulars-Selby-November-2016.pdf'],Davison Blackett,,,,,,,,,2026-02-25,New
