listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://fairhurstbuckley.co.uk/property/422-424-buxton-road-great-moor-stockport-sk2-7jq-2/,"422 – 424 Buxton Road, Great Moor, Stockport, SK2 7JQ 422 – 424 Buxton Road, Great Moor, Stockport, SK2 7JQ",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/12/0e00ed4e-3071-4a84-9d1e-97d0b46fd7eb_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/98906314-b8a7-4823-a884-2d95c87bcce7_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/12/b8e66774-493a-4ada-bd77-4bfec9f1160b_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/799bcdaf-2b46-40ca-b597-3cae7cdc1e01_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/25ba585d-6148-41ea-bec2-3bf3122629c2_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/7d6d21d7-8d52-4d4b-baaf-e1dca1f2ae45_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/d82898aa-83f7-4571-bfb9-72864ea1d08f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/4c8bcbb0-0fb4-4337-abd9-c5c08a588afb_web.jpg']","Property Description Prominently located ground floor retail/showroom premises with car parking to the rear Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",1206.0,,SK2 7JQ,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/247950_w1gmpe4x074uxr8e.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/259467_k04s2604524h59x3.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/94-94a-heaton-moor-road-heaton-moor-stockport-sk4-4nz/,"94 & 94A Heaton Moor Road, Heaton Moor, Stockport, SK4 4NZ 94 & 94A Heaton Moor Road, Heaton Moor, Stockport, SK4 4NZ",395000,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/09ce8f3d-1a51-4fd3-9e3f-e658797ade5c_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/88351b98-d442-4c5f-88ad-c2379314da9b_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/d933bbec-7d3a-46ec-9b37-9c01881e87ed_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/95e1605a-8d37-4a4d-8a81-56fcb1d0a637_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/415dc61b-3aed-45d3-bf07-cfe2d74ef75e_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/eefe0b49-3214-407c-b135-ffe98e2d0a84_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/88c4812a-5b31-49bc-986f-8a7de800428f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/66bb6cb3-998b-43bf-91de-90f76e1e0129_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/48f3cbb5-fce5-4e8b-9d86-314aa15c48c8_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/cbd7d233-9637-4566-bd20-5b28497d4dca_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/0d98e58f-9012-41d2-aabd-f9248e9686e6_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/ff916f4b-65f0-44a0-ba0b-70dccdd4e0d3_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/39b61f17-51d8-4128-a7b1-ea74973affad_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/51c7dd84-5162-47e5-92f4-a6648d771d03_web.jpg']","Property Description Part income producing retail & residential investment property, with ground floor retail premises and very well appointed self-contained 2 bed living accommodation over 2 floors and rear garden area Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",897.0,,SK4 4NZ,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/243397_j48tk5grhrqcxam9.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/260116_uh04333hzs46m3oz.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/19-21-king-edward-street-macclesfield-cheshire-sk10-1aq/,"19-21 King Edward Street, Macclesfield, Cheshire, SK10 1AQ 19-21 King Edward Street, Macclesfield, Cheshire, SK10 1AQ",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/b00ff978-3743-48f5-bfa7-8ff859508a87_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/3eeee88f-20d1-4936-ba10-15572c2be705_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/1968a7af-9743-495b-9e44-52d6533301bb_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/e97ffa6c-d672-47de-9d6d-d7719a8c2ed8_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/94897e2e-4a20-4698-8016-1d9afc0061e0_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/86c20081-04f2-4835-9e94-487808793b4a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/e4e867c8-9954-4d50-9724-0ba71b931f19_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/5083730b-71d6-49a8-b45e-21cf82ed5bcf_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/88074009-e73b-4372-a1f5-e529d345c3dd_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/2f7ef7ad-7c8d-4be1-9b3c-b5a507146f76_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/0d88cfab-64be-49e0-9fa1-ca3826bdc43d_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/f40f5cb3-a254-4d2f-950a-2e356ef7a316_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/69ea30df-dfbd-49bb-ab3b-125ee014ca0f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/9a51dbe2-c666-41cd-94f4-a1ca5210997a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/69e2bd12-63d6-46f9-9436-6152818743af_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/55ee57f4-884f-400f-aebf-a567726b302d_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/1b04842f-aefb-47c6-9c4c-2c85ddba0aba_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/dc0200f9-9f0e-4439-b51e-51dd10ecdb8e_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/037d58e0-f891-4954-a50d-fe90009f7dc0_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/754e3712-9705-4c22-a12a-9fe23be32346_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/74d538e1-d033-476e-b012-9d24e98115bc_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/7076cd88-68c1-4179-aceb-ebcd79cc881f_web.jpg']","Property Description Substantial, detached, town centre office property with additional basement areas, roof terrace and parking for 45-50 cars (may sub-divide) Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",6276.0,,SK10 1AQ,['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/260086_135es7u1833y8juo.pdf'],Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/5-buckingham-road-cheadle-hulme-cheshire-sk8-5eg/,"5 Buckingham Road, Cheadle Hulme, Cheshire, SK8 5EG 5 Buckingham Road, Cheadle Hulme, Cheshire, SK8 5EG",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/5217eb0c-50ba-408f-856d-1908fc63071f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/7f504b33-8759-4110-9fa9-0118124da8d4_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/b3bec44c-0249-4fe6-a3aa-565c66a4ce48_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/c4a3121c-9550-4e28-ae7c-557c5e5a8fdd_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/2c083f1b-6a69-41bb-b37c-37497c24ad88_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/61077d01-926f-441d-9819-0b869568fcb3_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/40d8a65e-f107-419e-a0d4-3f485bf22023_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/313a91e2-c27c-4027-9441-f9610500447a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/c65954ce-6427-446a-88d7-33cd4a9e4d17_web.jpg']","Property Description Recently refurbished, ground floor retail/office premises with forecourt car parking Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",715.0,,SK8 5EG,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/253290_4y7141219423085k.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/251025_674oov34y3mg7zv1.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/unit-6-crown-works-kenwood-road-north-reddish-stockport-sk5-6ph/,"Unit 6, Crown Works, Kenwood Road, North Reddish, Stockport, SK5 6PH Unit 6, Crown Works, Kenwood Road, North Reddish, Stockport, SK5 6PH",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/a89528bb-6e58-46c5-b04a-352918606090_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/12/de85c951-3391-42e5-90e3-19256350a7e4_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/8619766a-f0e2-4660-aa34-1a302c76038f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/9fe30d25-b0e5-4987-bf13-c6e3f27c43e5_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/ba4b958e-f578-42e9-9c3a-60a6ca300b21_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/a28b733f-245d-4d73-983b-6b08238a481a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/03e522c1-0d63-4c55-a243-39fd89d23fea_web.jpg']","Property Description Single Storey, high bay, industrial/warehouse property with substantial yard and 10 ton and 15 ton cranes on an overall site of 2,938 sq.m (0.726 acre) Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",14566.0,0.726,SK5 6PH,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/257679_qmv257187f801678.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/239500_zhy85ob1by75yp1i.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/90-wellington-street-stockport-cheshire-sk1-3aq/,"90 Wellington Street, Stockport, Cheshire, SK1 3AQ 90 Wellington Street, Stockport, Cheshire, SK1 3AQ",250000,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/10/b25ea78a-4262-4797-970b-eee595403509_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/10/20f8726a-7aaf-4b52-8fa2-2d5de70438e6_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/ec7a380b-61b4-4eae-94af-295818b960af_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/10/ab84e571-17c7-4c5a-8d78-b9773e9147ee_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/10/bbc35213-ea46-40c3-bb33-95738b880690_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/66b7f273-02b8-46b2-9f4a-c30751a1a304_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/10/9e5ebc71-922e-465c-9ab2-f0d93949b650_web.jpg']","Property Description Part 3 storey and part 4 storey, town centre retail and residential property with income producing living accommodation. Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",1181.0,,SK1 3AQ,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/252041_p7tg24tf4odi1pgf.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/235061_k1rlc620551n9a90.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/235060_2tvp8n8u97itejso.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/units-at-european-house-bird-hall-lane-cheadle-heath-stockport-sk3-0xx/,"Units At European House, Bird Hall Lane, Cheadle Heath, Stockport, SK3 0XX Units At European House, Bird Hall Lane, Cheadle Heath, Stockport, SK3 0XX",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/cc1b5ee7-613f-42fe-a805-df28e0c11586_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/46facc43-3de3-4451-84fa-97cd82dfcb8f_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/69cde06e-b549-4755-939c-f595aeb8b358_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/b16fc8a1-3ee4-4a48-9c64-467c89375455_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/e6f80ecf-909f-4f30-ad9d-1b456c4374ae_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/cb5905d8-2e03-4e3c-acc3-b09525034217_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/5ec5e717-7cde-46cb-8e4e-085e8caee85a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/11/a7804cd7-9b6f-4737-9497-17221cda6d6d_web.jpg']","Property Description High bay warehouse/industrial premises some with yard and cranage, and separate yard and parking areas available up to 4,328 sq.m (5,176 sq.yds/46,584 sq.ft) Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",3153.0,,SK3 0XX,['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/241860_i6g2bztdfk89i42r.pdf'],Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/units-1-4-hadfield-house-gordon-street-stockport-sk4-1rr/,"Units 1-4, Hadfield House, Gordon Street, Stockport, SK4 1RR Units 1-4, Hadfield House, Gordon Street, Stockport, SK4 1RR",975000,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/80d55113-b882-4c41-ac29-cd30607bd4d3_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/d8d941a7-38ba-4805-b761-2a0f59852fbf_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/68e35634-78f8-4bd1-8d4d-7bbe2086528b_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/8d981d99-3b3a-4352-9bb6-9333b7e70c23_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/05/32de8b56-bd04-47ff-9a3e-c79b514d566f_web.jpg']","Property Description A substantial, town centre, income producing, industrial/warehouse and office investment with extensive car parking Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",21507.0,,SK4 1RR,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/230013_h2j14n39o98iv547.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/205984_s7x84hr9c73622m6.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/205983_200uqo3ylpe6b499.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/49-49a-dairyground-road-bramhall-cheshire-sk7-2qw/,"49 & 49a Dairyground Road, Bramhall, Cheshire, SK7 2QW 49 & 49a Dairyground Road, Bramhall, Cheshire, SK7 2QW",,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/07/10200224-996b-4491-b5b8-2f84ca45ec2d_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/08/61fc1e98-7ba8-4c11-af67-62b6b5840f2c_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/07/9e22f8db-6257-4399-836e-250b4135dd1a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/07/aa5c036f-ff28-432c-8da8-9592817a1ae7_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/08/46756e5e-2a72-4099-a500-0fd3fd907902_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/07/29b6a48a-d308-4724-89de-d8ea73e72e5a_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/08/ae56d318-b1ec-4b93-b36a-3b8e01324351_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/02/28faf0ee-f156-4994-a991-78da29c85d7c_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/08/eb942a3d-4edf-432f-b777-db0d3584ab93_web.jpg']","Property Description Ground floor retail premises of 83.4 sq.m (898 sq.ft) with 2 bed apartment above of 42.2 sq.m (454 sq.ft) and an additional lock-up garage Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",1352.0,,SK7 2QW,"['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/259324_06hcbvawn6m0gt8l.pdf', 'https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/220934_gs02w99p04ht99k2.pdf']",Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
https://fairhurstbuckley.co.uk/property/32-upper-brook-street-stockport-sk1-3bp-2/,"32 Upper Brook Street, Stockport, SK1 3BP 32 Upper Brook Street, Stockport, SK1 3BP",220000,,"['https://fairhurstbuckley.co.uk/wp-content/uploads/2025/03/c088a5dc-21d9-45ab-a439-7c16141510b8_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/0ee969a5-1a2b-450d-97ca-4ff8b67a9104_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/f4f666c5-438c-4a41-823b-b669ab1e9400_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/03/6baea8ba-17a6-4da8-9b54-3f8eb4e8b944_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/03/5f615298-32e8-41a5-ad0d-83ed2cb659a5_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2026/01/f1ab8414-b26b-4fe8-9216-7be0c68e5740_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/03/622abbcc-8d1b-4249-9cc8-70fd4104a66b_web.jpg', 'https://fairhurstbuckley.co.uk/wp-content/uploads/2025/03/ddb1b2ca-7125-4afa-8443-f87ea2710f7e_web.jpg']","Property Description Two adjacent showroom/industrial/warehouse properties with yards, available separately or combined Enquire about this property Or For more information about this property, please contact us on 0161 480 3880 Stockport and South Manchester’s largest team of chartered surveyors, commercial property experts and RICS registered valuers. We offer specialist property advice and expertise alongside excellent customer service.",1212.0,,SK1 3BP,['https://fairhurstbuckleycrm.agencypilot.com/crm/store/documents/other/251919_bm0k481l4s918gc6.pdf'],Fairhurst Buckley,,,enquiries@fairhurstbuckley.co.uk,0161 476 9476,,,,For Sale,2026-02-26,Old
