listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_e87368354832434fb2d4c5ae719bc64d.pdf,Beverley,,Flemingate,[],"Category: In Town Retail. Scheme: Flemingate. Location: Beverley. Address: . Size: 850 – 6,000 sqft.",850.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_e87368354832434fb2d4c5ae719bc64d.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/2f976c_425eef19bcf24992a74c6bf36144eb0d.pdf,Bradford,,Bradford Leisure Exchange,[],"Category: In Town Retail. Scheme: Bradford Leisure Exchange. Location: Bradford. Address: . Size: 3,200 sqft.",3200.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/2f976c_425eef19bcf24992a74c6bf36144eb0d.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_ed30da25794345e7bdb304df4a9be420.pdf,Bradford UNDER OFFER,,Centenary Square,[],"Category: In Town Retail. Scheme: Centenary Square. Location: Bradford UNDER OFFER. Address: . Size: 6,300 sqft.",6300.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_ed30da25794345e7bdb304df4a9be420.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_20a93c5214364d2a95d7b242419d8e75.pdf,Durham,,"Kiosk 27, Riverwalk, Durham",[],"Category: In Town Retail. Scheme: Kiosk 27, Riverwalk, Durham. Location: Durham. Address: . Size: 215 sqft.",215.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_20a93c5214364d2a95d7b242419d8e75.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_56b85dd00a04460ba979c5bc4253f1b6.pdf,Durham,,"Unit 10, Riverwalk",[],"Category: In Town Retail. Scheme: Unit 10, Riverwalk. Location: Durham. Address: . Size: 7,811 sq ft.",7811.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_56b85dd00a04460ba979c5bc4253f1b6.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_ab5691abd0ae486d98152f5ad8a9dace.pdf,Durham,,The Yard - Leisure Opportunity,[],"Category: In Town Retail. Scheme: The Yard - Leisure Opportunity. Location: Durham. Address: . Size: 6,000 sqft.",6000.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_ab5691abd0ae486d98152f5ad8a9dace.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_1f674bd6aa2c4b9783938610f35621e2.pdf,Durham UNDER OFFER,,"Unit 36, Riverwalk",[],"Category: In Town Retail. Scheme: Unit 36, Riverwalk. Location: Durham UNDER OFFER. Address: . Size: 1812 sq ft.",1812.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_1f674bd6aa2c4b9783938610f35621e2.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_6810383f21a04c4e81f28f5f4d958b7c.pdf,Durham UNDER OFFER,,"Unit 17, Riverwalk, Durham",[],"Category: In Town Retail. Scheme: Unit 17, Riverwalk, Durham. Location: Durham UNDER OFFER. Address: . Size: 3,000 sqft.",3000.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_6810383f21a04c4e81f28f5f4d958b7c.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_b1d2e970fca1425284dad0cf5b0525e4.pdf,Durham UNDER OFFER,,"Unit 22 - 24, The Riverwalk",[],"Category: In Town Retail. Scheme: Unit 22 - 24, The Riverwalk. Location: Durham UNDER OFFER. Address: . Size: 6,038 sqft.",6038.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_b1d2e970fca1425284dad0cf5b0525e4.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_644b1fe3d23e44d1ad3f267661b03ead.pdf,Durham UNDER OFFER,,"Unit 32, Riverwalk",[],"Category: In Town Retail. Scheme: Unit 32, Riverwalk. Location: Durham UNDER OFFER. Address: . Size: 2,402 sq ft.",2402.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_644b1fe3d23e44d1ad3f267661b03ead.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_b8e13db238c241b98a317584d8b1b9ea.pdf,"Unit 6, Westgate House, Harrogate",,"Unit 6, Westgate House, Harrogate",[],"Category: Our. Scheme: . Location: Harrogate UNDER OFFER. Address: Unit 6, Westgate House, Harrogate. Size: 3,915 sq ft.",3915.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_b8e13db238c241b98a317584d8b1b9ea.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_43aac1cc599a45b183fb874b674a0576.pdf,Harrogate UNDER OFFER,,"Unit 4, Westgate House, Harrogate",[],"Category: In Town Retail. Scheme: Unit 4, Westgate House, Harrogate. Location: Harrogate UNDER OFFER. Address: . Size: 2,184 sq ft.",2184.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_43aac1cc599a45b183fb874b674a0576.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_9ce0dfb9e3324e048f00bb774b42d690.pdf,Huddersfield,,The Kingsgate Centre,[],"Category: In Town Retail. Scheme: The Kingsgate Centre. Location: Huddersfield. Address: . Size: 3,024 - 7,556 sq ft.",3024.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_9ce0dfb9e3324e048f00bb774b42d690.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_39b007d8aafb436e99821a9038bd79b7.pdf,Leeds,,The Light,[],"Category: In Town Retail. Scheme: The Light. Location: Leeds. Address: . Size: 953 - 3,395 sqft.",953.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_39b007d8aafb436e99821a9038bd79b7.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_7216d4d54aa04a188899004c5887c9c9.pdf,Leeds,,Pinnacle 63/65 Albion Street,[],"Category: In Town Retail. Scheme: Pinnacle 63/65 Albion Street. Location: Leeds. Address: . Size: 10,602 sqft.",10602.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_7216d4d54aa04a188899004c5887c9c9.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_ac8b25766a0c4b78a5d69be8b46f74fc.pdf,Leeds,,"Unit C2, The Light",[],"Category: In Town Retail. Scheme: Unit C2, The Light. Location: Leeds. Address: . Size: 869 sqft.",869.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_ac8b25766a0c4b78a5d69be8b46f74fc.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_94dd654c9b9348549f9b095a1f8e9288.pdf,Lincoln,,"Unit 20, Waterside Shopping Centre",[],"Category: In Town Retail. Scheme: Unit 20, Waterside Shopping Centre. Location: Lincoln. Address: . Size: c.1,600 sq ft.",1600.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_94dd654c9b9348549f9b095a1f8e9288.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_e6535e0e068a43b494f669e0e0dd1f7f.pdf,Lincoln,,"Waterside, Lincoln",[],"Category: In Town Retail. Scheme: Waterside, Lincoln. Location: Lincoln. Address: . Size: 100 - 8,000 sq ft.",100.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_e6535e0e068a43b494f669e0e0dd1f7f.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_6a7a0ffdfe8f45b3be7995b3efd6508a.pdf,Northallerton,,Treadmills,[],"Category: In Town Retail. Scheme: Treadmills. Location: Northallerton. Address: . Size: 3,000 - 4,000 sqft.",3000.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_6a7a0ffdfe8f45b3be7995b3efd6508a.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7f4758_6804e388a87e4afb857c5f2f4c001ee5.pdf,Rotherham,,"Forge Island Leisure Destination, Market Street, Rotherham",[],"Category: In Town Retail. Scheme: Forge Island Leisure Destination, Market Street, Rotherham. Location: Rotherham. Address: . Size: 1,500 - 5,618 sq ft.",1500.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7f4758_6804e388a87e4afb857c5f2f4c001ee5.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_22c9d214de7945c4a46e8a30e2ff6a3d.pdf,"Unit C, Centenary Square",,"Unit C, Centenary Square",[],"Category: Our. Scheme: . Location: Bradford. Address: Unit C, Centenary Square. Size: 1,706 sqft.",1706.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_22c9d214de7945c4a46e8a30e2ff6a3d.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_7e7496bfe52240eea6a02afe56cdc918.pdf,Centenary Square,,Centenary Square,[],"Category: Our. Scheme: . Location: Bradford UNDER OFFER. Address: Centenary Square. Size: Up to 6,400 sqft.",6400.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_7e7496bfe52240eea6a02afe56cdc918.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_cfea745509244d08979bcef2c3108a98.pdf,Yorkshire,,Yorkshire,[],"Category: Our. Scheme: . Location: Coming Soon/ Off-Market. Address: Yorkshire. Size: 900 - 6,640 sqft.",900.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_cfea745509244d08979bcef2c3108a98.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_4c7e3da0083b43ae8154eef3f5698e88.pdf,Lakeside,,Lakeside,[],"Category: Our. Scheme: . Location: Doncaster. Address: Lakeside. Size: 1,500 sqft.",1500.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_4c7e3da0083b43ae8154eef3f5698e88.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/0b9828_0e87a44d314a45649a9c8efc3c2b399e.pdf,"Kiosk, Parliament Street",,"Kiosk, Parliament Street",[],"Category: Our. Scheme: . Location: Harrogate. Address: Kiosk, Parliament Street. Size: 247 sqft.",247.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/0b9828_0e87a44d314a45649a9c8efc3c2b399e.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_36cbe46b443c472bb7f96cb73eb9366f.pdf,"Unit 4, Westgate House, Harrogate",,"Unit 4, Westgate House, Harrogate",[],"Category: Our. Scheme: . Location: Harrogate UNDER OFFER. Address: Unit 4, Westgate House, Harrogate. Size: 2,184 sq ft.",2184.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_36cbe46b443c472bb7f96cb73eb9366f.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_d2d0c528ec3f4da684105ef0c51b30f2.pdf,"Catch, Weetwod Lane",,"Catch, Weetwod Lane",[],"Category: Our. Scheme: . Location: Headingley UNDER OFFER. Address: Catch, Weetwod Lane. Size: 4,000 sq ft.",4000.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_d2d0c528ec3f4da684105ef0c51b30f2.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_7954fa06c6db489ba1fb0831b9a21231.pdf,Unit 7a Central Square,,Unit 7a Central Square,[],Category: Our. Scheme: . Location: Leeds. Address: Unit 7a Central Square. Size: 900 sq ft.,900.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_7954fa06c6db489ba1fb0831b9a21231.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_e4551659bfa74202a72f937451921ac1.pdf,63/65 Albion Street,,63/65 Albion Street,[],"Category: Our. Scheme: . Location: Leeds. Address: 63/65 Albion Street. Size: 10,602 sqft.",10602.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/7af7b2_e4551659bfa74202a72f937451921ac1.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/0b9828_64ead4708759439fb15438f916123e7c.pdf,Yeovil Retail Park,,Yeovil Retail Park,[],"Category: Out Of Town Retail. Scheme: . Location: Yeovil. Address: Yeovil Retail Park. Size: 2,200 - 12,000 sq ft.",2200.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/0b9828_64ead4708759439fb15438f916123e7c.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_c7608c5f0cfd4b3ab1aeecb59b2c5c7f.pdf,York,,"St Martin's Yard, Coney Street",[],"Category: In Town Retail. Scheme: St Martin's Yard, Coney Street. Location: York. Address: . Size: 441 - 6,458 sq ft.",441.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_c7608c5f0cfd4b3ab1aeecb59b2c5c7f.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_1b7b82f968c546f8ac01f00900f34088.pdf,Unit 2 Central Square Leeds,,Unit 2 Central Square Leeds,[],"Category: Our. Scheme: . Location: Leeds. Address: Unit 2 Central Square Leeds. Size: 4,500 sq ft.",4500.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_1b7b82f968c546f8ac01f00900f34088.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_0316a0aa8304415fa0b8380516321749.pdf,"Citygate, 9 Kirkstall Road",,"Citygate, 9 Kirkstall Road",[],"Category: Our. Scheme: . Location: Leeds. Address: Citygate, 9 Kirkstall Road. Size: 9,360 sq ft.",9360.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_0316a0aa8304415fa0b8380516321749.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_a38d28f3a33e4495aa9983ba8b5704f8.pdf,Unit 7b Central Square,,Unit 7b Central Square,[],"Category: Our. Scheme: . Location: Leeds. Address: Unit 7b Central Square. Size: 4,100 sq ft (May divide).",4100.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_a38d28f3a33e4495aa9983ba8b5704f8.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_86f98f53845a411f9a14b49575f333e2.pdf,"Unit C2, The Light",,"Unit C2, The Light",[],"Category: Our. Scheme: . Location: Leeds. Address: Unit C2, The Light. Size: 869 sqft.",869.0,,C2,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_86f98f53845a411f9a14b49575f333e2.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_ebaefcdae9d84208b20095a8e9a53e48.pdf,9a Merrion Street,,9a Merrion Street,[],"Category: Our. Scheme: . Location: Leeds. Address: 9a Merrion Street. Size: 5,700 sq ft.",5700.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_ebaefcdae9d84208b20095a8e9a53e48.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_9a05a12dfb9249b2be381d4dfbc3ecfc.pdf,94 Albion Street,,94 Albion Street,[],"Category: Our. Scheme: . Location: Leeds. Address: 94 Albion Street. Size: c.3,000 sqft.",3000.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_9a05a12dfb9249b2be381d4dfbc3ecfc.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_053150953b7f436eb38d2f27b9be06ef.pdf,"Unit C, The Electric Press",,"Unit C, The Electric Press",[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: Unit C, The Electric Press. Size: c.5,651 sq ft.",5651.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_053150953b7f436eb38d2f27b9be06ef.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_2a2fecbf8edc49f09d6d9cf33cca8045.pdf,10 Greek Street,,10 Greek Street,[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: 10 Greek Street. Size: 7,029 sq ft.",7029.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_2a2fecbf8edc49f09d6d9cf33cca8045.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_fb352d3954f5430cbc04fd23172d9416.pdf,"Unit D, The Electric Press",,"Unit D, The Electric Press",[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: Unit D, The Electric Press. Size: c.6,700 sqft.",6700.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_fb352d3954f5430cbc04fd23172d9416.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_724bd46dd7ad48e5bd91cfcac1fee2cb.pdf,C16/ C17 Victoria Gate,,C16/ C17 Victoria Gate,[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: C16/ C17 Victoria Gate. Size: 5,233 sq ft.",5233.0,,C16,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_724bd46dd7ad48e5bd91cfcac1fee2cb.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_51cc4f3581084ad8ad2ddb36b1f8a8db.pdf,"23 Great George Street, Leeds",,"23 Great George Street, Leeds",[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: 23 Great George Street, Leeds. Size: 5,155 sq ft.",5155.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_51cc4f3581084ad8ad2ddb36b1f8a8db.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_91edede3d74f4fb4b991b29ff54e3def.pdf,Unit 1b Central Square,,Unit 1b Central Square,[],"Category: Our. Scheme: . Location: Leeds UNDER OFFER. Address: Unit 1b Central Square. Size: 1,700 sq ft.",1700.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_91edede3d74f4fb4b991b29ff54e3def.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_619ffd964c5d4d8c93ccb69e0cb275cf.pdf,"St Martin's Yard, Coney St",,"St Martin's Yard, Coney St",[],"Category: Our. Scheme: . Location: York. Address: St Martin's Yard, Coney St. Size: 441 - 6,458 sq ft.",441.0,,,['https://www.pudneyshuttleworth.co.uk/_files/ugd/cb0020_619ffd964c5d4d8c93ccb69e0cb275cf.pdf'],Pudney Shuttleworth,,,,,,,,,2026-02-21,Old
