listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.crowwatkin.co.uk/listing/class-e-period-village-shop-for-sale-bletchingley-high-street/,CLASS E PERIOD VILLAGE SHOP FOR SALE – BLETCHINGLEY HIGH STREET,425000,,"['https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HighSt.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS1-300x169.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS2-300x169.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS3-300x169.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS4-300x169.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS5-300x169.jpg', 'https://www.crowwatkin.co.uk/wp-content/uploads/2024/11/32HS6-300x169.jpg']","DIRECTIONS Proceeding eastwards out of Redhill town centre along the A25 through South Nutfield and into Bletchingley, the property is at the end of the High Street fronting St Mary’s Church and opposite the Whyte Harte Hotel. LOCATION A prominent and picturesque location on the northern side of Bletchingley High Street with return frontage to Church Walk. The wide main road is full of listed buildings and the corner position exposes the property to prominent view. Redhill town centre and mainline station are about three miles to the west, and access onto the M25 north of Godstone (junction 6) is about two miles by road. DESCRIPTION An attractive Grade II listed corner building comprising a two storey end terrace brick and tiled shop with tile hung and rendered elevations. There is internal and external access to the first floor from a street door along the side elevation. Gas central heating is installed and the showroom has period features eg exposed beams. ACCOMMODATION (all measurements approximate) Ground floor: Front showroom: 15’7” x 14’5” plus front bay window display 8’7” x 2’7”. Log burner. Laminate flooring Beamed ceiling 247 sq ft Back showroom: 10’11” x 7’10”. Part glazed screen. 86 sq ft Inner hall with understairs storage area. Lobby on two levels and side door. Rear kitchen/staffroom: 9’6” x 15’. Double aspect. Sink and wall mounted boiler. 147 sq ft Door to yard with rear gate. First floor: Wide loading on two levels. Front room: 15’10” x 15’2” excluding angled front bay. 240 sq ft Bathroom: Panelled bath with shower attachment and screen, pedestal wash basin & WC Central rom: 10’8” x 10’3”. Door to:- 109 sq ft Rear room: 10’9” x 8’6” 91 sq ft NET INTERNAL FLOOR AREA 920 sq ft (85.47m²) RATING RV £6,300 @UBR 51.2p in the £ 2024/2025. PLANNING The permitted class E use covers shops, offices, clinic, health centres and day nurseries. The property is a Grade II listed building in a designated conservation area. It traded as an antique lighting business, with residential accommodation upstairs, for over 30 years from the mid 1970s. It has been used since 2009 as a party shop by a private and corporate events company. PRICE GUIDE Freehold region £425,000. Vacant possession on completion. VIEWING By prior appointment with our office. Tel: 01737 245886 (ref MS).",247.0,,,[],Crow Watkin,,,,01737 245886,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/reigate-town-centre-investment-shop-and-two-floor-maisonette/,REIGATE TOWN CENTRE INVESTMENT – SHOP AND TWO FLOOR MAISONETTE,605000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2024/10/DSC03466-1024x768.jpg'],"LOCATION The premises occupy a prime town centre trading location adjoining the old Market Hall building on the northern side of Reigate High Street with the pedestrianised Castle Walk and Castle Grounds at the rear. Nearby multiple traders include WH Smith, Sweatty Betty, Mountain Warehouse, Pret a Manger, Waterstones and Oliver Bonas. The pedestrian walkway to Morrisons supermarket with parking for 290 cars is on the south side of the high street (plan overleaf). Access onto the M25 at the top of Reigate Hill (junction 8) is within two miles by road. Gatwick airport is about seven miles to the south. DESCRIPTION The premises comprise a three storey terraced building of brick and tile construction with slate roofed back additions, having ground floor shop and basement and separate front entrance to a two bedroomed maisonette on first and second floors. The shop has been fitted out to a good standard with air conditioning and internal staircase to lower floor and the maisonette has gas central heating. There is a metal fire escape at the rear of the maisonette at first floor level and brick steps from the shop leading up to a small area of rear garden. The shop has an EPC rating of C valid until November 2032 and the maisonette an EPC rating of E valid until May 2029. ACCOMMODATION All measurements approximate, the accommodation is arranged as follows:- Shop (16) Internal frontage about 14’3” Built depth about 47 ft Twin window displays Central entrance 47 sq ft Retail area: 14’8” x 20’3” Understairs storage 254 sq ft Rear room: Max 8’8” x 15’7”. Carpeted. 85 sq ft Internal staircase down to lower ground floor:- Kitchen (rear): Max 8’6” x 13’10” 98 sq ft Central store: 13’2” x 12’9” 168 sq ft Front store: 12’ x 12’9”. Meters 151 sq ft NET INTERNAL AREA 803 sq ft (74.6m²) Maisonette (16A) Front door off entrance lobby and stairs leading up to first floor and to split level landing. Living room (front): 14’6” x 12’11” plus angled bay. Kitchen/breakfast room (back): 8’9” x 13’2”. Range of fitted drawers & cupboards, dishwasher, double oven, hob and fridge. Rear landing off which: Laundry room: 5’6” x 9’6”. Wall mounted central heating boiler. Autowasher and dryer. Bathroom: Panelled bath with tiled surround, shower attachment and pedestal washbasin. Separate WC. Second floor landing with airing cupboard. Bedroom 1 (front): 14’5” x 13’4” Bedroom 2 (back): 8’8” x 13’1” RATING Shop – RV £18,750 UBR 51.2 p in the £ 2024/2025 Council tax (maisonette): Band C. Reigate & Banstead Borough Council Tel: 01737 276000. LEASE The shop is let to The Reigate Eye Studio on a ten year lease from 30th June 2021 inside the Landlord and Tenant Act 1954 at £23,000 per annum exclusive. The lease is on FRI terms with rent review and tenant break clause after five years. Maisonette 16A is let on an Assured Shorthold Tenancy until 1st May 2026 at £1,000 per month exclusive. PLANNING The permitted use is class E. The property lies within the town centre conservation area but is not a listed building. PRICE GUIDE Offers in the region of £605,000 freehold. VIEWING By prior appointment with our office. Tel: 01737 245886 (ref MS).",47.0,,,[],Crow Watkin,,,,01737 276000,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/mixed-use-investment-for-sale-shop-on-lease-plus-two-flats-and-rear-garage/,"WOODHATCH, REIGATE – MIXED USE INVESTMENT FOR SALE ~ SHOP ON LEASE PLUS TWO FLATS AND REAR GARAGE",475000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2022/07/Front-page-photo-pdf-1024x724.jpg'],"DIRECTIONS Proceeding southwards out of Reigate town centre up Bell Street (A217) and over the brow of Cockshot Hill proceed down to the Woodhatch traffic lights. Turn right into Prices Lane and the turning into the Western Parade service road is about 100 yards on the right hand side. LOCATION Western Parade is one of several shopping parades about one mile to the south of Reigate town centre at the junction of the A217 and Prices Lane. The shops comprise a neighbourhood centre serving a built up residential locality. Gatwick Airport is about six miles to the south and access onto the M25 at the top of Reigate Hill (junction 8) is about three miles by road. DESCRIPTION The property is an inter-war three storey brick and tile terrace building. It comprises a ground floor barbers shop held on lease with rear parking and garage and first and second floor flats (10A and 10B) with shared street entrance and common staircase which also serves the two flats above the jewellers at No 9. The building is fronted by a service road with parking bays and there is a rear access road off which is a parking yard for No 10 and a separate garage. The building and yard together with the separate garage are edged red on the attached Land Registry plan. ACCOMMODATION The ground floor comprises a purpose built lock-up shop of about 498 sq ft of which the retail area – currently a hairdressing salon – is about 375 sq ft with rear kitchen, office and WC. The rear yard has staff parking for four cars in tandem plus a separate brick garage with corrugated roof in the nearby block. The first floor flat (10A) has electric heating and partial double glazing with reception room 10’ x max 14’6”, hallway, kitchen 8’3” x 8’10”, balcony, front bedroom average 8’2” x 11’10”, rear bedroom 6’11” x 11’5” and rear bathroom with wash basin, panelled bath and WC. EPC band D. The second floor flat (10B) is of similar dimensions with gas central heating and original amenities. EPC band E. RATING RV £6,300 UBR 51.2p in the £ 2022/2023. Reigate & Banstead Borough Council Tel: 01737 276691 (business rates). The council tax bands for flats 10A and 10B are B. PLANNING The shop has long been used for retail purposes and falls within class E which since September 2020 embraces retail, offices, medical and health, restaurant and leisure uses. LEASE & TENANCIES The shop, yard and garage are let to Mr R Reading t/a Razor Room Barbers on a ten year internal repairing and insuring lease from 19th January 2019. There is a rent review at the end of year five and also a tenant break clause at the end of year five on six months prior written notice. The lease is inside the security provisions of the Landlord & Tenant Act 1954 with rights to assign or sub-let the whole but not part of the premises. The rent is £10,000 exclusive and the lessee has been in occupation for about thirteen years. Flat 10A is let to Mr G Angelov at £550 per month and flat 10B to Mrs V Vancheva at £475 per month. Both flats are let on shorthold tenancies and the occupants are holding over from their original agreements. PRICE GUIDE Offers in the region of £475,00 freehold. Subject to existing lease of ground floor shop. The property currently produces a gross income of £22,300 per annum. VIEWING By prior appointment with our office. Tel: 01737 245886 (ref MS).",498.0,,,[],Crow Watkin,,,,01737 276691,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/freehold-restaurant-with-car-park-in-reigate-four-bedroom-flat-and-two-storey-brick-outbuilding/,REDHILL COMMON – FREEHOLD RESTAURANT WITH CAR PARK – FOUR BEDROOM FLAT AND TWO STOREY BRICK OUTBUILDING,825000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2022/04/DSC02294-1024x768.jpg'],"DIRECTIONS Proceeding from Reigate towards Redhill on the A25, turn right at Shaws Corner opposite the Hatch P.H, fork left into Whitepost Hill with Redhill Common on the right, and turn right just before the Garibaldi P.H. Turn right at the T-junction, pass St Johns Church and The Pendleton is a further 200 yards along on the left with the car park beyond. LOCATION The restaurant is on the edge of Redhill Common in the St Johns Conservation Area about one mile to the south of Redhill town centre and mainline station and about two miles to the south east of Reigate. Gatwick Airport is about six miles to the south. DESCRIPTION Run for the past five years as Dexter Burgers, the restaurant has 51 inside covers, 54 outside covers and parking for 15 cars. The restaurant includes handmade bar counters, shelves and display fridges, a kitchen fully equipped with stoves, ovens and bench fridges and separate gents’ and ladies’ toilets. Dexter Burgers are on a rolling agreement and are looking to re-locate. The upstairs flat is centrally heated and has four bedrooms, living room, kitchen/breakfast room, utility room, shower room/WC and separate WC. The two storey brick outbuilding has good storage on the ground floor and offices/stores on the first floor. ACCOMMODATION (all measurements approximate) Restaurant Entrance porch: 6’ x 5’ max Reception area: 14’2” x 12’3” with fireplace Main restaurant in two section: 29’5” x 12’ and 6’9” x 12’. 40 covers. Bar/counter area: 19’5” x 11’8”. Hardcarved hardwood counter, shelves and display fridges. Built in steel tables, worktop and sink. Rear restaurant: 11’6” x 13’ with downlighters. 11 covers. Lobby with steps to rear door and to modern ladies and gents toilets. Modern fully equipped kitchen: Avg 23’3” x 11’. Modern steel equipment with three phase electricity. Two 6 grid Rational Combi ovens, chip fryer, two double plancha and single hob Athanor Range, worktops, shelves and racking, sinks and two bench fridges. NET AREA APPROX 1,270 SQ FT (118m²) Flat Staircase and door from rear restaurant lobby. Wide landing with understairs cupboard. Lounge (front): 11’2” x 11’1” plus study recess 4’10” x 4’10” Kitchen/Breakfast room (front): 12’10” x 11’11”, Matching units with worksurfaces, sink, hob, cooker hood, oven and microwave and American fridge/freezer. Bedroom One (rear): max 13’ x 12’ Bedroom Two (rear): 11’1” x 9’8” Lobby to separate utility room and shower room/WC. Carpeted staircase to second floor with landing Velux window. Bedroom Three (rear): 12’6” x 11’5”. Two eaves cupboards. Bedroom Four (rear): 11’7” x 9’11”. Two eaves cupboards. Outbuilding Two storey brick and slate attached building with high fencing and gate to road, cobbled forecourt, service and refuse area and raised concrete section. Both floors have headroom of 8ft plus and there is a rear metal staircase to the upper floor. Ground floor front store: 13’7” x 17’8” Ground floor refrigeration area: Avg 13’10” x 11’8”. Walk in fridge, two meat chillers and one freezer. First floor office/store: 14’1” x 30’3”. NET AREA APPROX 827 SQ FT (76.83m²) Outside there is a rear path and gate to a part walled paved terrace with seating for about 28. Either side of the restaurant is further seating in the forecourt area, which has access to a cellar (also access from inside). Steps with shrubs and gravel area lead down to a rear garden area with seating backing onto a wooded copse. The tarmac car park has 15 spaces. RATING RV £17,300 UBR 51.2p in the £ 2021/2023. Reigate & Banstead Borough Council Tel: 01737 276691. PRICE GUIDE £825,000 plus VAT. Freehold. To include fittings and equipment. VIEWING By prior appointment with our office. Tel: 01737 245886 (ref MS).",1270.0,,,[],Crow Watkin,,,,01737 276691,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/detached-surgery-building-in-reigate-approx-2519-sq-ft/,"WOODHATCH, REIGATE – DETACHED SURGERY BUILDING – APPROX 3000 SQ FT",895000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2022/04/Website.jpg'],"DIRECTIONS Proceeding south out of Reigate up Cockshot Hill (A217) and down to the Woodhatch traffic lights turn right into Prices Lane and the property is about 200 yards on the right at the junction with Alexander Road off which the parking area is approached. LOCATION The property is situated in a mainly residential well populated area about 200 yards from the shopping parade in Western Parade and with bus stops nearby. The location is a little over one mile south of Reigate town centre, some three miles from access onto the M25 motorway at the top of Reigate Hill (junction 8) and about six miles north of Gatwick Airport. DESCRIPTION The property comprises a two storey detached brick and tiled building constructed as a purpose built medical centre nearly thirty years ago. Internally, the treatment and consulting rooms are arranged around a central waiting/children’s play area on the ground floor. There is a single staircase up to the first floor accommodation where rooms are arranged around a central balcony area and light well. The building is centrally heated and has CCTV. ACCOMMODATION (all measurements approximate) Ground floor Children’s play/waiting area: max 23’2” x 39’4” 852 sq ft Staff/reception office: 14’ x 9’1-“ 137 sq ft Male & female WCs & staircase to first floor —- Treatment room: 14’11” x 14’6” 217 sq ft Interview room: 6’10” x 6’2” 42 sq ft Consulting room no 1: 13’11” x 9’6” 124 sq ft Consulting room no 2: max 16’7” x 13’ 187 sq ft Consulting room no 3: max 16’7” x 12’11” 204 sq ft Consulting room no 4: 13’3” x 9’7” 127 sq ft Store: 6’10” x 6’2” 42 sq ft 1932 sq ft First Floor Staff area, workstations & kitchen: max 28’5” x 24’9” arranged in sections around 92 sq ft lightwell 317 sq ft Admin office: 11’2” x 12’2” 136 sq ft Managers office: 11’1” x 12’1” 134 sq ft Staff shower/WC —– Two boarded attic stores (each approx. 250sqft) 500 sq ft 1087 sq ft INTERNAL FLOOR AREA APPROX 3019 sq ft (234.11 m²) Level paved parking area for 15 cars to rear. There is access over the car park to spaces at the eastern end in separate ownership. RATING RV £14,500 UBR 51.2p in the £ 2022/2023. Reigate & Banstead Borough Council Tel: 01737 276 691. PLANNING The property has a class E use embracing medical/health, day, nursery, offices, gyms and retail. PRICE GUIDE Region of £895,000. Freehold. The premises are currently unused but are subject to a lease which expires on 27th March 2023 and will not be renewed. Earlier completion of sale can be arranged. LEGAL COSTS Each side to be responsible for its own legal costs in the transaction. VIEWING By prior appointment with our office. Tel: 01737 245886 (ref MS). MS/",852.0,,,[],Crow Watkin,,,,01737 276 691,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/detached-building-approx-2500-sq-ft-f1-use-class-worship-education-price-guide-450000-freehold/,"DORKING – DETACHED BUILDING APPROX 2500 SQ FT – F1 USE CLASS – WORSHIP/EDUCATION – PRICE GUIDE £450,000 FREEHOLD",450000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2022/01/Website-photo.jpg'],"DIRECTIONS Proceed through the High Street and South Street and at the end of South Street turn left into the A2003 Horsham Road. Hampstead Road is the second turning on the right and the premises are just after the Falkland Arms P.H. on the left. LOCATION The property is situated in a built up mainly residential area of older style properties close to The Nower between Horsham Road and Coldharbour Lane. It is about ½ mile to the south west of Dorking High Street and about 1½ miles from Dorking station. There are two and three storey residential properties, both flats and houses, on either side of the building. Street parking is unrestricted although availability is limited. DESCRIPTION Believed built as a Brethren Church in the 1850s, the property is a mainly single storey structure with first floor attic rooms at front and rear. The main building has thick solid walls with brick and flintstone elevations under a pitched slate roof. There is a single storey post war addition of brick cavity and flat felt roof construction at the rear. The plot has road frontage of about 36’6” widening to about 40’ at the rear, and overall depth of about 140’, in all about 0.136 acre (0.055 hectare). ACCOMMODATION All measurements approximate, the accommodation comprises: Front forecourt: paved with metal gates, retaining walls & steps up to building. Bin area. Side path & gate on western elevation. Entrance lobby: 4’9” x 8’1” 38 sq ft Cloakroom & WC — Inner hall: 7’11” x 14’ with cloaks area 111 sq ft Kitchen (front): 10’6” x 8’ plus 7’5” x 8’9”. Modern units with sink, L shape worksurface, two ovens & two hobs with cooker hoods 149 sq ft Meeting room: 10’8” x 19’ 208 sq ft Main hall: 26’9” x 36’6”. Deep sash windows. Approx 13ft eaves height 976 sq ft Lobby: 6’10” x 9’10” leading through to rear workshop off which: 67 sq ft Tool room: 8’5” x 9’8” 82 sq ft Rear workroom: 18’7” x 20’11” with about 9ft headroom. Rear cupboard. Door to rear lobby & cloakrooms. 389 sq ft Side lobby: 8’11” x 4’11” 44 sq ft Store: 4’11” x 8’11” 44 sq ft Two rear cloakrooms — First floor front: storage area approached from front lobby with meter cupboard behind kitchen 228 sq ft First floor area: former meeting area with high ceiling. 198 sq ft INTERNAL FLOOR AREA 2534 sq ft (235.41m²) Outside at the rear, there are steps up to a garden at higher level part laid to artificial turf with decorative fencing. Access to a service lane off Harrow Road West is currently fenced off. PLANNING Since the changes in the Use Classes order in September 2020, the property has a permitted F1 use class which covers places of worship, education (non residential), training centres & public/exhibition halls. NB clinics, health centres and day nurseries would now require planning consent for change of use. TENURE Freehold interest. Vacant possession on completion. The property has been used since 2019 by Dorking Men’s Shed on a rent free basis without security of tenure. PRICE GUIDE Offers in the region of £450,000. VIEWING By prior appointment with our office Tel: 01737 245886 (ref MS).",38.0,0.136,F1,[],Crow Watkin,,,,01737 245886,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/freehold-vacant-shop-for-sale-in-waterhouse-lane-kingswood-approx-549-sq-ft-with-256-sq-ft-cellar/,"FREEHOLD VACANT SHOP FOR SALE IN WATERHOUSE LANE, KINGSWOOD – APPROX 549 SQ FT WITH 256 SQ FT CELLAR",140000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2021/12/8-waterhouse-lane.jpg'],"DIRECTIONS Proceed up Reigate Hill and along the A217 through Lower Kingswood. Turn right at the Tadworth roundabout signposted Kingswood into Bonsor Drive (B2032). Turn left at the Kingswood Arms P.H. in the village and the premises are about 100 yards on the right. LOCATION The premises form part of the local shopping parade in Kingswood fronting Waterhouse Lane and opposite open land. The main A217 Brighton Road is within half a mile. Kingswood station is a short walk. Kingswood is an affluent area with the nearest town centres of Epsom, Sutton and Reigate each within five miles. Access onto the M25 at the top of Reigate Hill (junction 8) is under four miles to the south. DESCRIPTION The unit being offered for sale is the front section of premises which have been used for the last ten years as a hair and beauty salon. It is a part of a three storey inter-war parade of shops and flats and comprises a front reception area behind which is a central lobby and four partitioned treatment rooms one of which has a trap door access to a useful cellar. The unit is well presented with modern wiring, inset lighting, matching flooring and decorative coving and there are hand basins in each of the treatment rooms. The reception area has full height window display and air conditioning/heating unit. The owners have prior approval from the council to build a one bedroom flat attached to the rear of the shop. They will install a new rear cavity wall with full sound insulation and will leave the purchaser to install a toilet and reinstate as necessary the door to the side path which is currently blocked off. The attached layout plan shows the new shop area shaded green and the flat shaded brown. ACCOMMODATION All measurements approximate, the accommodation comprises: Front retail area: 18’8” x 13’ Central lobby: 3’2” x 17’4” Treatment room (left central): 8’x ‘4” Treatment room (left rear): 5’10” x 7’8” – excludes shower unit Treatment room (right central): 7’1” x 9’1” Treatment room (right rear): 7’9” x 8’2” NET INTERNAL AREA 549 SQ FT (51m²) Cellar: 15’9” x 16’. 7’6” headroom (252 sq ft) RATING Rateable value to be reassessed following alterations UBR 51.2 p in the £ 2021/2022. Reigate & Banstead Borough Council Tel: 01737 276691. PLANNING The permitted user is class E which covers shops, financial & professional services, cafes, offices, clinics, day centres and gyms. PRICE Region of £140,000 FREEHOLD VIEWING By prior appointment with our office. Tel: 01737 245886 (until 1pm weekdays).",549.0,,,[],Crow Watkin,,,,01737 276691,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/subud-hall-allingham-road-reigate-surrey-rh2-8hx-detached-d1-building-for-sale/,"Subud Hall, Allingham Road, Reigate, Surrey RH2 8HX – Detached F1 Building For Sale",450000,,['https://www.crowwatkin.co.uk/wp-content/uploads/2020/03/Subud-Hall-Allingham-Road-2-1024x768.jpg'],"DIRECTIONS Proceed southwards out of Reigate town centre up the A217 Bell Street, turn right at the brow of Cockshot Hill into Park Lane East, take the third turning on the left into Church Road, then right into Allingham Road and the property is on the left just before the Cooperative store. LOCATION The premises are located in the South Park area of Reigate a little over 1 mile to the south of the town centre in a built up area comprising mainly older style residential property (see plan overleaf). Allingham Road is a relatively narrow street with limited although unrestricted parking. Gatwick airport is about 6 miles to the south and junction 8 of the M25 at the top of Reigate Hill is about 3 miles to the north. DESCRIPTION Built as a church in the 1890s with 2 main halls and later additions, the property comprises 4 inter-communicating single storey brick structures with differing roof heights and types. The main buildings are 2 pitched roofed halls at the front and rear and these are linked by a central flat roof section used as a reception area and open plan kitchen. There is also a post-war single storey flat roofed brick addition comprising toilet accommodation in the south east corner. Both front and rear halls connect to separate gents and ladies toilets. The premises are currently in use for weekend worship.The site is broadly level with road frontage of about 42 ft widening to about 80 ft at the rear, with maximum site depth of 188 sq ft in all about 0.25 acre (0.1 hectare). There is currently no onsite parking provision. The minimum gap down the western side of the building is about nine feet. ACCOMMODATION The accommodation is arranged as follows; all measurements approximate:- Front entrance porch: 6’10” x 4’7” 31 sq ft Front hall: 25’3” x 50’2” – 11’ headroom 1267 sq ft Lobby with separate gents & ladies toilets — Side vestibule: 4’6” x 5’7” 25 sq ft Reception area/kitchen: 35’ x 11’10” 415 sq ft Rear hall: 41’ x 24’ – 11ft headroom 984 sq ft Separate gents & ladies toilets — NET INTERNAL FLOOR AREA 2722 sq ft (253.44m²) Front forecourt with concrete paving and grassed area. Side path to steel ramp into entrance vestibule. Timber gate and screen through to rear garden which is mainly lawned with paving and three small timber sheds. RATING RV: none listed. UBR 51.2p in the £ 2024/2025. PLANNING The permitted planning use is F1 ie places of worship, schools and education. The owners are seeking unconditional offers which are not subject to planning permission for change of use, eg clinics, day nurseries or creches. Planning permission for demolition and replacement by two semi-detached houses was refused in November 2021 under ref 21/00679/OUT. An appeal against the refusal under ref APP/L3625/W/21/3288783 was dismissed on 9th December 2022, the main reason being the loss of a non-designated heritage asset. PRICE GUIDE Offers in the region of £450,000. Freehold. Vacant possession. VIEWING Strictly by prior appointment with our office. Tel: 01737 245886 (ref MS).",188.0,0.25,RH2 8HX,[],Crow Watkin,,,,01737 245886,,,Freehold,For Sale,2026-02-23,New
https://www.crowwatkin.co.uk/listing/small-lock-up-shop-reigate-town-centre-19950-per-annum-exclusive/,"SMALL LOCK-UP SHOP – REIGATE TOWN CENTRE – £19,950 PER ANNUM EXCLUSIVE",,,['https://www.crowwatkin.co.uk/wp-content/uploads/2025/11/DSC04020-1024x768.jpg'],"LOCATION The premises are located in the middle of Reigate High Street opposite the town centre traffic lights and opposite the pedestrian entrance to Morrisons town centre store. A public footpath up to the Castle Grounds runs alongside No 32. Nearby retailers include M&S Food Hall, WH Smith, Dreams, Costa Coffee, Café Nero and various fashion stores. Reigate station is a six/seven minute walk through the Castle Grounds and junction 8 of the M25 is about two miles to the north. DESCRIPTION No 30 is a small ground floor lock-up shop between Simply Sports and Penelope Red in a two-storey brick and tiled building. It has an outside WC housed in a modern flat roofed extension to No 28. There is a gate to the public footpath from the yard area shared with No 32 but no vehicular access. ACCOMMODATION (all measurements approximate) Shop: 12’8” x 12’2” and 10’1” x 7’10” 230 sq ft Kitchen/office: 13’7” x 9’ max. Door to rear yard 106 sq ft Separate WC in brick outbuilding ———– NET FLOOR AREA APPROX 328 sq ft (30.47m²) Floor plan & location RATING The property is assessed for rating purposes at RV £16,000. The current rate in the £ for Reigate & Banstead Borough Council being 49.9p subject to individual circumstances. PLANNING The permitted planning use is class E which includes retail, offices and medical/health. The landlords wish to avoid vape shops and nail bars. The property is shown in local records as a Grade II listed building and lies within the town centre conservation area. LEASE TERMS The premises are available on a ten year FRI lease inside the Landlord & Tenant Act with three yearly reviews. RENT £19,950 per annum exclusive. LEGAL COSTS Each side to be responsible for its own legal costs in the transaction. VIEWING Strictly by prior appointment with Crow Watkin. Tel: 01737 245886 (office hours 9am – 1pm).",230.0,,,['https://www.crowwatkin.co.uk/wp-content/uploads/2025/11/Floor-plan-location.docx'],Crow Watkin,,,,01737 245886,,,,To Let,2026-02-23,New
https://www.crowwatkin.co.uk/listing/reigate-662-sqft-open-plan-first-floor-offices-to-let-on-initial-lease-until-june-2027-10000-p-a-excluding-services/,"REIGATE – 662 SQFT OPEN PLAN FIRST FLOOR OFFICES TO LET ON INITIAL LEASE UNTIL JUNE 2027 £10,000 P.A. EXCLUDING SERVICES",,,['https://www.crowwatkin.co.uk/wp-content/uploads/2025/04/DSC03741-1024x768.jpg'],"DIRECTIONS Proceed southwards out of Reigate town centre (Bell Street), turn left into Lesbourne Road which connects with Blackborough Road. The entrance to 47C is about 200 yards along on the left. LOCATION A little over half a mile due east of Reigate town centre, a quiet location adjoining the cemetery to the parish church and the back of Reigate Grammar School. Redhill main line station is about 1½ miles and access onto the M25 at the top of Reigate Hill (junction 8) is about 2 miles. DESCRIPTION The suite is on the first floor of the original three storey bakery building converted many years ago into workshops and offices. It is approached by an outside staircase under a canopy entrance. The yard itself is gated. ACCOMMODATION All measurements approximate:- Shared hall: understairs cupboard. — Main office: 20’2” x 23’8” plus 10’4” x 13’4”, less 8’. L-shaped open plan with kitchen. 607 sq ft Side office: 6’5” x 8’7” 55 sq ft Shared use of top floor toilets. __________ IN ALL ABOUT 662 sq ft (61.5m²) AMENITIES Two car spaces in yard Fitted work benches and cupboards Ample power points and structured cabling Air conditioning/heat pump Carpet tiles Use of shared loading bay RATING The office qualifies for 100% relief subject to being the tenants only premises. Reigate and Banstead Borough Council. LEASE TERMS Lease until June 2027 outside the Landlord & Tenant Act 1954. Separate service charge to cover lighting and cleaning of common parts, rubbish collection, fire alarm maintenance, fire extinguisher servicing and building insurance. Estimate £2,600 per annum. Water meter charges split by the number of people in the building. Electricity on a landlord’s sub meter. Base load gas heating split by floor area if desired. RENT £10,000 per annum payable monthly. VIEWING By prior appointment with our office. Tel: 01737 245886 (office hours 9am – 1pm).",607.0,,,[],Crow Watkin,,,,01737 245886,,,,To Let,2026-02-23,New
