listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.heaneymicklethwaite.co.uk/properties/land-to-let-grange-moor-wf4-4ds/,"Land to Let, Grange Moor WF4 4DS",,Land,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2026/01/Land-to-let-Grange-Moor.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","Land is situated on the roundabout at the junction of Wakefield road and Liley Lane and is predominately flat and rectangular in shape, has double steel gates at the entrance. It extends to approximately 0.35 acres. The land is situated on the roundabout at the junction of Wakefield Road and Liley Lane at Grange Moor which is approximately 6 miles from Huddersfield. The land extends to approximately 0.35 acres.",,0.35,WF4 4DS,['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2026/01/Land-at-Grange-Moor-WF4-4DS.pdf'],Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/47-westborough-scarborough-yo11-1un/,"47 Westborough, Scarborough YO11 1UN",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2026/01/47-Westborough-Scarborough.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","The property is located in Scarborough Town Centre on the principle route from the railway station to the sea front. Westborough forms part of Scarborough’s main shopping area. The property is located in Scarborough Town Centre on the principle route from the railway station to the sea front. Westborough forms part of Scarborough’s main shopping area and occupiers in the immediate vicinity include William Hill, Nationwide Building Society, Ryman, Betfred and Santander. The accommodation with the following approximate areas is:- Ground Floor 1,363 sq ft 126.6 sqm First Floor 431 sq ft 40.0 sqm Toilets Second Floor 506 sq ft 47.0 sqm Third Floor 549 sq ft 51.0 sqm Basement 698 sq ft 64.9 sqm",1363.0,,YO11 1UN,['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2026/01/47-Westborough-Scarborough.pdf'],Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/203-butcher-hill-leeds-ls16-5bq/,"203 Butcher Hill, Leeds LS16 5BQ",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/12/203-Butcher-Hill-Leeds.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","Currently a beauty salon but suitable for alternative uses. Rare to come to the rental market, used for beauty trade over 24 years, hitting the market due to health changes. Located in the popular parade close to the junction of Butcher Hill and Spen Lane. The accommodation is currently divided into treatment rooms but these could be removed to create one clear space. The property is located close to the junction of Butcher Hill and Spen Lane in the popular North Leeds suburb of West Park. Property is situated on a very busy parade with excellent footfall, opposite Co-op, Eateries, a busy launderette and St Gemma’s. Early viewing is recommended for this prime urban spot. The accommodation with the following approximate floor areas is:- Ground Floor 406 sq ft 37.7 sqm The accommodation is currently divided into treatment rooms but these could be removed to create one clear space.",406.0,,LS16 5BQ,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/12/203-Butcher-Hill-Leeds-1.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/12/203-Butcher-Hill-Leeds-EPC.pdf']",Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/800-harrogate-road-greengates-bd10-0qs/,"800 Harrogate Road, Greengates BD10 0QS",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/10/800-Harrogate-Road-Greengates.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","The property occupies a prominent location at the crossroads of Harrogate Road and New Line in Greengates. Harrogate Road is a major trunk road linking Bradford to the Airport and Harrogate. The property occupies a prominent location at the crossroads of Harrogate Road and New Line in Greengates. Harrogate Road is a major trunk road linking Bradford to the Airport and Harrogate. Nearby occupiers include Greggs, Farmfoods and Sainsburys. The accommodation with the following approximate floor areas is:- Ground Floor Café 1,459 sq ft 135.5 sqm Kitchen 226 sq ft 20.9 sqm Toilets First Floor Offices/Store 1,630 sq ft 151.4 sqm Basement 451 sq ft 41.8 sqm",1459.0,,BD10 0QS,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/10/800-Harrogate-Road-Greengates-1.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/10/800-Harrogate-Road-Greengates-EPC.pdf']",Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/374-harrogate-road-moortown-corner-leeds-ls17-6py/,"374 Harrogate Road, Moortown Corner, Leeds LS17 6PY",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/06/374-Harrogate-Road-Moortown-Corner-Leeds.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']",*KEY FEATURES* *Prominently situated fronting major arterial road* *Popular North Leeds Suburb of Moortown with M & S Foodstore nearby* *Newly Refurbished* The property consists of a newly refurbished self contained shop unit which benefits from air conditioning and brand new shop front. The property is located in the popular North Leeds suburb of Moortown. The premises form part of a parade of shops with a mixture of occupiers. The accommodation with the following approximate floor areas comprises:- Sales Area 643 sq ft 59.7 sqm Kitchen 45 sq ft 4.1 sqm WC,643.0,,LS17 6PY,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/06/374-Harrogate-Road-Moortown-Corner-Leeds.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/06/374-Harrogate-Road-Moortown-Corner-Leeds-EPC.pdf']",Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/78-84-crossgates-road-crossgates-leeds-ls15-7nl/,"78-84 Crossgates Road, Crossgates, Leeds LS15 7NL",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/78-84-Crossgates-Road-Crossgates.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","The property is located on Crossgates Road, which is a major road linking Crossgates to Leeds City Centre and has a substantial traffic flow in both directions. Crossgates is a popular residential suburb some four miles to the East of Leeds City Centre, which has seen substantial new house building recently. The subject premises form part of the neighbourhood shopping area with a mixed retail and service occupiers in the immediate vicinity. The shop has the following approximate and net floor areas:- Ground Floor Sales 1,475 sq ft 137 sqm Toilet NOTE – Division into 2 separate units is an option.",1475.0,,LS15 7NL,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/78-84-Crossgates-Road-Crossgates-2.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/78-84-Crossgates-Road-Crossgates.pdf']",Heaney Micklethwaite,,,,,,,,To Let
https://www.heaneymicklethwaite.co.uk/properties/14-austhorpe-road-crossgates-leeds-ls15-8dx/,"14 Austhorpe Road, Crossgates, Leeds LS15 8DX",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/14-Austhorpe-Road-Crossgates.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","Freehold investment for sale, subject to the existing tenancy. Offers in the region of £375,000 are invited. Located on Austhorpe Road in Crossgates. Crossgates is a neighbourhood approximately 5 miles to the East of Leeds City Centre. The property comprises a two storey brick built shop unit under a tiled roof forming part of a parade of similar properties. To the rear is a single storey brick built flat roof extension and enclosed yard area. The property is located on Austhorpe Road in Crossgates. Crossgates is a neighbourhood approximately 5 miles to the East of Leeds City Centre. Austhorpe Road forms part of the neighbourhood shopping area where a number of local and national occupiers are represented including Virgin Money, Merkur Slots, British Heart Foundation, RSPCA, Reeds Reins, Betfred and Costa Coffee. The accommodation with the following approximate floor areas is:- Ground Floor 992 sq ft 92.15 sqm Self contained flat with an entrance off Back Austhorpe Road comprising kitchen, sitting room, bathroom and 2 bedrooms.",992.0,,LS15 8DX,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/14-Austhorpe-Road-Crossgates-freehold-inestment-for-sale.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/04/14-Austhorpe-Road-Crossgates-EPC.pdf']",Heaney Micklethwaite,,,,,,,Freehold,For Sale
https://www.heaneymicklethwaite.co.uk/properties/20-austhorpe-road-crossgates-leeds-ls15-8dx/,"20 Austhorpe Road, Crossgates, Leeds LS15 8DX",,Investment,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/02/20-Austhorpe-Road-Crossgates.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","Located on Austhorpe Road in Crossgates, Crossgates is approximately 5 miles to the east of Leeds City Centre. A two storey brick built shop unit under a tiled roof forming part of a parade of similar properties. To the rear is a single storey brick built flat roof extension and enclosed yard area. Self contained flat with an entrance off Back Austhorpe Road. The property is located on Austhorpe Road in Crossgates. Crossgates is a neighbourhood approximately 5 miles to the East of Leeds City Centre. Austhorpe Road forms part of the neighbourhood shopping area where a number of local and national occupiers are represented including Virgin Money, Merkur Slots, PDSA, RSPCA, Reed Reins, Betfred and Costa Coffee. The accommodation with the following approximate floor areas is:- Ground Floor 992 sq ft 92.15 sqm Self contained flat with an entrance off Back Austhorpe Road Comprising kitchen, sitting room, bathroom and 2 bedrooms.",992.0,,LS15 8DX,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/02/20-Austhorpe-Road-Crossgates.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2025/02/20-Austhorpe-Road-Crossgates-EPC.pdf']",Heaney Micklethwaite,,,,,,,,For Sale
https://www.heaneymicklethwaite.co.uk/properties/27-toll-gavel-beverley-hu17-9aa/,"27 Toll Gavel, Beverley HU17 9AA",,Investment,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/05/27-Toll-Gavel-Beverley-Front.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","The property is located on Toll Gavel which is the principle pedestrianised shopping street in the market town of Beverley. The property occupies a 3 storey shop constructed from brick under a clay pantile roof. The premises have a modern plate glass shop front and traditional sash windows on the upper floors and rear. The property is located on Toll Gavel which is the principle pedestrianised shopping street in the market town of Beverley. Nearby occupiers include Superdrug, Cooplands, Heron Foods, Vodafone, Costa Coffee and Hotel Chocolat. The accommodation with the following approximate floor areas is:- Ground Floor Sales 1,061 sq ft 98.6 sqm Ground Floor Store 271 sq ft 25.2 sqm First Floor Store 1,014 sq ft 94.2 sqm Second Floor Store 326 sq ft 30.3 sqm",1061.0,,HU17 9AA,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/05/27-Toll-Gavel-Beverley-1.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/05/27-Toll-Gavel-Beverley-Goad.pdf']",Heaney Micklethwaite,,,,,,,,For Sale
https://www.heaneymicklethwaite.co.uk/properties/26-beulah-street-harrogate-hg1-1qh-and-46-station-parade-harrogate-hg1-1tx/,"26 Beulah Street, Harrogate HG1 1QH and 46 Station Parade, Harrogate HG1 1TX",,Retail,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/12/Asset-2.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/06/26-Beulah-Street-Harrogate.jpg', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235447-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235462-256.png', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2019/11/3235467-256.png']","The property is located on Beulah Street in Harrogate town centre and benefits from a frontage to Station Parade. The property comprises a three storey stone built shop property under a slate roof in a parade of similar buildings. The premises benefit from frontages to both Beulah Street and Station Parade. The property was substantially rebuilt in 2020 which included a new roof, new floors, new window frames, new services, replastering and decorating. The property is located on Beulah Street in Harrogate town centre and benefits from a frontage to Station Parade. Beulah Street is a pedestrianised shopping street with a number of independent and national occupiers including Specsavers, Costa Coffee, Blue Cross and Cancer Research. Station Paade is a principle vehicular route through the town with the Bus and Railway Station being situated there. 26 Beulah Street Ground Floor Shop 440 sq ft 40.87 sqm Basement 467 sq ft 43.38 sqm Kitchen 44 sq ft 4.08 sqm Toilet 46 Station Parade Ground Floor 128 sq ft 11.9 sqm First Floor 522 sq ft 48.5 sqm Second Floor 343 sq ft 31.9 sqm Toilets",440.0,,HG1 1QH,"['https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/06/26-Beulah-Street-and-46-Station-Parade-Harrogate-1.pdf', 'https://www.heaneymicklethwaite.co.uk/wp-content/uploads/2024/06/26-Beulah-Street-Harrogate-EPC.pdf']",Heaney Micklethwaite,,,,,,,,For Sale
