listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://finchcre.com/opportunities/#post-5156,"Randalstown Road Antrim, BT41 4LJ",,Industrial,['https://finchcre.com/wp-content/uploads/2025/10/Finch_BROCHURES_Randalstown-Road-Antrim_SOCIALS_PORTALS_1200x1800-scaled.jpg'],"Industrial Randalstown Road Antrim, BT41 4LJ",,,BT41 4LJ,['https://finchcre.com/wp-content/uploads/2025/10/Finch_BROCHURES_Randalstown-Road-Antrim_v4.0_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4164,"10 Donegall Square East Belfast, BT1 5HD",,Retail,['https://finchcre.com/wp-content/uploads/2025/09/Finch_BROCHURES_10-Donegall-Square-East-Belfast_SOCIALS_PORTALS_1200x1800-1.jpg'],"Retail 10 Donegall Square East Belfast, BT1 5HD",,,BT1 5HD,['https://finchcre.com/wp-content/uploads/2025/09/Finch_BROCHURES_10-Donegall-Square-East-Belfast_v7_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-5124,"Unit 6, 47-49 Duncrue Crescent Belfast, BT3 9BW",,Industrial,['https://finchcre.com/wp-content/uploads/2025/09/Finch_BROCHURES_47-49-Duncrue-Crescent-Belfast_Unit-6_SOCIALS_FINCHCRE.COM_1200x1800.jpg'],"Industrial Unit 6, 47-49 Duncrue Crescent Belfast, BT3 9BW",,,BT3 9BW,['https://finchcre.com/wp-content/uploads/2025/09/Finch_BROCHURES_47-49-Duncrue-Crescent-Belfast_Unit-6_v3_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4990,"Greenbank Industrial Estate, Warrenpoint Road, Newry Newry, BT34 2QU",,Industrial,['https://finchcre.com/wp-content/uploads/2025/07/Finch_BROCHURES_Greenbank-Industrial-Estate-Warrenpoint-Road-Newry_SOCIALS_FINCHCRE.COM_1200x1800-scaled.jpg'],"Industrial Greenbank Industrial Estate, Warrenpoint Road, Newry Newry, BT34 2QU",,,BT34 2QU,['https://finchcre.com/wp-content/uploads/2025/07/Finch_BROCHURES_Greenbank-Industrial-Estate-Warrenpoint-Road-Newry_v3.1_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4741,"Lower Ground Floor, 46 Donegall Place Belfast, BT1 5BB",,Retail,['https://finchcre.com/wp-content/uploads/2025/03/Finch_BROCHURES_408-Lisburn-Road-Belfast_SOCIALS_FINCHCRE.COM_1200x1800-1.jpg'],"Retail Lower Ground Floor, 46 Donegall Place Belfast, BT1 5BB",,,BT1 5BB,['https://finchcre.com/wp-content/uploads/2025/03/Finch_BROCHURES_46-Donegall-Place-Belfast_LG_v7_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4735,"408 Lisburn Road Belfast, BT4 6GN",,Retail,['https://finchcre.com/wp-content/uploads/2025/03/Finch_BROCHURES_408-Lisburn-Road-Belfast_SOCIALS_FINCHCRE.COM_1200x1800.jpg'],"Retail 408 Lisburn Road Belfast, BT4 6GN",,,BT4 6GN,['https://finchcre.com/wp-content/uploads/2025/03/Finch_BROCHURES_408-Lisburn-Road-Belfast_v2.1_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4703,"6-9 Donegall Square South Belfast, BT1 5JA",,Office,['https://finchcre.com/wp-content/uploads/2024/11/Finch_Metro-Building_COVER-IMAGE.jpg'],"Office 6-9 Donegall Square South Belfast, BT1 5JA",,,BT1 5JA,['https://finchcre.com/wp-content/uploads/2024/11/metro-building.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,,2026-02-27,Old
https://finchcre.com/opportunities/#post-4281,"Unit G, Knockmore Industrial Estate Lisburn",,Industrial,['https://finchcre.com/wp-content/uploads/2023/04/Knockmore-Industrail-0043-1-scaled.jpg'],"Industrial Unit G, Knockmore Industrial Estate Lisburn",,,,['https://finchcre.com/wp-content/uploads/2024/12/Finch_BROCHURES_Knockmore-Industrial-Estate-Lisburn_UNIT-G_v8.2_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
https://finchcre.com/opportunities/#post-4638,"450 Woodstock Road Belfast, BT6 9DR",,Retail,['https://finchcre.com/wp-content/uploads/2024/09/Finch_BROCHURES_450-Woodstock-Road-Belfast_SOCIALS_PORTALS_1200x1800-e1726161491551.jpg'],"Retail 450 Woodstock Road Belfast, BT6 9DR",,,BT6 9DR,['https://finchcre.com/wp-content/uploads/2024/09/Finch_BROCHURES_450-Woodstock-Road-Belfast_v4.1.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,,2026-02-27,Old
https://finchcre.com/opportunities/#post-4629,"Unit A, Knockmore Industrial Estate Lisburn",,Industrial,['https://finchcre.com/wp-content/uploads/2024/09/Knockmore-Industrail-0034-scaled-e1725360550897.webp'],"Industrial Unit A, Knockmore Industrial Estate Lisburn",,,,['https://finchcre.com/wp-content/uploads/2024/09/Finch_INDUSTRIAL_Knockmore-Industrial-Estate-Lisburn_UNIT-A_v2.1_RFS.pdf'],Finch Commercial Real Estate,,,info@finchcre.com,+442890446495,,,,For Sale,2026-02-27,Old
