listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.ftdjohns.co.uk/property/perimeter-one/231283,"Old Brighton Road, A1 Old Brighton Road Crawley RH11 0PR",,,[],"Unit A1 is located on the A23 within 500m of Gatwick Airport and only 3 miles from J10, M23. J9, M23 is about 2 miles, leading to J7, M23/M25 interchange. Unit A1 is a detached industrial / warehouse facility with extensive ground and first floor offices with three surface level loading doors within 350 meters of Gatwick Airport. The property is set to undergo a comprehensive refurbishment. Under refurbishment Large self-contained yard 3 surface level loading doors 6.1m minimum eaves Air-conditioning to offices A new full repairing and insuring lease is available for a term to be agreed.",34332.0,,RH11 0PR,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/fe8778cdce61a050959148a60bd658f0-perimeteronetwo-010825.pdf'],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-16-the-birches-industrial-estate/288616,Hills Road East Grinstead RH19 1XZ,,,[],"Unit 16 is located on the ever popular Birches Industrial Estate which is 1.4 miles from the centre of East Grinstead and 5.4 miles from the M23. Gatwick Airport is 7.5 miles Unit 16 is a self-contained building with a 29m deep yard extending to 15,000 sq ft. A full refurbishment is under way. There is a ground floor reception, with further offices located at first floor level. The refurbishment will be completed by 7 October 2025. Refurbished 5.4m min / 6m max eaves 2 surface level loading doors (4m w x 5m h) Yard 33m max depth / 15m min depth Offices with air-conditioning PV roof panels 20 car parking spaces A new full repairing and insuring lease is available for a term to be agreed.",26625.0,,RH19 1XZ,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/c6bebebb7bd0ff8942ce3ec970fa295b-brochure-16-tbie.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/fc20fcc56cb58527c7fe4e3aec510ef8-11676-wd-13221-unit-16-proposed-ff-floor-plan.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/3786cabd2d2289f36eb7161d20557d42-11676-wd-13220f-unit-16-proposed-gf-floor-plan.pdf']",FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-1-sterling-park-industrial-estate/229425,Gatwick Road Crawley RH10 9QT,,,[],"Sterling Park is prominently located on Gatwick Road, on the ever popular Manor Royal Estate. Gatwick Airport is within 1.5miles as is J10 M23. Unit 1 is a self-contained unit of a steel portal frame, with block infill and external facing brickwork with steel cladding. The unit has been fully refurbished. There is a new roof, new WCs on each floor and offices at ground and first floors. There is parking for 53 cars. Fully refurbished to include a new roof Min eaves 4.5m, max 5.7m Ground and first floor offices with new trunking and GFCH Kitchen 53 car spaces A new full repairing and insuring lease is available for a term to be agreed.",24133.0,,RH10 9QT,[],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-2-sterling-park-industrial-estate/302702,Gatwick Road Crawley RH10 9QT,,,[],"Sterling Park is prominently located on Gatwick Road, on the ever popular Manor Royal Estate. Gatwick Airport is within 1.5miles as is J10 M23. Unit 2 is a self-contained unit of a steel portal frame, with external brickwork with steel cladding. The unit has been fully refurbished. There are ground and first floor offices. There is parking for 40 cars. Refurbished Min eaves 4.5m, max 5.7m Ground and first floor offices with GFCH and comfort cooling 40 car spaces A new lease is available for a term to be agreed.",23990.0,,RH10 9QT,[],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-2a-gatwick-gate/301265,"Gatwick Gate Industrial Estate, Charlwood Road Crawley RH11 0TG",,,[],"The property is located on the Gatwick Gate Industrial Estate, in Lowfield Heath. The unit is located 3.5 miles from Junction 10 of the M23. The unit comprises of an end of terrace warehouse with ground floor and first floor office space. The unit has been comprehensively refurbished, benefitting from a new roof, 5.75m minimum eaves, a surface level loading door, air conditioning to offices, double glazed windows throughout, WC facilities on ground floor and first floor and EV charging. Fully refurbished New roof 5.75m min / 6.5m max eaves EV charging 24 car parking spaces A new full repairing and insuring lease it to be made available for a term to be agreed.",22464.0,,RH11 0TG,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/851cb132596538d6ad0335a0d812f7b5-7359-final-gatwick-gate-crawley-23092025.pdf'],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-2b-gatwick-gate/301380,"Gatwick Gate Industrial Estate, Charlwood Road Crawley RH11 0TG",,,[],"The property is located on the Gatwick Gate Industrial Estate, in Lowfield Heath. The unit is located 3.5 miles from Junction 10 of the M23. The unit comprises of an mid terrace warehouse with ground floor and first floor office space. The unit has been comprehensively refurbished, benefitting from a new roof, 5.75m minimum eaves, a surface level loading door, air conditioning to offices, double glazed windows throughout, WC facilities on ground floor and first floor and EV charging. Fully refurbished New roof 5.75m min / 6.5m max eaves EV charging 24 car parking spaces A new full repairing and insuring lease it to be made available for a term to be agreed.",22238.0,,RH11 0TG,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/2c2394caea64311237d010b51c996193-7359-final-gatwick-gate-crawley-23092025.pdf'],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-4a-tinsley-lane-north/199977,Tinsley Lane North Crawley RH10 9TP,,,[],"Unit 4A is located off Gatwick Road, on Manor Royal close to Gatwick Airport. Gatwick Airport rail station provides services to London (Victoria and London Bridge) and the south coast. This property is a semi-detached industrial / warehouse building which has been newly refurbished to reflect the modern-day occupier. There are newly refurbished offices at both ground and first floor levels. Externally there is a secure 30m deep yard in addition to 15 car parking spaces to the front of the building. The EPC is A+. Fully refurbished 2 loading doors 5.28m min 6.11m max eaves ground and first floor offices with air con 30m deep secure, gated yard 15 marked car parking spaces PV roof panels A new lease is available for a term to be agreed.",22167.0,,RH10 9TP,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/340ce453212be6a56eccf9cfab50b3e4-7354-4a-tinsley-lane-north-brochure-012025.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/b595dcd0188be10d17eee24f01d5b74c-4a-crawley-proposed-rev-01.pdf']",FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-1-urban/280349,Crompton Way Crawley RH10 9QR,,,[],"Located on Crompton Way on Manor Royal. Urban is located only 4.5 miles from London Gatwick Airport. J10 M23 is just 2.4 miles away, providing access to J7 M25, which is just 12 miles away. Urban Crawley is a new development. Unit 1 is a headquarters unit with first floor offices. New build 2 surface level loading doors Secure 21m deep yard 10m min eaves 21 car parking spaces EV charging points PV panels A new lease is available for a term to be agreed.",19007.0,,RH10 9QR,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/4c98ec04d40398aa95910e0bbe9d7920-urban-updated-brochure.pdf'],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/perimeter-two/231293,"Old Brighton Road, A2 Old Brighton Road Crawley RH11 0PR",,,[],"Unit A2 is located on the A23 within 500m of Gatwick Airport and only 3 miles from J10, M23. J9, M23 is about 2 miles, leading to J7, M23/M25 interchange. Unit A2 is a detached building of steel portal frame construction undergoing a complete refurbishment. There will be new ground and first floor offices and two surface level loading doors. There is a large self-contained, gated yard. Under refurbishment Secure site Self-contained yard Loading door (4.4m w x 6.4m h) 6.2m min / 7.3m max eaves Air-conditioning to offices A new full repairing and insuring lease is available for a term to be agreed.",16686.0,,RH11 0PR,['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/619f0c4a3d3252062b4d3d30b727aecd-perimeteronetwo-010825.pdf'],FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
https://www.ftdjohns.co.uk/property/unit-4-crompton-fields/143963,Crompton Way Crawley RH10 9QB,,,[],"Crompton Fields is situated approx 2 miles from Gatwick Airport, on Manor Royal in Crawley’s Manor Royal Estate. J10 of the M23 is 1.5 miles. Crompton Fields is within a mature, landscaped environment. The property has been fully refurbished throughout. There is a secure rear yard. There are offices at both ground (exposed services) and at first floor levels with new bathrooms. There are 22 car parking spaces. Fully refurbished 2 surface level loading doors Secure 24m deep yard 35 car parking spaces LED lighting throughout Air-conditioning 5.7m minimum eaves New WCs A new full repairing and insuring lease is available for a term to be agreed.",15767.0,,RH10 9QB,"['https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/a8b77ff3456f2016821c6170c02b25e1-7344-4-crompton-fields-brochure-092025.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/6049ccc42ec744244c3efe11c47ecc4f-7344%204%20Crompton%20Fields%20%20Existing%20Plans%20052023.pdf', 'https://s3-eu-west-1.amazonaws.com/agents-society-assets-files/0c01dd5da5a62410911d6864d06183fe-73444%20Crompton%20Fields%20%20Existing%20Sections%20052023.pdf']",FTD Johns,,Crawley,,01293 552721,,,,To Let,2026-02-27,New
