listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.impey.co.uk/property/74-manchester-road-denton-m34-3pr/,74 Manchester Road Denton M34 3PR,,Retail,"['https://www.impey.co.uk/wp-content/uploads/2026/01/IMG_7143A-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2026/01/1-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2026/01/2-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2026/01/3-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2026/01/Reception-Sales-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2026/01/Recetion-Sales-2-550x500.jpg']",To Let : 548 sq.ft. Prominently located retail unit on the corner of Manchester Road and Queen Street in Denton Town Centre,548.0,,M34 3PR,['https://www.impey.co.uk/wp-content/uploads/2026/01/Manchester-Rd-Denton-74.pdf'],Impey & Company,,,,,,,,To Let,2026-02-19,Old
https://www.impey.co.uk/property/48-middle-hillgate-stockport-sk1-3dl/,"48 Middle Hillgate, Stockport, SK1 3DL",475000,Offices,"['https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1854-800x600-3-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/2-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/3-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1801-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1827-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1824-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1820-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1819-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1818-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1815-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1812-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1820-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1858-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1860-800x600-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/11/IMG_1804-800x600-2-550x500.jpg']","For Sale – 4,179 sq.ft. Prominent freehold office property with car park in Stockport town centre CLICK HERE to “walk around” all areas with our virtual tour guide",4178.0,,SK1 3DL,['https://www.impey.co.uk/wp-content/uploads/2025/11/48-Middle-Hillgate-Stockport-2.pdf'],Impey & Company,,,,,,,,For Sale,2026-02-19,Old
https://www.impey.co.uk/property/unit-4r-pepper-road-bramhall-moor-technology-park-hazel-grove-sk7-5bw/,"Unit 4R Pepper Road, Bramhall Moor Technology Park, Hazel Grove, SK7 5BW",200000,Industrial,"['https://www.impey.co.uk/wp-content/uploads/2025/10/External-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/10/first-floor-office-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/10/ground-floor-office-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/10/ground-floor-office-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/10/warehouse-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/10/warehouse-550x500.jpg']","For Sale – 1,581 sq.ft. Light Industrial Investment on an established industrial estate in Hazel Grove Click link to see virtual tour of the property BEST AND FINAL OFFERS TO BE RECEIVED BY 12 PM ON THE 9TH DECEMBER 2025.",1581.0,,SK7 5BW,['https://www.impey.co.uk/wp-content/uploads/2025/11/Pepper-Road-Hazel-Grove-Unit-4R-1.pdf'],Impey & Company,,,,,,,,For Sale,2026-02-19,Old
https://www.impey.co.uk/property/phoenix-works-tame-street-stalybridge-sk15-1st/,"Phoenix Works, Tame Street, Stalybridge, SK15 1ST",,Industrial,"['https://www.impey.co.uk/wp-content/uploads/2025/09/Exterior-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/09/Interior-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/09/Interior-550x500.jpg']","To Let : 1,373 – 17,215 sq.ft. Warehouse/Storage Units Close to Stalybridge town centre.",1373.0,,SK15 1ST,['https://www.impey.co.uk/wp-content/uploads/2025/09/Phoenix-Works-Stalybridge.pdf'],Impey & Company,,,,,,,,To Let,2026-02-19,Old
https://www.impey.co.uk/property/2-hardman-street-stockport-sk3-0bj/,2 Hardman Street Stockport SK3 0BJ,495000,Industrial,"['https://www.impey.co.uk/wp-content/uploads/2025/07/Exterior-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/First-Floor-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-Floor-Room-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-Floor-Room-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-Floor-reception-550x500.jpg']","4,369 sq.ft. Light Industrial Unit with Yard and Parking on the periphery of Stockport Town Centre",4369.0,,SK3 0BJ,['https://www.impey.co.uk/wp-content/uploads/2025/08/Hardman-Street-Stockport-2.pdf'],Impey & Company,,,,,,,,For Sale,2026-02-19,Old
https://www.impey.co.uk/property/6-victoria-parade-urmston-m41-9bp/,6 Victoria Parade Urmston M41 9BP,,Retail,"['https://www.impey.co.uk/wp-content/uploads/2025/07/Exterior-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/first-floor-beauty-room-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-Floor-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-floor-beauty-room-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/Ground-Floor-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/First-Floor-Kitchen-550x500.jpg']",To Let : 1251 sq.ft. Ground and First Floor Hair Salon with Beauty Rooms on a Busy Parade of Shops in Urmston,1251.0,,M41 9BP,['https://www.impey.co.uk/wp-content/uploads/2025/07/Victoria-Parade-Urmston.pdf'],Impey & Company,,,,,,,,To Let,2026-02-19,Old
https://www.impey.co.uk/property/unit-10-bingswood-industrial-estate-whaley-bridge-sk23-7lx/,Unit 10 Bingswood Industrial Estate Whaley Bridge SK23 7LX,,Industrial,"['https://www.impey.co.uk/wp-content/uploads/2025/07/Front-1-550x500.jpeg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/2-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/3-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/4-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/07/5-550x500.jpg']","To Let : 8,059 Sq.Ft. Offices and Warehouse accommodation with car parking in the centre of Whaley Bridge CLICK HERE to “walk around” all areas with our virtual tour guide",8059.0,,SK23 7LX,['https://www.impey.co.uk/wp-content/uploads/2025/07/Bingswood-Industrial-Estate-Whaley-Bridge.pdf'],Impey & Company,,,,,,,,To Let,2026-02-19,Old
https://www.impey.co.uk/property/469-princess-road-withington-manchester-m20-1bh/,"469 Princess Road, Withington, Manchester M20 1BH",180000,Retail,"['https://www.impey.co.uk/wp-content/uploads/2025/05/external-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/05/sales-area-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/05/kitchen-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/05/rear-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/05/parade-550x500.jpg']",For Sale 652 sq.ft. Ground and first floor with separate basement. Former hot food takeaway on busy main road in and out of Manchester City Centre,652.0,,M20 1BH,['https://www.impey.co.uk/wp-content/uploads/2025/06/Princess-Rd-Withington-3.pdf'],Impey & Company,,,,,,,,For Sale,2026-02-19,Old
https://www.impey.co.uk/property/1-queensway-manchester-m19-1qp/,"1 Queensway, Manchester, M19 1QP",380000,Retail,"['https://www.impey.co.uk/wp-content/uploads/2025/06/exterior-front-new-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/exterior-2-new-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/Exterior-3-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/First-Floor-Office-1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/First-Floor-Office-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/First-Floor-office-3-continued-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/first-floor-OFFICE-3-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/First-Floor-kitchen-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/First-Floor-bathroom-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/Garage-2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/Garage-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/Ground-floor-office-550x500.jpg']",For Sale or To Let : Prominent Corner Plot Investment with development potential and parking. Close to Didsbury Village Click to virtual tour of the property,1469.0,,M19 1QP,[],Impey & Company,,,,,,,,For Sale,2026-02-19,Old
https://www.impey.co.uk/property/first-floor-22-church-road-cheadle-hulme-sk8-7jb/,First Floor 22 Church Road Cheadle Hulme SK8 7JB,,Offices,"['https://www.impey.co.uk/wp-content/uploads/2025/06/1-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/2-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/3-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/kitchen-550x500.jpg', 'https://www.impey.co.uk/wp-content/uploads/2025/06/rear-office-550x500.jpg']",To Let : Bright managed office suites in Cheadle Hulme 5 minute drive from the centre of Cheadle Hulme Village,87.0,,SK8 7JB,['https://www.impey.co.uk/wp-content/uploads/2025/06/Church-Rd-Cheadle-Hulme-various-suites.pdf'],Impey & Company,,,,,,,,To Let,2026-02-19,Old
