listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.cs-re.co.uk/properties/portwall-place-portwall-lane-bristol-city-of-bristol-bs1-6na/,"Portwall Place, Portwall Lane, Bristol, City Of Bristol, BS1 6NA",,Office,['https://csquaredcrm.agencypilot.com/crm/store/property/d6cb8426-baef-4342-9b18-8ce060f9eec3_web.jpg'],"Portwall Place is an impressive five storey landmark office building located less than five minutes from Bristol Temple Meads. The building is being transformed and repositioned into a modern, contemporary workplace. The next generation of Portwall Place will provide comfortable and welcoming spaces to work, interact and collaborate. The floors have been redesigned to offer beautiful terrace spaces with spectacular views over Bristol’s floating Harbour. From the moment you arrive, every element of your experience has been considered to provide a best-in-class experience. Portwall Place offers outstanding onsite amenities to promote productivity and wellbeing, including: Bleacher seating within the Atria with built-in presentation facilities Reception Café Business Lounge on Level One Bookable communal Meeting Rooms and conference facility Health And Fitness Suite on site 4,000 Sq Ft Rooftop Pavilion and Terrace Over 7,600 Sq Ft of Terrace spaces 262 space Cycle Store 89 Car Parking spaces",8851.0,,BS1 6NA,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26879_hnbc705iuxj6g084.pdf'],Colston & Colston,,,,,,,Leasehold,,2026-03-07,New
https://www.cs-re.co.uk/properties/temple-circus-temple-way-bristol-city-of-bristol-bs1/,"Temple Circus , Temple Way, Bristol, City Of Bristol, BS1",,Office,['https://csquaredcrm.agencypilot.com/crm/store/property/8ebc6a63-d3f5-459d-be35-76560f609edd_web.jpg'],"Temple Circus is a high profile seven-storey grade A office building with significant profile in the temple quarter. The Grade A building has recently been refurbished to provide flexible workspace in an outstanding location.Temple Circus has been transformed to provide a welcoming space, designed to impress with a double height reception and business lounge. The office floors have been refurbished and benfit from VRF heating and cooling and LED lighting. The building has achieved the following accreditatations: – EPC B – BREEAM In Use Very Good – Active Score Gold (Targeting) – WiredScore Gold (Targeting) – Mode Score Gold (Targeting)",6015.0,,BS1,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/23622_x829oq6q6oxuv3i1.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/10-templeback-bristol-city-of-bristol-bs1-6fl/,"10 Templeback, Bristol, City Of Bristol, BS1 6FL",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/61f2b8d1-c4a3-4b46-9269-f15b3547957f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/619f344c-557f-4fcb-9b4c-52a28ab06c7f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/65708e09-7486-45fc-b406-356d1ec97bda_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5ab31e60-3672-46b3-b7ae-608c03d28fd2_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b3b7e77b-f373-46a5-82b8-35bc61887072_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/555a85c4-d134-48c6-a04d-0ffe0ee67c10_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/c761c456-f3bd-40f5-b945-a27462261d04_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/a435029d-0264-4441-b4e3-e6fc2d85d41f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/dbc68b21-2fac-4504-86d2-b8abb4bc5cdd_web.jpg']","10 Templeback is a modern office building located in the core of Bristol City Centre. The 4th floor has been refurbished and benefits from VRF AC, new LED lighting, new ceiling grid and an abundance of light and wonderful views overlooking the Floating Harbour. The ground floor suite is due to be refurbished in Q1 2026. The building benefits from a refurbished double height reception and a new shower block in the basement offering an additional six showers and high quality changing area.",5000.0,,BS1 6FL,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/21289_zdsb4i2453n02542.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/former-better-gym-st-pauls-road-bournemouth-dorset-bh8-8dl/,"Former Better Gym, St. Pauls Road, Bournemouth, Dorset, BH8 8DL",,"Gym, Retail","['https://csquaredcrm.agencypilot.com/crm/store/property/bccd199b-7673-428d-b8ba-09fb28380f4b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f655a53f-2e1c-413d-8537-84c08914434d_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f2a7ac30-f290-4852-b41d-184fe5acd8dc_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/972451e3-263d-4f3c-9a16-8056df5a99e7_web.jpg']","The property comprises largely open plan floor space with prominent frontage. The ground floor consists of an entrance/reception area leading to a large open plan gym, with a former weights area located on the first floor. This area could possibly be excluded from the demise if required and incorporated into the ASDA supercentre. The ground floor also contains male and female w/cs, changing and shower facilities and a large, separate studio space. Recently, the property has traded as Better Gym Bournemouth but is considered suitable for a variety of uses, subject to planning.",14213.0,,BH8 8DL,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/21018_g1tu5kamjj8oti13.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/66-queen-square-bristol-city-of-bristol-bs1-4jp/,"66 Queen Square, Bristol, City of Bristol, BS1 4JP",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/7cba4584-c00c-4b2b-8bb3-c829c7405b48_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/4e07d8d3-e021-4ad0-be2c-7d9131f3d281_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/e50ca19f-4acc-48ac-88af-d7412e0d7b4d_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/c7e933a2-0abd-48fd-a0d9-2dc06af546b7_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/840278c3-e26c-444a-96ec-d9d9e9622a27_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/7a6aeeb9-dcb7-4b69-94cd-4b9a2b5494f2_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/3c92b643-5de7-4a87-ad2f-8963ef87ee17_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/8a608f74-e7df-4e41-abdc-2098c10c3a3f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/e96b82a6-fe64-4a4d-8859-96e7c3c5661a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/4f270d4d-bcc5-4b53-b32f-f1c363d9284c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/4ade7005-06a0-45ec-9e92-7d665e239a41_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/6ad2d57f-984c-4bb7-a2d2-fa9031707802_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/53e72e82-5b1b-47e4-830b-9069c93f4bc6_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/36ccc92a-5d5a-497a-992e-386636ce1ae6_web.jpg']","Built in 2015, 66 Queen Square is an iconic building on the corner of Bristol’s Queen Square. The building totaling 61,500 sq ft, comprises a modern office block alongside a Grade II listed Georgian terrace. The 3rd floor provides a contemporary and stylish office space which can be offered fully furnished. The floor is 13,371 sq ft and has been fitted to include several meeting rooms, tea points and break out areas.",13371.0,,BS1 4JP,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/25758_x5g0m04y9y00hco1.pdf'],Colston & Colston,,,,,,,Leasehold,,2026-03-07,New
https://www.cs-re.co.uk/properties/one-portwall-square/,One Portwall Square,,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/cfeaa7e4-76d4-4868-b0e2-4de9be3ee4d7_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/95ecce73-20b8-448b-8d57-972ba82a9de1_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/59a1f023-b326-4a79-9ce2-bd012d44225b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5f0790a3-884e-4871-aa97-300aa17124b5_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/33981099-1c60-4ab6-9072-94cd1c6bdd6c_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/63685e8a-e4ca-48bb-be03-638e4df94bcd_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/270ec1fb-fdec-4250-b8d4-0cc1b09f6455_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/e1c8d4a1-365f-4dcd-b7a9-48af94f97225_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1dc33cb7-d61c-45cc-927c-d0063f73b2ca_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/7718e940-c647-4858-a0b9-3cab137882bd_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/3386eb7b-a5a5-4c98-a736-88dc61d79741_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/2b68bb09-b551-4bd7-96d5-be49d980efe6_web.jpg']","One Portwall Square is a vibrant new office development offering flexible floorplates for a modern generation of tenants. Designed by AHMM, the scheme combines contemporary architecture with a focus on post-Covid occupant wellbeing and sustainability to deliver a new office for Bristol. In May 2023, One Portwall Square was awarded Best Commercial Workplace at the South West Regional BCO Awards, and also triumphantly won first place at the National Awards held in October. This is the first time the award has been won in Bristol and the Region. The floors are extremely flexible and can be subdivided to offer suites from 2,000 sq ft – 12,000 sq ft.",1915.0,,,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26877_5ll260334hiesmu6.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/bull-wharf-redcliff-street-bristol-city-of-bristol-bs1-6qr/,"Bull Wharf, Redcliff Street, Bristol, City Of Bristol, BS1 6QR",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/605457ef-2e46-46e4-b3cf-76014b71d38a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/750ee176-db6d-4c67-91a3-08bbbcbdebd4_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/efb06832-18c3-4a3a-8d38-782dd3f9810b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/58856aa3-2bf5-430d-bf57-05d93dfe7c78_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/4882e5d5-ae62-44d6-81b1-0b64b70f0feb_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/81d593a4-d9fd-40d9-b85d-91c22052d44f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d1b16b3b-6f58-40ce-a159-e26b6836e3d0_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/044e67a3-6362-4899-ba6f-a230842d7631_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/7a9ac3a0-4107-4510-866c-c3ce75998dab_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1fe66ea7-4188-4d60-a7a7-707649c0e90a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/d2204faf-ed49-49d1-a28c-afe96e39a356_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/471a4cd2-34a8-46d8-941f-cad36a5b249b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f4f67927-e5ec-4ca9-b9df-f8db4ee47f55_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/3aa925ad-1294-4018-b63f-7caca17bc65f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b3980e03-5369-40d9-9c3c-a21270ae4922_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/556873b4-a80e-49c8-95da-c392ab63704a_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/ceccc1ef-b64f-46cd-a082-0f36c2694b4b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/598c5ceb-926f-4aa5-ba32-4c38524a6c1b_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/6501b937-b309-4810-8f19-eaa7565a74b9_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/baa89d2d-846c-45a0-9e7a-12d490d45314_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/588dc1e8-b70b-4d90-9925-010d93a06c29_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/11a2902c-3983-4723-9070-77884993a49f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/dc84907d-b82c-412a-81ea-eb9dc9ed1b15_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/a1fe671c-c6e3-47a4-a11e-835e0a3d957b_web.jpg']","Bull Wharf is a modern office building arranged over 6 floors with stunning views over Bristol’s floating harbour. The 2nd, 5th and 6th floors are newly refusrbished along with the reception and common parts. The office building also benefits from a new shower block and secure basement car and bike parking. In addition to the Cat A works, the 2nd floor has been fitted and furnished and provides suites of 1,135 sq ft and 3,195 sq ft which are ready for immediate occupation.",1135.0,,BS1 6QR,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26249_b254v8ywn1zm2w24.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/spectrum-bond-street-bristol-city-of-bristol-bs1-3lg/,"Spectrum , Bond Street, Bristol, City Of Bristol, BS1 3LG",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/7c5709f2-fdbd-4b24-915d-302dddfb8185_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/41ad8f3f-d50f-4e2a-860e-3322c3c2436e_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/94121f71-83e0-46df-8543-2aeaddee866f_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/4456123c-81ad-4be7-a67f-f415e7ff7735_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/2dda90a6-ac85-4d22-bb67-3ca01ec6a364_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/fb00286c-0d7c-4875-9a71-6156d34230c8_web.jpg']","Spectrum comprises a multi let office building located in central Bristol, extending to 114,000 sq ft over six storeys. There is an abundance of natural light throughout the building including the impressive double height reception with communal breakout area. The accommodation benefits from raised floors, VRF air conditioning, metal tile suspended ceilings, new WC’s & showers in the common parts, and refurbished lifts.",4000.0,,BS1 3LG,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/20497_z3nrs40y05i2t540.pdf'],Colston & Colston,,,,,,,Leasehold,,2026-03-07,New
https://www.cs-re.co.uk/properties/the-creamery-avonside-new-broughton-road-melksham-wiltshire-sn12-8bt/,"The Creamery Building, Avonside , New Broughton Road, Melksham, Wiltshire, SN12 8BT",,"Bar, Cafe, Gym, Industrial, Nursery, Office, Restaurant, Retail, Workshop","['https://csquaredcrm.agencypilot.com/crm/store/property/b6838847-defc-4c73-9fd8-5521f31cdbce_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/8f92cdb7-cce6-45b9-946c-7ad8d4727e50_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/ce69172f-c993-45b8-b4bd-4dee6bf50dc6_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/add8567c-f59a-47f8-a51b-10e7f39585fc_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/398a155e-14d8-4b2c-8827-db5764d50847_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/47dc3386-e03a-4660-940a-19d0b3202797_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/798fbc42-7c54-4fef-83f8-d6835b78872e_web.jpg']","A RANGE OF CHARACTERFUL NEWLY REFURBISHED STUDIOS TO LET The Creamery has undergone a significant transformation to reveal its characterful features and generous, full height interior. The stripped-back space offers flexibility for a variety of uses and provides occupiers with a interesting place to work, coupled with excellent on-site amenities. Refurbishment includes: – Characterful, full height space – New WCs and kitchenettes – New fully insulated roof with rooflights – EPC A",550.0,,SN12 8BT,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/26250_n7l1or8yoo5e9etm.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
https://www.cs-re.co.uk/properties/portwall-lofts-portwall-lane-bristol-city-of-bristol-bs1-6nb/,"Portwall Lofts, Portwall Lane, Bristol, City of Bristol, BS1 6NB",,Office,"['https://csquaredcrm.agencypilot.com/crm/store/property/edd4f80b-fd7d-48cd-9378-ba0994814ca4_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1a13bfa8-b14d-4a06-a52d-2a6d9680b860_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/1e7e9d3d-23f5-43f0-b934-cea4f7792201_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f05745af-86e7-44b0-88ab-1302633c17d3_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/7537eb86-917b-46c8-be3a-7cb6502be3d6_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5a51a9c8-bd52-4f29-97cc-e8fdcd99c2f5_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f5c7eb30-b14f-4364-a52a-17c5edd5ec98_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/5ec215a9-0067-43aa-b201-8c3d1a9b03ca_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b79fa25c-c51c-4c8b-a1ce-f0647382cd7d_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/21d84744-75a9-45ac-97b2-b094d1a582d6_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/2614e320-6689-42cb-8053-686d623bf5db_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/e48ed6da-2a09-41b5-a9db-856730fd60a4_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/a28258ac-29c0-48e7-81dd-68173d2365fe_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f21199ba-133a-4313-9ce5-bf537df18768_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/f75c2a70-bb87-4aad-81e8-2c47111ceebe_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/b0b4e52d-9682-4928-afd2-19ad6b35c6ef_web.jpg', 'https://csquaredcrm.agencypilot.com/crm/store/property/7f8e494f-25a1-4230-96c1-da09580e8f87_web.jpg']","Where English heritage meets authentic luxury and the morning sun shines through 300 window panes. Portwall Lofts is a boutique workspace, within an impressive Victorian red brick warehouse, on the origins of Bristol’s 13th century Portwall. It’s undergone an extensive renovation to bring you 5,671 ft of ultra sustainable space – bursting with natural light, character and historic charm – across the two top floors.",2798.0,,BS1 6NB,['https://csquaredcrm.agencypilot.com/crm/store/documents/other/22525_gaux28820m0k9f95.pdf'],Colston & Colston,,,,,,,Leasehold,To Let,2026-03-07,New
