listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.esassociates.co.uk/property/19-19a-deben-mill-business-centre-woodbridge-ip12-1bl/,"19/19a Deben Mill Business Centre, Woodbridge, IP12 1BL",,,"['https://www.esassociates.co.uk/wp-content/uploads/2026/02/2-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/3-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/9-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/7-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/6-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/2-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/3-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/9-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/4-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/6-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/7-150x150.jpg']","This semi-detached two storey property provides flexible accommodation with on site car parking and is in excellent condition throughout. The property is of brick construction under a tiled roof with aluminium and double glazed windows and two small balconies at first floor level. Internally the space is fully carpeted throughout with air conditioning and kitchen and toilet facilities on both floors. Deben Mill Business Centre is a modern purpose built business park constructed in 2010 and is situated approximately half a mile from Woodbridge Town Centre, two miles from the A12 duel carriageway and one mile from Woodbridge Station. Deben Mill business centre benefits from a security barrier entry system and is the towns only recognised business park home to a number of professional office users and service providers. The premises has the following approximate dimensions: Ground Floor Reception & 3 offices: 70.70 m2 761sqft First Floor Open Plan Office : 78.09 m2 841 sqft Total : 148.79 m2 1,602 sqft We understand that the property has the following rating assessment from 1st April 2026: Rateable Value: £19,500 Rates Payable (26/27) £9,730.50 The above figures do not take into account any rates relief for qualifying occupier. We understand that the property is registered under Use Class E but interested parties should make their own planning enquires. The premises are offered on the basis of a new lease for a minimum term of five years on full repairing and insuring basis at a rent of £27,250 per annum exclusive. We understand the property is elected for VAT.",1601.6,,IP12 1BL,['https://www.esassociates.co.uk/wp-content/uploads/2026/02/19-19a-Deben-Mill-Woodbridge-IP12-1BL.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/2-hawker-drive-martlesham-heath-business-park/,"2 Hawker Drive, Martlesham Heath Business Park, Suffolk",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-Front.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-small-room.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-Inside.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-Front-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-small-room-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-Outside-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/03/2-Hawker-Drive-Inside-150x150.jpg']","The property is of brick construction with carpeted accommodation and comprises a large open plan room to the rear with cellular offices/rooms within the main building on ground and first floor level. The property also benefits from a large outside astro turf area. Could be used for a variety of uses STPP. Ipswich is the County town of Suffolk with a population of approximately 130,000 and a catchment area of over 250,000. It occupies a strategic position close to the International Container Port of Felixstowe and the interchange of the A12 and A14 trunk roads. The town is also served by a rail service to London-Liverpool Street with a journey time of approximately 75 minutes. Martlesham Heath Business Park is located adjacent to the A12 dual carriageway in close proximity to Junction 28 of the A14. The Estate, together with the adjoining retail park, comprises of a variety of occupiers including Ladbrokes, Howdens, Orwell Trucks, Tesco, Jewson. The premises provide the following approximate floor areas: Ground Floor: 1,827 sqft (169.8sqm) First Floor: 558 sqft (51.8sqm) Outside Area: 2,775 sqft (257.8sqm) The premises has a current rateable value of £19,750, however interested parties are advised to check with the Local Rating Authority. The premises is offered on the basis of a new lease on full repairing and insuring terms for a minimum term of five years.",2385.3,,,['https://www.esassociates.co.uk/wp-content/uploads/2025/04/2-Hawker-Drive-10.05.24.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/suite-b-brightwell-court-martlesham-heath-business-park-ip5-3rf/,"Suite B Brightwell Court, Martlesham Heath Business Park, IP5 3RF",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/10/2-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/3-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/6.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/8-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/4-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/2-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/3-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/5-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/4-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/10/8-150x150.jpg']","Brightwell Court is a modern, recently refurbished, two storey multi-let office building fronting the A12 with generous on-site parking provision. Suite B has its own dedicated entrance and is predominantly an open plan office with a large glazed meeting room, small private office and server room. To the rear of the accommodation are communal male and female toilet facilities. Ipswich is the County town of Suffolk with a population of approximately 130,000 and a catchment area of over 250,000. It occupies a strategic position close to the International container Port of Felixstowe and the interchange of the A12 and A14 trunk roads. The town benefits from rail links to London Liverpool Street. Martlesham Heath Business Park is located adjacent to the A12 dual carriageway and BT’s Global Research Centre Adastral Park. We understand the property has the following rating assessment from 1 st April 2023: We understand the property has the following rating assessment from 1 st April 2023: Rateable Value: £ 23,750 Rates Payable (24/25): £ 11,851.25 We understand the property has a planning use of Class E. The premises are available on a new effectively FRI lease for a minimum term of 5 years.",2260.9,,IP5 3RF,['https://www.esassociates.co.uk/wp-content/uploads/2025/10/Suite-B-Brightwell-Court-MHBP.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/unit-6-lion-barn-industrial-estate-needham-market-ip6-8nz/,"Unit 6, Lion Barn Industrial Estate, Needham Market, IP6 8NZ",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-scaled-3-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-4-1-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-5-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-3-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-2-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-scaled-3-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-4-1-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-5-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-6-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-7-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-2-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/BTS-3-scaled-1-150x150.jpg']","A detached purpose-built industrial warehouse with a front yard enclosed with metal palisade fencing, providing car parking for approximately seven vehicles. The building has a front roller shutter loading door, ancillary offices in good condition with air conditioning and a warehouse providing a good eaves height of around 5 metres. The warehouse is of modern steel portal frame construction, in-filled with brick and block walls to lower level, clad with insulated sheeting to upper levels and to the roof. The subject property is situated on a modern purpose-built industrial estate in Needham Market, Suffolk which is about eight miles north-west of the County Town of Ipswich and adjoins the A14 trunk road. This road connects the Port of Felixstowe to the national motorway network and provides good vehicular access to the whole country. Needham Market is a small market town with a reasonable range of local facilities and amenities. Approximate Gross Internal Area: 2,840 sqft (263.8 sqm) Warehouse: 129.35 sqm (1,392 sqft) GF Offices: 57.06 sqm FF Offices: 62.25 sqm Eaves Height: 5 m Roller Shutter: Height 3.23 m Width 2.98 m WC x 2 We understand that the property has the following rating assessment from 1st April 2024: Rateable Value: £23,250 Rates Payable (24/25) £11,601.75 The above figures do not take into account any rates relief for qualifying occupier. We understand that the property benefits from B2 industrial consent but interested parties should make their own planning enquiries. The premises is offered on the basis of a new lease on full repairing and insuring terms for a minimum period of five years.",2840.0,,IP6 8NZ,['https://www.esassociates.co.uk/wp-content/uploads/2025/08/Unit-6-Maitland-Rd-Lion-Barn-Ind-Est-Needham-Market-IP6-8NZ.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/16-station-road-clacton-on-sea/,"16 Station Road, Clacton-on-Sea, Essex CO15 1SX",,,"['https://www.esassociates.co.uk/wp-content/uploads/2026/01/front-19.08.25-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/01/inside-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/01/front-19.08.25-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/01/inside-150x150.jpg']","The premises comprise a ground floor lock-up shop offering a well-presented and functional retail unit. Internally, the accommodation provides an open-plan sales area, with changing facilities, a kitchenette, and WC positioned to the rear. The shop benefits from modern lighting throughout and a large double-glazed frontage onto Station Road, providing excellent natural light and display potential. The unit is available for immediate occupation. The property is situated in Clacton-on-Sea on Station Road, within the town’s primary shopping area. This position benefits from high pedestrian footfall and strong street presence, making it an attractive retail location. The premises are located opposite McDonald’s and close to other established national retailers including The Works and Holland & Barrett, further enhancing visibility and commercial appeal. The premises is arranged as an open plan ground floor lock-up shop with the following approximate dimensions: Frontage: 3.91 m Depth: 7.92 m Sales Area: 22.18 m2 239 sqft Kitchenette/WC/Changing room Net Internal Area: 25.32 m2 273 sqft We understand that the property has the following rating assessment from 1st April 2026: Rateable Value: £7,800 Rates Payable (25/26) £3892.20 The above figures do not take into account any rates relief for qualifying occupier. We understand that the property benefits from retail consent but interested parties should make their own planning enquiries. The premises is offered on the basis of a new lease for a minimum term of three years on full repairing and insuring basis. We understand the property is not elected for VAT.",2.0,,CO15 1SX,['https://www.esassociates.co.uk/wp-content/uploads/2026/01/16-Station-Road-Clacton-on-Sea-CO15-1SX.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,,2026-02-26,Old
https://www.esassociates.co.uk/property/17-betts-avenue-martlesham-heath-business-park-ipswich-ip5-3rh/,"17 Betts Avenue, Martlesham Heath Business Park, Ipswich, IP5 3RH",,,"['https://www.esassociates.co.uk/wp-content/uploads/2026/02/4-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/8-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/6-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Plan.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/map.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/4-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/8-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/6-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/2-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Side-aspect-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Rear-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/map-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Plan-150x150.jpg']","A detached steel portal frame industrial unit with block/brickwork elevations and profile steel cladding to the upper parts. The property comprises an industrial/storage area with single storey extension to the front of the building, providing air conditioned offices, a kitchen and toilets. The property has a loading door to side elevation with access from the side to a secure rear yard area. Ipswich is the County town of Suffolk with a population of approximately 130,000 and a catchment area of over 250,000. It occupies a strategic position close to the International Container Port of Felixstowe and the interchange of the A12 and A14 trunk roads. Martlesham Heath Business Park is located adjacent to the A12 dual carriageway in close proximity to Junction 28 of the A14. The Estate, together with the adjoining retail park, comprises of a variety of occupiers including Ladbrokes, Howdens, Orwell Trucks and Jewson. • Industrial storage area with single storey extension • Eaves height 2.82 m to underside of roof • Loading door to side • Secure rear yard • Reception area • Air conditioned offices • Staff facilities, changing rooms and kitchens • Ground floor 615.94 sqm (6,630 sq ft) We understand that the property has the following rating assessment from 1st April 2023: Rateable Value: £39,750.00 Rates Payable (25/26): £19,835.25 The above figures do not take into account any rates relief for qualifying occupier. Interested parties should satisfy themselves as to the suitability of the current planning consent for their proposed use of the premises by contacting the Local Planning Authority. The premises is offered on a new FRI lease for a term of 5 years at a rental of £8.52 psf (£56,500 pax). Rents are exclusive of estate service charge, buildings insurance and VAT which are payable quarterly in advance. We understand the property is elected for VAT.",6630.0,,IP5 3RH,['https://www.esassociates.co.uk/wp-content/uploads/2026/02/17-Betts-Avenue-Martlesham-Heath-BP-16.02.26.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/21a-newmarket-beccles-suffolk-nr34-9hd/,21a Newmarket Beccles Suffolk NR34 9HD,,,"['https://www.esassociates.co.uk/wp-content/uploads/2026/02/front-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/sales-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/inside-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Plan-1-1024x668.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/1st-floor-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/front-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/sales-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/inside-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/1st-floor-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2026/02/Plan-1-150x150.jpg']","The property is a terraced retail unit of brick construction under a part tiled and part flat roof. The property provides an open plan sales area, with seperate kitchenette and toilet on the ground floor and further storage and staff area on the first floor. The property also benefits from rear access and one allocated car parking space at the rear. Beccles is a prosperous market town situated on the Norfolk/ Suffolk border approximately 18 miles south-east of Norwich and approximately 9 miles west of Lowestoft. The town is situated on the River Waveney which forms part of the Broads navigable waterway system and has a railway station with links to London Liverpool Street and Ipswich. The property is located in the prime retail shopping area of the town with good shop frontage. Other nearby retailers including QD Stores, Superdrug, Greggs and The Co-op. The premises has an open plan ground floor with first floor storage and staff area. Approximate dimensions: Frontage: 3.47 m Depth: 14.84 m Sales Area: 48.66 m2 524 sqft First Floor Storage: 26.10 m2 281 sqft Net Useable Area: 74.76 m2 805 sqft We understand that the property has the following rating assessment from 1st April 2026: Rateable Value: £11,000 Rates Payable (26/27) £5,489 The above figures do not take into account any rates relief for qualifying occupier. We understand that the property benefits from retail consent but interested parties should make their own planning enquiries. The premises are offered on the basis of a new lease for a minimum term of five years on full repairing and insuring basis. We understand the property is not elected for VAT.",804.7,,NR34 9HD,['https://www.esassociates.co.uk/wp-content/uploads/2026/02/21A-Newmarket-Beccles-NR34-9HD.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/37-39-hamilton-road-felixstowe-suffolk-ip11-7bb/,"37-39 Hamilton Road, Felixstowe, Suffolk IP11 7BB",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-2-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Shop-re-sized.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/inside-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-2-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Shop-re-sized-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-re-sized.-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/inside-scaled-1-150x150.jpg']","The property formerly traded as Simone’s Hairdressers and comprises an extensive and well fitted shop unit with excellent frontage to Hamilton Road, the main shopping thoroughfare, and extending to approximately 1,214 sq ft (112.8 sqm). Available on a new lease on terms to be agreed and subject to agreeing terms for a surrender. Felixstowe is a popular tourist destination and offers a range of amenities, including shops, restaurants, cafes, and outdoor attractions like beaches, parks, and golf courses. The premises is located on the northern side of the main shopping thoroughfare in Hamilton Road being close to Café Nero, Greggs, Lloyds bank and other multiple retailers. Net Frontage: 26.7ft. 8.15m Sales Area: 1054 sqft. 98 sqm. ITZA: 775 Staff Area: 159 sqft. 14.8 sqm. Total NIA: 1,214 sqft. 112.8 sqm. We understand that the property has the following rating assessment from 1st April 2023: Rateable Value: £28,750 Rates Payable (23/24) £14,346.25 The above figures do not take into account any rates relief for qualifying occupier. The premises is offered on the basis of a new lease on full repairing and insuring terms subject to surrender.",1214.2,,IP11 7BB,['https://www.esassociates.co.uk/wp-content/uploads/2025/04/37-39-Hamilton-Road-Felixstowe-09.05.24.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/retail-premises-52-thoroughfare-woodbridge-suffolk-ip12-1al/,"Retail Premises, 52 Thoroughfare, Woodbridge, Suffolk IP12 1AL",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/04/3-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/2-scaled-1-1024x768.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/3-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/1-1-scaled-1-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/2-scaled-1-150x150.jpg']","The subject property is an attractive brick-built Grade II listed building which boasts an elegant marble frontage with double fronted central access doors onto the Thoroughfare. The accommodation provides open plan sales area with a rear stockroom/kitchen and WC facilities, and the property is in good decorative order throughout. Woodbridge is a prosperous and inviting Suffolk market town named by the Sunday Times in March 2021 as the best place to live in the East of England. The town enjoys a valuable mix of multiples, high class local retailers, restaurants, coffee shops and pubs. The property occupies a good position along the town’s prime retail street adjacent to Holland & Barratt and close to other multiples. Net Frontage: 21ft. 6.50m Ground Floor Sales: 973 sqft. 90 . 37 sqm. ITZA: 667 sqft. 61.92 sqm. Ancillary: 386 sqft. 35.86 sqm. Total NIA: 1,358 sqft. 126.2 sqm. We understand that the property has the following rating assessment from 1st April 2023: Rateable Value: £21,500 Rates Payable (23/24) £10,728.50 The above figures do not take into account any rates relief for qualifying occupier. The premises is offered on the basis of a new lease on full repairing and insuring terms for a minimum term of five years.",1358.4,,IP12 1AL,['https://www.esassociates.co.uk/wp-content/uploads/2025/04/52-Thoroughfare-Woodbridge-28.07.23.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
https://www.esassociates.co.uk/property/industrial-unit-3-addison-road-chilton-industrial-estate-sudbury-co10-2yw/,"Industrial Unit, 3 Addison Road, Chilton Industrial Estate, Sudbury CO10 2YW",,,"['https://www.esassociates.co.uk/wp-content/uploads/2025/04/Interior-Photo-Re-sized.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Back-Re-sized.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-Re-sized.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Interior-Photo-Re-sized-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Back-Re-sized-150x150.jpg', 'https://www.esassociates.co.uk/wp-content/uploads/2025/04/Front-Re-sized-150x150.jpg']","The unit is a semi-detached industrial building fronting Addison Road of brick and block construction under a portal frame roof. There is customer parking for approximately 4 cars to the front of the building with a roller shutter loading door to the rear of the unit. The building has an eaves height of 4.70m. Sudbury is a popular and accessible Market Town on the Suffolk/Essex border and is located 22 miles from Ipswich and 15 miles from Colchester. The property is located on the popular Chilton Industrial Estate in Addison Road which leads off Northern Road (A134) the main road leading through the Estate. Other users near by include Screwfix, Howdens and A&B Glass Company. The accommodation comprises:- Warehouse/ Production Area: 192.92SQM Kitchen Area: 2.76SQM WC & Disabled WC: Office/ Meeting Room: 18.13SQM Spray Booth: 30.15SQM Offices: 27.56SQM NETT USEABLE AREA: 271.52SQM (2,923SQFT) Interested parties should make their own enquires into business rates with Babergh District Council. The premises are offered on the basis of a new lease on full repairing and insuring basis for a minimum term of 3 years.",2922.6,,CO10 2YW,['https://www.esassociates.co.uk/wp-content/uploads/2025/04/3-Addison-Road-Sudbury-18.10.23-1.pdf'],Elsom Spettigue Associates,,,info@esassociates.co.uk,,,,,To Let,2026-02-26,Old
