listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://glanmorproperty.co.uk/property/1a-richardson-road-swansea-sa1-3tq-investment-summary/,,280000,"Industrial, Investment",['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Richardson-1.jpg?resize=1024%2C768&ssl=1'],"LOCATION The subject property is centrally located in an urban district in Swansea, positioned between St Helen’s Road and Oystermouth Road, giving good access to both the city centre and Swansea Bay. The area consists mainly of terraced housing, with some commercial property on the edge of Swansea city centre. The subject property is near the former Vetch Field which now provides valued community green space. Richardson Road runs parallel with Oystermouth Road and is positioned to the south of St Helen’s Road which provides access to the city centre. Oystermouth Road (A4067) is a main thoroughfare through Swansea linking the city centre to the popular village of Mumbles. DESCRIPTION The property is arranged as a two-storey building of traditional construction which is used as a small workshop and fi­rst ‑floor ancillary offi­ce, kitchen and WC. Adjoining this building is a steel frame building with a profi­le metal sheet roof covering. This front workshop leads to a larger workshop and storage area which is of mainly brick and block construction with a concrete frame and roof. Internally, the accommodation comprises three workshop areas, customer reception area with mezzanine storage above, rear and side storage areas and a ­first-floor offi­ce, kitchen & WC. TENANCY The property is let by way of a 6-year full repairing and insuring reversionary lease (roof works are capped) from 7th February 2026 to expire 6th February 2032 at a rent of £24,000 pax. Tenant – Micheldever Tyre Services Ltd T/A Protyre DELPHI score 100 out of 100. Credit Limit – £7,000,000 Delphi Band – Very Low Risk EPC RATING Energy Performance Asset Rating E-104 TENURE The property is held freehold under the following titles: CYM523346 WA464226 WA331799 ASKING PRICE Offers in the region of £280,00 (Two hundred and eighty thousand pounds), subject to contract & exclusive of VAT. A purchase of this level would reflect a Net Initial Yield of 8.42% after deducting the usual purchasers costs of 1.7%. RATEABLE VALUE Rateable Value £26,000 UBR for Wales 2025/26 56.8 p in the £ Interested parties are asked to verify rates payable by contacting the local authority. VAT All ­figures are exclusive of VAT where applicable.",,,SA1 3TQ,['https://glanmorproperty.co.uk/wp-content/uploads/2026/02/Protyre-RichardsonRoad-Brochure.pdf'],Glanmor Property,,,,,,,Freehold,For Sale
https://glanmorproperty.co.uk/property/industrial-investments-for-sale/,,2650000,"Industrial, Investment","['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Protyre-.png?resize=1106%2C454&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Ystrad-road.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Ystrad-Road-2.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Haverfordwest.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Haverfordwest-3.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/02/Haverfordwest-2.jpg?resize=1024%2C768&ssl=1']","INVESTMENT SUMMARY Popular and accessible trading location in South Wales • Two warehouse/industrial units let to Micheldever Tyre Services Ltd T/A Protyre • The WAULT is 6 Years to break/expiry (6th February 2032) • Current passing combined rental of £199,000 pax • Reversionary rent in the region of £257,500 pax • Two properties can be sold individually or sold in SPV • VAT elected – Sale to be treated as a transfer of going concern (TOGC). • Tenant – Micheldever Tyre Services Ltd T/A Protyre – DELPHI score 100 out of 100. Credit Limit – £7,000,000 Delphi Band – Very Low Risk • Freehold • Offers for the portfolio in the region of £2.65m (Two million six hundred and ­fty thousand pounds) subject to contract and exclusive of VAT. A purchase at this level would reflect a Net Initial Yield of 7.06% after deducting the usual purchasers costs of 6.4% and reversionary yield of 9.13% • Offers for individual lots welcome, POA SWANSEA INVESTMENT SUMMARY • Swansea is a coastal city in South-West Wales. The property is located within a prominent industrial estate a short distance from the M4 Motorway • A substantial industrial/warehouse unit benefi­tting from a large yard and carpark • Let in its entirety to Micheldever Tyre Services Ltd t/a Protyre on a reversionary 6-year lease from 7th February 2026 at a rent of £184,000 pax • Freehold LOCATION The subject property is located within Swansea West Industrial Estate, which is a prominent industrial and commercial hub located in the Fforestfach area of Swansea. Approximately 4 miles northwest of Swansea City Centre and about 2 miles south of junction 47 of the M4 motorway. The estate is accessible via the A483 Carmarthen Road, providing convenient transport links for businesses and visitors. Situated on Ystrad Road, which is one of the main roads through the estate. DESCRIPTION The property is a large detached industrial/warehouse unit with a small section to the east side which is two-storey. There is an attached portal frame structure to the north side of the building which has recently had a new roof covering. The main storage warehouse also benefi­ts from a single storey of­fice section to the front elevation, a canopy to the east side of the unit, and level loading bays. The property is situated on a large plot with ample parking to the front and side of the building and a yard area to the opposite side. There are two access points via Ystrad Road. TENANCY The property is let by way of a 6-year full repairing and insuring reversionary lease (roof works are capped) from 7th February 2026 to expire 6th February 2032 at a rent of £184,000 pax. Tenant – Micheldever Tyre Services Ltd T/A Protyre – DELPHI score 100 out of 100. Credit Limit – £7,000,000 Delphi Band – Very Low Risk TENURE The property is held freehold under the following titles: CYM822752 WA943401 BUSINESS RATES Rateable Value £83,000 UBR for Wales 2025/26 56.8 p in the £ Interested parties are asked to verify rates payable by contacting the local authority. VAT All ­figures are exclusive of VAT where applicable. EPC RATING Energy Performance Asset Rating C-65 HAVERFORDWEST INVESTMENT SUMMARY • Haverfordwest is a town in Pembrokeshire, South-West Wales. The property is located near the centre of Haverfordwest on a mainly residential road. • A substantial industrial/warehouse unit. • Let in its entirety to Micheldever Tyre Services Ltd t/a Protyre on a reversionary lease from 7th February 2026 at a rent of £15,000 pax • Freehold LOCATION The subject property is situated on Ellis Avenue, which is a residential street located within the built-up area of Haverfordwest, Pembrokeshire. The street forms part of an established suburban neighbourhood. It lies to the south-east of the town centre and is within easy reach of local schools, services, and community facilities. The area benefi­ts from good transport accessibility. Local roads link Ellis Avenue to the A40 and A4076, providing direct routes to surrounding settlements and the wider regional network. Bus stops are available within walking distance, and Haverfordwest railway station is located approximately one kilometre away, offering regular services toward Swansea and South Wales. DESCRIPTION The property is a large industrial/warehouse unit which consists of steel and concrete frame construction. A large part of the property has been recently re-roofed and remains in a good state of repair. The accommodation comprises of mainly workshop and tyre storage areas and benefi­ts from a modern reception seating area. There is also a small kitchen and of­fice area and a small ­first floor storage area which is currently not in use. The property fronts on to Ellis Road and benefi­ts from four roller shutters doors. There is some off-road parking to the front of the property. TENANCY The property is let by way of a 6-year full repairing and insuring reversionary lease (roof works are capped) from 7th February 2026 to expire 6th February 2032 at a rent of £15,000 pax. Tenant – Micheldever Tyre Services Ltd T/A Protyre – DELPHI score 100 out of 100. Credit Limit – £7,000,000 Delphi Band – Very Low Risk TENURE The property is held freehold under title WA817326. BUSINESS RATES Rateable Value £19,250 UBR for Wales 2025/26 56.8 p in the £ Interested parties are asked to verify rates payable by contacting the local authority. VAT All ­figures are exclusive of VAT where applicable. EPC RATING Energy Performance Asset Rating C-66 ANTI-MONEY LAUNDERING Following agreement of the Heads of Terms, the proposed Tenant or Purchaser shall be required to supply all information and documentation necessary to comply with applicable Anti-Money Laundering (AML) regulations.",,,,['https://glanmorproperty.co.uk/wp-content/uploads/2026/02/Protyre-Brochure.pdf'],Glanmor Property,,,,,,,Freehold,For Sale
https://glanmorproperty.co.uk/property/former-sketty-police-station-132-gower-road-sketty-swansea-sa2-9btf/,sa2 9bt,275000,Development & Land,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/Website-1.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3810.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3803.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3811.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3812.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3813.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2026/01/IMG_3820.jpg?resize=1024%2C785&ssl=1']","LOCATION The subject property is located in Sketty, a residential suburb within Swansea, South Wales, which is  situated approximately two miles to the west of Swansea City Centre. Sketty Police Station fronts onto Gower Road (A4118) which is a main arterial route into Swansea from the west and provides access to the A4067 and onward to junction 42 of the M4 Motorway which is approximately 7 miles to the east. The property is positioned to the north-west of Sketty Cross, on the fringe of the main retail area within Sketty. Sketty Cross forms the commercial focal point of the area, providing a selection of shops, cafés, restaurants and everyday services. Additional amenities are available in the nearby Uplands district, which offers a wider range of retail, leisure and dining facilities. The locality benefits from close proximity to Singleton Hospital and Swansea University’s Singleton Park Campus, both of which are significant local employers. DESCRIPTION The building comprises a two-storey detached building previously occupied for the use as a Police Station. Whilst we cannot confirm the exact age of construction of the building, we have assumed this would have been constructed circa. 1960 – 1970. The accommodation comprises reception area/office, kitchen, WC facilities and three offices to the ground floor. The first floor comprises five further offices, shower room and WC facilities. There is a gas boiler which serves radiators over the ground and first floor. Overall, the property is in a state of repair but is in need of modernisation throughout. Externally, there is a driveway to the side of the building leading to a large rear carpark. There is a stone-built storage shed and carport within the rear carpark. There is a large stone boundary wall enclosing the majority of the site. TENURE ​ Freehold – The property is held under title: CYM570364. The property is being sold with vacant possession. TURN OVERAGE The Vendor will be entitled to the following share of any uplift if the purchaser disposes of the property for a higher price within 3 years of completion. • 100% in year 1 • 75% in year 2 • 50% in year 3 ​ VAT​ All figures are exclusive of VAT, where applicable.​ ​ ASKING PRICE We have been instructed to seek offers in the region of £275,000 . ENERGY PERFORMANCE CERTIFICATE An EPC has been commissioned and will be available shortly. CONTACT For further information and to arrange a viewing please contact Glanmor Chartered Surveyors. Tel: 01792 439105 Email: info@glanmorproperty.co.uk",1192,0.174,SA2 9BT,['https://glanmorproperty.co.uk/wp-content/uploads/2026/01/Sketty-Police-Station-particulars-3.pdf'],Glanmor Property,,,,,,,Freehold,For Sale
https://glanmorproperty.co.uk/property/44bc-and-d-cwmdu-parc-carmarthen-road-swansea-sa5-8jf-trade-counter-unit-to-let/,"Gendros, Swansea SA5 8JF, UK",,"Industrial, Retail Premises","['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/12/web-2.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/12/web-3.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/12/web-4.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/12/web-5.jpg?resize=1024%2C576&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/12/Web-1.jpg?resize=1170%2C785&ssl=1']","LOCATION Cwmdu Parc is located approximately 2 miles north-west of Swansea City Centre and benefits from good transport links to the M4 via the A483. The estate is accessed from Carmarthen Road which is a main thoroughfare to the city centre from the west. Nearby occupiers on the estate include a number of well-established retail trade counter and warehouse occupiers including Toolstation, Screwfix, Greggs, Edmundson Electrical and B&M. DESCRIPTION The subject unit comprises a fully glazed frontage onto the main central estate carpark and has recently been refurbished to a high specification. The unit provides open plan trade counter accommodation with WC facilities and a kitchen area to the rear of the unit. The glazed frontage is approximately 18m. o Minimum eaves: 5m o The unit also benefits from electric roller shutters TENURE The property is available on a new lease, terms subject to negotiation. BUSINESS RATES Our inspection of the rating list shows the following assessment for the subject premises. Rateable Value: £24,250 (April 2023) UBR for Wales 2025/26 56.8p in the £ VAT All figures are exclusive of VAT, where applicable. SERVICE CHARGE A service charge will be levied to cover the maintenance and upkeep of the common areas of the estate. EPC RATING Energy rating & score – 52 C PLANNING The property benefits from B1, B2 and B8 use under The Town and Country Planning (Use Classes) Order 1987 (as amended). Other uses would be considered, subject to relevant planning consent.",2750,,SA5 8JF,['https://glanmorproperty.co.uk/wp-content/uploads/2025/12/Cwmdu-Unit44BCD-Brochure.pdf'],Glanmor Property,,,,,,,Leasehold,To Let
https://glanmorproperty.co.uk/property/sketty-park-sports-social-club/,"Aneurin Way, Sketty, Swansea SA2 8NP, UK",,Development & Land,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/1-scaled.jpg?resize=1170%2C785&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/3.png?resize=470%2C361&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/2-scaled.jpg?resize=1170%2C785&ssl=1']","LOCATION The subject property is located in the well-established suburb of Sketty, within the City and County of Swansea in South Wales. The property fronts onto Aneurin Way which is a residential street situated between Sketty Park and Derwen Fawr and provides access to the local amenities within Sketty Park. The area lies approximately three miles west of Swansea city centre, offering a balance between a suburban lifestyle and convenient access to urban amenities. The street forms part of a quiet housing estate set back from the main thoroughfares of Sketty, creating a calm and community-oriented environment. The properties along Aneurin Way consist predominantly of mid-20th-century terraced and semi-detached houses, with some more recent modern executive housing developments. Aneurin Way is well served by local facilities and services. Nearby Sketty Cross also provides a range of everyday amenities, including supermarkets, cafes, pharmacies, and small local retail outlets. There are also good public transport links, with regular bus services connecting residents to Swansea city centre, the University, and surrounding districts. Road access is straightforward, with close proximity to Gower Road (A4118) allows quick access to the Gower Peninsula and its award-winning beaches. Sketty Park Sports and Social Club is also nearby the popular village of Mumbles. The area falls within a strong school catchment, with several highly regarded primary and secondary schools located nearby, such as Olchfa Comprehensive School. It is also within a short drive of Swansea University’s Singleton Campus and Singleton Hospital. Overall, property is located in a pleasant and accessible residential setting, combining a quiet suburban atmosphere with surrounding woodlands and excellent access to education, employment, and leisure opportunities. DESCRIPTION The property is a former Sports and Social Club which has been part of the local and wider Swansea community for many years. The building sits on a large and relatively level site measuring approximately 1.5 acres (0.404 hectares). The site is bounded by residential developments to either side and woodlands to the rear. The property is a large two storey club building with managers accommodation occupying part of the first floor. The property is of traditional construction with sloping and at roof coverings. There is a large carpark to the side and rear of the building. We believe this site offers itself to a range of uses due to its affluent position within the city of Swansea, woodland surroundings, local amenities, transport links, popular school catchment area, accessibility to the Gower Peninsula and distance from the amenities within the city centre. As far as we are aware there has been no planning application submitted, and no site investigations have been undertaken. The club has been closed for approximately 5 years and is to be sold with vacant possession. Title plan – The leasehold land shown edged with red on the plan of title number WA64588 and being land on the West side of Aneurin Way, Sketty, Swansea. As to the part edged and lettered X in green on the title has previously been disposed and re-developed. ACCOMMODATION The overall site measures approximately 1.5 acres (0.404 hectares) with the building situated towards the south side of the site and covering approximately 505.54 sq.m (5,441.6 sq.ft). TENURE The property is held long leasehold under title: WA64588 – 99 years from 25th March 1975 at a passing ground rent of £8,000 p/a – Swansea City Council have indicated that they will grant a new lease for a term of 125 years with the ground rent dependant on the required use class and negotiation with the council. PLANNING The property lends itself for a variety of uses, subject to planning and consent, which may include re-development of the site for leisure related uses, creche/children’s nursery, care home etc. The property is currently configured as a Sports and Social Club and therefore also lends itself for a continuation of its use as a club or similar hospitality use. ANTI-MONEY LAUNDERING Following agreement of the Heads of Terms, the proposed Tenant or Purchaser shall be required to supply all information and documentation necessary to comply with applicable Anti-Money Laundering (AML) regulations. BUSINESS RATES Our inspection of the rating list shows the following assessment for the subject premises. Rateable Value: £17,000 (1 April 2023 to present) UBR for Wales 2025/26 56.8p in the £ VAT All figures are exclusive of VAT where applicable. EPC RATING An EPC has been commissioned and will be available shortly. METHOD OF SALE Non-quoting. We are inviting offers for the long-leasehold interest. For all enquiries please contact; Glanmor Chartered Surveyors 01792 439105 info@glanmorproperty.co.uk",6410,1.5,SA2 8NP,['https://glanmorproperty.co.uk/wp-content/uploads/2025/11/SkettyParkSocialClub-Brochure.pdf'],Glanmor Property,,,,,,,Leasehold,For Sale
https://glanmorproperty.co.uk/property/land-at-pen-yr-alltwen-quarry-bryn-llewellyn-alltwen-sa8-3br/,"Bryn Llewelyn, Alltwen, Pontardawe, Swansea SA8 3BR, UK",,Land,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-1-2.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-2-1.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-3-1.jpg?resize=1024%2C768&ssl=1']","LOCATION The storage yard occupies a roadside position at the main entrance to the Quarry within Alltwen, Pontardawe. Alltwen is a village in the Swansea Valleys in Wales, a short distance away from Pontardawe which is on the opposite bank of the River Tawe. Pontardawe is a rural town approximately 4 Miles off the M4 corridor, with good link roads. The city of Swansea is located approximately 9 miles to the south-west of the subject property and is accessed via the A4067 which is the main Swansea Valley Road. DESCRIPTION The subject yard which is approximately 0.57 acres is mainly level and will be let with perimeter palisade fencing to provide security. There is no water or electricity to the site at present however, they  can be provided subject to requirement and negotiations. The site has an existing use for haulage/storage. TENURE ​ The storage yard is available immediately on new full repairing and insuring lease terms. Terms to be negotiated. ​ VAT ​ All figures are exclusive of VAT, where applicable.​ ​ BUSINESS RATES ​ Rateable Value £TBC UBR for Wales 2025/6   56.8 p in the £ Interested parties are asked to verify rates payable by contacting the local authority. RENT £7,000 p/a exclusive ENERGY PERFORMANCE CERTIFICATE Not applicable CONTACT For further information and to arrange a viewing please contact Glanmor Chartered Surveyors. Tel:   01792 439105 Email: info@glanmorproperty.co.uk",,0.57,SA8 3BR,['https://glanmorproperty.co.uk/wp-content/uploads/2025/11/Land-at-PYA-Quarry-Alltwen-Particulars-2.pdf'],Glanmor Property,,,,,,,Leasehold,To Let
https://glanmorproperty.co.uk/property/6-angel-place-neath-sa11-1rq/,"Angel Pl, Neath SA11 1RQ, UK",,Retail & Leisure,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-1-1.jpg?resize=1024%2C545&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-3.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-2.jpg?resize=1024%2C767&ssl=1', 'https://glanmorproperty.co.uk/wp-content/uploads/2025/11/6-Angel-Place-Neath-pdf.jpg']","LOCATION Neath is a historic market town located on the River Neath within Neath Port Talbot, South Wales. It lies approximately 9 miles east of Swansea and around 43 miles west of Cardiff, with good access via the A465 and the M4 motorway. The town centre contains a mix of retail, service, and civic uses, supported by nearby residential areas and established public transport links. Neath serves as a local commercial hub for the surrounding communities and valley areas. DESCRIPTION The subject property is located in a prominent position on Angel Place, opposite Morrisons Supermarket and its large carpark. Benefiting from a full width glazed shop front, the accommodation comprises open plan retail space with rear WC facilities to the ground floor with storage/kitchenette to the first floor.  There is also a rear carpark for staff parking (spaces allocated on a first come, first served basis). ACCOMMODATION TENURE Available on new Full Repairing & Insuring leases via a Service Charge, terms to be agreed. SERVICE CHARGE A service charge will be levied to cover the maintenance and upkeep of the common areas of the property. VAT All figures are exclusive of VAT, where applicable. BUSINESS RATES Our inspection of the rating list shows the following assessment for the subject premises. Rateable Value: £11,000 (April 2023) UBR for Wales 2025/6 56.8 p in the £ Interested parties are asked to verify rates payable by contacting the local authority. EPC RATING An EPC has been commissioned and will be available shortly",926,,SA11 1RQ,['https://glanmorproperty.co.uk/wp-content/uploads/2025/11/6-Angel-Place-Neath.pdf'],Glanmor Property,,,,,,,Leasehold,To Let
https://glanmorproperty.co.uk/property/due-to-relocation-suite-4-langdon-house-sa1-waterfront-swansea-sa1-8qy-2/,"Swansea SA1 8QY, UK",,Office,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-1.jpg?resize=960%2C545&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-3.png?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-2.png?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-5.jpg?resize=603%2C452&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-4.jpg?resize=603%2C452&ssl=1']","LOCATION Available due to relocation, the suite is situated on the ground floor within Langdon House, part of the vibrant SA1 Waterfront development on the fringe of Swansea City Centre. The surrounding area is well-served by local amenities, including a Premier Inn and Tesco Express directly opposite, as well as a variety of restaurants and the recently developed Sancta Maria Hospital nearby. This location offers excellent accessibility for commuters, with strong transport links and easy access to the M4 motorway – approximately 4 miles from Junction 42. DESCRIPTION The suite offers ground floor office space within a modern, BREEAM ‘Excellent’-rated building, enjoying attractive views over the SA1 Waterfront. With access points from both inside Langdon House atrium and directly from Langdon Road, the accommodation comprised a combination of open-plan workspace with 3 private meeting rooms/offices, alongside kitchen and WC facilities. The premises benefits from six designated car parking spaces, with additional access to shared visitor bays, communal cycle storage, and shower facilities. A lift serves all floors of the building, enhancing accessibility. TENURE The property is available for sale or on a new Internal Repairing & Insuring lease terms to be agreed. RENT A quoting rent of £35,000 per annum, exclusive of rates, utilities and service charge. SALE Further information can be provided upon application. SERVICE CHARGE A service charge will be levied to cover the maintenance and upkeep of the common areas of the property. This is currently set at £2.71per sq.ft. VAT All figures are exclusive of VAT, where applicable. BUSINESS RATES Our inspection of the rating list shows the following assessment for the subject premises. Rateable Value: £27,000 (April 2023) UBR for Wales 2025/26 56.8p in the £ Rates Payable: £15,336 EPC RATING An EPC has been commissioned and will be available shortly. PLANNING PERMISSION We have been advised the unit currently has planning consent B1 use",2413,,SA1 8QY,['https://glanmorproperty.co.uk/wp-content/uploads/2025/11/Langdon-House-Suite-4.pdf'],Glanmor Property,,,,,,,Leasehold,For Sale
https://glanmorproperty.co.uk/property/due-to-relocation-suite-4-langdon-house-sa1-waterfront-swansea-sa1-8qy/,"Swansea SA1 8QY, UK",,Office,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-1.jpg?resize=960%2C545&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-3.png?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-2.png?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-5.jpg?resize=603%2C452&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/11/Web-4.jpg?resize=603%2C452&ssl=1']","LOCATION Available due to relocation, the suite is situated on the ground floor within Langdon House, part of the vibrant SA1 Waterfront development on the fringe of Swansea City Centre. The surrounding area is well-served by local amenities, including a Premier Inn and Tesco Express directly opposite, as well as a variety of restaurants and the recently developed Sancta Maria Hospital nearby. This location offers excellent accessibility for commuters, with strong transport links and easy access to the M4 motorway – approximately 4 miles from Junction 42. DESCRIPTION The suite offers ground floor office space within a modern, BREEAM ‘Excellent’-rated building, enjoying attractive views over the SA1 Waterfront. With access points from both inside Langdon House atrium and directly from Langdon Road, the accommodation comprised a combination of open-plan workspace with 3 private meeting rooms/offices, alongside kitchen and WC facilities. The premises benefits from six designated car parking spaces, with additional access to shared visitor bays, communal cycle storage, and shower facilities. A lift serves all floors of the building, enhancing accessibility. TENURE The property is available for sale or on a new Internal Repairing & Insuring lease terms to be agreed. RENT A quoting rent of £35,000 per annum, exclusive of rates, utilities and service charge. SALE Further information can be provided upon application. SERVICE CHARGE A service charge will be levied to cover the maintenance and upkeep of the common areas of the property. This is currently set at £2.71per sq.ft. VAT All figures are exclusive of VAT, where applicable. BUSINESS RATES Our inspection of the rating list shows the following assessment for the subject premises. Rateable Value: £27,000 (April 2023) UBR for Wales 2025/26 56.8p in the £ Rates Payable: £15,336 EPC RATING An EPC has been commissioned and will be available shortly. PLANNING PERMISSION We have been advised the unit currently has planning consent B1 use",2413,,SA1 8QY,['https://glanmorproperty.co.uk/wp-content/uploads/2025/11/Langdon-House-Suite-4.pdf'],Glanmor Property,,,,,,,Leasehold,To Let
https://glanmorproperty.co.uk/property/tabor-baptist-chapel-heol-tabor-cwmavon-sa12-9ps/,"Heol Tabor, Cwmafan, Port Talbot SA12 9PS, UK",32500,Development & Land,"['https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/10/Plan.jpg?resize=1170%2C763&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/10/Web-2-2.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/10/Web-3-3.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/10/Web-4-2.jpg?resize=1024%2C768&ssl=1', 'https://i0.wp.com/glanmorproperty.co.uk/wp-content/uploads/2025/10/Web-1-3.jpg?resize=790%2C690&ssl=1']","LOCATION Tabor Baptist Chapel is located in Cwmavon, a village on the edge of Port Talbot within Neath Port Talbot, Wales. Cwmavon is situated to the north of Port Talbot and approximately 14 miles east of Swansea and 6 miles to the south of Neath. The subject property is accessed via Heol Tabor which consists of a mix of semi-detached houses and some detached houses. Neath Port Talbot Hospital is just over two miles away, and the nearest rail links at Baglan and Port Talbot Parkway are also roughly 3 miles from the Subject property, while Junction 40 of the M4 motorway is approximately 3 miles to the south. DESCRIPTION The property is a freehold chapel building which was once part of the original larger chapel building which has now been demolished. The building is not listed. The chapel construction comprises solid stone walls which have been rendered to all elevations. There is a timber pitched roof clad with a profile metal sheet. There are single glazed timber windows throughout the building. The rear windows are in-situ but have been blocked up externally. The accommodation comprises one open plan hall area with raised stage at one end and a small kitchenette at the other. There are no WC facilities at present. There is no heating system in the building. The building sits to the north-west of the site with the remainder of the land heavily overgrown and not accessible. The property is located at the end of Heol Tabor which is made up of residential dwellings. There is open land and woodlands surrounding the majority of the site. The subject land is approximately 0.103 acres. TENURE ​ The property is available freehold with vacant possession. ​ VAT ​ All figures are exclusive of VAT, where applicable.​ ​ ASKING PRICE We have been instructed to seek offers in the region of £32,500. ENERGY PERFORMANCE CERTIFICATE The property is exempt from EPC requirements CONTACT For further information and to arrange a viewing please contact Glanmor Chartered Surveyors. Tel: 01792 439105 Email: info@glanmorproperty.co.uk",325,,SA12 9PS,['https://glanmorproperty.co.uk/wp-content/uploads/2025/10/Tabor-Chapel-Cwmavon-Particulars.pdf'],Glanmor Property,,,,,,,Freehold,For Sale
