listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.gryphonpropertypartners.com/Property-Details/Cutlers-Court-9-Cutler-Street-EC3A-7BR/10.html,"London, EC3A 7BR",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/10/Resize/Cutlers-Court-outside-800x532.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/10/Resize/Cutlers-Court-foyer-800x916.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/10/Resize/Cutlers-Court-offices2-800x532.jpg']","In a modern extensively refurbished office building with an impressive entrance, great location and the latest in IT + Telecoms. With a variety of suite sizes, you can choose an office to fit the needs of your business, and you can increase or decrease the amount of space you take to fit the needs of your business.  
 You will also be able to take advantage of the onsite team, who are able to act as your company receptionist taking your calls when you are in and out, handle your mail and faxes, and anything else that you may require assistance with. 

                             The building is located on corner of Houndsditch and Cutler Street and next to Devonshire Square. The property is situated within close proximity to Lloyd’s of London and Broadgate and benefits from excellent access to public transport including Liverpool Street, Aldgate and Fenchurch Street station.",,,EC3A 7BR,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/10/Brochure/Ventia-CutlersCourt_Brochure1.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/8-Saint-Thomas-Street-SE1-9RR/11.html,"London, SE1 9RR",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-18-30-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-19-45-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-22-59-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-26-36-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-31-32-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-34-42-289x175.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/11/Resize/2013-01-16-13-35-31-289x175.jpg']","Eight St Thomas Street offers serviced offices and meeting rooms at a prestigious business address with easy access to both the West End and the City. The Business Centre is situated within an impressive Georgian Period building located on the London Bridge Quarter district, only a short distance from The Shard. With it's excellent position the area is very well served by both restaurants and transport. Extensively refurbished to provide boutique, fully furnished, spacious offices, benefitting from plenty of natural light.Eight St Thomas Street maintains its heritage, but creates superb unbranded office space fully equipped to modern standards and the latest in IT and telecoms. 

                             Positioned in the heart of London this serviced office centre sits centrally between the West End, Westminster, the South Bank, the city and Canary Wharf.The property is situated on the corner of St Thomas Street and Borough High Street. Just a short walk will take you to London Bridge Station with connections to the Jubilee Line, Northern line and overland trains.",,,SE1 9RR,,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/15-Furnival-Street-EC4A-1YH/13.html,"London, EC4A 1YH",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/13/Resize/FurnivalStreet-Lounge-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/13/Resize/FurnivalStreet-Reception-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/13/Resize/FurnivalStreet-Entrance-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/13/Resize/FurnivalStreet-outside-289x175.jpeg']","At Furnival Street, you will get a fully furnished, air conditioned and unbranded serviced office with the latest in IT and telecoms. With a variety of suite sizes, you can choose an office to fit the needs of your business, and you can increase or decrease the amount of space you take as necessary. You will also be able to take advantage of our onsite team, who are able to act as your company receptionist taking your calls when you are in and out, handle your mail, faxes and anything else that you may need assistance with. Meeting and board rooms which can accommodate 2 – 20 people are available upon request, and offer a full catering service and audio visual equipment. 

                             Furnival Street serviced offices is located just off High Holborn and runs through to Chancery Lane. There are excellent transport links with Chancery Lane and Farringdon stations within a short walk.",,,EC4A 1YH,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/13/Brochure/Ventia-FurnivalStreet_Brochure1.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/Glen-House-125-133-Old-Brompton-Rd-SW7-3RP/15.html,"London, SW7 3RP",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glenhousekensington-copy-800x1200.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glen-House-Foyer-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glen-House-MeetingRoom-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glen-House-Offices-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glen-House-Outside-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/glenhousesmallmeetingrooom-copy1-800x534.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/Glen-House-Station-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/IMG-6710-copy-800x534.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/IMG-6720-800x534.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/IMG-6764-800x1200.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Resize/IMG-6797-800x534.jpg']","Glen House offers serviced offices and meeting rooms in a prime location in the heart of South Kensington, London. The business centre is located in an attractive modern office building, which provides modern spacious offices, with excellent natural light.
 At Glen House, you will get a fully furnished unbranded office and the latest in IT and telecoms. With a variety of suite sizes, you can choose an office to fit the needs of your business, and you can increase or decrease the amount of space you take as necessary. You will also be able to take advantage of our onsite team, who are able to act as your company receptionist taking your calls when you are in and out, handle you mail and faxes and anything else that you may need assistance with. Meeting and board rooms which can accommodate 2 – 20 people are available upon request, and offer a full catering service and audio visual equipment. 

                             Glen House is located on the south side of Old Brompton Road near to the junction of Gloucester Road, close to Gloucester Road, South Kensington and Earl Court Stations. Earls Court Exhibition Centre is close by. The offices are situated above South Kensington’s prestigious Ferrari and Maserati showroom.",,,SW7 3RP,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/15/Brochure/Ventia-GlenHouse_Brochure.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/9-Savoy-Street-WC2E-7ER/16.html,"London, WC2E 7ER",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Resize/1.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Resize/5.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Resize/3.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Resize/2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Resize/4.jpg']","At 9 Savoy Street, you will get a fully furnished unbranded office and the latest in IT and telecoms. With a variety of suite sizes, you can choose an office to fit the needs of your business, and you can increase or decrease the amount of space you take as necessary.  
 
You will also be able to take advantage of the onsite team, who are able to act as your company receptionist taking your calls when you are in and out, handle your mail, faxes and anything else that you may need assistance with. Meeting and board rooms are available upon request, and offer a full catering service and audio visual equipment. 

                             The offices at 9 Savoy Street occupy a prestigious WC2 address overlooking the river Thames. The nearest underground station is Temple however Embankment is not too much further in the opposite direction.  
 There are a huge amount of bars and restaurants in nearby Covent Garden for entertaining clients or afterwork drinks.",,,WC2E 7ER,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/16/Brochure/Ventia-SavoyStreet_Brochure1.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/7-Henrietta-Street-WC2E-8PS/17.html,"London, WC2E 8PS",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/5.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/4.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/3.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Resize/1.jpg']","The serviced offices at 7 Henrietta Street occupy a prime location in the heart of London’s Covent Garden.
 
 The business centre is an impressive Victorian building that has been recently refurbished to provide high quality office space with excellent natural light and bursting with original features. 
 7 Henrietta Street maintains its heritage but creates superb unbranded offices that come fully furnished, with a wide range of state of the art IT and Telecoms available. You will also be able to benefit from our onsite team who will act as your company receptionist an assist with anything you may need. 
 Meeting rooms are available to book upon request from 2-16 people and offer a full catering service and audio visual equipment. 

                             The business centre is situated on the corner of Henrietta Street and overlooks Covent Garden's piazza. The offices are in a prime position for easy access to all areas of London, with Covent Garden, Charing Cross, and Leicester Square stations all just a short walk away.",,,WC2E 8PS,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/17/Brochure/Ventia-7_Henrietta_Street-Brochure_v3.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/36-Soho-Square-W1D-3QY/18.html,"London, W1D 3QY",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/18/Resize/2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/18/Resize/1.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/18/Resize/4.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/18/Resize/6.jpg']","Serviced offices situated in a beautiful Georgian property that comprises of 6000 sqft of prime office space set over 5 floors. 
 
 Refurbished to a high standard the property still maintains it’s unique and original period features with offices that also boast lots of natural light and superb views over Soho Square. Despite being located just off Europe’s busiest shopping area the inside of the centre offers tranquil working conditions in a smart environment. 

                             Thirty-Six Soho Square is located in the thriving London media hub that is Soho Square, W1, a quiet business haven just south of Oxford Street.",,,W1D 3QY,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/18/Brochure/36_Soho_Square_Brochure_v34.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/3-Queen-Street-W1J-5PA/19.html,"Mayfair, W1J 5PA",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/19/Resize/unspecified.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/19/Resize/2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/19/Resize/3.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/19/Resize/4.jpg']","Three Queen Street offers serviced offices and meeting rooms at a prestigious business address with easy access to both the West End and the City. The business centre is situated within an impressive Victorian building located in the heart of Mayfair, only a short distance from Berkeley Square in a prestigious location is excellently served by both restaurants and transport. Extensively refurbished to provide modern, fully furnished, spacious offices, benefitting from excellent natural light and contemporary reception area with a built in and occupied reception desk. Three Queen Street maintains its heritage, but creates superb unbranded office space fully equipped to modern standards and the latest in IT and telecoms.
 You will also be able to take advantage of our onsite team, who are able to act as your company receptionist taking your calls when you are in and out, handling your mail and faxes and anything else that you may need assistance with. In addition, board room and meeting rooms are available to book upon request from 2-20 people and offer a full catering service and audio visual equipment. 

                             Three Queen Street is located on the corner of Curzon Street and Queen Street Street, near Sheppard’s market and a short distance from Berkeley Square, in the heart of London’s prestigious Mayfair. Only 2 minutes walk from Green Park station (Piccadilly, Jubilee and Victoria lines) and numerous transport links. The area also benefits from both Hyde and Green park only moments away and the delights of Mayfair’s social setting.",,,W1J 5PA,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/19/Brochure/Ventia-ThreeQueenStreet_Brochure1.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/Broadway-House-7-High-Street-BR1-1LF/21.html,"Bromley, Greater London, BR1 1LF",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/21/Resize/DSC-46452-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/21/Resize/DSC-4647-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/21/Resize/DSC-4635-289x175.jpeg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/21/Resize/Bromley-photo-adjusted-289x175.jpeg']","Broadway House is located in the heart of Bromley’s shopping and business district, overlooking Bromley South Train station. The business centre has recently been refurbished to provide high quality office space, with excellent natural light and panoramic views over the local area.
 The centre provides a variety of suite sizes, and each of the offices comes fully furnished, with a wide range of state of the art IT and Telecoms available. You will also be able to benefit from our onsite team, who will act as your company receptionist and assist with anything you may need. 

                             Broadway House is conveniently situated on the Main High Street adjacent to Bromley South Train Station. The A21 and A232 from Croydon are close by and provide easy access to London and the national motorway network. Bromley South Train Station frequently runs services to London Victoria and other destinations throughout the Southeast. The trains to London Victoria depart every 7-15 minutes and the journey takes no longer than 16 minutes.",,,BR1 1LF,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/21/Brochure/Ventia-BroadwayHouse_Brochure1.pdf,Gryphon Property Partners,,,,,,,,
https://www.gryphonpropertypartners.com/Property-Details/9-Devonshire-Square-EC2M-4YN/27.html,"London, EC2M 4YN",,,"['https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/225-217-Dev-Sq-ex.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/225-217-AGP2433v1.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/225-217-AGP2329v1.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/20170223-Waterhouse-Sq-Common-Area-18.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/20170223-Waterhouse-Sq-Common-Area-29.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/20170223-Waterhouse-Sq-Kitchen-2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/20170223-Waterhouse-Sq-Printer-2.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/waterhouse-square-conference-room-27.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/waterhouse-square-coworking-21.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/waterhouse-square-coworking-22.jpg', 'https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Resize/waterhouse-square-office-space-25.jpg']","Previously a warehouse for the East India Trading Company, 9 Devonshire Sqaure has exposed brick walls featuring installations by local artists and an abundance of other original features. This centre has been specifically designed to promote productivity and inspiration. Every detail of this building has been considered to provide everything a business needs to function smoothly consisting of a reception manned by a friendly team, private offices, conference rooms and breakout space. Because of this, it attracts all kinds of businesses varying in both industry and size meaning it is a fantastic place to base your business.  

                             This centre is fantastically located almost directly opposite Liverpool Street Station providing extensive access to the underground network as well as National Rail services making commuting a breeze. As well as the fantastic bars and restaurants in and around Liverpool Street itself, the area of Shoreditch is just a short walk away which is renowned for its vibrant nightlife and food scene making this location perfect for any business to call home.",,,EC2M 4YN,https://www.gryphonpropertypartners.com/UserFiles/Images/Properties/27/Brochure/DevonshireSq.pdf,Gryphon Property Partners,,,,,,,,
