listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://jarroms.co.uk/product/for-sale-21-market-street-leicester-le16dn/,"For Sale – 21 Market Street, Leicester, LE16DN",300000,,"['https://jarroms.co.uk/wp-content/uploads/2026/02/DSCN3497.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/DSCN3496.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/DSCN3499.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/ms1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/ms2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/ms3.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/02/ms4.jpg']","LOCATION Market Street is the pedestrian link between the professional quarter on New Walk and the Highcross Shopping Centre. Located opposite the newly developed landmark Gresham Aparthotel and close to Mattioli Woods Head Office, 200 Degrees Coffee Shop, Cafe Nero, Pragnell (Official Rolex Retailer), and a 24 Hour McDonalds DESCRIPTION The property comprises a 4-storey building with an expansive shop front. There is ground and first floor retail sales areas, together with storage at second and third floor level and a large basement and strong room. Information regarding the Leicester Regeneration shop front improvement grant, and Business Rates Relief (Retail, hospitality, and leisure relief) can be found on the Leicester City Council website. ACCOMODATION Internal Width 4.6 m 15’4″ Shop Depth 17.28 m 56’9″ Ground Floor 72.46 m² (780 sq ft) First Floor Sales Area 52.06 m² (560 sq ft) First Floor Stores 15.38 m² (165 sq ft) Second Floor 61.15 m² (658 sq ft) Third Floor Stores 34.55 m² (372 sq ft) Basement 42.38 m² (456 sq ft) RATES tbc All mains services are connected to the premises, together with a gas boiler serving radiators throughout. PLANNING The property has an established use for A1 retail. LEASE The property is available on a new effective full repairing and insuring Lease for a term of years to be agreed. ENERGY PERFORMANCE CERTIFICATE EPC RATING – C-72",780.0,,LE16DN,[],Jarroms,,,,,,,,For Sale,2026-02-17,Old
https://jarroms.co.uk/product/for-sale-25-glenfield-road-east-leicester-le3-5qw/,"For Sale – 25 Glenfield Road East, Leicester, LE3 5QW",225000,,"['https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3380.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3380-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3400.jpg']","LOCATION The premises are located on Glenfield Road East close to the junction with Fosse Road North and the A47 King Richard Road and within 1 mile of the city centre and close to the Crow’s Nest public house in a densely populated residential area with a large student community. DESCRIPTION The retail and storage areas occupy the ground floor, the first floor comprises three living rooms / bedrooms, a bathroom with a further attic room on the second floor which has a kitchen and shower. PLANNING/USER We understand that the premises have an existing use for a hot food takeaway (sui generis which replaced the old A5 use class) together with a managers flat over. SERVICES We are advised that there is mains water and drainage together with gas and a single-phase electricity supply provided to the premises, but these have not been tested by the agent. TERMS Property is available Freehold for £225,000. LEGAL COSTS & FEES Each party will bear their own legal costs. VAT We understand that the building is not opted for tax and therefore VAT will be not payable on the purchase price.",,,LE3 5QW,[],Jarroms,,,,,,,Freehold,For Sale,2026-02-17,Old
https://jarroms.co.uk/product/for-sale-7-stoughton-road-oadby-le2-4ds/,"For Sale – 7 Stoughton Road, Oadby, LE2 4DS",295000,,"['https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3152.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3455.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3457.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3458.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3466.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3461.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3463.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3464.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3459.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3149.jpg', 'https://jarroms.co.uk/wp-content/uploads/2026/01/DSCN3150.jpg']","LOCATION The property fronts the A6 London Road on the edge of Oadby town centre with nearby occupiers including ASDA, Andrew Bourne Insurance, two takeaways and a BP Service Station. DESCRIPTION A mid-terrace mixed-use property with a three-bedroom maisonette over with independent access from the rear, there are parking bays to the front and the plot includes a single space to the rear. The ground floor retail unit is currently let on a 20-year lease expiring in 2039 with a passing rent of £9,250.00 with an outstanding rent review w.e.f. May 2025. USE We understand that the premises have an existing sui generis use as a takeaway (formally A5) and the residential under class C3 (a). SERVICES Mains water; gas and electricity are connected to the property as is mains drainage, the commercial and residential parts are separately metered. TERMS Property is available Freehold for £325,000. RATING Shop £8,000 Maisonette Band B Rating information is provided for guidance only and interested parties should make their own enquiries with Leicester City Council. USE We understand that the premises have an existing sui generis use as a takeaway (formally A5) and the residential under class C3 (a). SERVICES Mains water; gas and electricity are connected to the property as is mains drainage, the commercial and residential parts are separately metered. TERMS Property is available Freehold for £325,000. RATING Shop £8,000 Maisonette Band B Rating information is provided for guidance only and interested parties should make their own enquiries with Leicester City Council. VAT We understand that the building is not opted for tax and therefore VAT will be not payable on the purchase price. ENERGY PERFORMANCE CERTIFICATE A copy will be made available on request. LEGAL COSTS Each Party will bear their own legal costs",,,LE2 4DS,[],Jarroms,,,,,,,Freehold,For Sale,2026-02-17,Old
https://jarroms.co.uk/product/for-sale-parva-house-regent-road-countesthorpe-le8-5rf/,"For Sale- Parva House, Regent Road, Countesthorpe, LE8 5RF",385000,,"['https://jarroms.co.uk/wp-content/uploads/2025/09/IMG_1712-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3485-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3480-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3488-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3487-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3478-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3467-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3489-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3479-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3476-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3474-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3468-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3473-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3469-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3470-Copy.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/09/DSCN3484-Copy.jpg']","LOCATION The subject property is located on a Regent Road on the periphery of the village close to the junction of Leicester Road and Foston Road and within a 2 minute walk of the Village centre. DESCRIPTION Detached industrial premises of brick construction with an insulated steel profile roof with a later portal frame extension to the rear with first floor offices with independent access. The front apron provides front loading via an electric roller shutter door (10’9″ height clearance) with a welfare block and secondary access to the office, before the unit opens out to provide unencumbered floor space. The offices benefit from a suspended ceiling, air conditioning and aluminium double-glazed windows. USER We understand that the premises have an existing use for Class E (formallyB1/B8) SERVICES We are advised that there is mains drainage, gas and a three-phase electricity supply provided to the premises but have not been tested by the agent. TERMS The premises are available on a freehold basis subject to vacant possession. LEGAL COSTS Each party will bear their own legal costs incurred. APPLICATION FEE Interested parties will be required to pay an application fee of £175+VAT in respect of AML and proof of funds checks. ENERGY PERFORMANCE CERTIFICATE A copy will be made available UNREPRESENTEDPARTIES Lease negotiations are subject to the RICS Code for leasing business premises (1st edition, February 2020). Unrepresented parties are recommended to obtain professional advice RATING ASSESSMENT Rateable Value: £19,000 Est. Rates Payable £9,481pa",,,LE8 5RF,[],Jarroms,,,,,,,Freehold,For Sale,2026-02-17,Old
https://jarroms.co.uk/product/retail-premesis-to-let-28-30-market-street-leicester-le1-6dp-available-june-2021/,"LET – 28-30 Market Street, Leicester, LE1 6DP.",,,"['https://jarroms.co.uk/wp-content/uploads/2020/12/NN2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/N1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1740.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1748.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1739.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1741.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1742.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1743.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1744.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1745.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1746.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1749.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1750.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1751.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1757.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1759.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1761.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1763.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1764.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1765.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1767.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1768.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1770.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1771.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1773.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/DSCN1778.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/matiolo-woods.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/nero.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/mcdonalds.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/pragnells.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/gresham-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/200Degrees-Leicester_x920_crop_center.jpg', 'https://jarroms.co.uk/wp-content/uploads/2020/12/The-gresham-and-Black-iron-Social-review-lunch-breakfast-muddy-stilettos-leicestershire-6.webp', 'https://jarroms.co.uk/wp-content/uploads/2020/12/NN2.jpg']","LOCATION Market Street is a pedestrianised road in the centre of Leicester providing the link between the professional quarter on New Walk and the principal shopping areas of St Martins and Highcross Shopping Centre. Neighbouring occupiers include Pragnells Jewellers, Café Nero, and McDonalds with Mattioli Woods HQ nearby. DESCRIPTION An Attractive brick-built property with slate roof and stone mullioned windows comprising a large 4-storey building with a double frontage suitable for a variety of uses including a restaurant (STPP). The ground floor sales area has an attractive glass atrium to the rear providing a light and airy ambience and an attractive and prominent sales stairs take you to the first floor, in addition there is plentiful storage on second and third floor level as well as a large basement. We have been advised that the landlord is willing to reduce the rent to accommodate business setting up costs. USER We understand that the premises have an existing use for class E. SERVICES We are advised that there is mains drainage, and a single-phase electricity supply is provided to the premises but have not been tested by the agent. TERMS The premises are available on a new lease for a minimum term of 36 months and on terms to be agreed. LEGALCOSTS Each party will bear their own legal costs incurred in documenting the Lease. VAT The premises are not opted for VAT. RATING ASSESSMENT Rateable Value (2023): £38,750 Small Business UBR: £0.499 Est Rates Payable: £19,336.25 Rating information is provided only and interested parties should make their own enquiries with Leicester City Council. UNREPRESENTED PARTIES Lease negotiations are subject to the RICS Code for leasing business Premises (1st Edition, February 2020). Unrepresented parties are recommended to obtain professional advice.",,,LE1 6DP,[],Jarroms,,,,,,,,To Let,2026-02-17,Old
https://jarroms.co.uk/product/to-let-3-church-street-market-harborough-leicestershire-le16-7aa/,"Let Agreed – 3 Church Street, Market Harborough, Leicestershire, LE16 7AA",,,"['https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-Street-Exterior-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-shop-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-shop-2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-shop-3.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-1st-fl-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-1st-fl-2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-1st-fl-3.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/10/3-Church-St-1st-fl-4.jpg']","Ground floor shop with a wide double frontage and first floor sales/ancillary, previously occupied as a cake shop and takeaway. The first floor is accessed by a central sales stair to an open plan public rom with WC. There is a partitioned office that may be removed. LOCATION Market Harborough is a popular and affluent market town some 15 miles south of Leicester and 17 miles north of Northampton. Church Street is situated in the heart of the retail area and provides an attractive and relaxed shopping environment being home for a number of quality local retailers such as Jacks Clothing, Hambleton Bakery, Two Old Goats and the Cookshop. DESCRIPTION Ground floor shop with a wide double frontage and first floor sales/ancillary having been previously occupied as a cake shop and takeaway. The first floor is accessed by a central sales stair to an open plan public room with WC. There is a partitioned office that may be removed if desired. ACCOMMODATION Ground Sales Area 35.02 m2 377 sq ft Ground Stores 2.79 m2 30 sq ft First Sales Area 39.85 m2 429 sq ft Totals 77.66 m2 836 sq ft RATING Rateable Value: £20,000.00 Est. Rates Payable 2025/2026: £9,980.00 (Based on a UBR of £0.499) Small business rates relief available to qualifying tenants. USER We understand that the premises have an existing use for A1 retail under the Town & Country Planning (Use Classes) Order 1987 but interested parties should confirm this with Harborough District Council. SERVICES We are advised that mains drainage and a single phase electricity supply are provided to the premises. LEASE The premises are available on a new full repairing lease subject to a minimum term of 3 years and 3 yearly rent reviews. RENTAL £23,500 pa payable quarterly in advance. DEPOSIT A deposit equivalent to 3 months rental is required and will be held for the term of the tenancy. VAT The rent is not subject to VAT. APPLICATION FEE There will be an application fee of £200.00 + VAT payable on submission of the application forms. LEGAL COSTS The incoming Tenant will be required to discharge the Landlord’s reasonable legal costs incurred in documenting the Lease. EPC RATING – D",2.0,,LE16 7AA,[],Jarroms,,,,,,,,To Let,2026-02-17,Old
https://jarroms.co.uk/product/to-let-first-floor-commercial-studio-64a-st-marys-road-market-harborough-le16-7du/,"Let Agreed – First Floor Commercial Studio, 64A St. Mary’s Road, Market Harborough, LE16 7DU",,,"['https://jarroms.co.uk/wp-content/uploads/2024/12/64a-SMR-ele-lined-jun-25.jpg', 'https://jarroms.co.uk/wp-content/uploads/2024/12/64A-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2024/12/64A-2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2024/12/64A-3.jpg', 'https://jarroms.co.uk/wp-content/uploads/2024/12/64A-4.jpg', 'https://jarroms.co.uk/wp-content/uploads/2024/12/Floor-plan-for-64A-SMR-pdf.jpg']","First floor commercial studio to let on St Mary’s Road ideal for beauty, therapy, hairdressing, nail bar use with kitchenette/store room and W.C. Allocated parking for one vehicle. Several public car parks in close proximity. ACCOMMODATION COMPRISES: First floor commercial studio accessed via dedicated street access from St Mary’s Road. Kitchenette and W.C. One allocated parking space. DEPOSIT A deposit of £1,938.00 equal to three months rent is required and will be held for the term of the tenancy. USE Class E SERVICES We understand that mains water, drainage and electricity are supplied to the premises. SERVICE CHARGE There is a service charge payable monthly which covers water, grounds maintenance, repairs and general maintenance costs. The service charge amount for the current year is £485.00 which equates to £40.41 per month. LEASE The Commercial Studio is is available by way of a new Lease on terms to be agreed. The Lease will be outside the Security of Tenure provisions of the 1954 Landlord and Tenant Act. RENTAL £7,750.00 exclusive plus Service Charge and buildings insurance (£229.84 per annum for the current year). LEGAL COSTS The Tenant will be charged £275.00 plus VAT for the costs incurred in documenting the Lease. APPLICATION FEE There is an application fee of £175.00 plus VAT payable on submission of the application forms. VAT The is no VAT payable on the rent. EPC C RATES Rateable value 2024/2025 – £5,500.00 N.B. Small business rates relief for qualifying tenants. Interested parties should contact Harborough District Council.",,,LE16 7DU,[],Jarroms,,,,,,,,To Let,2026-02-17,Old
https://jarroms.co.uk/product/to-let-first-floor-office-at-36-high-street-market-harborough-leicestershire-le16-7nl/,"Let Agreed – First floor office at 36 High Street, Market Harborough, Leicestershire, LE16 7NL",,,"['https://jarroms.co.uk/wp-content/uploads/2025/05/36-High-St-ext-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/05/Office-A-1.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/05/Office-A-2.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/05/Office-A-3.jpg']","Pleasant first floor interconnecting offices to let. Use of kitchenette to second floor. Ladies and gentlemen’s toilets to first floor. Office has the benefit of air conditioning. ACCOMMODATION Office A – East aspect to High Street – 149 sq ft (13.85 sq m) – West aspect to rear – 86 sq ft (8 sq m) RATING Rateable value for 2025-2026 is £2,750.00 Small business rates relief available to qualifying tenants. LEASE The premises are available on a new Lease on terms to be agreed. DEPOSIT A deposit of £1,000.00 is required and will be held for the term of the Tenancy. USER We believe the permitted use is B1 Business. SERVICE CHARGE The service charge is payable monthly and covers the cost of utilities such as electricity, heating, water, sewerage, cleaning of common parts, maintenance, management, buildings insurance cover and minor repairs. The monthly charge for the current year to 31/12/2025 is £179.39 (£2,152.68 per annum) Additional expenses to the tenant are for business rates (if applicable), cleaning the private offices, air conditioning servicing, telecoms and personal business insurance. LEGAL COSTS The incoming Tenant will be charged £250.00 + VAT for the costs incurred in documenting the Lease. APPLICATION FEE There will be an application fee of £175.00 + VAT payable on submission of the application forms. VAT There is no VAT on the rent.",149.0,,LE16 7NL,[],Jarroms,,,,,,,,To Let,2026-02-17,Old
https://jarroms.co.uk/product/for-sale-unit-13c-saffron-way-leicester-le2-6up/,"SSTC – Unit 13C Saffron Way, Leicester, LE2 6UP",225000,,"['https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3348-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3356-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3352-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3357-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3354-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3353-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3355-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3358-scaled.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/12/DSCN3359-scaled.jpg']","LOCATION The property is situated on a busy industrial estate just off Saffron Lane which is one of the main arterial roues into Leicester City Centre (2½ miles) and is adjacent to the A563 Glenhills Way which provides direct access to the M1 (J21) 3 miles West. DESCRIPTION Modern mid-terrace industrial unit of steel portal frame and insulated cladding over a half height brick and block wall with self contained secure yard with later flat roof extension. The unit has a full height electric roller shutter, the mezzanine provides full cover, there is a separate first floor office, a ground floor WC and central heating throughout. USE We understand that the premises have an existing use for class E (formally B1). SERVICES Mains water, gas and electricity are connected to the property as is mains drainage. TERMS Property is available Freehold for £225,000 with vacant possession. RATING Rateable Value (2025): £5,100.00 Small Business UBR: £0.499 Est. Rates Payable: £NIL We believe the property qualifies for small business relief and no rates will be payable by qualifying occupiers. Rating information is provided for guidance only and interested parties should make their own enquiries with Leicester City Council. LEGAL COSTS Each Party will bear their own legal costs. VAT We understand that the building is not opted for tax and therefore VAT will be not payable on the purchase price",,,LE2 6UP,[],Jarroms,,,,,,,Freehold,For Sale,2026-02-17,Old
https://jarroms.co.uk/product/to-let-20-king-street-enderby-leicestershire-le19-4nt/,"To Let – 20 KING STREET, ENDERBY, LEICESTERSHIRE, LE19 4NT",,,"['https://jarroms.co.uk/wp-content/uploads/2025/11/elevation.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/11/elevation.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/11/bathroom.jpg', 'https://jarroms.co.uk/wp-content/uploads/2025/11/kitchen.jpg']","GENERAL DESCRIPTION AND LOCATION Mid terraced house situated in popular village to the south of Leicester, convenient for the motorway network and Fosse Park. The property has double glazing and gas central heating. ACCOMMODATION Lounge – 11’ x 15’ (3.4m x 4.6m) Dining Room – 11’ x 12’ (3.4m x 3.7m) Stairs off, under stairs cupboard. Kitchen – 5’11” x 12’10” (1.8m x 3.9m) Range of fitted base units, gas hob, electric oven, breakfast bar. Bedroom 1 – 13’ x 12’ (4m x 3.7m) Built-in wardrobes. Bedroom 2 – 8’6” x 11’10” (2.6m x 3.6m) Bathroom White suite comprising panelled bath with electric shower over, pedestal wash hand basin and w.c. OUTSIDE Mostly pebbled rear garden with patio area. TERM 12 month Assured Shorthold Tenancy. RENT £800 per calendar month exclusive DEPOSIT £923 to be held for the duration of the tenancy FEES Once you have decided to apply for a particular property, we require an application form completing for each tenant and a non-refundable deposit to secure the property of £125.00. We will undertake a comprehensive credit search for each tenant. The Tenancy must be completed within 15 days of making the application to avoid forfeiture of the deposit. COUNCIL TAX Band A (Blaby District Council) ENERGY RATING 63 – (BAND D) VIEWING Strictly by arrangement with Jarroms – (0116) 2221999.",,,LE19 4NT,[],Jarroms,,,,,,,,To Let,2026-02-17,Old
