listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.leopoldfarmer.com/offices.htm#Furzeground,"- 2nd Floor, 3 Furzeground Way, at Stockley Park, Uxbridge UB11 1EZ.",134000,,"['https://www.leopoldfarmer.com/IMAGES/3-Furzeground-Way_outside.jpg', 'https://www.leopoldfarmer.com/IMAGES/3-Furzeground-Way_layout-option.jpg', 'https://www.leopoldfarmer.com/IMAGES/Stockley-Park_flyer.jpg']","5,471 sq ft / 508 sq m Office Suite - 2nd Floor, 3 Furzeground Way, at Stockley Park, Uxbridge UB11 1EZ. 3 Furzeground Way is a 78,000 sq ft prestige glass fronted, 3 story Office building set back from the road with extensive car parking facilities. It has raised floors and full air conditioning throughout. The building has been divided into various sized offices. There are 2 visitors’ car spaces. The 2nd floor suite has the benefit of 19 car spaces Stockley Park is the major 150 acre office park for Heathrow Airport and the West of London Area. Being only 7 minutes’ drive from the Airport, the park has attracted many international companies, including Apple, Toshiba, IBM and Cannon. The Park web site provides a large amount of information about extensive facilities and accessibility via public transport. www.stockleypark.co.uk . The layout plan above gives an indication as to how the unfitted 5,471 sq ft office suite could be arranged. The office is held on a FRI lease until the 13th of April 2019. The passing rent is £134,000 pa ex. The lease is available for immediate assignment.",5471,,UB11 1EZ,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#WebberStreet,Prime corner site. - Click here to view the location using .,,,"['https://www.leopoldfarmer.com/IMAGES/132_Webber_Street_630w.jpg', 'https://www.leopoldfarmer.com/IMAGES/132_Webber_Street_Site-Plan_630w.jpg']","2500 sq ft offices - 132 Webber Street, London SE1 0QL Prime corner site. - Click here to view the location using Google Street View . Air con. Full height glazing all around Car Parking. - 14 visitors car spaces including 2 Electric Car Charging Spaces. - Click here for the Furzeground car park plan PDF . Lease by arrangement. EPC Rating C 58 Detailed Site Plan PDF",2500,,,"['https://www.leopoldfarmer.com/pdfs/Webber-Street-ProposedCarParkLayoutJune2015.pdf', 'https://www.leopoldfarmer.com/pdfs/132-Webber-Street_Layout-option-D.pdf']",Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#WexhamSprings,"Wexham Springs, Framewood Road, Nr Gerrards Cross, Bucks",,,"['https://www.leopoldfarmer.com/IMAGES/WexhamSprings/001.jpg', 'https://www.leopoldfarmer.com/IMAGES/WexhamSprings/002.jpg', 'https://www.leopoldfarmer.com/IMAGES/WexhamSprings/003.jpg']","Wexham Springs, Framewood Road, Nr Gerrards Cross, Bucks - LET 2,456 sq ft-offices, Let. An open plan office suite of 2,456 sq ft is now available forming part of the Timberland EU HQ. Located only 3 miles north of Slough as one of a four building campus set in a wooded 40 acre park-often considered one of the finest office parks in the Country. The office space has a raised carpeted floor with a range of movable floor boxes installed, full 4 pipe air conditioning and metal ceiling tiles. Two WC units one of which doubles as a disabled toilet. A single range open kitchen area, with under work surface areas for a fridge and dish washing units. 10 car parking spaces located directly outside the suite entrance. There is also an overflow parking area at the entrance to the park. 24/7 Park Security with a range of video cameras located around the main building and car parking areas. There is flexibility in the lease terms from 3 to 7 years. Contact Robin Farmer 0207 437 1986 to arrange an inspection. Download Maps in PDF format Download Site Location Plan in PDF format Click for bigger images",2456,,,"['https://www.leopoldfarmer.com/IMAGES/WexhamSprings/maps.pdf', 'https://www.leopoldfarmer.com/IMAGES/WexhamSprings/maps.pdf', 'https://www.leopoldfarmer.com/IMAGES/WexhamSprings/site-location-plan.pdf', 'https://www.leopoldfarmer.com/IMAGES/WexhamSprings/site-location-plan.pdf']",Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#TyersGate,"7, Tyers Gate, off Bermondsey Street, London SE1",,,"['https://www.leopoldfarmer.com/IMAGES/TyersGate/TyersInt-00047.jpg', 'https://www.leopoldfarmer.com/IMAGES/TyersGate/TyersInt-00033.jpg', 'https://www.leopoldfarmer.com/IMAGES/TyersGate/TyersInt-00116.jpg', 'https://www.leopoldfarmer.com/IMAGES/TyersGate/TyersInt-00108.jpg', 'https://www.leopoldfarmer.com/IMAGES/TyersGate/TyersInt-00050.jpg']","7, Tyers Gate, off Bermondsey Street, London SE1 - LET 1,890 sq ft-subject to final measurement. Stunning self contained ground floor office conversion of a Victorian warehouse. Open plan space with exposed brick work walls. Old wooden beams and columns, with a new wooden floor. A small oval galvanised duct air cooling/heating system. Lovely Views over the Leather Market Gardens. Rent or Buy – ready end of June. Download Ground Plans in PDF format Click for bigger images",1890,,SE1,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#15KeanStreet,"15 Kean Street, Covent Garden, WC2 4AT",,,[],"15 Kean Street, Covent Garden, WC2 4AT - LEASE ASSIGNED The ground and first floor of 15 Kean Street, Covent Garden, WC2 4AT Ground Floor 1,753 sq ft First Floor 2,228 sq ft Total 3,981 sq ft The lease commenced 30th November 2004. Rent review date 25th of December 2009. Lease break date 24 December 2009. - If lease is broken a payment of 4 months is payable ie £46,666.66p Notice Period is 1 year and one week. Rent £140,000 pa-ex. A new lease may be available direct from the landlord on terms to be agreed. Vacating-April/May-08 Download Ground Floor Plan PDF Download First Floor Plan PDF",1753,,WC2 4AT,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#BedfontLakes,"Bedfont Lakes, near Heathrow",,,[],"Bedfont Lakes, near Heathrow - LET Superb Office suite of 3,800 sq ft (353 sq.mtrs) to sublet. A bright sunny office suite looking over the southwest of Heathrow Airport 6 mins drive to Hatton Cross Entrance-less to Terminal 4 Full Air Conditioning, raised floor with generous floor boxes. 19 car spaces--mostly underground, for security. Central Park Café and lovely walks around the lakes, which is now a nature preserve. Flexible lease of 3-6 years. 24 hour security 3 private buses to Heathrow, Staines and Feltham. Call Robin Farmer on 0207 437 1986 to find out why your offices should be located here!! Click this and the other thumbnail images for full size images",3800,,,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#Pavilion,"The Pavilion, Wexham Springs, Slough",,,[],"The Pavilion, Wexham Springs, Slough - LET 10,000 sq ft to sub let, circa 5 years Good Grade A quality office space in landscaped gardens. Details Full details of this development, with a location map are on the web site, www.pavilion-wexhamsprings.com . AC_FL_RunContent( 'codebase','http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6,0,29,0','width','511','height','254','align','middle','src','flash/pavilion','quality','high','pluginspage','http://www.macromedia.com/go/getflashplayer','movie','flash/pavilion' ); //end AC code",10000,,,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/offices.htm#Wells-St,"75-76 Wells Street, London, W1",45000,,[],"75-76 Wells Street, London, W1 - LET 1,890 sq. ft. 2nd floor offices (175.5 sq. m.) Location The property is located approximately 80 yards north of Oxford Street and is a few minutes walk from Oxford Circus Tube Station. The Property The property comprises of one half of the 2nd floor of the building. The suite is self contained having its own male and female toilets and a small kitchen to the rear. The main accommodation is divided into 2 glass partitioned offices fronting on to Wells Street along with another glass partitioned central office overlooking a light well. All of the area has a pale wooden floor with a suspended ceiling with fluorescent lighting and occasional spot lights. Terms My clients are prepared to sublet the property on an inclusive package at a rent of £45,000 per annum inclusive. The term of the tenancy to expire December quarter date 2004. Call Leopold Farmer about a longer lease. Legal Costs Each party to bear their own legal costs involved in the transaction. Viewing By arrangement through the sole agent: Leopold Farmer 020 7437 1986 Back to top",1890,,W1,[],Leopold Farmer,,,,,,,,,2026-02-18,New
https://www.leopoldfarmer.com/properties.htm#coxlane,"Chessington, 16,000 sq.ft factory",,,"['https://www.leopoldfarmer.com/IMAGES/New/photos/cox_lane_sold.jpg', 'https://www.leopoldfarmer.com/IMAGES/New/photos/cox_lane_factory_sold.jpg']","Chessington, 16,000 sq.ft factory Of interest to owner-occupiers, developers and investors Freehold 16,000 sq.ft, Cox lane, Chessington Location: The property is located on the wellknown Cox Lane Industrial Estate, located approximately 3/4 mile from the Tolworth junction of the A3 trunk road. Chessington North station is located some 3/4 mile away, and various buses pass up and down the road. The Property: The premises are comprised of a two-storey factory erected in the 1950/60s. The proerty has been fitted out so that there is a format of offices at 1st Floor and manufacturing and offices at Ground FLoor level. The proerty has the benefit of gasfired central heating throughout and an attractive parquet wooden flooring in all of the office areas. The floor areas are as follows: 1st floor 7.708 sq.ft 716sq.m Ground Floor manufacturing area 4,468 sq.ft 415sq.m Ground Floor offices 3,833 sq.ft 356 sq.m 6,009 sq.ft 487 sq.m There is a loading bay facility, and ample car parking surroundign the property. The total site area is approximately 0.5 acres. Adjacent Property: Our client also owns the adjacent 0.35 acres upon which is a single-storey open plan factory of some 9,500 sq.ft. This property could be added to the overall redevelopment site. Terms: The property is available on a freehold basis or leasehold basis. Our client would also consider a joint venture on a redevelopment of the site to create a campus office/hightech complex or any other resonable development proposition. Please contact the writer ti discuss the situation in greater detail. Please note: That any assignee must satisfy themselves with regards to the dimensions of the building size/site etc and that these particulars do not constitute or form any part of any offer or contract. Any rent, price or premium quoted in these particulars is exlusive of VAT unless specifically stated, otherwise we would stress that no tests have been carried out to ensure that heating, electrical or plumbing systems and equipment are fully operational. Back to top",16000,0.5,,[],Leopold Farmer,,,,,,,Freehold,,2026-02-18,New
https://www.leopoldfarmer.com/properties.htm#Isleworth,"5,500 sq.ft. factory143 Clocktower Road Isleworth, Middlesex",37267,,['https://www.leopoldfarmer.com/IMAGES/New/photos/clocktower_road_02_leased.jpg'],"5,500 sq.ft. factory143 Clocktower Road Isleworth, Middlesex Location: The Clocktower Road Industrial Estate is located just North of the Junction of the A316 trunk road leading up to the M3 Motorway, and the A310 London Road/Twickenham Road leading to Isleworth town. Heathrow Airport is some 7 miles to the west and Central London circa 9 miles to the East. Situation: The property is located on a 5-acre industrial estate, located just off the junction of Worton Road and Twickenham Road. Isleworth Mainline station is approximately a mile away, and Hounslow East underground station, 1 1/2 miles. The Property: The premises comprise of a brick walled, lined asbestos sheet roofed factory. Loading doors are at the front and the side of the main factory area. A two-storey office section, which has been comprehensively upgraded, fronts the unit. A shared loading yard runs down the east of the property, which has a gate across it for additional security. The unit has been fitted out with comprehensive security system/alarm. There are steel plate chambers located behind the main loading doors to the front and to the rear of the property. In additional to normal offie area, there has been two additional environmentally controlled areas fitted out within the factory, this being for the sake of electronic component assembly. This could be an attraction to any company involved in the electronics fields who would benefit from the high security of the unit, along with its quality and environment. Dimensions: The lease states the gross external areas as being: Ground Floor Factory Area 4604 sq.ft Ground Floor Office Area 136sq.ft First Floor Office Area 781 sq.ft Total Area 5521 sq.ft The height to eaves is 11 ft. Car parking for circa 10 cars plus on site Terms: The property is held on a lease expiring on the 24th March 2005. The current rent passing is £37,267 p.a. exclusive. The next rent review is the 7th Decenber 2003. The property is available by way of an assignment of the current lease and a premium of £20,000 is required, subject to contract, for the benefit of fixtures and fittings and the value of this leasehold interest. Legal Costs: Each party to bear their own legal costs involved in this transaction. The ingoing tenant to bear the landlords legal costs involved in the granting of the assignment. Viewing: To view please contact the sole agent. Please note: That any assignee must satisfy themselves with regards to the dimensions of the building size/site etc and that these particulars do not constitute or form any part of any offer or contract. Any rent, price or premium quoted in these particulars is exlusive of VAT unless specifically stated, otherwise we would stress that no tests have been carried out to ensure that heating, electrical or plumbing systems and equipment are fully operational. Back to top",5500,,,[],Leopold Farmer,,,,,,,Leasehold,,2026-02-18,New
