listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.rightmove.co.uk/properties/171891701,"Princes Court, 26-36 York Road, LE1 5TU",,Office to lease,"['https://media.rightmove.co.uk/property-photo/8df41fa08/171891701/8df41fa08c4d45da1625306f8d3b5728.jpeg', 'https://media.rightmove.co.uk/property-photo/1b5627426/171891701/1b562742616bec240781c359a9a202fe.jpeg', 'https://media.rightmove.co.uk/property-photo/f994cefc3/171891701/f994cefc3f51486089638b92a5ce1ee5.jpeg', 'https://media.rightmove.co.uk/property-photo/97af59656/171891701/97af5965600f968be896b945e3bfc489.jpeg', 'https://media.rightmove.co.uk/property-photo/f52cf1789/171891701/f52cf1789ea0ae4a68ff991ff530e5c4.jpeg', 'https://media.rightmove.co.uk/property-photo/4a0048986/171891701/4a00489866a47ee105741861811c8f5b.jpeg', 'https://media.rightmove.co.uk/property-photo/59b0f8ed3/171891701/59b0f8ed35dc983bbb30b0d233aca4a1.jpeg', 'https://media.rightmove.co.uk/property-photo/7706f9afe/171891701/7706f9afeccc00e7b1fdd875f6017749.jpeg', 'https://media.rightmove.co.uk/property-photo/5ec9fce9e/171891701/5ec9fce9ef9aed28513fbdfee28da7be.jpeg', 'https://media.rightmove.co.uk/property-photo/4e308bbaf/171891701/4e308bbaf9b8d5a29ec1e1bd3881cebc.jpeg', 'https://media.rightmove.co.uk/property-photo/21d0463cb/171891701/21d0463cbe212bc4f7d8cf5057ccf002.jpeg']","LOCATION Leicester is located within the heart of the country, benefiting from excellent nationwide connectivity. Leicester is the largest city in the East Midlands and tenth largest in the UK, with a population of approximately 368,600 (2021) and a workforce of over one million within a 45 minutes drive. Leicestershire has a £23.5bn economy which is projected to grow to £30bn by 2030. The talent pool in Leicester is deep with three universities; University of Leicester, De Montfort University and Loughborough University, educating 60,000 students of which more than 20% remain after graduating. Sport is also a major attraction to the city led by the Leicester Tigers Rugby Club and Leicester City Football Club. The combination of the city's strategic central location, excellent connectivity and diverse and educated workforce has attracted numerous international businesses. These include Walkers Crisps, Next Plc, British Gas, National Grid, IBM, HSBC and the Land Registry. SITUATION The property is situated at the junction with York Road and Lower Brown Street on the south west side of the city centre, just inside the inner ring road, Oxford Street. York Road forms the northern boundary to the property and Lower Brown Street the eastern boundary. The subject property occupies a prominent position close the City Centre's main retail pitch and 12 minutes' walk from Leicester Train Station. The property is 0.3 miles (5 mins walk) from De Montfort University and 1.5 miles (20 mins walk) from the University of Leicester. The striking Mattioli Woods' 62,500 sq ft office HQ is situated a two minute walk from property and links the location with a range of amenities such as Tesco Express, Caffè Nero and Peters Pizzeria to name a few. Newarke Street Multi Storey Car Park is situated diagonally opposite the property and offers a conveniently located option for additional car parking. The immediate vicinity comprises a mixed area with a range of commercial, industrial, residential and leisure uses. DESCRIPTION Designed to provide 11 three storey units arranged around a central forecourt parking area, the property comprises an early 1990s courtyard office scheme constructed in a U shape with wings fronting York Road and Lower Brown Street. The ground floor incorporates two arched vehicular accesses, one from York Road and one from Lower Brown Street. The individual buildings are currently interlinked on each floor allowing for one single occupier to utilise all of the accommodation. ACCOMMODATION Ground Floor - 607.9 sq m (6,544 sq ft) First Floor - 679.4 sq m (7,313) Second Floor - 784.6 sq m (8,445 sq ft) TOTAL - 2,071.9 sq m (22,302 sq ft) There are 29 surface car parking spaces providing a ratio of 1:769 sq ft. The site extends to 0.52 acres and has a low site coverage of 46%. QUOTING TERMS The property is available on a new Full Repairing and Insuring lease from March 2026 and the quoting rent is available upon application. BUSINESS RATES The Rateable Value is £217,000 which increases to £221,000 from April 2026. The Estimated Rates Payable is £119,350. EPC C - 62 Expiry July 2032 VAT We understand the property is elected for VAT.",22302.0,,LE1 5TU,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/159139502,"Unit 2, 1B Sills Road, Castle Donington, DE74 2US",,Warehouse to lease,"['https://media.rightmove.co.uk/property-photo/23bf0533a/159139502/23bf0533a01538d9525ce9ed4fd95164.jpeg', 'https://media.rightmove.co.uk/property-photo/934a0142f/159139502/934a0142ff12d6cd3e07ada9cde1b4e1.jpeg', 'https://media.rightmove.co.uk/property-photo/e1ec10c5e/159139502/e1ec10c5e07509b2247ecff35ffe6387.jpeg', 'https://media.rightmove.co.uk/property-photo/8ba6d4896/159139502/8ba6d48967ebd31251312852a62a0bfe.jpeg', 'https://media.rightmove.co.uk/property-photo/bcea1c469/159139502/bcea1c469df5427c05ea3beccdcd193c.jpeg', 'https://media.rightmove.co.uk/property-photo/3dfd98419/159139502/3dfd98419dbff8db5268cf17bce6749a.jpeg', 'https://media.rightmove.co.uk/property-photo/1eb32099b/159139502/1eb32099be995eb642057496bba99667.jpeg']","Location The property is situated on Sills Road, which forms part of the wider 'Willow Farm Business Park', a well-established industrial estate in Castle Donington, Derbyshire. The location provides excellent access to both the A50 (less than one mile away) and J24 of the M1 motorway (approximately 1.5 miles away). Nearby occupiers include CEVA Logistics, Nippon Express, Konecranes and Rolls-Royce. The Property The property comprises a semi-detached industrial / warehouse unit. The property provides clear span warehousing with a reception, offices and staff amenities (Kitchen and W/C's) all at ground floor level. Internally, the property benefits from the following specification:- - Three phase electricity - Minimum eaves height of 8.00 metres - Maximum eaves height of 10.4 metres - 31m yard depth - Secure gated and fenced rear yard - Gas central heating - Two level access loading bays - LED warehouse lighting - A mix of open plan and cellular offices and a boardroom Accommodation Warehouse: 1,923 sq m (20,699 sq ft) Offices/staff amenities: 172 sq m (1,851 sq ft) TOTAL: 2,095 sq m (22,550 sq ft) Externally, the property provides 27 car parking spaces to the front. Terms The property is available on a new lease for a term of years to be agreed with vacant possession from 16 August 2025. Business Rates The Property has the following ratable value:- £119,000 The current UBR is 51.2p which would make a rates payable figure of:- £60,928 Estate Management Charge An estate management charge is payable for the upkeep and maintenance of the estate. Further details are available on request. Planning The property has planning for:- B8 Storage and Distribution Interested parties should rely on their own enquires from the local planning authority. VAT VAT is applicable to the rent and estate management charge. EPC C-52 Rent £168,000 Per Annum.",1851.0,,DE74 2US,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/150330758,"Robin Hood Site, Main Street, DN22 0NA",,Storage facility to lease,"['https://media.rightmove.co.uk/property-photo/2b0099f48/150330758/2b0099f48932155a127a1b7fec40de10.jpeg', 'https://media.rightmove.co.uk/property-photo/0967e5b60/150330758/0967e5b60f1ff4f562a6d1d3c7bf7e71.jpeg', 'https://media.rightmove.co.uk/property-photo/440ad0b83/150330758/440ad0b8350fe145a5dcb864645852fe.jpeg', 'https://media.rightmove.co.uk/property-photo/fc01f971a/150330758/fc01f971a4b513810c30b239112e02ba.jpeg']","Location The site is situated in Laneham, North Nottinghamshire. The site sits approximately 13 miles west of Lincoln and 8 miles east of Retford. The location provides easy access to the A57 leading to the A1. The Property The land is located to the rear of the site, accessed via a shared driveway off Main Street, Laneham. The self-contained storage yard / compound will be made to be hard standing and securely fenced for private access and additional security. Access is via a shared driveway. Occupiers will need to ensure the access is kept clear at all times as it is shared with adjoining properties/occupiers. Accommodation Storage Yard (Whole): 0.5 acres (2,023 sq m) The yard may be suitable to be split. Please contact the sole agents, heb Chartered Surveyors for further information. Terms The storage land is available to rent on a new lease for a term of years to be agreed. The lease will be excluded from the Landlord and Tenant Act 1954. Rent £20,000 per annum Business Rates The yard is not separately assessed for business rates. Prospective tenants should make their own enquiries to the local authority. Planning The property has planning for:- B8: (Storage) The site has been previously used as open storage yard for the adjacent units. Occupiers are advised to speak to the local Council regarding their proposed use. VAT VAT is not applicable to the rent.",21780.0,,DN22 0NA,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/164710877,"Alan House, Clumber Street, NG1 3ED",,Office to lease,"['https://media.rightmove.co.uk/property-photo/d04fcfb25/164710877/d04fcfb25dd3e723e1d8e73a1c64a4e2.jpeg', 'https://media.rightmove.co.uk/property-photo/9a35bcef8/164710877/9a35bcef838f3bf3a548294f1a88c30b.jpeg', 'https://media.rightmove.co.uk/property-photo/5a6a851b7/164710877/5a6a851b73f53ada2b92f48505174b2d.jpeg', 'https://media.rightmove.co.uk/property-photo/ee2a9c880/164710877/ee2a9c880960828a02b54dd39bfeb57a.jpeg', 'https://media.rightmove.co.uk/property-photo/bcf3d716b/164710877/bcf3d716b2705b85667e1bfc76080055.jpeg', 'https://media.rightmove.co.uk/property-photo/a5b3352ed/164710877/a5b3352edcd3231ed5f7cc6462a876f7.jpeg', 'https://media.rightmove.co.uk/property-photo/7dcc9a1ba/164710877/7dcc9a1babe97499afd1d88918b80a76.jpeg', 'https://media.rightmove.co.uk/property-photo/ba31f63f4/164710877/ba31f63f437d6be54e5a52e416f6c056.jpeg', 'https://media.rightmove.co.uk/property-photo/670db09ca/164710877/670db09cac2f3cc366e20536456f1315.jpeg', 'https://media.rightmove.co.uk/property-photo/c4144a6fb/164710877/c4144a6fb0770efb9f528e292b252f67.jpeg']","Location Centrally located in Nottingham's central retail core on Clumber Street. It is a short walking distance from the Old Market Square where public transport (tram, bus, taxi) is easily available. The prominent position with dual frontage provides potential branding opportunities overlooking two of Nottingham's busiest thoroughfares. The Property Open plan office suites featuring the following specification:- - Suspended ceiling incorporating CAT 2 lighting - Air conditioning throughout - Recent refurbishment of communal & entrance areas - Dual passenger lift to all floors - Full refurbishment of all suites now completed! - Kitchenette - On-site secure bike lockers available for tenant use - Shower room Accommodation First Floor: 293.98 sq m (3,164.37 sq ft) Second Floor: 449.08 sq m (4,833.86 sq ft) Fourth Floor: 415.79 sq m (4,475.53 sq ft) TOTAL: 1,158.85 sq m (12,473.76 sq ft) Terms Each suite is available to rent by way of a new FRI lease for a term of years to be agreed. Rent (per annum) First Floor: £37,500 Second Floor: £58,750 Fourth Floor: £55,000 Business Rates The property has the following rateable values:- First Floor: RV £32,750 PAYABLE £16,343 Second Floor: RV £51,000 PAYABLE £27,846 Fourth Floor: RV £41,250 PAYABLE £20,584 *Payable figures are indicative - confirmation should be obtained from Nottingham City Council. Service Charge A service charge is levied in respect of maintenance and upkeep of the building and common parts. Planning Suitable for uses falling within use class:- E: (Commercial Business & Service) Offices, Financial & Professional Services, etc. EPC First Floor: B-44 Second Floor: B-42 Fourth Floor: B-36 VAT VAT is applicable to the rent and service charge. Video Tour See brochure for link.",3164.0,,NG1 3ED,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/87618984,"Unit 7 Daleside House, Park Road East, Calverton, NG14 6LL",,Light industrial facility to lease,"['https://media.rightmove.co.uk/property-photo/6148ec4da/87618984/6148ec4da8ce944c8c56669b1b791842.jpeg', 'https://media.rightmove.co.uk/property-photo/29e94369e/87618984/29e94369e2930b158eaba9c934ecd78f.jpeg', 'https://media.rightmove.co.uk/property-photo/d28fe8b1d/87618984/d28fe8b1d7bab77c5569995e7d7b27a4.jpeg', 'https://media.rightmove.co.uk/property-photo/8c86438fc/87618984/8c86438fce81467506ae123a2a4b5d4e.jpeg', 'https://media.rightmove.co.uk/property-photo/0a86d5cc4/87618984/0a86d5cc4e0109e142e431e7b1cc86cf.jpeg', 'https://media.rightmove.co.uk/property-photo/33ccf80a6/87618984/33ccf80a6426f6f627d763cd68175371.jpeg', 'https://media.rightmove.co.uk/property-photo/1896a8fbc/87618984/1896a8fbccacb37268d3de738eae42aa.jpeg', 'https://media.rightmove.co.uk/property-photo/83a622746/87618984/83a622746f72546f2e4464f7a7e1982d.jpeg', 'https://media.rightmove.co.uk/property-photo/6798871a4/87618984/6798871a459bf903fa88400865de2766.jpeg', 'https://media.rightmove.co.uk/property-photo/9b620f0a3/87618984/9b620f0a31c18da85828122016762c8a.jpeg']","Location The property is located in Calverton fronting Park Road East. Calverton is within Gedling Borough Council and lies approximately 7 miles to the North of Nottingham City Centre. The property has good access links to the A60 and A614 providing access to the wider road network. The property may be accessed directly from Park Road East with two points of entry. Other occupiers on the estate include GS Signs and Graphics, Overland and Bargain Girls. The Property The property forms part of a larger structure that has been internally divided to create a series of similar industrial units varying in size and specification. The subject unit is in the middle of the premises and features office accommodation along the front elevation and warehouse space to the rear. The warehouse space is predominately open plan with a dedicated loading / unloading area to the rear. Internally the accommodation features ambi-rad heaters (not tested), three phase power and 3.5m eaves. The office accommodation features a mix of cellular and open plan accommodation with separate WC and kitchenette facilities. Accommodation (GIA) Warehouse: 907 sq m (9,765 sq ft) Offices: 186 sq m (2,008 sq ft) TOTAL: 1,093 sq m (11,773 sq ft) Terms The property is available to rent on a new FRI lease for a term of years to be agreed. Rent £55,000 Per Annum Business Rates The property has the following rateable value:- £51,500 The current UBR is 55.5p which would make a rates payable figure of:- £28,583 Service Charge A service charge is applicable and will be levied across the estate. VAT VAT is not applicable to the rent or service charge. Planning By virtue of the previous use, we understand the property has planning for:- B2: (General Industrial) Alternative uses may be permitted and interested parties are advised to liaise with the local planning authority. EPC D-75 Anti-Money Laundering heb will require by law to undertake identity checks for confirmation that the tenant's entity are parallel with the financial terms that have been agreed.",11773.0,,NG14 6LL,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/165604760,"Lenton Lane, Nottingham NG7 2NR",,Light industrial facility to lease,"['https://media.rightmove.co.uk/property-photo/d19d43d09/165604760/d19d43d091b716838f17396fbb3255ab.jpeg', 'https://media.rightmove.co.uk/property-photo/8b52699a3/165604760/8b52699a30d0c5fbb1d3acda7a9f63b7.jpeg', 'https://media.rightmove.co.uk/property-photo/65c656171/165604760/65c656171d956708309277cbe22ca3b5.jpeg', 'https://media.rightmove.co.uk/property-photo/0f6ef6f5d/165604760/0f6ef6f5daf980ac7c096a6f170ac278.jpeg', 'https://media.rightmove.co.uk/property-photo/ae5429c68/165604760/ae5429c68938008ce3d4d0207f2e99ea.jpeg', 'https://media.rightmove.co.uk/property-photo/d1b419f6f/165604760/d1b419f6f9f40f3e5cc61caf090e9def.jpeg', 'https://media.rightmove.co.uk/property-photo/b0d1fb4c1/165604760/b0d1fb4c1c63cb4e62722133b02451b5.jpeg', 'https://media.rightmove.co.uk/property-photo/e3562b331/165604760/e3562b33152e7a90364a19790d82e0eb.jpeg', 'https://media.rightmove.co.uk/property-photo/2e518639e/165604760/2e518639e8e20370e416f24afc3483ba.jpeg']","Location The site is situated on Lenton Lane, the road immediately parallel to and visible from the A52 (Clifton Boulevard) which forms Nottingham's outer ring road. The property occupies a highly prominent location at the heart of Lenton Lane, a well-established commercial area approximately 2.5 miles south west of Nottingham City Centre. The property is accessed via Clifton Boulevard (A52), which comprises the primary ring-road for the city, providing access to West Bridgford to the south west and Junction 25 M1 Motorway and Derby to the east. In respect of franchised motor retailing, this location is the prime pitch in the context of the Nottingham market. Premium brands such as BMW, MINI, Volvo, Aston Martin, Audi and Land Rover are represented within close proximity, along with brands including Ford, Vauxhall, Nissan, Mazda and Honda. In addition to the car dealerships, Riverside Retail Park is nearby with operators such as B&Q, Next, Home Bargains and Poundland and established industrial and trade occupiers include Big Yellow Storage, Tile Mountain and Screwfix. The Property The site is highly visible from both Lenton Lane and the A52 with vehicular access close to the main slip road on and off the ring road. The opportunity has its own dedicated entrance off Lenton Lane and secured by way of existing perimeter fencing. Within the site, there is a detached, self-contained warehouse of steel portal frame construction with five level shutter access doors leading on to the substantial surfaced yard. The adjoining site is occupied by J McCann Construction. Accommodation (GIA) Warehouse: 1,032 sq m (11,105 sq ft) The boundary of the yard area can be altered to suit and we are able to offer the following Options:- Option One 11,105 sq ft in 0.9 acres Option Two 11,105 sq ft in 1.54 acres An indicative layout plan is shown on Page 4 and we are able to review variations to suit occupiers' specific requirements. Tenure The opportunity is available on a leasehold basis. As our clients occupy the adjacent property they could consider leasing the property in its current condition with minimal investment on a flexible or long term basis. Equally they are prepared to invest in the property and agree a long term lease and appropriate works subject to terms being agreed. Business Rates The property currently forms part of a wider assessment with indicative estimation of business rates available upon application to the marketing agents. Planning B2 (General Industrial) B8 (Storage & Distribution) The property is suited to a variety of uses by virtue of its location within the Lenton Lane Industrial Estate. Prospective tenants are advised to ensure that their use is compatible with the planning use of the property and the above is provided for guidance purposes only. VAT VAT is applicable to the rent. EPC An EPC has been commissioned. AML Legislation FHP and HEB will be required by law to undertake identity checks and provide confirmation of the tenant's entity in parallel with financial terms being agreed.",11105.0,,NG7 2NR,[],heb Chartered Surveyors,,,,,,,Leasehold,To Let
https://www.rightmove.co.uk/properties/102944627,"Century House, 8-18 Chapel Bar, Nottingham NG1 6JQ",,Office to lease,"['https://media.rightmove.co.uk/property-photo/40630d995/102944627/40630d995bc257474546bd13c490aebd.jpeg', 'https://media.rightmove.co.uk/property-photo/ac8787bc2/102944627/ac8787bc2ccb7487ce6bee61e8f00af6.jpeg', 'https://media.rightmove.co.uk/property-photo/94813508f/102944627/94813508fc02877cf9ead158e04379b7.jpeg', 'https://media.rightmove.co.uk/property-photo/8021ce2f1/102944627/8021ce2f1f5710359bc92b3cf4d5c986.jpeg']","LOCATION: The subject property is situated on Chapel Bar in the heart of Nottingham city centre and on the edge of the Professional Quarter. The property is a short walk away from the main public transport links such as bus links and tram links on the Market Square, which is also a 10 minute walk from Nottingham train station. The property has a substantial range of amenities close by, with the main Nottingham retail core and Market Square a short walk away. DESCRIPTION: The property comprises a mid-terrace, mixed use, four-storey commercial building overlooking Chapel Bar. The office accommodation is directly accessed from its dedicated ground floor entrance which leads into the common reception which provides stair and lift access to all floors. The accommodation is split over three floors with each floor having its own self-contained entrance from the common stairwell. There are toilets at each level within the common areas which provide both ladies and gents WC facilities. The internal specification of each floor plate is broadly similar with solid floors, suspended ceilings with inset LED lighting, air conditioning, gas central heating and a kitchen. Each suite differs slightly in configuration, but overall, the accommodation is mainly open plan with some cellular stud partitioning in part. ACCOMMODATION: First Floor: 267.92 sq m (2,884 sq ft) Second Floor: 270.56 sq m (2,912 sq ft) Third Floor: 269.45 sq m (2,900 sq ft) TOTAL: 807.93 sq m (8,697 sq ft) TERMS: The property is available on a new FRI lease for a term to be agreed. TENURE: Leasehold. RENT: The rent is available upon application. Rents for the individual floors are also available upon request. RATES: First Floor: Rateable Value - £27,000 Rates Payable - £13,473 Second & Third Floor: Rateable Value - £58,000 Rates Payable - £29,696 PLANNING: Use Class E. VAT: Vat is applicable to the rent. SERVICE CHARGE: A Service Charge is in place for maintenance and upkeep of the common areas. EPC: First Floor: D - 77 Second Floor: D - 84 Third Floor: D - 92 CLICK LINK BELOW FOR LETTING PARTICULARS",2884.0,,NG1 6JQ,[],heb Chartered Surveyors,,,,,,,Leasehold,To Let
https://www.rightmove.co.uk/properties/167621096,"Unit B2 Langham Park, Maple Road, Castle Donington, DE74 2UT",,Light industrial facility to lease,"['https://media.rightmove.co.uk/property-photo/a0bcbf83b/167621096/a0bcbf83b7581200f7f7b31dd2a1f1be.jpeg', 'https://media.rightmove.co.uk/property-photo/7101679a4/167621096/7101679a45fedfbad22a5aff8abf0f80.jpeg', 'https://media.rightmove.co.uk/property-photo/5c7533761/167621096/5c7533761d31fd47966516e5fa7a26b5.jpeg', 'https://media.rightmove.co.uk/property-photo/ba98517af/167621096/ba98517afdc8a841fda6b911c7f9293b.jpeg', 'https://media.rightmove.co.uk/property-photo/a0b94e1f8/167621096/a0b94e1f8516ca806654f5b49beea8d8.jpeg', 'https://media.rightmove.co.uk/property-photo/390a61ea4/167621096/390a61ea4c617f846ff32a7a1df3f614.jpeg', 'https://media.rightmove.co.uk/property-photo/2fa23cafe/167621096/2fa23cafe2bd68a2ef887c3be291730a.jpeg', 'https://media.rightmove.co.uk/property-photo/86b09b1d5/167621096/86b09b1d58d8a2d04d5884f9a62c48b3.jpeg', 'https://media.rightmove.co.uk/property-photo/aebc52e37/167621096/aebc52e37e2daeeefc7c8fa40fd018e0.jpeg']","Location The property is situated within Langham Park, a small warehouse and industrial estate located directly off Trent Lane in Castle Donington. Langham Park is 2.5 miles from J24a of the M1 motorway via the A50 which in turn provides convenient access to J23a and the A42 / M42 linking the location to Derby, Nottingham, Leicester and Birmingham. The Property The property is a mid-terrace high specification modern industrial unit of steel portal frame construction with part brick and blockwork and part profile clad elevations under a pitched clad roof. Internally, the specification includes:- - LED warehouse and office lighting - Clear span warehousing - 5.2 min eaves - Full height roller shutter door access (4.8m high) - Ceiling mounted gas fired hot air blower - Separate feature glazed pedestrian entrance - Ground and first floor office space - Kitchen and WC facilities Externally, there is a concrete surface loading bay and car parking bays allocated to the unit. Accommodation Ground Floor Warehouse: 679.35 sq m (7,313 sq ft) First Floor Offices: 31.94 sq m (344 sq ft) TOTAL: 711.29 sq m (7,657 sq ft) Terms The property is available on a new lease for a term of years to be agreed, subject to vacant possession. Business Rates The property has the following rateable value:- £40,250 The current UBR is 49.9p which would make the rates payable figures of:- £20,084.75 Interested parties should rely on their own enquiries from the Valuation Office Agency. Estate Management Charge An estate management charge is payable for the upkeep and maintenance of the estate. Further details are available upon request. Planning The property has planning for:- E: (Commercial, Business & Service) B8: (Storage & Distribution) Interested parties should make their own enquiries. VAT VAT is applicable to the rent and estate management charge. EPC An EPC has been commissioned. Anti Money Laundering In accordance with Anti-Money Laundering Regulations, two forms of identification will be required from the prospective Tenant.",7657.0,,DE74 2UT,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/169743869,"Market Square House, St James's Street, NG1 6FG",,Office to lease,"['https://media.rightmove.co.uk/property-photo/76f78188e/169743869/76f78188e088e1eb4e41db7989fb4746.jpeg', 'https://media.rightmove.co.uk/property-photo/2156c7b15/169743869/2156c7b152fd7ff530506cc5148f16a7.jpeg', 'https://media.rightmove.co.uk/property-photo/30dc94d16/169743869/30dc94d16b536e89467fb261d4edbd1e.jpeg', 'https://media.rightmove.co.uk/property-photo/fafa62baa/169743869/fafa62baa1925ba2007cc3fe784b4ab1.jpeg', 'https://media.rightmove.co.uk/property-photo/dacbe8f27/169743869/dacbe8f273478d0db1ff50b45e635eda.jpeg', 'https://media.rightmove.co.uk/property-photo/0cffe4183/169743869/0cffe4183c92bb2f0573b0aa36d5bafe.jpeg']","Location The property is prominently and centrally located in Nottingham's Old Market Square and is surrounded by a variety of regional / national retailers and office occupiers. The Old Market Square provides easy access to Nottingham's public transport systems (tram, bus and taxi networks). The Property The property comprises open plan offices suites on the seventh and tenth floors, which can be provided as a whole, on a floor by floor basis or smaller office suites if required with each floor having the following specification:- FLOOR SEVEN - Suspended ceilings with a mix of strip and Cat 2 lighting - Air conditioning - Shared access with reception, on site concierge and dual lift access - Kitchenette / staff room - Intruder alarm - Fully carpeted - Wall mounted internet connectivity FLOOR TEN - As above, plus; - Shower room - Server room Accommodation Floor Seven - 320 sq m (3,444 sq ft) Floor Ten - 296 sq m (3,186 sq ft) TOTAL: 616 sq m (6,630 sq ft) Smaller suites available from 25 sq m (269 sq ft) Terms Each suite is available to rent by way of a new FRI lease for a term of years to be agreed. Rent Rent Upon Application. Business Rates 2025 Floor Seven - £31,250 Floor Ten - £34,250 Service Charge A service charge is payable for the general maintenance and upkeep of the building and common areas. Planning The property has planning for:- E: (Commercial Business & Service) Offices VAT VAT is not applicable to the rent or service charge. EPC Floor Seven: E-119 Floor Ten: E-125",269.0,,NG1 6FG,[],heb Chartered Surveyors,,,,,,,,To Let
https://www.rightmove.co.uk/properties/165373076,"8 Ayr Street, Radford, NG7 4FX",,Light industrial facility to lease,"['https://media.rightmove.co.uk/property-photo/02c3849d4/165373076/02c3849d4d339819ab9f3805d816bdf2.jpeg', 'https://media.rightmove.co.uk/property-photo/e9c03962d/165373076/e9c03962de01b35fabea0c5db59350f6.jpeg', 'https://media.rightmove.co.uk/property-photo/99b1c4451/165373076/99b1c4451eacd9738fd89c8a0fbd9fa2.jpeg', 'https://media.rightmove.co.uk/property-photo/45259b12b/165373076/45259b12b6ad2a0a34a8acb159d9ed88.jpeg', 'https://media.rightmove.co.uk/property-photo/b1245ee29/165373076/b1245ee2993e9c7d61d42160bdba2785.jpeg', 'https://media.rightmove.co.uk/property-photo/ce1baeb23/165373076/ce1baeb230303701130a0964f7ad0c97.jpeg', 'https://media.rightmove.co.uk/property-photo/81b4a6c52/165373076/81b4a6c5214c83d9f97952d1ab9f79c5.jpeg', 'https://media.rightmove.co.uk/property-photo/aa651ff1c/165373076/aa651ff1c22219034bf41aa1842ce3d7.jpeg', 'https://media.rightmove.co.uk/property-photo/2fffdc2f0/165373076/2fffdc2f0f850c70886edecd563ca5a0.jpeg', 'https://media.rightmove.co.uk/property-photo/ac0dccfea/165373076/ac0dccfea1cd8832d4a423cf66f01c40.jpeg', 'https://media.rightmove.co.uk/property-photo/f955bc063/165373076/f955bc063452d420ba900510b153e810.jpeg', 'https://media.rightmove.co.uk/property-photo/4428ddbd9/165373076/4428ddbd9502f519c34cdc8d50714070.jpeg']","Location The property is situated on Ayr Street, Radford which, provides easy access to Nottingham city centre, the A6514 and the A610 leading to J26 of the M1 motorway (approximately 5 miles northwest). The Property The property comprises a detached trade counter / industrial / warehouse unit with first floor offices and mezzanine stores. Internally, the property benefits from the following specification:- - Three phase electricity - Minimum eaves height of 5m - Secure gated compound - Two level access loading bays - Two electric roller shutters - Inspection pit and drainage - Mix of strip lighting (warehouse) and LED lighting (offices) - Mix of open plan and cellular offices / boardroom - Mezzanine floor - Multiple stores - Staff facilities (W/C and Kitchenette) Accommodation Ground Floor Trade Counter, Warehouse / Workshop / Staff / Stores: 357 sq m (3,839 sq ft) Mezzanine: 167.35 sq m (1,803 sq ft) First Floor Offices: 80.60 sq m (868 sq ft) TOTAL: 604.95 sq m (6,510 sq ft) Externally, the accommodation provides a rear yard and front yard / car parking. The rear yard provides approximately 12 parking spaces, with the front yard providing approximately 5 parking spaces (totalling 17 car parking spaces). The rear yard is approximately 340 sq m (3,660 sq ft). Terms The property is available by way of assignment under a lease which expires in September 2032, or by way of a new lease direct from the landlord at a rent to be agreed. Business Rates The property has the following rateable value:- £23,750 Planning The property has planning for:- B2 (General Industrial) B8 (Storage & Distribution) E: (g) (iii) (Any Industrial Process) Interest parties should rely on their own enquiries with the local planning authority. VAT VAT is applicable to the rent. EPC D-83",868.0,,NG7 4FX,[],heb Chartered Surveyors,,,,,,,,To Let
