listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://mhpi.co.uk/portfolio/mecca-bingo-gateshead/,"Mecca Bingo, Gateshead",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2026/03/Thumbnail.jpg?resize=750%2C413&ssl=1'],"Offers are invited in excess of £3,190,000, exclusive of VAT and subject to contract. A purchase at this level reflects a Net Initial Yield of 10.01% assuming standard purchaser’s costs of 6.47% and a low Capital Value of £94 psf. Purpose built leisure investment located in the heart of a key regional regeneration area at the entry point to Newcastle-Gateshead Quayside. Highly prominent site with dual frontage and extending to approximately 2.97 acres , providing a low site cover of 26% with car parking provision for up to approximately 225 vehicles. 33,944 sq. ft. bingo hall arranged over predominantly ground floor with a small first ancillary provision. Located within the Gateshead Quays and Baltic Quarter regeneration district, already home to The Glasshouse International Centre for Music and The Baltic Centre for Contemporary Art, with plans for the next £250m phase of development to incorporate a 12,500 seat entertainment arena, in addition to hotels, restaurants and extensive public realm. Fully let to Mecca Bingo Limited, with a new reversionary 10 year lease agreed from 29 th September 2026 until 28th September 2036 with 5 th year tenants option to break providing an attractive 10.6 years to expiry and 5.6 years to break. Mecca Bingo Limited is a leading British operator of bingo clubs, with over 70 locations throughout the country reporting a 2025 turnover of £139m. Mecca Bingo have occupied the site since it was built in 1995 and have demonstrated their commitment to the location with the recently completed reversionary lease at an increased rent. Significant future redevelopment potential in line with the wider Gateshead Quays district. Modest passing rent of £340,000 per annum (£10.02 psf) Tenant benefits from significant supplementary carparking income making the contracted rent extremely affordable. Freehold. Offers are invited in excess of £3,190,000 , exclusive of VAT and subject to contract. A purchase at this level reflects a Net Initial Yield of 10.01% assuming standard purchaser’s costs of 6.47% and a low Capital Value of £94 psf .",33944.0,2.97,,['https://mhpi.co.uk/wp-content/uploads/2026/03/Mecca-Bingo-East-Street-Gateshead-Investment-Brochure.pdf'],Metcalf Harland,,,,,,,Freehold,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/south-street-crook/,"South Street, Crook",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2024/10/Thumbnail-1.jpg?resize=750%2C467&ssl=1'],"We are instructed to seek offers in excess of £595,000 which reflects a net initial yield of 7.04% after purchaser’s costs of 5.04%. 100% Prime pitch in busy market town. Let to Strong covenants of DP Realty Limited (Dominos) & Cash Access UK Ltd (Banking Hub). Recently refurbished and new lettings at a combined rent of £44,000pa . Crook is an Historic and attractive County Durham market town. We are instructed to seek offers in excess of £595,000 which reflects a net initial yield of 7.04% after purchaser’s costs of 5.04%.",,,,['https://mhpi.co.uk/wp-content/uploads/2026/02/MHPI-South-Street-Crook.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/durham-road-retail-park-sunderland/,"Durham Road Retail Park, Sunderland",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2026/01/Thumbnail-1.jpg?resize=750%2C467&ssl=1'],"We have been instructed to seek offers in excess of £10,250,000, which will provide the purchaser with an initial yield of 5.74% after costs of 6.7%. New Build Convenience & Roadside retail development. Anchored by B&M, Costa, Greggs. WAULT of 14.7 years to expiry. 32,452 sq ft of accommodation on 4.18 acres. 8 electric vehicle charging points. Annual rent of £627,500pa. 71% of the income secured to B&M and Costa for 15 years. 34% of the income benefits from indexed linked reviews. We have been instructed to seek offers in excess of £10,250,000, which will provide the purchaser with an initial yield of 5.74% after costs of 6.7%.",32452.0,4.18,,['https://mhpi.co.uk/wp-content/uploads/2026/01/Durham-Road-Retail-Park-Sunderland-Brochure.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/heron-foods-amble-northumberland/,"Heron Foods, Amble, Northumberland",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2026/01/Thumbnail.jpg?resize=750%2C466&ssl=1'],"We are instructed to seek offers in excess of £625,000 which reflects a net initial yield of 7.61% after deduction of 5.12% purchaser costs. Town Centre supermarket . New letting to Heron Foods Limited who have shareholder’s funds of £101m . Busy tourist town with new housing developments . Low passing Rent . We are instructed to seek offers in excess of £625,000 which reflects a net initial yield of 7.61% after deduction of 5.12% purchaser costs.",,,,['https://mhpi.co.uk/wp-content/uploads/2026/01/Heron-Foods-1-11-Queen-Street-Amble-Brochure.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/60-62-highgate-kendal/,"60-62 Highgate, Kendal",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2025/10/Thumbnail.jpg?resize=750%2C467&ssl=1'],"We are instructed to seek offers in excess of £300,000 which reflects a net initial yield of 7.42% after purchaser’s costs of 3.3%. Kendal is the main market town serving the South Lake District area. The Lake District is a UNESCO World Heritage site. New 5 year Lease at market rent. Home of the world famous Kendal Mint Cake . The Lake District National Park attracts an average of 15.8m visitors each year. We are instructed to seek offers in excess of £300,000 which reflects a net initial yield of 7.42% after purchaser’s costs of 3.3%.",,,,['https://mhpi.co.uk/wp-content/uploads/2025/10/60-62-Highgate-Kendal-Investment-Brochure.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/crew-clothing-northallerton/,"Crew Clothing, Northallerton",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2025/09/Thumbnail-2.jpg?resize=750%2C467&ssl=1'],"We are instructed to seek offers in excess of £365,000 which reflects a net initial yield of 7% after deduction of 3.92% purchaser costs. Prime pitch in one of the norths best Market Towns . Let to excellent covenant of Crew Clothing Co. Ltd . Nearby retailers include Boots, Yorkshire Trading, Bodycare & Caffé Nero, Re-based rent and new lease . We are instructed to seek offers in excess of £365,000 which reflects a net initial yield of 7% after deduction of 3.92% purchaser costs.",,,,['https://mhpi.co.uk/wp-content/uploads/2025/09/215-High-Street-Northallerton-Brochure-1.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/4-sheep-street-skipton/,"4 Sheep Street, Skipton",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2025/04/Thumbnail.jpg?resize=750%2C465&ssl=1'],"We are instructed to seek offers in excess of £900,000 which reflects a net initial yield of 6.57% after purchaser’s costs of 5.63%. 100% Prime retail pitch within the town Well configured retail unit. Tenant Break not exercised. Attractive Market Town & gateway to the Yorkshire Dales. Regularly voted in the UK’s best destinations to live. Value Add with upper floor residential not currently used. We are instructed to seek offers in excess of £900,000 which reflects a net initial yield of 6.57% after purchaser’s costs of 5.63%.",,,,['https://mhpi.co.uk/wp-content/uploads/2025/04/The-Works-4-Sheep-Street-Skipton-Brochure.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/roadside-investment-passfield-way-peterlee/,"Roadside Investment – Passfield Way, Peterlee",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2025/02/Thumbnail.jpg?resize=750%2C468&ssl=1'],"We have been instructed to seek £4.25m, which will show a net initial yield of 6.10% (2.3% costs) on the basis of an SPV sale or 5.86% after standard purchase costs of 6.54%. Roadside Investment opportunity recently completed . Let to Sainsburys, Greggs & Domino’s amongst others. Blend of open market and CPI reviews . 12,943 sq ft of accommodation plus electric charging points. Annual rent of £265,380 with genuine reversion. Asset Management opportunities to further improve income & Value. WAULT to expiry of 13.3 years & 12.3 to break. We have been instructed to seek £4.25m, which will show a net initial yield of 6.10% (2.3% costs) on the basis of an SPV sale or 5.86% after standard purchase costs of 6.54%.",12943.0,,,['https://mhpi.co.uk/wp-content/uploads/2025/02/Passfield-Way-Peterlee-Brochure-Feb-25.pdf'],Metcalf Harland,,,,,,,,For Sale,2026-03-08,Old
https://mhpi.co.uk/portfolio/41-51-clayton-street-40-42-newgate-street-newcastle/,"41-51 Clayton Street & 40-42 Newgate Street, Newcastle",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2024/05/Thumbnail.jpg?resize=750%2C467&ssl=1'],"High Street investment let to strong covenant of Burger King until 2039. Opposite Eldon Square and close to Tesco, Greggs & KFC, the New Maldron Hotel and The Gate . Significant opportunity to convert 11,289sq ft of vacant upper floors to student or residential accommodation We are instructed to seek offers in excess of £2,500,000 which reflects a net initial yield of 7.00% off the income and £43 per sq ft on the vacant space after deduction of purchaser’s costs of 6.38%. This is a low overall capital value of £153 per sq ft .",11289.0,,,['https://mhpi.co.uk/wp-content/uploads/2024/05/45-51-Clayton-Street-40-42-Newgate-Street-Newcastle-upon-Tyne-September-24.pdf'],Metcalf Harland,,,,,,,,,2026-03-08,Old
https://mhpi.co.uk/portfolio/roadside-funding-faverdale-darlington/,"Roadside Funding – Faverdale, Darlington",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2023/06/Thumbnail.jpg?resize=750%2C467&ssl=1'],"Tenants include McDonalds, Costa & Taco Bell amongst others. 12,406sq ft + EV charging points. Annual rent of £451,250pa. 47% of the income to McDonalds & Costa. WAULT of 13.8 years to expiry. We are instructed to seek offers in excess of £8,150,000 which reflects a true net initial yield Read more Tenants include McDonalds, Costa & Taco Bell amongst others . 12,406sq ft + EV charging points. Annual rent of £451,250pa . 47% of the income to McDonalds & Costa . WAULT of 13.8 years to expiry. We are instructed to seek offers in excess of £8,150,000 which reflects a true net initial yield of 5.38% based on a forward funding arrangement which includes a 50/50 split on stamp duty saving and based on costs of 2.86%.",12406.0,,,['https://mhpi.co.uk/wp-content/uploads/2023/06/Faverdale-Darlington-multi-let-roadside-investment.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
https://mhpi.co.uk/portfolio/former-buffalo-joes-gateshead/,"Former Buffalo Joe’s, Gateshead",,,['https://i0.wp.com/mhpi.co.uk/wp-content/uploads/2020/06/Thumbnail-Update-1.jpg?resize=750%2C467&ssl=1'],"We are instructed to seek offers in excess of £1,500,000 (One Million Five Hundred Thousand Pounds). Prime site at the heart of the Gateshead Quays Rapidly changing landscape to include the £200m Arena & Conference Centre Development Building of c. 11,000sq ft with the opportunity to significantly increase floor area The Property currently has the benefit of a 4am premises licence Suitable for a number of uses to include residential, office or leisure subject to the appropriate planning consent We are instructed to seek offers in excess of £1,500,000 (One Million Five Hundred Thousand Pounds).",11000.0,,,['https://mhpi.co.uk/wp-content/uploads/2020/06/Buffalo-Joes-Brochure-April-2023.pdf'],Metcalf Harland,,,,,,,,To Let,2026-03-08,Old
