listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.leightongoldhill.com/portfolio/reigate-place/,"43 Reigate Place, London Road, Reigate, Surrey RH2 9PW",,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/01/reigate-place-10-640x400.png'],"2,750 sq ft Modern Offices Reigate Place, 43 London Road, Reigate, Surrey RH2 9PW",2750,,RH2 9PW,['https://www.leightongoldhill.com/wp-content/uploads/2019/02/Reigate-Place-Ibrochure-Third-Floor-1.pdf'],Leighton Goldhill,,,,,,,,,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/richmond-place/,"Richmond Place, Richmond, Surrey TW10 6TP",,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/01-640x400.jpg'],"NOW FULLY LET Richmond Place currently has 2150 ft.² (200 m²) of modern offices available on a single floor with superb natural light. Plus two secure car park spaces and comfort cooling. Adjacent to Richmond town centre and Richmond Station for District Line Underground trains to Kensington, Hammersmith and Central London. 2,150 sq ft Modern Offices Richmond Place, 15 Petersham Road Richmond Surrey TW10 6TP 2,150 sq ft Modern Offices. Plus two secure car park spaces and comfort cooling.",2150,,TW10 6TP,['https://www.leightongoldhill.com/wp-content/uploads/documents/RichmondPlaceBrochure.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/the-ballroom-maritime-house-old-town-clapham-sw4-2/,The Ballroom Maritime House Old Town Clapham SW4,,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/07/Maritime-After23-640x400.jpg'],"NOW FULLY LET Amazing Offices in a former Ballroom 2,465 sq ft The Ballroom Maritime House Old Town Clapham SW4",2465,,SW4,['https://www.leightongoldhill.com/wp-content/uploads/2015/04/Maritime-House-Old-Town-Clapham-SW4.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/the-floor-hammersmith-broadway/,"The Floor, Hammersmith Broadway W6",,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/The-Floor-Hammersmith-.jpg'],"NOW FULLY LET 2,000 sq ft Modern Commercial Space For Sale or To Let The Floor Hammersmith Broadway Hammersmith London W6 – NOW FULLY LET",2000,,W6,['https://www.leightongoldhill.com/wp-content/uploads/documents/TheFloorHammersmithBroadway.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/one-union-street-kingston-surrey/,"One Union Street, Kingston, Surrey",,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/One-Union-St.jpg'],"NOW FULLY LET 2,695 – 5,920 sq ft Modern Offices One Union Street Kingston Surrey KT1 1RP",5920,,,['https://www.leightongoldhill.com/wp-content/uploads//documents/OneUnionStKingstonBrochure.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/sextant-park-rochester/,"Sextant Park, Rochester",,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/3192__083.jpg'],"1,830 sq ft Modern Warehouse / industrial building Sextant Park Medway City Estate Rochester Kent",1830,,,['https://www.leightongoldhill.com/wp-content/uploads/documents/SextantParkRochesterBrochure.pdf'],Leighton Goldhill,,,,,,,,,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/aylesbury/,One Griffin Lane Aylesbury Bucks HP19 8BP,,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2019/03/Aylesbury-Low-Res-640x400.jpg'],"FOR SALE OR TO LET Detached warehouse / Industrial building of 44,252 sq ft available May 2019 30,096 warehouse with 8.9 metre eaves 14,156 office 44,252 Sq Ft Total Prominent Corner building with secure yard",44252,,HP19 8BP,[],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/one-newton-road-manor-royal-industrial-estate/,"One Newton Road, Manor Royal Industrial Estate",,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/One-Newton-Road-External-600x400.jpg'],"NOW LET 33,300 sq ft Modern Warehouse / industrial building One Newton Road Manor Royal Industrial Estate Crawley West Sussex RH10 9TS",33300,,,['https://www.leightongoldhill.com/wp-content/uploads/documents/OneNewtonRoadCrawleyBrochure_000.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/magellan-house-welwyn-garden-city/,"Magellan House, Welwyn Garden City",,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/wellwyn-gdn-city-61-600x400.jpg'],"NOW LET 16,660 sq ft headquarters / distribution building Magellan House Welwyn Garden City Herts AL7 1HT",16660,,,['https://www.leightongoldhill.com/wp-content/uploads/documents/MagellanHouseBrochure.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/stratford-hub-cooks-road/,"Stratford Hub, Cooks Road",,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/Stratford-Hub-1-600x400.jpg'],"NOW FULLY LET 3,000 – 11,000 sq ft Modern Warehouse / industrial building Stratford Hub Cooks Road Stratford London E15 2PE",11000,,,['https://www.leightongoldhill.com/wp-content/uploads/documents/StratfordHubBrochure.pdf'],Leighton Goldhill,,,,,,,,To Let,2026-02-18,Old
https://www.leightongoldhill.com/portfolio/epsom-point-epsom-surrey/,Epsom Point East Street Epsom Surrey,,Offices on the Market,['https://www.leightongoldhill.com/wp-content/uploads/2015/02/Epsom-2.jpg'],"Modern Freehold self contained office/ D1 building of 9,900 sq ft with secure underground car parking. The building was contructed in the 1990’s to a high specification and is available on a freehold or a leasehold basis.",9900,,,['https://www.leightongoldhill.com/wp-content/uploads/2016/12/Epsom-Point-iBrochure.pdf'],Leighton Goldhill,,,,,,,Freehold,,2026-02-18,Deleted
https://www.leightongoldhill.com/portfolio/london-colney-2/,2 Riverside Industrial Estate London Colney Herts,,Industrial Distribution,['https://www.leightongoldhill.com/wp-content/uploads/2018/07/B-Exterior-01-640x400.jpg'],"FOR SALE FREEHOLD A modern detached warehouse / production building of 15,225 sq ft available freehold Excellent location very close to M25 Brochure [contact-form-7 id=”985″ title=”Contact form 1″]",15225,,,['https://www.leightongoldhill.com/wp-content/uploads/2018/07/London-Colney-Ibrochure.pdf'],Leighton Goldhill,,,,,,,Freehold,For Sale,2026-02-18,Deleted
