listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://emanueloliver.com/wp-content/uploads/2025/12/Aberystwyth-Unit-2-40-48-Great-Darkgate-Street-1.pdf,"Unit 2, 40-48 Great Darkgate Street",,,[],"£40,000",2876,,,['https://emanueloliver.com/wp-content/uploads/2025/12/Aberystwyth-Unit-2-40-48-Great-Darkgate-Street-1.pdf'],Emanuel Oliver,,Aberystwyth,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-MSU2-.pdf,"MSU2, Pyramids Shopping Centre",,,[],On Application,11020,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-MSU2-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-13-17-Borough-Pavement-.pdf,13-17 Borough Pavement,,,[],£60000,4436,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-13-17-Borough-Pavement-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-4-Princes-Pavement-.pdf,4 Princes Pavement,,,[],£15000,942,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-4-Princes-Pavement-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-18-Princes-Pavement-.pdf,18 Princes Pavement,,,[],£17500,1005,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-18-Princes-Pavement-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-Unit-6B-West-Mall.pdf,"Unit 6B, West Mall",,,[],£37500,1416,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-Unit-6B-West-Mall.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-Unit-9-East-Mall-.pdf,"Unit 9, East Mall",,,[],£35000,1660,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-Unit-9-East-Mall-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-8-10-Borough-Pavement-.pdf,8-10 Borough Pavement,,,[],On Application,1979,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-8-10-Borough-Pavement-.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-9-St-Werburghs-Square.pdf,9 St Werburghs Square,,,[],£12500,552,,,['https://emanueloliver.com/wp-content/uploads/2025/06/Birkenhead-9-St-Werburghs-Square.pdf'],Emanuel Oliver,,Birkenhead,,,,,,To Let,2026-02-26,New
https://emanueloliver.com/wp-content/uploads/2025/11/Bolton-6-Newport-Street.pdf,6 Newport Street,,,[],"£27,500",643,,,['https://emanueloliver.com/wp-content/uploads/2025/11/Bolton-6-Newport-Street.pdf'],Emanuel Oliver,,Bolton,,,,,,To Let,2026-02-26,New
