listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
http://herronassociates.co.uk/available-properties/item/31-49-high-st.html,"49, High Street : Northallerton",,,['http://herronassociates.co.uk/media/k2/items/cache/fa55c8bad0e242eb7986dc1135b50adb_XL.jpg'],Modern ground floor retail unit providing approx 768ft² with allocated off street car parking. This unit is available To Let by way of a new lease with terms to be agreed or alternatively a Sale of the property would be considered. Please contact Herron Associates for further information.,768.0,,,[],Herron Associates,,,,,,,,To Let,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/30-guis.html,17 Church Street : Guisborough,,,['http://herronassociates.co.uk/media/k2/items/cache/1c0ae2205709722b62e843abc0471a55_XL.jpg'],TO LET : Newly refurbished ground floor retail unit providing approximately 331ft². Please contact us for further details.,331.0,,,[],Herron Associates,,,,,,,,To Let,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/29-carthorpe.html,"Kingsfield House : Carthorpe, Nr Bedale",,,['http://herronassociates.co.uk/media/k2/items/cache/fc34f61d23b74be53ee07d469bd32064_XL.jpg'],"Prestigious purpose built offices in a stunning yet easily accessible rural location with suites ranging from 182ft² - 1,200ft². Please contact us for further information on current availability.",182.0,,,[],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/28-seaham.html,"Lighthouse View : Seaham, Co Durham",,,['http://herronassociates.co.uk/media/k2/items/cache/01f1a05053c6242fcfa23075e5b963c1_XL.jpg'],"Prestigious High Spec office space available on flexible terms with accommodation ranging from 5,000ft² - 40,000ft². Contact us for more details.",5000.0,,,[],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/24-unit-1-moxon-court-northallerton.html,Unit 1 Moxon Court : Northallerton,,,['http://herronassociates.co.uk/media/k2/items/cache/233826a67be66a810b23a263230da62e_XL.jpg'],"Modern High Spec Business Unit To Let of approx 5,248ft² currently used for Food Production. LET",5248.0,,,[],Herron Associates,,,,,,,,To Let,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/23-bondgate-green-lane-ripon.html,Bondgate Green Lane : Ripon,,,['http://herronassociates.co.uk/media/k2/items/cache/e2bf3b11df0b872112757f1c2fee6e32_XL.jpg'],"Former buliders merchants offering a range of existing showroom and warehouse accommodation of approximately 364.29 sq m (3,922 sq ft) situated approx 0.5 miles from the centre of Ripon Approximate site area of 0.16 Ha (0.4 acres) Site offers potential for a number of alternative uses and development opportunities, subject to planning The property is available for sale and offers will be invited for the freehold interest For Further Information and Viewings please contact: Chris Herron on 07739 509890 or chris@herronassociates.co.ukThis e-mail address is being protected from spambots. You need JavaScript enabled to view it",3922.0,0.4,,['http://herronassociates.co.uk/available-properties/item/download/18.html'],Herron Associates,,,,,,,Freehold,For Sale,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/22-linthorpe-middlesbrough.html,"2 Park Road South : Linthorpe, Middlesbrough",,,['http://herronassociates.co.uk/media/k2/items/cache/71f67488b0857639cee631943a3fc6fa_XL.jpg'],"Versatile property previously used as a church hall but suitable for a variety of uses, located in Linthorpe village.",,,,['http://herronassociates.co.uk/available-properties/item/download/16.html'],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/21-hendon-street.html,4 Hendon Street : Sunderland,,,['http://herronassociates.co.uk/media/k2/items/cache/9b2c4b44fb86522964124ed80d03c5e8_XL.jpg'],"Industrial Unit and large secure yard available to let at a commencing rent of £12,000 per annum exclusive - LET",,,,[],Herron Associates,,,,,,,,To Let,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/20-mainsforth-terrace.html,"Mainsforth Terrace, Sandgate Industrial Estate : Hartlepool",,,['http://herronassociates.co.uk/media/k2/items/cache/c889234799e865bbe90cee71f6cd2e53_XL.jpg'],"Workshop and Office premises of approx 8,391ft² with large secure yard - UNDER OFFER",8391.0,,,[],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/19-6-moxon-court.html,Unit 6 Moxon Court : Northallerton,,,['http://herronassociates.co.uk/media/k2/items/cache/f4b6dca0e2911082f0eb6e1df1a0e11d_XL.jpg'],"Modern High Spec Business Unit of approx 3,943ft² LET",3943.0,,,[],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/16-former-granary-stables-upper-farm-thornton.html,"Former Granary & Stables : Upper Farm, Thornton",,,['http://herronassociates.co.uk/media/k2/items/cache/c9b002fe1bb0320831a8ae78670fdb6f_XL.jpg'],An,,,,[],Herron Associates,,,,,,,,,2026-02-13,Old
http://herronassociates.co.uk/available-properties/item/15-cambridge-road-middlesbrough.html,Cambridge Road : Middlesbrough,,,['http://herronassociates.co.uk/media/k2/items/cache/fc1da7257992fc36032e11db3df7a664_XL.jpg'],LOCATION The subject site is situated in Middlesbrough within the desirable and affluent residential area of Linthorpe. Specifically the site fronts Cambridge Road providing excellent access to Middlesbrough Town Centre which is approximately 2 miles away and is also in close proximity to the A19 & A66 road networks. The immediate area largely consists of detached and semi-detached residential properties and benefits from a good range of local amenities and shops within ½ mile of the subject site. DESCRIPTION The site is largely level and rectangular in shape extending to approximately 1.01 acres. This large plot was historically the formal gardens associated with the adjoining dwelling (No.16 Cambridge Road) and as such now provides a stand alone clear development site with dual access from Cambridge Road. TENURE The freehold of the site is available For Sale upon which offers are invited. PLANNING The site benefits from Full Planning Permission for the erection of a two and a half storey 60 bed nursing home. Full details of this permission are available from Herron Associates or from Middlesbrough Borough Council.,,1.01,,[],Herron Associates,,,,,,,Freehold,For Sale,2026-02-13,Old
