listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.hmc.london/images/pdf/52_Oxford_Street.pdf,52 Oxford Street London W1,,,['https://www.hmc.london/images/52_Oxford_Street_2025.png'],"5,523 sq ft Prominent Corner Unit",5523.0,,W1,['https://www.hmc.london/images/pdf/52_Oxford_Street.pdf'],HMC Surveyors,,,,,,,,
https://www.hmc.london/images/pdf/100_Rochester_Row.pdf,100 Rochester Row London SW1,,,['https://www.hmc.london/images/100_Rochester_Row.png'],"3,900 sq ft Newly Refurbished Third Floor Offices",3900.0,,SW1,['https://www.hmc.london/images/pdf/100_Rochester_Row.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/243_Knightsbridge_Brochure_2022_1st_2nd_3rd_floors.pdf,243 Knightsbridge London SW7,,,['https://www.hmc.london/images/243_Knightsbridge.png'],"2nd floor 2,432 sq ft & 5th floor 1,650 sq ft Offices Available on Competitive Terms",1650.0,,SW7,['https://www.hmc.london/images/pdf/243_Knightsbridge_Brochure_2022_1st_2nd_3rd_floors.pdf'],HMC Surveyors,,,,,,,,
https://www.hmc.london/images/pdf/14-18_Noel_Street.pdf,14-18 Noel Street London W1,,,['https://www.hmc.london/images/14-18_Noel_St.png'],"2,465 sq ft Refurbished Offices with Terrace",2465.0,,W1,['https://www.hmc.london/images/pdf/14-18_Noel_Street.pdf'],HMC Surveyors,,,,,,,,To Let
http://www.7cavendishplace.com,7 Cavendish Place London W1,,,['https://www.hmc.london/images/7_Cavendish_Place.png'],"1,272-13,661 sq ft Brand New Offices",13661.0,,W1,['http://www.7cavendishplace.com'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/16_St_Jamess_Street.pdf,16 St James's Street London SW1,,,['https://www.hmc.london/images/16_St_Jamess_St_Crop.png'],"5,576 sq ft Fully Fitted Office Space",5576.0,,SW1,['https://www.hmc.london/images/pdf/16_St_Jamess_Street.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/373__375-377_Clapham_Road_brochure.pdf,373 & 375-377 Clapham Road London SW9,,,['https://www.hmc.london/images/Clapham_Road.png'],"12,055 sq ft Net / 17,117 sq ft Gross Freehold For Sale",12055.0,,SW9,['https://www.hmc.london/images/pdf/373__375-377_Clapham_Road_brochure.pdf'],HMC Surveyors,,,,,,,Freehold,
https://www.hmc.london/images/pdf/14_Rathbone_Place.pdf,14 Rathbone Place London W1,,,['https://www.hmc.london/images/14_Rathbone_Place_2022.png'],515 sq ft Refurbished Offices,515.0,,W1,['https://www.hmc.london/images/pdf/14_Rathbone_Place.pdf'],HMC Surveyors,,,,,,,,
https://www.hmc.london/images/pdf/Cromwell_Rd_SW5_226_Tower_House_2020.pdf,"Tower House 226 Cromwell Road, London SW5",,,['https://www.hmc.london/images/TowerHouse_226_Cromwell_Road_Kensington_SW5_Office_for_rent_West_London_EXT_pic_1.jpg'],"1,491 sq ft Refurbished 2nd Floor Office",1491.0,,SW5,['https://www.hmc.london/images/pdf/Cromwell_Rd_SW5_226_Tower_House_2020.pdf'],HMC Surveyors,,,,,,,,
https://www.hmc.london/images/pdf/1_Knightbridge_Green.pdf,1 Knightsbridge Green London SW1,,,['https://www.hmc.london/images/1_Knightsbridge_Green.png'],"2,900 sq ft Part 6th Floor Grade A Offices",2900.0,,SW1,['https://www.hmc.london/images/pdf/1_Knightbridge_Green.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/8_Lancelot_Place_details.pdf,8 Lancelot Place London SW7,,,['https://www.hmc.london/images/8_Lancelot_Place_new.jpg'],"3,970 sq ft Grade A 7th Floor Fitted Offices",3970.0,,SW7,['https://www.hmc.london/images/pdf/8_Lancelot_Place_details.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/18_Wells_Street.pdf,18 Wells Street London W1,,,['https://www.hmc.london/images/18_Wells_St.png'],821 sq ft - 1st Floor Available New Build Grade A Office Suite with Terrace,821.0,,W1,['https://www.hmc.london/images/pdf/18_Wells_Street.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/Flaxman-Sales-Details.pdf,"Flaxman House, Gogmore Lane, Chertsey Surrey KT16 9JS",,,['https://www.hmc.london/images/Flaxman_House.jpg'],"12,900 sq ft NIA Freehold Office Building",12900.0,,KT16 9JS,['https://www.hmc.london/images/pdf/Flaxman-Sales-Details.pdf'],HMC Surveyors,,,,,,,Freehold,
https://www.hmc.london/images/pdf/129_Wilton_Rd.pdf,129 Wilton Road London SW1,,,['https://www.hmc.london/images/AvailableProperty/129_Wilton_Road.jpg'],"5,374 to 14,483 sq ft High Quality Fitted Out Offices",14483.0,,SW1,['https://www.hmc.london/images/pdf/129_Wilton_Rd.pdf'],HMC Surveyors,,,,,,,,To Let
https://www.hmc.london/images/pdf/Ibex_House.pdf,"Ibex House 42-47 Minories, London EC3",,,['https://www.hmc.london/images/AvailableProperty/Ibex_House_1.jpg'],"9,780 sq ft Excellent Grade A Office Space",9780.0,,EC3,['https://www.hmc.london/images/pdf/Ibex_House.pdf'],HMC Surveyors,,,,,,,,To Let
