listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://lofthouseandpartners.co.uk/property/10-defender-court-sunderland-enterprise-park-sunderland-sr5-3pe/,"10 Defender Court, Sunderland Enterprise Park, Sunderland, SR5 3PE",130000,Office,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/07/10-Defender-Court.jpg'],Well presented office building Riverside business park 6 Allocated parking spaces ground and first floor total NIA 1140ft2 (105.9m2),1140.0,,SR5 3PE,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/07/MARKETING-PARTICULARS-10-Defender-Court-Sunderland-Enterprise-Park-Sunderland-SR5-3PE-C4183.pdf'],Lofthouse and Partners,,,,,,,,For Sale,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/100-102-ocean-road-south-shields-ne33-2jf/,"100/102 Ocean Road, South Shields, NE33 2JF",,"Hot Food Takeaway, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2026/02/100-102-Ocean-Road-External-1.jpg'],Prominent corner location Former hot food takeaway Part Fitted Double Unit with large open kitchen area Available at Nil Premium,,,NE33 2JF,['https://lofthouseandpartners.co.uk/wp-content/uploads/2026/02/MARKETING-PARTICULARS-100-102-Ocean-Road-South-Shields-NE33-2JF-C4358-1.pdf'],Lofthouse and Partners,,,,,,,,To Let,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/119-newgate-street-bishop-auckland-dl14-7en/,"119 Newgate Street, Bishop Auckland, DL14 7EN",95000,"Office, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2023/09/119-Newgate-Street-EXTERNAL-1-1024x768.jpg'],"Town centre retail/office premises Located within recognised estate agency pitch Former café well-presented throughout Nearby occupiers include Hunters, JW Wood, Dowen and Robinsons",,,DL14 7EN,['https://lofthouseandpartners.co.uk/wp-content/uploads/2023/09/MARKETING-PARTICULARS-119-Newgate-Street-Bishop-Auckland-DL14-7EN-DC1139-1.pdf'],Lofthouse and Partners,,,,,,,,For Sale,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/13-14-william-doxford-centre-doxford-park-sunderland-sr3-2ne/,"13/14 William Doxford Centre, Doxford Park, Sunderland, SR3 2NE",,"Hot Food Takeaway, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/11/William-Doxford-Centre-EXTERNAL-2.jpg'],"Single storey suburban retail unit with A5 consent Totalling 575 ft2 (53.42 m2) Popular parade anchored by Morrisons Occupiers incl. William Hill, Hays, Gilmoor Vets, Card Factory Close to Doxford International Business Park Highly visible with ample parking facilities",575.0,,SR3 2NE,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/11/MARKETING-PARTICULARS-13-14-William-Doxford-Centre-Doxford-Park-Sunderland-SR3-2NE-C4348.pdf'],Lofthouse and Partners,,,,,,,,To Let,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/14-yoden-way-peterlee-county-durham-sr8-1bp/,"14 Yoden Way, Peterlee, County Durham, SR8 1BP",95000,"Office, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2026/01/14-Yoden-Way-Peterlee.jpg'],"Town Centre Retail/Office Premises Former Solicitors office Ground Floor sales/offices 639sqft First Floor offices 295 sqft Located in pedestrianised parade Nearby B & M, Franks, CEX and Greggs",639.0,,SR8 1BP,['https://lofthouseandpartners.co.uk/wp-content/uploads/2026/01/MARKETING-PARTICULARS-14-Yoden-Way-Peterlee-County-Durham-SR8-1BP-DC1160.pdf'],Lofthouse and Partners,,,,,,,,For Sale,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/144-146-fowler-street-south-shields-ne33-1pz/,"144/146 Fowler Street, South Shields, NE33 1PZ",,"Office, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2024/05/142-146-Fowler-Street.jpg'],Extremely Prominent position opposite Town Hall Former Estate Agent Office Double fronted display windows Large upper floor office content Lots of passing traffic,,,NE33 1PZ,['https://lofthouseandpartners.co.uk/wp-content/uploads/2024/05/MARKETING-PARTICULARS-144-146-Fowler-Street-South-Shields-NE33-1PZ-C4245.pdf'],Lofthouse and Partners,,,,,,,,To Let,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/16-hylton-road-sunderland-sr4-7aa/,"16 Hylton Road, Sunderland, SR4 7AA",69500,"Retail, Workshop",['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/06/16-Hylton-Road-External-1.jpg'],Suburban retail premises With separate rear workshop Sales area and ancillary 559 ft2 (51.93 m2) Rear workshop/store 616 ft2 (57.22 m2) Suit owner occupier/Investor Upper floors not included,559.0,,SR4 7AA,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/06/MARKETING-PARTICULARS-16-Hylton-Road-Sunderland-SR4-7AA-C4322-3.pdf'],Lofthouse and Partners,,,,,,,,For Sale,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/216-hylton-road-sunderland-sr4-7uz/,"216 Hylton Road, Sunderland, SR4 7UZ",,"Office, Retail",['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/11/216-HR-front-door-elevation.jpg'],Recently refurbished shop & office suite Arranged over 3 floors Totalling 1209 ft2 (112.32 m2) Gas centrally heated Within walking distance of Sunderland Royal Hospital Private parking for 2 cars,1209.0,,SR4 7UZ,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/11/MARKETING-PARTICULARS-Offices-216-Hylton-Road-Sunderland-SR4-7UZ-C4339-1.pdf'],Lofthouse and Partners,,,,,,,,To Let,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/22-frederick-street-sunderland-sr1-1lt/,"22 Frederick Street, Sunderland, SR1 1LT",130000,Office,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/02/22-Frederick-Street-EXTERNAL-Feb-2025-1.jpg'],"City Centre office building – part occupied Located within heart of Sunniside area Totalling 1660 ft2 (154.23 m2) Enclosed car park to rear for 4 vehicles Lower ground floor currently let producing £5,719.95 pa Upper Floors currently vacant May suit conversion to residential STP",1660.0,,SR1 1LT,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/02/MARKETING-PARTICULARS-22-Frederick-Street-Sunderland-SR1-1LT-C4179.pdf'],Lofthouse and Partners,,,,,,,,For Sale,2026-02-18,Old
https://lofthouseandpartners.co.uk/property/223-high-street-west-sunderland-sr1-1tz/,"223 High Street West, Sunderland, SR1 1TZ",,Retail,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/10/223-High-Street-West-Sunderland-1024x768.jpg'],"City centre lock up shop unit Immediately opposite Mackies Corner Sales area 838 m2 (77.85 m2) Located within recognised independent scene Opposite Fat Unicorn, Crave and Ashbrooke Home Nearby Sweet Petite, The Sofia and Kaspa’s",9020.148,,SR1 1TZ,['https://lofthouseandpartners.co.uk/wp-content/uploads/2025/10/MARKETING-PARTICULARS-223-High-Street-West-Sunderland-SR1-1TZ-C4341.pdf'],Lofthouse and Partners,,,,,,,,To Let,2026-02-18,Old
