listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.pmcd.co.uk/news/property/7-high-street-maidenhead-sl6-1jn/,"7 High Street, Maidenhead, SL6 1JN",,"Investment, Residential, Retail",['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_maidenhead_sl6-1jn_367450.jpg'],"FREEHOLD RETAIL & RESIDENTIAL INVESTMENT FOR SALE CENTRAL, PROMINENT LOCATION COMMERCIAL & RESIDENTIAL INCOME £65,200 P.A. PLUS VACANT STORE APPROX. NET YIELD OF 7% (7.25% GROSS) LOCATION The property is situated on the south side of The High Street in Maidenhead, just to the east of the junction with St Ives Road in arguably the nicest part of the town centre. Maidenhead itself, is a busy town with a resident population of over 70,000 on the A4, close to junction 8/9 of the M4. The town centre is being transformed by a number of significant retail and residential developments and the area around this property has been enhanced, with more amenities and attractions. The Elizabeth Line/GWR station is nearby. What3Words Location: ///RESIST.CRITIC.LOAF DESCRIPTION The property comprises a terraced, 2 storey building, with two shops, two flats and a currently vacant first floor space . The larger retail unit is operated as a sun tanning and beauty establishment on two levels . Some photos of Flats supplied by letting agents, Watermans, are shown. Approx. net areas provided as a guide only: Shop 7: 69.2 m2 (745 ft2) incl. 205 ft2 on 1st floor Shop 7a: 33.5 m2 (361 ft2) 1st Floor: 16.3 m2 (175 ft2) vacant area Flat 1: 1 bed, 2nd bed/boxroom, kitchen, bathroom Flat 2: 2 beds, kitchen, bathroom TENANCIES Shop 7a is let to D Kaczmarek, t/a Needle Tailoring, on assignment, for a term expiring 30 June at £12,000 p.a.x. rising to £14,500 on 1st July 2025 then rising by £500 on the 3rd and 5th years. Shop 7 is let to The Suntan Shop (Maidenhead) Ltd for a term to 7 June 2028 at £22,500 p.a.x. Terms have recently been agreed on Flat 1 at £1,100 p.m. and Flat 2 at £1,250 p.m. A store/office room on the first floor is currently vacant. From July 2025, total income will be £65,200 p.a. EPC Flats: D, Shops: C TERMS We are seeking offers in excess of £900,000 for the freehold interest in the building. For more information, email philip@pmcd.co.uk or phone 01494 683642 0425",744.862,,SL6 1JN,['https://pmcdcrm.agencypilot.com/content/property-brochure/13c94250-d411-44b5-ab24-ced68c06e1c8/1?t=2506261233&stat=false'],Philip Marsh Collins Deung,,,,,,,Freehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/1-london-end-beaconsfield-hp9-2hn/,"1 London End, Beaconsfield, HP9 2HN",,Investment Size: 63.55 sq ft,['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_beaconsfield_hp9-2hn_367472.jpg'],"FREEHOLD RETAIL INVESTMENT FOR SALE PROMINENT TOWN CENTRE LOCATION LEASE JUST RENEWED 6.25% NET YIELD NO VAT SUCCESSFUL LONG-TERM TENANT BUSINESS LOCATION The premises are prominently located in the very centre of Old Beaconsfield at the junction of the A40 with the B474. The M40 junction 2 is within ½ mile and the mainline station is 1 mile away. The Old Town is a specialist retail location attracting well known retail brands, including Farrow & Ball, Fired Earth, and Pizza Express, as well as many restaurants and hotels. DESCRIPTION The property comprises a very prominent two-storey Grade II Listed building with return frontage, with a lock-up shop on ground floor and a separate 2-bed flat on the first which has been ‘sold off’ on a long leasehold. The approximate shop areas are: Retail & ancillary 63.55 m2 (684 ft2) TENANCIES The ground floor of the property is let to Ellie Sanderson Bridalwear Ltd on a recently renewed lease for a term of 10 years expiring 20th October 2034 with a mid-term rent review and tenant break at a commencing rent of £42,000 p.a.x. The flat has been sold off on a long-leasehold basis with 100 years unexpired and at a ground rent of £150 p.a. Ellie Sanderson Bridalwear Ltd was established in 2006 and now trades from 2 locations and online (www.elliesanderson.co.uk). They have recently comprehensively refitted the shop, which reopened in October 2024. EPCs Shop: C, Flat: N/A. TERMS We are seeking offers in excess of £650,000 for the freehold interest in the building. LEGAL COSTS Both parties’ legal costs to be borne by the purchaser. VIEWINGS Philip Marsh at PMCD 01494 683642 philip@pmcd.co.uk",63.55,,HP9 2HN,['https://pmcdcrm.agencypilot.com/content/property-brochure/2ffba7ce-b868-4129-9a81-8b21bcf64974/1?t=2411040944&stat=false'],Philip Marsh Collins Deung,,,,,,,Freehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/14-station-road-gerrards-cross-sl9-8el/,"14 Station Road, Gerrards Cross, SL9 8EL",,"Office, Retail Size: 74.9 sq ft",['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_gerrards-cross_sl9-8el_367511-w855h425.jpg'],"GROUND AND BASEMENT RETAIL UNIT TO LET-UNEXPECTEDLY RE-AVAILABLE With Class E planning allowing a range of uses including retail, medical and offices APPROX 74.9 SqM (807 SqF) NEAR WAITROSE SHORT STAY STREET PARKING CLOSE TO PUBLIC CAR PARK 40%-100% BUSINESS RATES DISCOUNT UNTIL APRIL 2026 (SUBJECT TO STATUS) GROUND & BASEMENT FLOORS NEW LEASE AVAILABLE LOCATION The premises are located on the south side of Station Road very close to the public car park and Waitrose with short-stay street parking opposite. Many of the office buildings in Station Road have been converted to flats leaving a healthy mix of office and residential nearby as well as retail and restaurant/coffee shop uses. Gerrards Cross is an affluent commuter town, conveniently located with good access to J2 M40 (approx 3 miles), J1A M40 and J16 M25 (approx 6 miles). The mainline station is served by the popular Chiltern Line with regular services to Birmingham and approx 25 minutes to London Marylebone. DESCRIPTION The property comprises ground and basement sales with wc. It has an approx. net internal area as follows: Ground sales: 35 sm (377 sf). Basement: 39.9 sm (430 sf) Total: 74.9 sm (807 sf) ENERGY PERFORMANCE CERTIFICATE Rating D (96) TERMS A new lease is available on terms to be agreed at a rent of £25,000 per annum exclusive, plus VAT. SERVICE CHARGE/ BUILDING INSURANCE To be advised. VAT VAT is payable on the rents. BUSINESS RATES The Rateable Value is currently £11,750 – rates payable are approx. £5,863 before available discounts. Discounts could be as much as 100% subject to qualifying. NB: Business rates discounts – details on application or from Buckinghamshire Council – 01895 837540",377.0,,SL9 8EL,['https://pmcdcrm.agencypilot.com/content/property-brochure/90e0a329-f260-41b1-9c7e-014862331afe/1?t=2509081112&stat=false'],Philip Marsh Collins Deung,,,,,,,Leasehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/31-bois-lane-amersham-hp6-6bt/,"31 Bois Lane, Amersham, HP6 6BT",,"Financial/Professional Services, Office Size: 192 sq ft",['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_amersham_hp6-6bt_367538-w855h425.jpg'],"FLEXIBLE OFFICES WITH PARKING 192sf(18sm) TO LET Parking. Shared Kitchen and WC facilities. Air conditioning. LED lighting. LOCATION The property is located in Chesham Bois, ¼ of a mile from Sycamore Road, Amersham new town’s main shopping area including a mix of supermarkets, cafes and local shops. The new town is an established business location with good road and rail links. A combined London Underground (Metropolitan Line) and Chiltern Mainline railway station provides regular direct service to central London (from 32 minutes) to the south and Aylesbury (from 21 minutes) to the north. The M25 (J18) and M40 (J2) are also within easy reach. What3Words Location: ///senses.rank.jumped DESCRIPTION The building provides two individual offices on the first floor, and shared kitchen and wc facilities on the ground. ACCOMMODATION ROOM SIZE Room 2 106sf (10sm) Room 3 86sf (8sm) * Rent includes electricity, water, common part and external maintenance/repairs, but excludes cleaning of the office, business rates and phone bills. We are informed VAT is not currently payable in respect of the rent. The tenants are also expected to make their own waste disposal arrangements. RENT £7,250 per annum. EPC RATING – C(58) BUSINESS RATES – Qualifying “small businesses” are likely to have no Rates to pay. Confirmation of the Rates payable should be sought from Buckinghamshire Council 01895 837200. VIEWING Strictly by appointment through the sole agents: PHILIP MARSH COLLINS DEUNG Nick Ball 01494 683644 nick@pmcd.co.uk February 2026",192.0,,HP6 6BT,['https://pmcdcrm.agencypilot.com/content/property-brochure/2c54be3e-86f0-4775-b0fc-a9267402293d/1?t=2602171318&stat=false'],Philip Marsh Collins Deung,,,,,,,Leasehold,To Let,2026-02-20,New
https://www.pmcd.co.uk/news/property/1-station-hill-cookham-sl6-9bt/,"1 Station Hill, Cookham, SL6 9BT",,Investment Size: 111 sq ft - 238 sq ft,['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_cookham_sl6-9bt_367500-w855h425.jpg'],"NEW FREEHOLD INVESTMENT INSTRUCTION IN COOKHAM, BERKS FREEHOLD MIXED USE INVESTMENT COMPRISING RESTAURANT AND HMO FOR SALE PROMINENT CENTRAL POSITION CLOSE TO PARKING AND THE TRAIN STATION FULLY OCCUPIED WITH RESTAURANT TENANT AND 5 LETTING ROOMS ABOVE ACCESSED FROM THE REAR. GENERATING GROSS RENTS OF £73,180 PA 7 % NET YIELD ON CURRENT ESTIMATED NET INCOME NOT VAT ELECTED LOCATION The property is conveniently situated opposite Station Parade, providing a great mix of retail and residential and shoppers car park. The train station, with its car park, is also close at hand providing services to Maidenhead and Marlow. Cookham is located approximately 3 miles north of Maidenhead, 8 miles north-west of Slough, and approx. 10 miles east of Reading. Bourne End and Marlow are approx. 2 and 4 miles distant respectively. Additionally, it is approx. 30 miles from London, with rail connections serviced by Great Western Railways Marlow branch line. The M4 and M40 motorways are easily accessible from the A404 link road. The area is a popular destination for walkers and nature lovers, providing a convenient base for walks along the Thames path. DESCRIPTION A three-storey building consisting of ground floor restaurant with basement and independently accessed residential on first and second floors comprising 5 letting rooms with communal kitchen and two bathrooms. The restaurant has the following approx. areas: Seating and bar area: 67.5 sm (727 sf) Kitchen: 23.4 sm (252 sf) Customer wcs: 5.3 sm ( 57 sf) Basement/ancillary: 30.8 sm (330 sf) Total: 127 sm (1,366 sf) plus external seating area for approx. 10 covers TENANCIES Ground floor restaurant let to Nepsi Limited t/a Neps, with Director’s personal guarantee for a year’s rent on a 15 year FRI lease from 5 October 2023 without breaks, at a passing rent of £32,500 pax with next rent review in October 2028. Rent deposit of £8,125 is held. (lease can be provided). www.nepsrestaurant.co.uk Upper floors: 5 rooms let as professional HMOs at rents ranging from £600 pcm to £790 pcm with total rent roll of £40,680 less overheads of approx. £18,253, providing net rent of approx. £22,400 pa Total gross rents: £73,180 pa; net rents: approx. £54,900 pax (schedule can be provided). EPCs Restaurant: B Residential: D VAT The property has not been elected for VAT. TERMS Guide Price: £750,000 for the freehold interest subject to the tenancies. A purchase at this level shows a net initial yield, after acquisition costs, of 9.3% on the gross rents and 7% on the rental income less estimated HMO running costs.",727.0,,SL6 9BT,['https://pmcdcrm.agencypilot.com/content/property-brochure/d04bd981-8890-4dae-b822-4c047112c34f/1?t=2503181541&stat=false'],Philip Marsh Collins Deung,,,,,,,Freehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/15-penn-road-beaconsfield-hp9-2pd/,"15 Penn Road, Beaconsfield, HP9 2PD",,Investment Size: 244.9 sq ft,['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_beaconsfield_hp9-2pd_367505-w855h425.jpg'],"FREEHOLD MIXED USE INVESTMENT FOR SALE PROMINENT TOWN CENTRE LOCATION FULLY OCCUPIED WITH 3 TENANTS COMPRISING VETERNINARY PRACTICE, BEAUTY SALON AND TUITION BUSINESS APPROX 7 % NET YIELD ON INCOME FROM AUGUST 2026 VAT ELECTED FUTURE DEVELOPMENT POTENTIAL SUBJECT TO PERMISSIONS LOCATION The premises are located on the B474 Penn Road, the main High Street running through Beaconsfield New Town, opposite The Beechhouse restaurant. Private parking is at the front and rear as well as short term public parking in the adjacent layby and in the public car park at Warwick Road. Junction2 of the M40 motorway is approximately 2 miles away and the Chiltern Line serving London Marylebone and Birmingham is within a short walk DESCRIPTION The two storey building contains 2 units at ground floor, and office/tuition suite at first floor with own street entrance. There is a forecourt parking area allocated to the front unit and 6 private parking spaces at the rear (divided equally between the 3 units), accessed via barrier entry system. Approx net internal areas as follows: First floor: Offices: 78 sm (841 sf) Ground floor: Front shop: 90.5 sm (974 sf) Rear salon: 76.4. sm (822 sf) EPCs Front Shop: C Rear Salon: C First floor: D DESCRIPTION The two storey building contains 2 units at ground floor, and office/tuition suite at first floor with own street entrance. There is a forecourt parking area allocated to the front shop and 6 private parking spaces at the rear (divided equally between the 3 units), accessed via barrier entry system. Approx net internal areas as follows: First floor: Offices: 78 sm (841 sf) Ground floor: Front shop: 90.5 sm (974 sf) Rear salon: 76.4. sm (822 sf) TENANCIES Ground floor front Let to Independent Vetcare Limited t/a The Wheelhouse Veterinary Centre, with Guarantee from IVC Acquisition Limited, on a 15 year effectively FRI lease from 1 December 2018 without breaks, at a passing rent of £32,000 pax with next rent review in December 2028. Rent deposit of £9,600 is held. Ground floor rear salon – Recently renewed with Lavender & Stone Beauty Rooms Ltd t/a The Cove on new 10 year IRI lease expiring 31 July 2035 at £18,000 pa rising to £19,000 pa from 1 August 2026 and £21,500 pa from 1 August 2027. The lease is within The Act; there is a tenant-only break on 1 August 2028 and upwards only rent review on 1 August 2030. First floor office/tuition Let to Kick Start Learning with Kerry Limited on an IRI lease for 5 years from July 2024 with tenant-only break at 3 years and contracted out of The Act at a rent of £22,500 pax. Rent deposit of £6,750 is held subject to profits test. Total rents from August 2026: £73,500 pax (£75,000 pa from August 2027 assuming office break not triggered) TERMS Offers in excess of £1 million (+ VAT if applicable) for the freehold interest subject to the tenancies. The property is elected for VAT but this transaction may be arranged as a Transfer of a Going Concern which may obviate the need to add VAT to the purchase price. VIEWINGS Dan Collins at PMCD 01494 683643 dan@pmcd.co.uk",841.0,,HP9 2PD,['https://pmcdcrm.agencypilot.com/content/property-brochure/2e714eb2-ad96-402a-8709-15cee8da7377/1?t=2602051724&stat=false'],Philip Marsh Collins Deung,,,,,,,Freehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/197-askew-road-london-w12-9az/,"197 Askew Road, London, W12 9AZ",,Lock up Garage Size: 258 sq ft,['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_london_w12-9az_367535-w855h425.jpg'],"LOCK UP DOUBLE GARAGE FOR SALE 258sf(24sm) r/o 197 Askew Road, Hammersmith, London W12 9AZ Electric up and over door. Gated forecourt. Electric fluorescent lighting. LOCATION The garage is accessed from Westville Road, close to its junction with Askew Road, a short distance from the A402 Goldhawk Road. Stamford Brook and Goldhawk Road Tube Stations, both serving the Circle Line, are approximately a 5 minute walk. It is also within easy reach of the A4/M4, A40 leading to the City, West End and Heathrow. What3Words Location: ///nets.park.bared DESCRIPTION The property provides a secure, double lock up garage at the end of a terrace of 3 in a gated yard at the rear of retail and residential premises, backing onto residential. Internally the garage is open plan under a flat roof – 17/4 (5.3m) x 14/9 (4.5m). TENURE The premises are available by way of a 999 year lease with approximately 957 years unexpired. PRICE Offers in excess of £100,000 for the long leasehold interest, plus VAT if applicable. RATES TBC. VIEWING Viewing strictly by appointment through the sole agents: PMCD 01494 683 644 – www.pmcd.co.uk",258.0,,W12 9AZ,['https://pmcdcrm.agencypilot.com/content/property-brochure/7b347891-6250-4ced-997e-3b313601ff6c/1?t=2601211253&stat=false'],Philip Marsh Collins Deung,,,,,,,Freehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/20-aylesbury-end-beaconsfield-hp9-1lw/,"20 Aylesbury End, Beaconsfield, HP9 1LW",,Retail Size: 264 sq ft,['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_beaconsfield_hp9-1lw_367516-w855h425.jpg'],"NEW SHOP INSTRUCTION – BEACONSFIELD OLD TOWN – OPPOSITE RIWAZ STREET PARKING NEARBY GRADE 11 LISTED KITCHEN & WC ZERO BUSINESS RATES (SUBJECT TO STATUS) CLOSE TO BROWNS, RIWAZ AND TESCO EXPRESS LOCATION The property is located on the east side of Aylesbury End (linking Beaconsfield Old Town with the New Town) next to New Body Clinic chiropractor and Yatta Studio pilates and close to Tesco Express convenience store, opposite twice Michelin starred chef, Atul Kochhar’s, Riwaz restaurant. There is free parking along the “four Ends” in Beaconsfield Old Town. Junction 2 of The M40 motorway is within a mile of the property while the train station with services to London Marylebone is a similar distance away in the New Town. ENERGY PERFORMANCE CERTIFICATE Rating C (68) DESCRIPTION The ground floor retail premises has the following approximate floor areas: Sales: 240 sf (22.3 sm) Kitchen: 24 sf (2.3 sm) Total: 264 sf (24.6 sm) BUILDING INSURANCE The last full year’s building insurance premium was approx. £112 + VAT SERVICE CHARGE Estimated service charge & sinking fund for this year is approx. £830 + VAT TERMS We are instructed to market a new effectively full repairing and insuring lease for a term to be agreed (guide: 6 years with a rent review after 3 years, outside the security of tenure provisions of the Landlord & Tenant Act 1954) at an initial rent of £15,250 per annum exclusive of business rates, building insurance, service charge, utilities and VAT. VAT We understand VAT is payable on the rent BUSINESS RATES The proposed 2026 Rateable Value is £11,250 Rateable multiplier for tax year 2026-2027 assuming Retail, Hospitality or Leisure use: 38.2 p / 0.382 in the £ (or 43.2 p / 0.432 in the £ for non RHL uses) = rates payable of approx £4,300 (or £4,860 for non RHL) before Small Business Rates Relief, if applicable (potentially 100% discount on these sums (zero rates) subject to status) – further details on application or from Buckinghamshire Council 01895 837540",240.0,,HP9 1LW,['https://pmcdcrm.agencypilot.com/content/property-brochure/e1250cb3-3e0d-41d7-9f52-0a0e3e04ddab/1?t=2601141309&stat=false'],Philip Marsh Collins Deung,,,,,,,Leasehold,For Sale,2026-02-20,New
https://www.pmcd.co.uk/news/property/high-street-chalfont-st-giles-hp8-4qh/,"High Street, Chalfont St. Giles, HP8 4QH",,"Financial/Professional Services, Office Size: 265 sq ft",['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_chalfont-st.-giles_hp8-4qh_367513-w855h425.jpg'],"SELF CONTAINED OFFICE WITH PARKING TO LET 265sf (25sm) Church Farm Courtyard, High Street, Chalfont St Giles, Bucks HP8 4QH Secluded Courtyard access. LED spot lighting. 1 Car parking space. Kitchen and WC facilities. LOCATION The property is located off of the High Street which is host to a good mix of office and residential occupiers and various specialist shops and leisure facilities. Chalfont St Giles is situated on the A413 between Amersham and Chalfont St Peter. Mainline rail London Underground services are available at Amersham approximately 3½ miles to the north. J16 of the M25 and 1a of the M40 is approximately 7 miles to the south. The centres of Beaconsfield and Gerrards Cross are also close by. What3Words Location: ///stone.calm.begin DESCRIPTION The available suite is on the ground floor, a large mainly open plan office accessed from the courtyard. The space has its own kitchen area and wc, and benefits from electric heating and LED spot lighting. Outside there is a private parking for 1 car. LEASE The premises are available by way of a new lease on terms to be agreed. RENT £13,500pa to include building insurance, electricity, water and external repairs. We are informed no VAT is payable in respect of the rent. EPC RATING TBC. RATES Rateable Value £4,450. At this figure, qualifying “small businesses” will have no Rates to pay. Confirmation of the Rates payable should be sought from Buckinghamshire Council. VIEWING Viewing strictly by appointment through the sole agents: PMCD 01494 683 644 – www.pmcd.co.uk",265.0,,HP8 4QH,['https://pmcdcrm.agencypilot.com/content/property-brochure/d575ae8e-473d-4ff6-8689-1cea8533301f/1?t=2506091658&stat=false'],Philip Marsh Collins Deung,,,,,,,Leasehold,To Let,2026-02-20,New
https://www.pmcd.co.uk/news/property/burnham-road-beaconsfield-hp9-2sf/,"Burnham Road, Beaconsfield, HP9 2SF",,"Financial/Professional Services, Office Size: 367 sq ft",['https://www.pmcd.co.uk/wp-content/uploads/2026/02/prop_beaconsfield_hp9-2sf_367464-w855h425.jpg'],"OFFICES WITH PARKING TO LET – 367sf (34sm) The Granary at Woodlands Court, Beaconsfield, Bucks HP9 2SF 2 Car Spaces. Kitchen, Shower and WC on Ground Floor. 1Gb Superfast Broadband. Central heating via Air Source Heat Pumps. Private Gated Development. LOCATION Set in a stunning rural location, the Granary forms part of Phase II of the highly successful Woodlands Court development. Accessed from a private road, the property is approximately 1 mile from the M40 (J2), where there is ready access to the M25 and M4 linking to Central London, the Midlands and Heathrow Airport. Beaconsfield services at J2 provides a wide range of food and beverage outlets, as well as a hotel and Regus Business Centre. Beaconsfield Station has regular Chiltern Line services to London Marylebone and Birmingham.. What3Words Location: ///claims.often.soda COMMUNICATIONS M40 J2 – 1 mile M4 J6 – 8 miles M25 J16 – 4.5 miles Central London – 25 miles Beaconsfield Station – 3 miles Heathrow Airport – 14 miles ACCOMMODATION – Ground floor 160sf (15sm) First floor 207sf (19sm) LEASE The premises are available by way of a new lease on terms to be agreed. RENT £14,500pax. We are informed VAT is applicable to the rent. EPC RATING A(21). RATES Rateable Value £11,500. At this figure, qualifying “small businesses” will have no Rates to pay. Confirmation of the Rates payable should be sought from Buckinghamshire Council 01895 837200. VIEWING Viewing strictly by appointment through the sole agents: PMCD September 2024 01494 683 644 – www.pmcd.co.uk",367.0,,HP9 2SF,['https://pmcdcrm.agencypilot.com/content/property-brochure/bb83340a-3dca-4b32-b40e-7f6f22c5741c/1?t=2409231004&stat=false'],Philip Marsh Collins Deung,,,,,,,Leasehold,To Let,2026-02-20,New
