listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://forge-cp.com/wp-content/uploads/2025/03/Birmingham-39-New-Street.pdf,"39 New Street, Birmingham",,,[],Birmingham 39 New Street Under Offer,,,,['https://forge-cp.com/wp-content/uploads/2025/03/Birmingham-39-New-Street.pdf'],Forge,,Birmingham,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2025/11/Bromley-66-70-High-Street.pdf,"Bromley – 66-70 High Street, Bromley",,,[],Bromley Bromley – 66-70 High Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2025/11/Bromley-66-70-High-Street.pdf'],Forge,,Bromley,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2025/09/Cambridge-5-6-Market-Street.pdf,"5/6 Market Street, Cambridge",,,[],Cambridge 5/6 Market Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2025/09/Cambridge-5-6-Market-Street.pdf'],Forge,,Cambridge,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2025/02/Chester-82-Foregate-Street.pdf,"82 Foregate Street, Chester",,,[],Chester 82 Foregate Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2025/02/Chester-82-Foregate-Street.pdf'],Forge,,Chester,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2023/09/Chester-92-Foregate-Street-1.pdf,"92 Foregate Street, Chester",,,[],Chester 92 Foregate Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2023/09/Chester-92-Foregate-Street-1.pdf'],Forge,,Chester,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2023/09/Chichester-Unit-2-Dolphin-Anchor-7-West-Street-1.pdf,"Unit 2 Dolphin & Anchor, 7 West Street, Chichester",,,[],"Chichester Unit 2 Dolphin & Anchor, 7 West Street To Let",,,,['https://forge-cp.com/wp-content/uploads/2023/09/Chichester-Unit-2-Dolphin-Anchor-7-West-Street-1.pdf'],Forge,,Chichester,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2023/09/Chichester-Unit-4-Dolphin-Anchor-7-West-Street.pdf,"Unit 4 Dolphin & Anchor, 7 West Street, Chichester",,,[],"Chichester Unit 4 Dolphin & Anchor, 7 West Street To Let",,,,['https://forge-cp.com/wp-content/uploads/2023/09/Chichester-Unit-4-Dolphin-Anchor-7-West-Street.pdf'],Forge,,Chichester,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2024/10/Crawley-24-26-The-Martlets.pdf,"24-26 The Martlets, Crawley",,,[],Crawley 24-26 The Martlets To Let,,,,['https://forge-cp.com/wp-content/uploads/2024/10/Crawley-24-26-The-Martlets.pdf'],Forge,,Crawley,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2023/09/Exeter-247-High-Street.pdf,"247 High Street, Exeter",,,[],Exeter 247 High Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2023/09/Exeter-247-High-Street.pdf'],Forge,,Exeter,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2025/09/Harrogate-25-27-Cambridge-Street.pdf,"25/27 Cambridge Street, Harrogate",,,[],Harrogate 25/27 Cambridge Street To Let,,,,['https://forge-cp.com/wp-content/uploads/2025/09/Harrogate-25-27-Cambridge-Street.pdf'],Forge,,Harrogate,,,,,,To Let,2026-02-27,Old
https://forge-cp.com/wp-content/uploads/2025/09/Harrogate-Unit-4-Westgate-House-Albert-Street.pdf,"Unit 4 Westgate House, Albert Street, Harrogate",,,[],"Harrogate Unit 4 Westgate House, Albert Street To Let",,,,['https://forge-cp.com/wp-content/uploads/2025/09/Harrogate-Unit-4-Westgate-House-Albert-Street.pdf'],Forge,,Harrogate,,,,,,To Let,2026-02-27,Old
