listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.francisdarrah.co.uk/available-properties/30-31-cornhill-bury-st-edmunds-ip33-1dy/,"30-31 Cornhill, Bury St Edmunds, IP33 1DY",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2024/08/3.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2024/08/Goad-Plan-Bury-St-Edmunds-30-31-Cornhill_page-0001.jpg']","LOCATION Bury St Edmunds is a thriving historic Suffolk market town located approximately 29 miles east of Cambridge and 42 miles south of Norwich. The town enjoys good road communications being situated on the A14 providing access via the M6 to the Midlands and direct access to the East Coast ports. The property is in a prime town centre location adjacent to Greggs and H Samuel, opposite Edmundo Lounge and close to numerous multiple retailers including Sports Direct, Caffé Nero, Boots Opticians, 3 Store, Mountain Warehouse and Superdrug. ACCOMMODATION The property provides excellent accommodation on ground, and first floors with the following approximate areas:- Net Frontage 42’6 12.95 m Shop Depth 67’ 20.42 m Ground Floor: Sales 1,900 sq ft 176.51 sq m First Floor: Store 1,100 sq ft 102.19 sq m TENURE The property is offered by way of a new full repairing and insuring lease, for a length of term to be agreed, at a rental of £75,000 pax, subject to 5 yearly upward only rent reviews. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a current rating assessment of £52,000 with effect from 1 April 2023. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE The property has an EPC rating of E. Further details are available upon request. PLANNING The property has recently been used as a café/restaurant and has the benefit of Class E planning consent. LEGAL COSTS Each party to be responsible for their own legal costs incurred in the transaction.",1900.0,,IP33 1DY,['https://www.francisdarrah.co.uk/wp-content/uploads/2024/08/Bury-St-Edmunds-30-31-Cornhill-9.pdf'],Francis Darrah Chartered Surveyors,Francis Darrah,Norwich,francis@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/2-wrights-walk-dereham-nr19-1tr/,"2 Wrights Walk, Dereham, NR19 1TR",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2021/05/2-Wrights-Walk-Dereham-scaled.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2021/05/2-7-04-no2.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2021/05/Goad-Dereham-Unit-2-Wrights-Walk-scaled.jpg']","LOCATION Dereham is located just off the A47 trunk road approximately 15 miles west of Norwich and 25 miles south east of King’s Lynn. This places it at the geographical heart of Norfolk. The property is situated in Wright’s Walk, adjacent to Grape Tree and Card Factory and opposite Wilko . Nearby national multiple occupiers include Savers, Peacocks and Edinburgh Woollen Mill. ACCOMMODATION The premises provide accommodation with the following approximate areas:- Internal Width – front 48’9” 14.8 m widening to a max of 62’9” at the rear Max Depth: 93’8” 28.5 m Ground Floor: Sales 4,776 sq ft 443.7 sq m First Floor: Staff/stock 1,944 sq ft 180.6 sq m TENURE The property is being offered by way of a new full repairing and insuring lease for a length of term to be agreed. Rent on Application. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £53,000 with effect from 1 April 2017. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE The property has an energy rating of C Further details are available upon request. LEGAL COSTS Each party to be responsible for their own legal costs incurred in the transaction.",4776.0,,NR19 1TR,['https://www.francisdarrah.co.uk/wp-content/uploads/2021/05/Dereham-2-Wrights-Walk-13.pdf'],Francis Darrah Chartered Surveyors,Carol Cooper,Norwich,carol@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/40-high-street-dereham/,"40 High Street, Dereham",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2024/01/Photo-1.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2024/01/Goad-plan-Dereham-40-High-Street-2024.jpg']","LOCATION Dereham is located just off the A47 approximately 15 miles west of Norwich and 25 miles south east of King’s Lynn. This places it at the geographical heart of Norfolk. The store is part of Wrights Walk shopping centre, situated as a standalone property adjacent to Edinburgh Woollen Mill on the High Street. It is opposite the main pedestrian entrance to Wrights Walk from the High Street where nearby national multiple occupiers include, Grape Tree, Card Factory, Savers, Peacocks, QD Stores and Bonmarché. There is on site free car parking within Wrights Walk for up to 3 hours for 240 cars. ACCOMMODATION The property is fully fitted and provides accommodation with the following approximate areas:- Ground Floor: Sales 16,588 sq ft 1,541 sq m First Floor: Ancillary 8,022 sq ft 745 sq m There is also a dedicated service/unloading bay. Floor plans and specifications are available. TENURE The property is being offered by way of a new full repairing and insuring lease for a length of term to be agreed at a commencing rent of £175,000 pax (plus VAT if applicable). RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £121,000 with effect from 1 April 2023. Interested parties are advised to make their own enquiries. SERVICE CHARGE We understand the current service charge budget is £14,341 pa. Full details available. ENERGY PERFORMANCE CERTIFICATE The property has an energy rating of D. Further details are available upon request. LEGAL COSTS Each party to be responsible for their own legal costs incurred in the transaction.",16588.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2024/01/Dereham-40-High-Street-9.pdf'],Francis Darrah Chartered Surveyors,Carol Cooper,Norwich,carol@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/66-68-hamilton-road-felixstowe-ip11-7aj/,"66-68 Hamilton Road, Felixstowe, IP11 7AJ",,,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/11/15-1.jpg'],"LOCATION Felixstowe is situated approximately 15 miles south east of Ipswich with a population of just under 25,000. Felixstowe Port is one of the largest container ports in the country and the town has excellent road communications via the A14 linking into the A12 and the national motorway network. The property occupies a central trading location on Hamilton Road which is the prime shopping destination in Felixstowe. The property is in the immediate vicinity of many multiple retailers including Vodafone, Costa, Superdrug, Poundstretcher, Clintons, Clarks, Boots and Nationwide Building Society. ACCOMMODATION The property is arranged on ground and first and second floors with the following approximate areas:- Ground Floor: Sales 1,734 sq ft 161.1 sq m First Floor: Ancillary/Staff 318 sq ft 29.5 sq m Second Floor: Storage 393 sq ft 36.5 sq m Basement 428 sq ft 39.7 sq m Total 2,873 sq ft 266.8 sq m It may be possible to divide the ground floor into two units without the upper parts. TENURE The property is being offered by way of a new full repairing and insuring lease on a length of term to be agreed at a commencing rental of £35,000 pax (VAT is not applicable). RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £48,500 with effect from 1 April 2023. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE The property has an energy rating of D. Further details are available upon request.",1734.0,,IP11 7AJ,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/11/Felixstowe-66-68-Hamilton-Road-2.pdf'],Francis Darrah Chartered Surveyors,Graham Mackintosh,Norwich,graham@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/62-hamilton-road-felixstowe/,"62 Hamilton Road, Felixstowe",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2025/11/2.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2025/11/Goad-plan-Felixstowe-62-Hamilton-Road_page-0001.jpg']","LOCATION Felixstowe is situated approximately 15 miles south east of Ipswich with a population of just under 25,000. Felixstowe Port is one of the largest container ports in the country and the town has excellent road communications via the A14 linking into the A12 and the national motorway network. The property occupies a central trading location on Hamilton Road which is the prime shopping destination in Felixstowe. The property is adjacent to Iceland and TG Jones and in the immediate vicinity of many multiple retailers including Costa, Superdrug, Poundstretcher, Clintons, Clarks, Boots, and Nationwide Building Society. ACCOMMODATION The property is arranged on ground floor with the following approximate areas:- Ground Floor: Sales 1,382 sq ft 128.4 sq m Ancillary/Staff 219 sq ft 20.3 sq m Total 1,601 sq ft 148.7 sq m TENURE The property is being offered by way of a new full repairing and insuring lease on a length of term to be agreed at a commencing rental of £28,500 pax. (VAT is not applicable). RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £33,000 with effect from 1 April 2023. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE Further details are available upon request. LEGAL COSTS Each party to be responsible for their own legal costs incurred in the transaction.",1382.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/11/Felixstowe-62-Hamilton-Road-1.pdf'],Francis Darrah Chartered Surveyors,Graham Mackintosh,Norwich,graham@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/framlingham-the-guildhall-34a-market-hill/,"Framlingham – The Guildhall, 34a Market Hill",,,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/03/1-2-scaled.jpg'],"INVESTMENT SUMMARY • Framlingham is a market town in Suffolk. • Framlingham population 4,404 (Census 2021) • Framlingham College, independent boarding and day school for 3-18 ages and ranked “Excellent” and named one of UK’s top schools for cricket (Cricketer Schools Guide 2025), in The Times A level league table placed top boarding school in the Eastern Counties. • Unit 1 is let to Collated Limited at a rent of £12,500 pax. • Units 2-6 is let to Mark Palmer Portraiture Limited at a rent of £22,500 pax. • The flat at first and second floors is sold off on a long lease. • Offers are invited in the region of £400,000 (four hundred thousand pounds) for the freehold of the property. LOCATION Framlingham is a thriving market town in Suffolk, noted for its 12th century castle and medieval parish church, 14 miles from Aldeburgh, 20 miles from Southwold, and 15 miles northwest of Ipswich. Framlingham is well located for both residents and visitors. It is approximately 5 miles from the A12 one of the main arteries into and out of Suffolk. The property is situated on Market Hill which is the location for a wide range of independent shops and restaurants. ACCOMMODATION The property provides accommodation on ground, first and second floors. The first and second floors comprise a flat which has been sold off on a long lease. The ground floor is divided into 2 shops, known as Unit 1 and Units 2-6. The approximate floor areas are as follows:- Unit 1 Ground Floor Sales 493 sq ft 45.8 sq m Staff/Storage 65 sq ft 6.0 sq m 558 sq ft 51.8 sq m Units 2-6 Ground Floor Sales 978 sq ft 90.8 sq m Studio 403 sq ft 37.4 sq m Office 120 sq ft 11.1 sq m 1,501 sq ft 139.4 sq m TENURE Freehold. LEASE Unit 1 is let to Collated Limited on an effectively full repairing and insuring lease for a term expiring on 19 June 2028 at a rent of £12,500 pax. The lease contains a tenant break on 19 June 2026. The tenant will receive 1 month rent free if the break is not exercised. Units 2-6 are let to Mark Palmer Portraiture Limited on an effectively full repairing and insuring lease for a term expiring on 21 April 2030 at a rent of £22,500 pax, subject to rent reviews on 22 April 2025 and 22 April 2028. The lease contains a tenant break on 22 April 2028. The flat is held on a long lease expiring 7 April 2113, at a peppercorn. The leaser provide for full recovery of landlord’s costs. PLANNING The properties are currently used as retail within Use Class E. The property is Grade II listed, entry number 1030333. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has the following rating assessment:- Unit 1 £7,600 Units 2-6 £14,750 Interested parties are advised to make their own enquiries.",493.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/03/Framlingham-The-Guildhall-34a-Market-Hill-2.pdf'],Francis Darrah Chartered Surveyors,Francis Darrah,Norwich,francis@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,Freehold,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/unit-1-euro-retail-park-ipswich/,"Unit 1, Euro Retail Park, Ipswich",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/2019-11-05-14.48.48.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/2019-11-05-14.52.07.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/2019-11-05-14.50.13.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/Euroe-Retail-Park-Google-map.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/Promap-Ipswich-Euro-Retail-Park.jpg']","LOCATION Ipswich is the county town of Suffolk located approximately 19 miles north east of Colchester and 54 miles east of Cambridge. The town has good road communication to a substantial catchment population via the A12 and A14. Euro Retail Park is located approximately 1.5 miles south east of Ipswich town centre within an established out of town retail destination. Other occupiers within Euro Retail Park, which provides over 210,000 sq ft of retail accommodation together with three restaurant units, include Sports Direct, B&Q, Wren and Halfords. The scheme also benefits from being situated within close proximity to other food and non food retail developments including Futura Retail Park, John Lewis/Waitrose, Sainsbury’s and the recently opened B&M store within the former Homebase. ACCOMMODATION The premises comprise the following approximate gross internal floor areas:- Ground Floor: 20,080 sq ft 1,865 sq m First Floor: Storage 2,066 sq ft 192 sq m TENURE The property is available on a lease due to expire 31 st January 2030. The current rent passing is £300,000 pax (plus VAT if applicable). TERMS Offers are invited for an assignment or underletting of the whole of the premises. SERVICE CHARGE Information available upon request. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £307,500 with effect from 1 April 2017. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE Further details are available upon request.",210000.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2019/11/Ipswich-Unit-1-Euro-Retail-Park-6.pdf'],Francis Darrah Chartered Surveyors,Graham Mackintosh,,graham@fdarrah.co.uk,01603 666630,,,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/81-high-street-kings-lynn/,"81 High Street, King’s Lynn",,,['https://www.francisdarrah.co.uk/wp-content/uploads/2026/02/1.jpg'],"LOCATION King’s Lynn is an historic market town and the principal shopping destination of West Norfolk with a residential population of approximately 43,000. It is located 36 miles north east of Peterborough, 44 miles north of Cambridge and 44 miles north west of Norwich. There is a direct rail service to London King’s Cross. The property is located on the pedestrianised High Street adjacent to Savers and in the vicinity of numerous national multiple retailers including Marks & Spencer, JD Sports, Clarks, Monsoon, Clinton Cards and TUI Travel Agent. ACCOMMODATION The premises provide accommodation on the ground floor with the following approximate dimensions and net internal areas:- Gross Frontage 29’4” 8.94 m Net Frontage 22’11” 6.98 m Shop Depth: 60’9” 18.52 m Ground Floor: Sales 1,288 sq ft 119.66 sq m Storeroom 269 sq ft 25.00 sq m Ancillary 139 sq ft 12.91 sq m Total 1,696 sq ft 157.57 sq m TENURE The property is being offered by way of a new full repairing and insuring lease on a length of term to be agreed at a rental of £27,500 pax (plus VAT if applicable). RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £22,500 with effect from 1 April 2023, increasing to £26,000 from 1 April 2026. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE The property has an energy rating of D. Further details are available upon request.",1288.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2026/02/Kings-Lynn-81-High-Street.pdf'],Francis Darrah Chartered Surveyors,Graham Mackintosh,Norwich,graham@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/164-regents-park-london-ground-floor-and-basement/,"164 Regent’s Park, London (Ground Floor and Basement)",,,['https://www.francisdarrah.co.uk/wp-content/uploads/2026/02/13-scaled.jpg'],"INVESTMENT SUMMARY LOCATION The property is located in the exclusive north London village of Primrose Hill in the London Borough of Camden. Regent’s Park Road is renowned for its cafes, restaurants and high class shops and is one of London’s most desirable “village” locations. The location is a prestigious residential area surrounding Regent’s Park with an affluent local catchment area. Regent’s Park Road has a mixture of national and independent occupiers including Space NK, Joe & The Juice, Savills, John D Wood, Roni’s Bagel Bakery & Café, Anna Ladieswear and Cowshed . ACCOMMODATION The property comprises ground floor and basement with the following approximate areas:- Ground Floor Sales 489.9 sq ft 45.52 sq m Storage 99.1 sq ft 9.21 sq m Basement Sales 376.3 sq ft 34.96 sq m Storage 46.7 sq ft 4.34 sq m TENANCY SCHEDULE Tenant Lease Start Date Lease Length Lease Expiry Rent pax Rent Review Other Terms Graham & Green Limited 3.8.2024 3 yrs 2.8.2027 £43,500 N/A Mutual break on 6 months notice (not to be served 1 st October – 28 th February). Outside Landlord & Tenant Act 1954. TENURE The property is held on a long lease from 29 th September 1993 for 999 years at one peppercorn rent. TENANT COVENANT INFORMATION Graham & Green is a distinguished British retailer renowned for its eclectic and stylish range of home furnishings, furniture and home accessories. The company was founded in 1974 and remains family owned with stores in Bath, Trowbridge, Paddington, and Notting Hill, together with a strong online presence. Graham and Green have traded from the property since 1994. VAT The property is not elected for VAT. The sale will not be subject to VAT. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a current rating assessment of £49,500, with effect from 1 April 2023, increasing to £56,500 from 1 April 2026. Interested parties are advised to make their own enquiries. EPC The property has am EPC rating of B. Further details are available upon request. PROPOSAL Offers are invited in excess of £800,000 (Eight hundred thousand pounds) for the long leasehold interest of the property. A purchase at this level will reflect a net initial yield of approximately 5% after purchaser’s costs of 5.5% on a total income of £43,500 pax. LEGAL COSTS Each party to be responsible for their own legal costs incurred in this transaction. ANTI MONEY LAUNDERING In accordance with Anti Money Laundering Legislation, the purchaser will be required to provide proof of identity and address to the selling agents prior to solicitors being instructed.",489.9,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2026/02/London-164-Regents-Park-Road-1.pdf'],Francis Darrah Chartered Surveyors,Francis Darrah,Norwich,francis@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,Leasehold,To Let,2026-02-27,Old
https://www.francisdarrah.co.uk/available-properties/60-62-london-road-north-lowestoft/,"60-62 London Road North, Lowestoft",,,"['https://www.francisdarrah.co.uk/wp-content/uploads/2025/02/2.jpg', 'https://www.francisdarrah.co.uk/wp-content/uploads/2025/02/Goad-plan-Lowestoft-60-London-Road-North.pdf']","Lowestoft is located on the A47, 10 miles south of Great Yarmouth and 20 miles south east of Norwich. Lowestoft’s main access is via the A146 to Norwich and the A12 to Great Yarmouth and Ipswich, both routes providing access to the national road network. The property is located in a prime retail position on London Road North. Nearby multiple retailers include J D Sports, Boots, Marks and Spencer, New Look, Greggs, Vodafone, Barclays Bank and NatWest Bank. Ground Floor Sales 3,231 sq ft 300.1 sq m First Floor Potential Sales 3,050 sq ft 283.3 sq m Second Floor Ancillary 2,194sq ft 203.8 sq m Basement Ancillary 476 sq ft 44.2 sq m Parking for up to 5 cars may be available nearby on Grove Road. TENURE The property is under offer. VAT The property is not elected for VAT. The sale will not be subject to VAT. ANTI MONEY LAUNDERING In accordance with Anti Money Laundering Legislation, the purchaser will be required to provide proof of identity and address to the selling agents prior to solicitors being instructed. RATEABLE VALUE We understand from the Valuation Office Agency website that the property has a rating assessment of £47,000 with effect from 1 April 2023. Interested parties are advised to make their own enquiries. ENERGY PERFORMANCE CERTIFICATE The property has an energy rating of D. Further details are available upon request. LEGAL COSTS Each party to be responsible for their own legal costs incurred in the transaction.",3231.0,,,['https://www.francisdarrah.co.uk/wp-content/uploads/2025/02/Lowestoft-60-62-London-Road-North-1.pdf'],Francis Darrah Chartered Surveyors,Francis Darrah,Norwich,francis@fdarrah.co.uk,01603 666630,1 Bank Plain,NR2 4SF,,,2026-02-27,Old
