listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://hummerstonehawkins.com/property/broadway-bexleyheath-da6-7ez/,"Broadway, Bexleyheath, DA6 7EZ",,Office,"['https://hummerstonehawkins.com/wp-content/uploads/2026/02/P1030145-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/02/P1030143-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/02/P1030144-scaled.jpg']",Two 1st floor offices available to let. Office 1 suitable for 2 persons. Office 2 suitable for 3 persons. To be let individually or combined. Bills to be included in the rent. Available on a 12 month licence. Property Summary *TWO WELL PRESENTED 1st FLOOR OFFICES TO LET* Office 1 appears suitable for 2 persons and office 2 for 3 persons. Monthly rents including bills are £425pcm and £475pcm. + − | © OpenStreetMap contributors,106,,DA6 7EZ,['https://hummerstonehawkins.com/wp-content/uploads/2026/02/1st-Floor-137-Broadway-Bexleyheath-DA6-7EZ.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/upper-wickham-lane-welling-da16-3aa/,"Upper Wickham Lane, Welling, DA16 3AA",,Retail Property (High Street),"['https://hummerstonehawkins.com/wp-content/uploads/2026/02/13-Upper-Wickham-Lane.jpg-1.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/02/13-Upper-Wickham-Lane.jpg-2.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/02/13-Upper-Wickham-Lane.jpg']","Ground floor E class premises to let Total floor area of c. 585sq ft. High volumes of passing trade. Ideal for variety E class uses. Situated close to Welling corner. Available on a new lease, terms negotiable. Property Summary *E CLASS PREMISES AVAILABLE TO LET* Floor area of C. 585sq ft, busy location, available on new lease terms + − | © OpenStreetMap contributors",585,,DA16 3AA,['https://hummerstonehawkins.com/wp-content/uploads/2026/02/13-Upper-Wickham-Lane-Welling-DA16-3AA.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/bellegrove-road-welling-da16-3pa-2/,"Bellegrove Road, Welling, DA16 3PA",,Retail Property (High Street),['https://hummerstonehawkins.com/wp-content/uploads/2026/02/19-Bellegrove-Road-scaled.jpg'],"E Class premises to let Main sales area of c. 62sq m / 667sq ft. Includes rear tea making area + WC High volumes of passing trade. Situated close to Welling corner Agreeable on new lease terms. Property Summary *TO LET - E CLASS PREMISES LOCATED AT WELLING CORNER* Floor area of c. 700sq ft. Strong trading position near Welling corner, + − | © OpenStreetMap contributors",700,,DA16 3PA,['https://hummerstonehawkins.com/wp-content/uploads/2026/02/19-Bellegrove-Road-Welling-DA16-3PA-1.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/conduit-mews-conduit-road-plumstead-se18-7ap/,"Conduit Mews, Conduit Road, Plumstead, SE18 7AP",295000,"Investment, Office","['https://hummerstonehawkins.com/wp-content/uploads/2026/01/1.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/3.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/2.jpg']","Office and workshop in Plumstead available for sale. Total floor area of approximately 1,275sq ft. Minimum of 4 parking spaces directly in front of the property. Potential for first floor to be converted to residential (STPP). Well presented internally with very limited works required. Property offered with full vacant posession. Property Summary *New freehold in Plumstead available for sale* With a total floor area of 1,275 this unit would suit a variety of purchasers. + − | © OpenStreetMap contributors",1275,,SE18 7AP,['https://hummerstonehawkins.com/wp-content/uploads/2026/01/Conduit-Mews-Plumstead-SE18-7AP.pdf'],Hummerstone & Hawkins,,,,,,,Freehold,For Sale,2026-02-18,New
https://hummerstonehawkins.com/property/lingfield-crescent-falconwood-se9-2rl/,"Lingfield Crescent, Falconwood, SE9 2RL",,Workshop,"['https://hummerstonehawkins.com/wp-content/uploads/2026/01/3-Lingfield-Crescent.jpg-1-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/3-Lingfield-Crescent-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/3-Lingfield-Crescent.jpg-2-scaled.jpg']",Timber construction workshop Floor area c. 330sq ft Includes a dedicated toilet Rear access for loading / unloading Convenient location Available of flexible terms. Property Summary A workshop of timber construction with a floor area which includes a dedicated toilet plus electric supply. Well suited for storage or workshop use. Flexible lease terms. + − | © OpenStreetMap contributors,330,,SE9 2RL,['https://hummerstonehawkins.com/wp-content/uploads/2026/01/3-Lingfield-Crescent-Eltham-SE9-2RL.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/heron-hill-belvedere-da17-5er-2/,"Heron Hill, Belvedere, DA17 5ER",625000,Commercial Development,"['https://hummerstonehawkins.com/wp-content/uploads/2026/01/23-Heron-Hill-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/23-Heron-Hill.jpg-1-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/23-Heron-Hill.jpg-2-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2026/01/23-Heron-Hill.jpg-3-scaled.jpg']","Workshop, potential for development stpp Property arranged over two floors Ground floor of C. 285sq m / 3,066sq ft First floor of C 205sq m / 2,204sq ft. Popular location / Good transport links Ample kerbside parking. Property Summary *COMMERCIAL DEVELOPMENT OPPORTUNITY (stpp)* The property of C. 490sq m / 5,270sq ft offers potential for redevelopment or conversion, subject to the usual planning consents. + − | © OpenStreetMap contributors",5270,,DA17 5ER,['https://hummerstonehawkins.com/wp-content/uploads/2026/01/Heron-Works-23-Heron-Hill-Belevedere-DA17-5ER.pdf'],Hummerstone & Hawkins,,,,,,,,For Sale,2026-02-18,New
https://hummerstonehawkins.com/property/sidcup-hill-sidcup-da14-6hj-3/,"Sidcup Hill, Sidcup, DA14 6HJ",,Takeaways,['https://hummerstonehawkins.com/wp-content/uploads/2025/12/11.jpg'],"Takeaway premises to let Ground floor area of C. 490 sq.ft Ideal for a variety of cuisines Fronting on to Sidcup Hill Good catchment area Available on flexible lease terms Property Summary *Takeaway premises available to let* Main road position, main public area c. 190sq ft, kitchen 135sq ft, freezer room n/store c. 170sq ft. + − | © OpenStreetMap contributors",490,,DA14 6HJ,['https://hummerstonehawkins.com/wp-content/uploads/2025/12/37-Sidcup-Hill-Sidcup-DA14-6HJ.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/broadway-bexleyheath-da6-7bd/,"Broadway, Bexleyheath, DA6 7BD",,Office,"['https://hummerstonehawkins.com/wp-content/uploads/2025/12/206-Broadway-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/12/206-Broadway.jpg-1-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/12/206-Broadway.jpg-3-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/12/206-Broadway.jpg-2-scaled.jpg']","1st & 2nd floor rooms to let 4Rooms ranging from 85sq ft to 185sq ft Ideally suit as a 4 room office suite. Located in heart of town centre High volume of passing trade Available of flexible terms. Property Summary *1st & 2nd Floor rooms to let* Room 1 - 140sq ft, Room 2 - 85sq ft, Room 3 - 185sq ft, Room 4 125sq ft. Ideally suit as an office suite. + − | © OpenStreetMap contributors",535,,DA6 7BD,['https://hummerstonehawkins.com/wp-content/uploads/2025/12/1st-Floor-206-Broadway-Bexleyheath-DA6-7BD.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
https://hummerstonehawkins.com/property/london-road-stone-greenhithe-da9-9jw/,"London Road, Stone, Greenhithe, DA9 9JW",850000,Office,"['https://hummerstonehawkins.com/wp-content/uploads/2025/12/152-London-Road-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/12/152-London-Road.jpg-3-scaled.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/12/152-London-Road.jpg-2-scaled.jpg']","Fairly sizeable 2 storey office building. Office floor area: C. 492sq m / 5,302sq ft. Includes a 2-3 bed flat of C. 883sq ft. 7 dedicated parking spaces. Good & easy transport links. Development potential (stpp). Property Summary *FOR SALE - FREEHOLD 2 STOREY OFFICE BUILDING* Ground floor C. 3,418 sq ft. / 1st floor C. 1,884 sq ft plus includes at 1st floor level a 2-3 bedroom flat of C. 883sq ft. Property includes 7 dedicated parking spaces. + − | © OpenStreetMap contributors",6165,,DA9 9JW,['https://hummerstonehawkins.com/wp-content/uploads/2025/12/152-154-London-Road-Greenhithe-Kent-DA9-9JW.pdf'],Hummerstone & Hawkins,,,,,,,Freehold,For Sale,2026-02-18,New
https://hummerstonehawkins.com/property/kashgar-road-plumstead-se18-1dy/,"Kashgar Road, Plumstead, SE18 1DY",,Office,"['https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg-2.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg-3.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg-5.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg-1.jpg', 'https://hummerstonehawkins.com/wp-content/uploads/2025/11/7-Dennington-Mews.jpg-4.jpg']",Newly built office / class E unit to let Floor area of C. 82sq m / 882sq ft. Premises includes 1 parking space. Open plan floor space includes W/C. Pleasant courtyard setting. Good transport links into London. Property Summary *SELF CONTAINED COURTYARD OFFICE TO LET* Newly built office / class E use unit of C. 8832sq ft. Includes one parking space. + − | © OpenStreetMap contributors,882,,SE18 1DY,['https://hummerstonehawkins.com/wp-content/uploads/2026/01/7-Dennington-Mews-Kashgar-Road-Plumstead-SE18-1DY-.pdf'],Hummerstone & Hawkins,,,,,,,,To Let,2026-02-18,New
