listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.durlings.co.uk/property/details/43756/chalket-lane-pembury-tunbridge-wells-kent-tn2-4aa-land,"Chalket Lane, Pembury, Tunbridge Wells, Kent, TN2 4AA",175000,Land Residential Land / Development,"['https://durlingscrm.agencypilot.com/crm/store/property/80fc413d-851a-4319-a982-d6a4bbd77164_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/42a9da1f-f542-4409-90bf-b55c02082570_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/35b48043-689e-43d5-a4d4-4587c6ce7888_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/9ffc4a43-c45b-4682-b20d-b61fdb5c11a5_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/39a98d4b-80f0-483c-b905-5a73907d42c5_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/a1d278cd-f0f9-4bdf-8569-3d500285f25a_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/9f901a0a-c8cc-4501-af95-4b83a4f0f03b_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/2f353f40-cff1-48f1-ba52-c4b3fe278f11_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/72b903b4-9413-4c83-b65f-8990abe59d98_web.jpg']","A gently south sloping site consisting of part woodland, to the southern end, with the remainder being grassland. There are no existing buildings on the site. The site is adjoined by residential uses, adjacent to the north and west boundaries and undeveloped land to the west and further to the south. Across Chalket Lane, to the east, is a cricket ground. The boundaries comprise of hedges and trees and a belt of trees adjacent to the access from the gate. There are also trees along the frontage with Chalket Lane but more open boundaries adjacent to the residential uses where there is more domestic type planting. There are also conifers along the western boundary adjacent to the residen-tial uses. There is a gate access from Chalket Lane that runs adjacent to a tree belt.",,,TN2 4AA,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43756&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F153549_qr5461f13kat99xt.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43756&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F153550_l00dutlx4l9uo5g8.pdf']",Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43755/b9-speldhurst-business-park-langton-road-speldhurst-tunbridge-wells-kent-tn3-0aq-office,"B9 Speldhurst Business Park, Langton Road, Speldhurst, Tunbridge Wells, Kent, TN3 0AQ",,Office Medical,"['https://durlingscrm.agencypilot.com/crm/store/property/c0b2a1b1-e9d1-4c8c-83d9-a30283a20d04_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/a76a19f1-235a-4fa9-9330-962ba04cce2a_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/0e69786b-c8c9-4c9d-94d6-5e11f0da6d86_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/4643c4f3-d438-43e0-9f2b-0d91168ac7a4_web.jpg']","These offices are part of a rural business centre with ample on-site parking A 1st floor office suite within Building B offering open plan carpeted office Space. The unit has its own kitchenette/tea point, and exclusive use of male and female WCs.",500.0,,TN3 0AQ,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43755&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F152951_j1dau51oea284q1f.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43755&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F152952_asc72jur4r6tb5g6.pdf']",Durlings,,,,,,,Leasehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43737/134-london-road-southborough-tunbridge-wells-kent-tn4-0pl-office,"134 London Road, Southborough, Tunbridge Wells, Kent, TN4 0PL",595000,Office Medical Residential Land / Development,"['https://durlingscrm.agencypilot.com/crm/store/property/02ebea2a-b164-41f6-8c71-c2e2e1846686_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f56363b4-783b-442b-b4e0-bebf42125e05_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/cc8499e3-00dc-463c-8565-85e054374b6b_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/732e9c4a-5e48-4d9e-b778-80be90c86940_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/588297cc-7513-469c-8445-e02e92c41ecb_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/7b9f6c59-4421-43ec-8604-7a8be8a4440a_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/9b851f6d-58f7-4692-88b1-96c1b1e0ac5f_web.jpg']","A Victorian detached office building, with large rear garden, arranged over 4 floors. Suitable for continued use as professional offices, otherwise educational, leisure or medical uses, say. Alternatively potential for conversion to residential use along with further development to the rear. The property has the following gross internal floor areas: - Ground Floor - 931 sq ft Lower Ground - 922 sq ft First Floor - 961 sq ft Second / Roof Space - 254 sq ft Total Building Floor Area - 3068 sq ft Outbuilding - 389 sq ft",931.0,,TN4 0PL,['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43737&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F109790_89x7w47l11123ow5.pdf'],Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43752/17-avon-street-tunbridge-wells-kent-tn1-2jg-residential-land---development,"17 Avon Street, Tunbridge Wells, Kent, TN1 2JG",395000,Residential Land / Development Industrial Industrial Land / Development,"['https://durlingscrm.agencypilot.com/crm/store/property/723f4777-05b5-46cc-ac62-1ecd42dace9c_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/64bed87e-9eff-4244-9594-b1802842ac69_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/1c71f6ac-a400-44c6-b668-3258efcc62b3_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/5f51d39a-43ee-4610-827c-f6f992e10813_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f0c37290-7243-4970-9538-94811ef1f0ed_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/152a574b-d0b2-4cc4-8254-b3a43dccc315_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/b018e011-36ba-4b23-9b30-cfeb2ae1b7dd_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/fa141e05-2fae-48a6-ada7-c359e3edcbd4_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/24c89cab-f5ac-4fac-99b0-54fee924c3f8_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/71970e14-52a7-4ac3-86ca-c509672940f7_web.jpg']","A detached commercial building of traditional brick work, arranged over two floors with rear extensions, covering the majority of the site. There is a useful driveway from the rear of the property leading out to St. James` Road. The property was until recently used as a joinery workshop and offers potential for a wide range of alternative commercial uses and indeed residential conversion or comprehensive redevelopment. Floor Areas Ground Floor - Front building - 908 sq ft - Rear extension - 410 sq ft - Lower rear extension - 545 sq ft First Floor - 907 sq ft Total Building Floor Area - 2770 sq ft Total Site Area - 3250 sq ft",908.0,,TN1 2JG,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43752&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F146259_2rx4yxz2866i1h13.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43752&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F152950_9z352em68542d6ua.pdf']",Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/38876/sheer-farm-oast-north-road-goudhurst-cranbrook-kent-tn17-1jr-industrial,"Sheer Farm Oast, North Road, Goudhurst, Cranbrook, Kent, TN17 1JR",550000,Industrial Retail Children's Nursery / Education Residential Land / Development Industrial Land / Development,"['https://durlingscrm.agencypilot.com/crm/store/property/61e8cb80-71b7-4b66-b928-32746a8bd779_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/af592688-b9fe-4415-8c30-9c654848bc31_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/4b6ba048-4acc-451b-a214-ec1b8b951043_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/548db4bb-b115-42bf-b171-a836435a6dd1_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/0895c9c9-2e53-4198-9a70-b651fb82ef0c_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/90008c91-dfb4-4e63-b2d2-4da85c873552_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/1d0b899d-1849-4a00-9e86-c34ffe5806ce_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d91a0b1d-9a64-4fb8-8ea3-04f53866562c_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/c5048b30-93c2-4c0e-ab2f-4568ea1ea6f5_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/eef7d87b-9d45-48e0-9eef-7622718bdd09_web.jpg']","Originally an agricultural oast, constructed around the 1950`s, of steel frame construction and arranged over ground and first floors. Currently the first floor is being used as a tile showroom and stores, with access from the front via external stairs. The ground floor is suitable for storage of light industrial uses, and access by a roller shutter door on the side of the building. The site area is approximately 0.2 acres. We are of the opinion the property has potential for a change of use to residential, and to create a unique single dwelling. The property received a Retrospective Change of Use to storage and wholesale distribution of tiles, with ancillary showroom in 2005. Ref.05/00830. The property is situated within The High Weald Area of Outstanding Natural Beauty.",5318.0,0.2,TN17 1JR,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=38876&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F110991_8x52s4zzixrzc344.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=38876&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F106171_ctk4617iy1qqwm64.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=38876&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F106214_917q3vyvw8irgmzj.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=38876&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F106215_cn6mp93cm61l0e18.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=38876&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F106216_qcoxjspt42t451kf.pdf']",Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43728/international-tile-store-30-tunnel-road-tunbridge-wells-kent-tn1-2bt-residential-land---development,"International Tile Store, 30 Tunnel Road, Tunbridge Wells, Kent, TN1 2BT",650000,Residential Land / Development Industrial Children's Nursery / Education Medical Industrial Land / Development,"['https://durlingscrm.agencypilot.com/crm/store/property/5c5f6c78-920f-4d28-b330-467bc9a72e1a_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/9c00df8f-fbd1-40d7-8b07-2a35a6fa8caa_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/e6ed97b6-2098-4fed-a8d5-0d426c5f9bc3_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/ff698899-91f6-4d3f-94c0-e448c8a18bbf_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d9e56aa1-a629-427f-bd97-6251a3ff9370_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/248ff4db-022e-479a-ac2d-5dbf7481b3d8_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/34343adf-8cfa-4ce2-9c8d-44d071722e68_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/372160d0-2ac0-469a-a0d1-9c591e727ca7_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/be63dfa0-4692-4c89-a382-3d171a225b81_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/c0140ad2-0c0c-43cf-95f4-bdbaa1806280_web.jpg']","A rare opportunity to purchase a freehold commercial property in Tunbridge Wells. Previously occupied by a tile showroom/store since 2003, the property comprises a total of 3,272 sq ft of gross internal commercial space. The building is arranged over 2 floors with a largely open-plan layout. The yard/parking area measures 2,538 sq ft and can accommodate up to 6 vehicles. The property is suitable for continued use as a commercial site (planning class E) or has strong potential for conversion into a residential scheme (house/s or flats) subject to the relevant planning consents. The site has no relevant planning history in this regard.",3272.0,,TN1 2BT,['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43728&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F118931_00a4bjrw2w3rnw3o.pdf'],Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43748/9-upper-grosvenor-road-tunbridge-wells-kent-tn1-2du-residential-land---development,"9, Upper Grosvenor Road, Tunbridge Wells, Kent, TN1 2DU",1100000,Residential Land / Development Children's Nursery / Education Medical,"['https://durlingscrm.agencypilot.com/crm/store/property/8076a6e7-5069-43a7-9686-7e6c88f4f4a2_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/651ae04f-ccea-4f7c-b1ae-96238fa38f53_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/4a9101dc-f24f-4171-8f1a-8e3792d9fdfe_web.jpg']","A potential development opportunity to build 3 new houses together with the refurbishment of the front existing building, which currently comprises 3 self-contained flats. The new build element has received a positive pre-application response from Tunbridge Wells Borough Council. The front building has potential for conversion to an HMO, a pair of semis, or a single-family dwelling. The existing flats could also be redesigned to create more valuable accommodation. Full details, including plans and supporting documents available on request.",,,TN1 2DU,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43748&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F133455_k898ya0lje4vgc1s.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43748&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F133459_cp9za39exfv027u2.pdf']",Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43750/eridge-house-coach-and-horses-passage-the-pantiles-tunbridge-wells-kent-tn2-5np-office,"Eridge House, Coach & Horses Passage, The Pantiles, Tunbridge Wells, Kent, TN2 5NP",,Office Medical,"['https://durlingscrm.agencypilot.com/crm/store/property/d44443d0-da07-441f-8f2f-5cb2c6cb5922_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/57434bb8-a555-42d3-a581-fb27693f3502_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/bdec2979-3081-4979-a9e7-2082c9d0f07c_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d03cb596-5583-4edc-b97b-4f644f460c81_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/3476bcc9-219e-41fb-bd6b-94dc1d1c5174_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d8be40e0-4e25-4261-8e94-35c70887502c_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/afac00b5-ae80-4610-af55-87b1b9fd6dd6_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/2152f200-d796-4ac9-8c0a-4ed63635ebd1_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/a9e78ea8-243b-401f-860a-556c69e42cd2_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/70c4b176-5246-4bf6-a653-c0e77a708100_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d39214af-5df8-4cc7-aaed-eaea2de2d9e8_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/34e04774-c2b9-48f9-801b-47075caa6846_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f3fa3b04-6795-4775-94c8-6886d119df71_web.jpg']","A self-contained modern office building, with Class E use, arranged over 3 floors. Each floor is broadly open plan, apart from a partitioned (demountable) meeting room / office on the 1st floor. There is a WC on each floor off the stair landings. There is a kitchen on the on the 1st floor. The building has a spacious entrance lobby. There are 3 allocated underground car spaces. There is also ""Pay & Display"" parking available on the other side of Sussex Mews.",2360.0,,TN2 5NP,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43750&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F145696_5kb02z2k9a725663.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43750&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F145693_r03izonw8xu2zlua.pdf']",Durlings,,,,,,,,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43747/bridge-house-97-101-high-street-tonbridge-kent-tn9-1dr-investment,"Bridge House, 97-101 High Street, Tonbridge, Kent, TN9 1DR",6000000,Investment,"['https://durlingscrm.agencypilot.com/crm/store/property/d2bbbf6d-51a2-4aa3-9a06-e8eeefbdb47e_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/95a72de0-319a-4559-a60e-621ca513c59b_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/c3f23cfa-8ca8-4beb-967c-7cd7bda75917_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/47dde8fa-1021-4761-8980-2ffefccb19d8_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/55538d46-1f91-46b1-9b3a-af2e2f89e3e2_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/fc356ed2-a1e2-4f34-816b-f3771d65d8cc_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/55846cd8-a651-4cd9-b7fa-13411943aff9_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/49d25b20-e2b1-4066-a94f-00de05180f99_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/616d03ed-2eb4-4569-888b-e930f1381483_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/dd2d7eea-6406-40c3-a32d-34040cf6f0b7_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/ed98fa89-73e8-404f-88d9-84149dd8cdfc_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/c93c8f1e-2a82-4b9c-8cd2-f892b5900e2d_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/7fa3d60b-1be8-40e5-a28b-0b8a7733c60a_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f16d0e16-2360-4255-bbd4-47dd6e46ca2d_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/6fda7231-e412-4d12-988e-f8d30fa43bc3_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f4d299d7-e965-4167-8842-1d988a4c310d_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/4224b90e-fad8-42e2-a734-e3d5b95bc7fa_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/f34ad6aa-19a0-4386-8b75-af95de04a199_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/d985f689-ae87-4a34-aa7d-f9c7e092ab7f_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/4c4e4c1c-8425-4d85-ab4a-83e89fbd2567_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/626edd4f-8810-4786-832c-ba4e8f45a6f5_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/954e246b-f629-4578-80c1-05cebac50398_web.jpg']","Bridge House is a town centre, newly converted and extended office to residential development, now comprising 19 apartments - 7 no. 1 bedroom apartment & 12 no. 2 bedroom apartments, and 9 undercroft parking spaces and lift, along with a ground floor retail unit. Situated in the affluent town of Tonbridge in northwest Kent - 35 miles from central London. Junction 5 of the M25 is 10 miles to the north and London Bridge Station is 33 mins on the train. Current rental income - £309,500 per annum, with annual CPI linked increase (caped at 4% pa). Fully let to Tonbridge & Malling District Council. Estimated Gross Development Value estimated to be in the region of £7,000,000.",,,TN9 1DR,['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43747&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F132757_627z2p9fgyw8i92b.pdf'],Durlings,,,,,,,Freehold,For Sale,2026-02-26,New
https://www.durlings.co.uk/property/details/43741/prospect-house-11-13-lonsdale-gardens-tunbridge-wells-kent-tn1-1nu-office,"Prospect House, 11-13 Lonsdale Gardens, Tunbridge Wells, Kent, TN1 1NU",325000,Office,"['https://durlingscrm.agencypilot.com/crm/store/property/9998ef41-3279-4eb2-997a-c42556e1de09_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/88c96032-7269-4807-9968-3046a68e1b7e_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/55d731e7-ae2f-495f-b992-c45c75bbc136_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/21c31279-1dbe-4249-868d-652d819297df_web.jpg', 'https://durlingscrm.agencypilot.com/crm/store/property/aa1dcf06-4d48-4f32-9cc0-db2a11e999d0_web.jpg']",The office comprises part of the first floor of an attractive double fronted period building. There is a lift which is accessed directly from a large entrance lobby with communal WC's located on the ground floor. There are also ladies and gents WCs outside these offices and there is a private kitchen. A car space is also available at the side of the building.,900.0,,TN1 1NU,"['https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43741&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F117550_2295463nevf48ki9.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43741&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F117552_j166xjj3893gp60r.pdf', 'https://www.durlings.co.uk/umbraco/surface/propertysurface/ViewFile?propertyId=43741&url=https%3A%2F%2Fdurlingscrm.agencypilot.com%2Fcrm%2Fstore%2Fdocuments%2Fother%2F117551_t0l5jk8v9vb3a363.pdf']",Durlings,,,,,,,,For Sale,2026-02-26,New
